rxpck/s,ceph01,ceph02,ceph03,ceph04
163,257825.0,268001.0,273130.0,255299.0
164,291648.0,278489.0,266877.0,286751.0
165,283175.0,303586.0,320544.0,283216.0
166,320286.0,318886.0,313804.0,318723.0
167,337083.0,328996.0,317078.0,331166.0
168,352521.0,354618.0,353233.0,345398.0
169,246700.0,245533.0,258566.0,243233.0
170,288437.0,315332.0,313948.0,286420.0
171,307914.0,295664.0,295270.0,300692.0
172,290278.0,282965.0,270701.0,287925.0
173,267263.0,283615.0,288847.0,265789.0
174,381899.0,382963.0,384211.0,373737.0
175,314677.0,322338.0,315066.0,317293.0
176,262979.0,271795.0,279845.0,257787.0
177,341516.0,349966.0,346814.0,337543.0
178,280682.0,265280.0,253814.0,284419.0
179,292937.0,310445.0,321501.0,287938.0
180,311712.0,303016.0,299368.0,308121.0
181,270523.0,290743.0,288613.0,267459.0
182,345831.0,342876.0,331813.0,341398.0
183,292134.0,299004.0,304018.0,292789.0
184,330078.0,328425.0,335641.0,326085.0
185,296732.0,300723.0,302248.0,294839.0
186,292837.0,296572.0,289644.0,288557.0
187,332021.0,330685.0,332983.0,328080.0
188,330445.0,325005.0,320313.0,329773.0
189,358082.0,372418.0,377097.0,355913.0
190,337932.0,361126.0,360040.0,335375.0
191,330218.0,329559.0,333954.0,328598.0
192,238380.0,226909.0,224781.0,234402.0
193,380171.0,383743.0,372974.0,377810.0
194,337446.0,333488.0,334500.0,332668.0
195,390657.0,408157.0,415845.0,390450.0
196,339406.0,323967.0,312451.0,335997.0
197,243998.0,250242.0,254045.0,239531.0
198,287561.0,319383.0,326007.0,288698.0
199,350281.0,337095.0,327485.0,345420.0
200,306735.0,315815.0,321062.0,301986.0
201,427690.0,416845.0,406834.0,422499.0
202,285442.0,305448.0,314535.0,284481.0
203,277808.0,272259.0,272738.0,272249.0
204,323757.0,319846.0,315722.0,321002.0
205,283016.0,289158.0,285695.0,282491.0
206,410238.0,413207.0,408924.0,408434.0
207,344665.0,357124.0,357975.0,341890.0
208,298847.0,306673.0,321569.0,297986.0
209,204929.0,206913.0,200274.0,202707.0
210,297195.0,289659.0,280467.0,293353.0
211,309614.0,316385.0,333963.0,304490.0
212,376598.0,367239.0,356160.0,374946.0
213,421465.0,422598.0,412569.0,421512.0
214,361392.0,372308.0,373965.0,356423.0
215,222098.0,235664.0,248090.0,215061.0
216,263068.0,265943.0,262398.0,260360.0
217,328180.0,330702.0,333942.0,322494.0
218,359839.0,347230.0,336102.0,354945.0
219,407582.0,410019.0,410779.0,403058.0
220,242563.0,266429.0,273248.0,242195.0
221,254546.0,233177.0,226850.0,251150.0
222,268841.0,286994.0,292088.0,267276.0
223,330321.0,324791.0,319592.0,330060.0
224,342420.0,352806.0,363674.0,335751.0
225,384368.0,380829.0,378370.0,380582.0
226,268402.0,279985.0,287263.0,266046.0
227,263701.0,254372.0,242990.0,258435.0
228,291410.0,293646.0,299478.0,291289.0
229,299163.0,296422.0,293574.0,291324.0
230,413035.0,412503.0,408717.0,411288.0
231,358794.0,366675.0,365860.0,358221.0
232,224134.0,248988.0,263568.0,218228.0
233,300824.0,289001.0,280585.0,302528.0
234,375154.0,383680.0,380733.0,371375.0
235,298126.0,307595.0,316292.0,294541.0
236,295201.0,276816.0,256860.0,291375.0
237,373686.0,397027.0,405101.0,369397.0
238,209118.0,215314.0,215455.0,210933.0
239,372236.0,365820.0,357377.0,363997.0
240,339993.0,357385.0,366670.0,339113.0
241,286872.0,289142.0,283413.0,285117.0
242,333706.0,332206.0,320860.0,329585.0
243,304969.0,301018.0,307139.0,301399.0
244,220628.0,231453.0,241561.0,215899.0
245,325785.0,318296.0,308463.0,323858.0
246,379303.0,384509.0,368076.0,382105.0
247,314059.0,329489.0,345341.0,313042.0
248,324775.0,327921.0,327150.0,320913.0
249,287848.0,289913.0,290777.0,282239.0
250,227430.0,219737.0,211685.0,219845.0
251,400861.0,412726.0,413416.0,399990.0
252,298201.0,294571.0,295116.0,297882.0
253,378178.0,383080.0,375123.0,374175.0
254,298081.0,311743.0,332834.0,291965.0
255,208717.0,206431.0,199074.0,204738.0
256,239702.0,231737.0,223310.0,236316.0
257,282348.0,296295.0,308685.0,279343.0
258,194821.0,201439.0,190880.0,192136.0
259,169115.0,183206.0,197110.0,164202.0
260,254543.0,244378.0,224142.0,252447.0
261,226575.0,226011.0,230820.0,225717.0
262,214225.0,228933.0,243000.0,210098.0
263,212390.0,201020.0,177405.0,212345.0
264,243121.0,241223.0,250641.0,241807.0
265,278158.0,296845.0,308191.0,272098.0
266,197950.0,199597.0,197765.0,196288.0
267,334559.0,329371.0,311271.0,332078.0
268,254785.0,269284.0,284455.0,250775.0
269,301542.0,309532.0,314517.0,296713.0
270,269258.0,251473.0,230031.0,266999.0
271,279660.0,293504.0,306406.0,281095.0
272,234298.0,242628.0,248186.0,227149.0
273,313787.0,317791.0,314891.0,310641.0
274,269261.0,275104.0,269277.0,262992.0
275,227404.0,219968.0,221803.0,224515.0
276,307100.0,313008.0,311614.0,307441.0
277,251249.0,261075.0,269389.0,246625.0
278,264339.0,243901.0,229143.0,265186.0
279,328985.0,346212.0,350306.0,320833.0
280,214329.0,210047.0,213775.0,209869.0
281,257799.0,269065.0,263548.0,257200.0
282,306608.0,299354.0,292621.0,307258.0
283,213281.0,223457.0,226992.0,212809.0
284,314990.0,318812.0,306403.0,309678.0
285,356175.0,366306.0,372720.0,353675.0
286,304192.0,305611.0,304228.0,300214.0
287,301830.0,309356.0,307816.0,298920.0
288,254380.0,265800.0,271837.0,250905.0
289,275237.0,270372.0,265414.0,252461.0
290,326254.0,335953.0,342935.0,339852.0
291,328445.0,319480.0,303927.0,329393.0
292,290830.0,299360.0,304496.0,288325.0
293,358179.0,356616.0,346250.0,353292.0
294,305801.0,318976.0,330202.0,282463.0
295,237378.0,230913.0,236375.0,256256.0
296,405342.0,416140.0,400850.0,399975.0
297,297115.0,294872.0,292848.0,294894.0
298,244451.0,260323.0,276045.0,241528.0
299,360335.0,353320.0,344429.0,357707.0
300,267945.0,280091.0,283771.0,249458.0
301,326618.0,319255.0,305559.0,342093.0
302,348295.0,363411.0,366924.0,325015.0
303,306790.0,302958.0,310644.0,323319.0
304,270420.0,269822.0,271275.0,249215.0
305,361343.0,375534.0,365135.0,355487.0
306,297201.0,303029.0,312542.0,298166.0
307,293442.0,279862.0,262582.0,277632.0
308,340995.0,353861.0,357902.0,346355.0
309,274867.0,287643.0,308985.0,284395.0
310,263322.0,257219.0,234860.0,245509.0
311,296754.0,309783.0,316180.0,298390.0
312,336768.0,328302.0,318936.0,328875.0
313,255425.0,271715.0,281136.0,262646.0
314,368460.0,353828.0,345937.0,351457.0
315,224453.0,238065.0,249253.0,229807.0
316,359989.0,350653.0,334836.0,346519.0
317,275460.0,289090.0,301307.0,281298.0
318,349971.0,351193.0,340489.0,340967.0
319,318163.0,318861.0,328258.0,320330.0
320,352110.0,359167.0,360028.0,351475.0
321,249675.0,251034.0,249711.0,245103.0
322,328138.0,344028.0,349156.0,331229.0
323,293488.0,283885.0,272310.0,282773.0
324,353825.0,347149.0,338567.0,344725.0
325,303335.0,320516.0,334407.0,308596.0
326,345439.0,344436.0,336732.0,338955.0
327,387645.0,394076.0,390911.0,382333.0
328,245378.0,255495.0,262760.0,249007.0
329,284013.0,274566.0,273118.0,274802.0
330,363755.0,370548.0,361925.0,357857.0
331,393640.0,388693.0,385193.0,387529.0
332,273017.0,288282.0,298370.0,278222.0
333,334867.0,331280.0,328520.0,328727.0
334,245547.0,261580.0,276872.0,251225.0
335,331996.0,323324.0,312171.0,325291.0
336,352521.0,366646.0,368172.0,352446.0
337,320169.0,323000.0,322938.0,318291.0
338,253084.0,253694.0,254163.0,248256.0
339,334482.0,328263.0,315871.0,325479.0
340,283821.0,290794.0,284962.0,279866.0
341,332450.0,337060.0,350987.0,335767.0
342,345237.0,346286.0,332847.0,334673.0
343,338610.0,343422.0,348417.0,338091.0
344,192166.0,194031.0,202974.0,191875.0
345,283014.0,282244.0,274659.0,275568.0
346,333919.0,350539.0,356486.0,337903.0
347,340587.0,331226.0,319952.0,328007.0
348,314918.0,316082.0,329301.0,317174.0
349,310145.0,321447.0,314054.0,305580.0
350,333167.0,346106.0,350597.0,336218.0
351,284772.0,291433.0,292136.0,283179.0
352,337377.0,325508.0,322669.0,329287.0
353,302030.0,315975.0,311502.0,303395.0
354,315891.0,319772.0,328577.0,314010.0
355,306714.0,308261.0,297252.0,300166.0
356,313434.0,311424.0,300164.0,305587.0
357,247396.0,252885.0,265697.0,250720.0
358,368063.0,371693.0,364195.0,360010.0
359,310530.0,310260.0,304171.0,302216.0
360,337333.0,346476.0,357124.0,342687.0
361,272063.0,275102.0,277753.0,271250.0
362,326491.0,324622.0,315597.0,318858.0
363,266538.0,266268.0,273367.0,264997.0
364,415842.0,424193.0,423486.0,409636.0
