setattrs_latency_avg,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
10,5.4e-05,5.4e-05,5.5e-05,5.3e-05,5.4e-05,5.6e-05,5.7e-05,5.9e-05,4.7e-05,4.9e-05,5.4e-05,5.3e-05,5.7e-05,5.5e-05,4.9e-05,4.9e-05,5.5e-05,5.8e-05,5.4e-05,5e-05,5.5e-05,5.2e-05,5.5e-05,5.6e-05,6.1e-05,5.8e-05,5.5e-05,5.6e-05,6.1e-05,5.7e-05,6.2e-05,5.8e-05
11,6e-05,6.2e-05,6.5e-05,5.8e-05,5.9e-05,6.2e-05,6.4e-05,6.3e-05,5.6e-05,6.2e-05,5.3e-05,5.8e-05,6e-05,6e-05,5.5e-05,5.7e-05,5.4e-05,5.5e-05,5.9e-05,6e-05,5.3e-05,4.9e-05,5.6e-05,5.2e-05,5.5e-05,6.5e-05,6e-05,6.1e-05,6.6e-05,6.3e-05,5.9e-05,5.7e-05
12,5.6e-05,5.3e-05,4.9e-05,5.4e-05,5.3e-05,5.2e-05,5.4e-05,5.2e-05,5.4e-05,5.5e-05,5.4e-05,4.9e-05,5.1e-05,5.4e-05,5.6e-05,5.6e-05,5.5e-05,5e-05,5.4e-05,5.6e-05,4.7e-05,5e-05,5.1e-05,5.2e-05,6.3e-05,4.9e-05,5e-05,4.5e-05,4.9e-05,5.2e-05,4.6e-05,4.5e-05
13,5.4e-05,4.9e-05,4.4e-05,5.1e-05,4.5e-05,4.9e-05,4.8e-05,5e-05,5.2e-05,5.3e-05,5.2e-05,5.1e-05,5.2e-05,5.2e-05,5.1e-05,5.4e-05,5.2e-05,5.2e-05,5.1e-05,5.3e-05,5.1e-05,5.5e-05,5.5e-05,5.3e-05,4.7e-05,4.7e-05,4.5e-05,5e-05,4.6e-05,4.7e-05,5e-05,4.7e-05
14,5.7e-05,5e-05,5.4e-05,5.4e-05,6.8e-05,6.7e-05,6e-05,5.7e-05,6.4e-05,5.9e-05,6.3e-05,5.8e-05,6.2e-05,6e-05,6.6e-05,6.6e-05,6.7e-05,6.6e-05,6.2e-05,5.8e-05,6.5e-05,5.9e-05,6e-05,5.9e-05,6.1e-05,6.4e-05,6.2e-05,6.1e-05,6.4e-05,5.9e-05,6e-05,6.2e-05
15,5.8e-05,5.7e-05,5.8e-05,5.4e-05,5.1e-05,5e-05,5.6e-05,5.6e-05,6.2e-05,5.8e-05,6.2e-05,5.2e-05,5.1e-05,5e-05,5.3e-05,4.9e-05,5.6e-05,5.6e-05,5.7e-05,5.7e-05,6e-05,5.4e-05,5.8e-05,5.7e-05,5.6e-05,6.1e-05,6.2e-05,5.5e-05,5.7e-05,5.6e-05,5.4e-05,5.8e-05
16,6.7e-05,6.6e-05,6e-05,6.8e-05,6.4e-05,6.8e-05,6.4e-05,6.2e-05,5.7e-05,5.9e-05,6e-05,6e-05,7.3e-05,6.2e-05,5.7e-05,6e-05,6.6e-05,6.2e-05,6.1e-05,5.7e-05,6e-05,6.6e-05,5.5e-05,5.9e-05,6.8e-05,6.4e-05,6.7e-05,6.3e-05,6.5e-05,6.2e-05,6.5e-05,6.2e-05
17,5.8e-05,5.6e-05,5.5e-05,5.8e-05,5.6e-05,5.9e-05,5.7e-05,5.8e-05,6.3e-05,5.9e-05,6.1e-05,5.6e-05,6.7e-05,6e-05,6.5e-05,6.3e-05,5.7e-05,5.2e-05,5.6e-05,5.8e-05,7.2e-05,8.6e-05,7.1e-05,7.4e-05,5.3e-05,5.8e-05,5.4e-05,5.2e-05,5.2e-05,5.8e-05,5.8e-05,6.2e-05
18,6.4e-05,5.5e-05,5.3e-05,5e-05,5.5e-05,5.4e-05,6.2e-05,5.4e-05,5.9e-05,5.5e-05,5.4e-05,5e-05,5e-05,5e-05,5.4e-05,5.2e-05,5.1e-05,5.5e-05,5e-05,5.1e-05,4.9e-05,4.9e-05,5e-05,5.2e-05,4.8e-05,5e-05,5.6e-05,4.7e-05,4.3e-05,4.7e-05,4.8e-05,4.9e-05
19,6e-05,5.8e-05,5.5e-05,5.6e-05,5.8e-05,5.5e-05,6.1e-05,5.6e-05,6e-05,6e-05,5.4e-05,5.5e-05,6.2e-05,5.8e-05,5.8e-05,6e-05,6.5e-05,6.4e-05,6.2e-05,6.2e-05,5.9e-05,5.8e-05,6.3e-05,6e-05,5.3e-05,6.3e-05,5.5e-05,5.4e-05,6.4e-05,6.5e-05,6.2e-05,6.4e-05
20,5.1e-05,5e-05,4.9e-05,5.2e-05,5.2e-05,4.9e-05,5.6e-05,5.1e-05,6.2e-05,6.2e-05,5.5e-05,5.8e-05,6.1e-05,5.9e-05,4.8e-05,5.2e-05,6e-05,6.5e-05,6.3e-05,5.9e-05,6.2e-05,6.2e-05,6e-05,5.6e-05,5.2e-05,5.5e-05,6e-05,5.4e-05,6.2e-05,5.5e-05,5.5e-05,5.9e-05
21,7.1e-05,7e-05,6.2e-05,6.2e-05,6.6e-05,6e-05,6.2e-05,5.5e-05,7.7e-05,8.8e-05,5.4e-05,7.3e-05,6.5e-05,5.4e-05,5.4e-05,6.5e-05,5.5e-05,7e-05,6.9e-05,5.9e-05,6.3e-05,5.7e-05,5.4e-05,5.5e-05,6.2e-05,6.4e-05,7e-05,6.8e-05,6.6e-05,5.8e-05,6.1e-05,6.1e-05
22,7.1e-05,6.3e-05,6.3e-05,6.8e-05,7.4e-05,6.5e-05,6.7e-05,6.6e-05,6.7e-05,6.5e-05,6.6e-05,6.7e-05,7.4e-05,8e-05,6.6e-05,7.2e-05,7e-05,7.1e-05,7.7e-05,7.2e-05,6.3e-05,6.1e-05,6.6e-05,6.5e-05,6.1e-05,6.5e-05,7.3e-05,7.5e-05,6.8e-05,7e-05,6.6e-05,6.7e-05
23,6.1e-05,6.1e-05,5.7e-05,6.1e-05,6.4e-05,6.3e-05,6.4e-05,5.8e-05,6.2e-05,6e-05,5.9e-05,6.7e-05,6.3e-05,6.5e-05,6.3e-05,6.3e-05,6e-05,5.4e-05,5.4e-05,5.5e-05,6.3e-05,6.3e-05,6.1e-05,7.1e-05,6.6e-05,5.8e-05,5.9e-05,5.6e-05,5.8e-05,6.5e-05,5.6e-05,5.7e-05
24,5.2e-05,5.4e-05,4.1e-05,4.5e-05,5.1e-05,4.6e-05,5.6e-05,4.8e-05,5e-05,4.9e-05,5.3e-05,4.9e-05,4.7e-05,5.2e-05,4.8e-05,5.2e-05,5.4e-05,5.6e-05,5.5e-05,5.5e-05,5.1e-05,5.8e-05,5.3e-05,5.1e-05,4.6e-05,4.7e-05,5.2e-05,5.1e-05,4.9e-05,4.9e-05,5.3e-05,4.8e-05
25,6.6e-05,6.1e-05,6e-05,6e-05,6.7e-05,6.3e-05,6.3e-05,6e-05,6.1e-05,6.6e-05,6.1e-05,6.2e-05,6.4e-05,6.2e-05,6.3e-05,6.4e-05,6.2e-05,6.3e-05,6.6e-05,6e-05,6.1e-05,6.3e-05,6e-05,6.2e-05,6.3e-05,7.1e-05,6.5e-05,6.7e-05,6e-05,6.5e-05,6.7e-05,6.2e-05
26,5.1e-05,5e-05,5.2e-05,4.9e-05,4.5e-05,5e-05,5.6e-05,5.8e-05,5.9e-05,5.9e-05,5.1e-05,6.1e-05,6e-05,5.4e-05,4.8e-05,4.9e-05,5.2e-05,6.2e-05,5.6e-05,5.3e-05,5.7e-05,5.5e-05,5.7e-05,5.2e-05,6e-05,5.3e-05,5.9e-05,5.7e-05,5.1e-05,5.1e-05,5.2e-05,5.9e-05
27,7e-05,6.6e-05,6.9e-05,6.9e-05,6.8e-05,6.1e-05,6.6e-05,6.5e-05,6.5e-05,6.3e-05,6.9e-05,5.9e-05,6.8e-05,6.8e-05,6.8e-05,6.7e-05,7.2e-05,6.9e-05,7.2e-05,6.9e-05,6.7e-05,7.6e-05,7e-05,6.1e-05,6.4e-05,6.8e-05,6.7e-05,6.5e-05,5.9e-05,6.9e-05,6.8e-05,7e-05
28,6.4e-05,6.2e-05,6.7e-05,6.3e-05,6.8e-05,6.3e-05,5.9e-05,6.1e-05,5.7e-05,5.5e-05,6.3e-05,6.1e-05,5.9e-05,6.5e-05,6.1e-05,6.3e-05,5.8e-05,5.4e-05,6.4e-05,6.1e-05,5.7e-05,5.4e-05,6e-05,5.8e-05,6.7e-05,6.3e-05,6.4e-05,6.2e-05,5.7e-05,6e-05,5.9e-05,6.4e-05
29,6.2e-05,6.4e-05,6e-05,6.5e-05,6.3e-05,6.9e-05,6.3e-05,7e-05,7.2e-05,6.2e-05,6.7e-05,6.8e-05,6.3e-05,6.5e-05,6.9e-05,7e-05,6.2e-05,6.4e-05,6.2e-05,6.1e-05,6.4e-05,7.7e-05,6.3e-05,7e-05,5.9e-05,6.8e-05,6.1e-05,6.4e-05,5.7e-05,5.9e-05,6.8e-05,6.8e-05
30,6.4e-05,5.4e-05,5.1e-05,7.2e-05,5.6e-05,5.9e-05,6.2e-05,5.5e-05,5.6e-05,5.3e-05,6.7e-05,5.5e-05,5.9e-05,5.7e-05,5.6e-05,5.6e-05,5.5e-05,5.6e-05,5.4e-05,5.7e-05,5.1e-05,5.6e-05,5.6e-05,5.9e-05,5e-05,5.2e-05,6.1e-05,5.6e-05,5.4e-05,5.5e-05,4.9e-05,5.9e-05
31,5.5e-05,5.6e-05,5.6e-05,5.6e-05,6e-05,5.9e-05,6.1e-05,6.4e-05,6.5e-05,6.1e-05,6.3e-05,6e-05,5.3e-05,5.3e-05,6.2e-05,6e-05,6.1e-05,6.1e-05,6e-05,5.8e-05,6.2e-05,5.8e-05,6e-05,6.5e-05,5.9e-05,5.5e-05,6.1e-05,5.8e-05,6e-05,5.5e-05,5.9e-05,5.7e-05
32,5.8e-05,5.9e-05,6.2e-05,6.2e-05,6.1e-05,6.4e-05,6.5e-05,5.8e-05,6.4e-05,6.6e-05,6.1e-05,6.5e-05,6.6e-05,6.1e-05,5.7e-05,5.9e-05,6.9e-05,6.7e-05,6.7e-05,6.7e-05,6.5e-05,5.8e-05,7e-05,5.8e-05,7.5e-05,6.1e-05,6.6e-05,6.5e-05,5.5e-05,5.8e-05,6.3e-05,6.2e-05
33,6.8e-05,6.4e-05,6.5e-05,6.2e-05,5.9e-05,6.2e-05,6.2e-05,6.1e-05,6.1e-05,6.1e-05,6.7e-05,6.8e-05,6.6e-05,6.7e-05,6.2e-05,6.2e-05,5.8e-05,6.3e-05,6.4e-05,6.1e-05,6.1e-05,6.6e-05,6.4e-05,6.9e-05,5.8e-05,6.1e-05,6.3e-05,6.8e-05,6e-05,6.5e-05,6.6e-05,6.2e-05
34,6e-05,5.9e-05,6.1e-05,6.3e-05,5.7e-05,5.6e-05,6.2e-05,5.9e-05,5.8e-05,5.7e-05,6.2e-05,5.5e-05,5.8e-05,6.4e-05,6.3e-05,6.3e-05,5.9e-05,5.2e-05,5.4e-05,6.1e-05,5.9e-05,5.8e-05,5.5e-05,5.6e-05,6.3e-05,5.7e-05,6.1e-05,5.7e-05,6.4e-05,6.6e-05,5.9e-05,5.5e-05
35,6.4e-05,5.9e-05,6e-05,5.5e-05,6e-05,6.3e-05,5.8e-05,6.3e-05,6.9e-05,6.3e-05,6.2e-05,6.2e-05,5.6e-05,5.9e-05,6.1e-05,6.4e-05,5.7e-05,6e-05,5.5e-05,5.2e-05,6.4e-05,6.2e-05,6e-05,5.9e-05,6.4e-05,5.9e-05,6.4e-05,6.2e-05,5.7e-05,5.9e-05,6e-05,5.8e-05
36,6.6e-05,5.9e-05,5.4e-05,5.7e-05,6.5e-05,6e-05,6.9e-05,6.9e-05,6e-05,6.1e-05,6.4e-05,6e-05,6e-05,5.8e-05,6.1e-05,6.3e-05,6e-05,6.2e-05,6.1e-05,5.7e-05,5.6e-05,5.4e-05,6.2e-05,6.3e-05,5.6e-05,5.5e-05,5.7e-05,5.6e-05,5.7e-05,5.7e-05,5.4e-05,4.9e-05
37,5.2e-05,5.5e-05,5.8e-05,6.2e-05,5.9e-05,6.6e-05,6e-05,5.8e-05,5.9e-05,5.8e-05,4.9e-05,5.6e-05,6.5e-05,4.8e-05,5.7e-05,6.3e-05,5.9e-05,6.4e-05,5.9e-05,5.9e-05,5.8e-05,5.4e-05,5.4e-05,5.1e-05,6.1e-05,5.3e-05,5.7e-05,5.2e-05,6.6e-05,6.4e-05,5.1e-05,5e-05
38,5.5e-05,5.8e-05,5.4e-05,5.2e-05,5.3e-05,5.3e-05,5.4e-05,5.4e-05,6.6e-05,6.1e-05,5.8e-05,5.8e-05,6e-05,6e-05,5.2e-05,6.5e-05,6.3e-05,5.8e-05,6.2e-05,6.2e-05,6.3e-05,6e-05,6.2e-05,6.5e-05,5.7e-05,5.9e-05,6.2e-05,6.1e-05,5.6e-05,6e-05,5.8e-05,5.7e-05
39,7.7e-05,8.1e-05,7.7e-05,8.2e-05,7.3e-05,7.3e-05,7.4e-05,8.1e-05,7.5e-05,7e-05,7.9e-05,7.5e-05,8.3e-05,9e-05,6.9e-05,7.7e-05,7.6e-05,8.3e-05,7.5e-05,8.6e-05,8.4e-05,7.9e-05,9.3e-05,7.8e-05,6.7e-05,8e-05,8e-05,8.5e-05,7.1e-05,7.6e-05,8.9e-05,7.7e-05
40,6.4e-05,6.1e-05,6.2e-05,6.1e-05,6.3e-05,6.3e-05,6.1e-05,6.3e-05,5.9e-05,6.3e-05,5.8e-05,5.8e-05,7.8e-05,7.8e-05,5.9e-05,6.3e-05,7.4e-05,6.9e-05,6.4e-05,6.8e-05,5.8e-05,6e-05,5.8e-05,6.1e-05,6.2e-05,6.2e-05,6.3e-05,5.9e-05,6.7e-05,6.6e-05,5.7e-05,6.4e-05
41,6.5e-05,5.8e-05,5.5e-05,7.8e-05,6.5e-05,6e-05,5.7e-05,6e-05,5.8e-05,5.9e-05,6.3e-05,6.6e-05,5.8e-05,6e-05,6.4e-05,6.4e-05,5.7e-05,5.7e-05,5.8e-05,6e-05,6.3e-05,6.7e-05,7.2e-05,6.6e-05,6.6e-05,6.5e-05,6.5e-05,5.9e-05,5.7e-05,5.7e-05,5.8e-05,6e-05
42,5.8e-05,5.5e-05,5.4e-05,5.5e-05,5.4e-05,5.6e-05,5.8e-05,5.3e-05,5.2e-05,5.2e-05,5.4e-05,5.4e-05,5.4e-05,5.3e-05,5.7e-05,5.7e-05,5.5e-05,5.8e-05,5.5e-05,5.7e-05,5.6e-05,5.5e-05,5.4e-05,5.7e-05,4.7e-05,5.8e-05,5.1e-05,5.7e-05,5.4e-05,4.9e-05,5e-05,4.9e-05
43,6.3e-05,6.7e-05,6.6e-05,5.9e-05,7e-05,6.2e-05,7e-05,6.5e-05,6.7e-05,7.4e-05,6e-05,5.9e-05,6.4e-05,6.2e-05,6.5e-05,6.4e-05,6.5e-05,6.5e-05,6.3e-05,6.5e-05,6.6e-05,6.3e-05,5.9e-05,6.4e-05,6.6e-05,6.6e-05,6.9e-05,6.9e-05,7.6e-05,6.8e-05,6.3e-05,6e-05
44,5.9e-05,6.2e-05,5.6e-05,6.1e-05,6.3e-05,6e-05,7e-05,6.1e-05,6.4e-05,6.2e-05,6.2e-05,6e-05,6.7e-05,6.9e-05,5.9e-05,6.4e-05,6.1e-05,6e-05,5.6e-05,6.4e-05,6.5e-05,6.2e-05,6.1e-05,6.5e-05,6e-05,6e-05,6.3e-05,6.6e-05,6.2e-05,6.6e-05,6.2e-05,6.4e-05
45,6.2e-05,6.1e-05,6e-05,6.1e-05,6e-05,5.8e-05,6.1e-05,5.9e-05,5.9e-05,6.1e-05,5.9e-05,5.9e-05,6.3e-05,6e-05,6e-05,5.9e-05,6.5e-05,6.4e-05,6.3e-05,6e-05,5.8e-05,5.7e-05,5.9e-05,6.1e-05,6e-05,6.1e-05,6.2e-05,5.7e-05,6.1e-05,6.2e-05,6.1e-05,5.6e-05
46,6.5e-05,6.6e-05,5.9e-05,6.2e-05,6e-05,6.8e-05,6.2e-05,6.2e-05,5.9e-05,5.6e-05,6e-05,6.1e-05,7.7e-05,6.2e-05,6.2e-05,6.2e-05,6.2e-05,5.5e-05,6.6e-05,6.4e-05,6.3e-05,6.2e-05,6e-05,6.1e-05,7.1e-05,5.9e-05,6.2e-05,5.9e-05,5.9e-05,6.5e-05,6e-05,6.3e-05
47,6.1e-05,5.5e-05,5.3e-05,5.2e-05,5.8e-05,5.4e-05,5.6e-05,5.1e-05,5.3e-05,5.5e-05,6.1e-05,6e-05,5.1e-05,5.2e-05,5.8e-05,5.8e-05,5e-05,5.5e-05,5e-05,5.2e-05,5.4e-05,5.1e-05,4.7e-05,4.7e-05,5e-05,6.6e-05,5.9e-05,5.5e-05,5e-05,4.9e-05,5.2e-05,5.4e-05
48,6.2e-05,6.6e-05,6.2e-05,6.4e-05,6.1e-05,6.3e-05,5.9e-05,6.6e-05,5.8e-05,5.7e-05,4.7e-05,4.9e-05,5.4e-05,4.5e-05,5.6e-05,5.5e-05,5.6e-05,6.2e-05,6e-05,5e-05,5.4e-05,5.5e-05,5.3e-05,5.9e-05,4.9e-05,4.5e-05,4.6e-05,4.7e-05,5.5e-05,5.2e-05,5e-05,4.8e-05
49,6e-05,8.8e-05,6.8e-05,7.3e-05,7.3e-05,6.6e-05,6.6e-05,7.3e-05,6.8e-05,7.2e-05,6.9e-05,6e-05,6.7e-05,6.6e-05,7.7e-05,6.3e-05,7e-05,7.2e-05,7.1e-05,6.6e-05,7.3e-05,6.3e-05,7.6e-05,6.7e-05,6.8e-05,7.5e-05,7.2e-05,6.9e-05,7.7e-05,7.2e-05,5.9e-05,5.4e-05
50,6.3e-05,6.7e-05,5.9e-05,6.7e-05,7.4e-05,7.1e-05,7.1e-05,6.8e-05,6.2e-05,6.4e-05,6.4e-05,6.3e-05,5.8e-05,6.5e-05,6.7e-05,6.8e-05,7.1e-05,6.6e-05,6.3e-05,7e-05,6.7e-05,6.4e-05,6.1e-05,6.7e-05,6.5e-05,6.6e-05,6.6e-05,6.6e-05,6.7e-05,6.9e-05,6.6e-05,7e-05
51,6.6e-05,6.4e-05,7.5e-05,7.1e-05,7e-05,7.2e-05,6.7e-05,6.8e-05,6.7e-05,6.7e-05,7e-05,6.7e-05,6.6e-05,6.8e-05,7e-05,7.4e-05,6.9e-05,7e-05,6.4e-05,6.5e-05,6.5e-05,6.3e-05,6.5e-05,6.8e-05,6.5e-05,6.7e-05,7e-05,7.1e-05,7.9e-05,7.1e-05,6.8e-05,6.9e-05
52,5.9e-05,6.2e-05,5.6e-05,5.9e-05,5.8e-05,6.2e-05,6.3e-05,6.4e-05,5.8e-05,5.7e-05,5.9e-05,5.8e-05,6.1e-05,5.8e-05,5.6e-05,5.7e-05,5.2e-05,5.6e-05,6.4e-05,5.7e-05,5.2e-05,5.8e-05,5.8e-05,5.7e-05,5.8e-05,6.2e-05,5.9e-05,5.4e-05,6.4e-05,6.7e-05,6.5e-05,5.7e-05
53,6.5e-05,5.8e-05,5.5e-05,5.2e-05,5.4e-05,5.7e-05,5.4e-05,5.3e-05,5.4e-05,5.6e-05,5.4e-05,5.8e-05,5.3e-05,5.5e-05,5.5e-05,5.7e-05,5.1e-05,5.7e-05,5.3e-05,5.2e-05,6e-05,5.7e-05,5.2e-05,5.1e-05,5.3e-05,5.4e-05,5.3e-05,5.5e-05,5.4e-05,5.5e-05,5.5e-05,6e-05
54,5.9e-05,6.3e-05,6.2e-05,6e-05,6.2e-05,5.8e-05,6.1e-05,7e-05,6.4e-05,6.5e-05,5.6e-05,5.9e-05,6.5e-05,6e-05,6.4e-05,6.6e-05,6.1e-05,6.1e-05,6.6e-05,6.1e-05,6.6e-05,6.1e-05,6.1e-05,6.4e-05,7e-05,6.1e-05,6.1e-05,5.7e-05,5.8e-05,6.2e-05,7e-05,6.6e-05
55,6.2e-05,5.6e-05,6.9e-05,7.1e-05,6.6e-05,6.2e-05,6.5e-05,6.4e-05,6.6e-05,6.1e-05,5.8e-05,5.9e-05,5.9e-05,6e-05,6.7e-05,6.6e-05,6.2e-05,7e-05,6.3e-05,6.6e-05,6.1e-05,6.3e-05,6.7e-05,6.6e-05,6.4e-05,6.1e-05,6e-05,6e-05,6.3e-05,6.6e-05,5.7e-05,5.7e-05
56,5.7e-05,5.6e-05,5.7e-05,5.9e-05,5.5e-05,5.2e-05,5.5e-05,5.5e-05,5.7e-05,5.5e-05,5.7e-05,5.8e-05,5.7e-05,5.5e-05,5.4e-05,5.1e-05,5.8e-05,5.7e-05,5.4e-05,5.6e-05,5.9e-05,5.8e-05,5.8e-05,5.8e-05,6.2e-05,5.6e-05,6e-05,5.8e-05,5.7e-05,5.8e-05,5.7e-05,5.8e-05
