numpg_primary,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
10,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
11,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
12,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
13,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
14,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
15,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
16,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
17,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
18,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
19,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
20,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
21,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
22,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
23,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
24,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
25,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
26,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
27,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
28,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
29,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
30,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
31,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
32,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
33,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
34,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
35,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
36,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
37,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
38,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
39,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
40,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
41,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
42,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
43,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
44,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
45,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
46,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
47,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
48,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
49,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
50,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
51,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
52,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
53,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
54,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
55,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
56,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
57,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
58,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
59,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
60,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
61,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
62,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
63,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
64,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
65,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
66,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
67,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
68,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
69,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
70,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
71,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
72,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
73,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
74,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
75,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
76,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
77,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
78,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
79,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
80,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
81,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
82,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
83,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
84,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
85,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
86,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
87,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
88,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
89,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
90,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
91,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
92,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
93,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
94,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
95,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
96,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
97,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
98,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
99,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
100,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
101,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
102,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
103,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
104,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
105,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
106,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
107,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
108,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
109,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
110,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
111,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
112,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
113,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
114,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
115,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
116,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
117,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
118,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
119,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
120,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
121,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
122,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
123,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
124,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
125,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
126,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
127,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
128,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
129,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
130,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
131,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
132,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
133,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
134,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
135,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
136,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
137,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
138,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
139,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
140,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
141,988,1074,1046,962,991,1081,1016,982,1005,1068,1006,1036,988,1042,1006,1039,1032,1014,1031,1012,985,1028,1025,985,1044,1025,1058,1065,999,985,1136,1014
