avg_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,0.000335,0.000127,0.000103,0.000127,0.000127,0.000118,0.000219,0.000274,5e-05,6e-05,5.4e-05,0.000254,6.2e-05,0.000148,7.9e-05,8.1e-05,0.000117,0.000121,9.2e-05,0.000111,7.7e-05,9.3e-05,0.000172,0.000101,0.00013,0.000109,8.7e-05,8.3e-05,0.000129,0.000234,0.000595,0.000131
1,9.7e-05,0.00015,0.000112,0.000133,0.000211,0.000205,0.00018,7.9e-05,5.6e-05,4.8e-05,6.3e-05,5.8e-05,5.9e-05,8.2e-05,5.5e-05,6.8e-05,0.000166,0.000108,0.000114,7.5e-05,7.9e-05,9.5e-05,5.7e-05,9.6e-05,0.000134,0.000131,9.1e-05,0.000159,0.000131,0.00011,0.000251,0.00012
2,7.8e-05,6.7e-05,7.8e-05,9.5e-05,6.8e-05,7.1e-05,6.5e-05,8.6e-05,0.000121,9.2e-05,8e-05,5.7e-05,7.2e-05,0.000105,6.1e-05,7.4e-05,4.4e-05,6.1e-05,6.9e-05,5.9e-05,5.3e-05,6.6e-05,6.3e-05,5.3e-05,0.000135,0.000124,0.000195,0.000177,0.000152,0.0001,0.000183,0.000343
3,4.9e-05,0.000167,0.0001,8.4e-05,7.4e-05,0.000116,4.6e-05,4.4e-05,5e-05,7.7e-05,8.6e-05,6.4e-05,7.1e-05,5.5e-05,7.4e-05,5.9e-05,6.1e-05,5.8e-05,5.3e-05,7.6e-05,6.6e-05,6.4e-05,4.8e-05,7.3e-05,4.4e-05,3.5e-05,5.6e-05,5e-05,4.6e-05,8.8e-05,3.3e-05,4.7e-05
4,3.7e-05,5.1e-05,3.5e-05,2.6e-05,4e-05,6.1e-05,5.9e-05,9e-05,0.000135,6.4e-05,4.1e-05,6e-05,4.4e-05,5.2e-05,0.000114,0.000122,3.5e-05,4.2e-05,3.8e-05,5.2e-05,4.8e-05,3.5e-05,3.9e-05,3.6e-05,5.5e-05,3.3e-05,3.4e-05,3.5e-05,0.0001,4.9e-05,3.5e-05,3.7e-05
5,3.2e-05,3.3e-05,4.8e-05,4.9e-05,3.9e-05,3.4e-05,3.7e-05,4.5e-05,8.5e-05,3.4e-05,0.000135,4.3e-05,0.000106,8.7e-05,4.8e-05,4.2e-05,4.4e-05,5.3e-05,4.3e-05,5e-05,3.4e-05,2.9e-05,4e-05,3.4e-05,3.7e-05,3.4e-05,3.1e-05,3.8e-05,3.1e-05,4.2e-05,3.3e-05,3.5e-05
6,3.7e-05,4.1e-05,3.6e-05,3.5e-05,4.5e-05,0.000116,3.8e-05,4.1e-05,3.4e-05,4.1e-05,4.2e-05,3.6e-05,7.4e-05,6.4e-05,3.6e-05,3.7e-05,3.5e-05,4e-05,7.8e-05,5.4e-05,8.9e-05,7.3e-05,9.1e-05,0.000124,4.9e-05,5.6e-05,3.9e-05,4.4e-05,3.7e-05,3.7e-05,3.5e-05,4.3e-05
7,4.7e-05,4.6e-05,7.2e-05,4.2e-05,3.9e-05,4e-05,4.8e-05,4.5e-05,3.5e-05,3.9e-05,4.3e-05,4.2e-05,5.5e-05,4.5e-05,0.000104,4.1e-05,3.9e-05,4.6e-05,3.1e-05,3.6e-05,3.8e-05,4.2e-05,3.4e-05,4.3e-05,0.000174,0.000106,7.4e-05,6.5e-05,9.5e-05,5.8e-05,6.8e-05,0.000158
8,8.2e-05,0.000158,0.0001,7e-05,4.5e-05,4.9e-05,4.6e-05,4e-05,4.9e-05,5.1e-05,4.4e-05,5.9e-05,4.6e-05,3.8e-05,4e-05,5.2e-05,4.9e-05,4.2e-05,4.6e-05,4e-05,9.2e-05,4.1e-05,3.4e-05,5.1e-05,3.9e-05,3.9e-05,4.5e-05,3.7e-05,3.7e-05,4.2e-05,3.9e-05,6.9e-05
9,5.6e-05,4.2e-05,3.1e-05,3.8e-05,5.8e-05,9.7e-05,5.8e-05,6.9e-05,7.1e-05,8e-05,5.4e-05,5.3e-05,3.7e-05,3.5e-05,6.3e-05,8.4e-05,4.2e-05,4e-05,4.6e-05,5.8e-05,4.1e-05,4.9e-05,4.2e-05,4.1e-05,4.1e-05,4e-05,4.4e-05,4.3e-05,4.7e-05,3.6e-05,3.9e-05,4e-05
10,3.7e-05,3.8e-05,4e-05,4.2e-05,3.7e-05,4.2e-05,3.6e-05,3.8e-05,5.3e-05,0.000156,7e-05,0.000158,8e-05,6.8e-05,4e-05,3.7e-05,7.6e-05,4.8e-05,3.8e-05,3.9e-05,3.5e-05,6e-05,3.6e-05,3.9e-05,4e-05,5.4e-05,3.8e-05,4.2e-05,3.8e-05,3.4e-05,4.1e-05,3.8e-05
11,5.2e-05,4.7e-05,4.9e-05,5.1e-05,4.2e-05,5.7e-05,5.8e-05,4e-05,0.000153,4.9e-05,5.1e-05,0.000254,0.000127,6e-05,4.2e-05,5.6e-05,0.000212,7.5e-05,0.000111,7.7e-05,5.4e-05,6.9e-05,5.5e-05,6.5e-05,4.3e-05,4.8e-05,5e-05,7.2e-05,4.2e-05,5e-05,6.5e-05,4.3e-05
12,3.6e-05,3.9e-05,3.8e-05,4.6e-05,4.9e-05,4.6e-05,6.1e-05,5.4e-05,4e-05,4.9e-05,4.3e-05,4.5e-05,4.4e-05,3.4e-05,3.9e-05,4.3e-05,5e-05,5.6e-05,4.4e-05,4.2e-05,4.1e-05,7e-05,6.3e-05,4.6e-05,0.000308,6.2e-05,5.8e-05,8.3e-05,4.6e-05,5.9e-05,4.7e-05,0.000182
13,6.7e-05,7.9e-05,8.9e-05,9.8e-05,3.7e-05,4.2e-05,4e-05,4e-05,4.7e-05,4.3e-05,4.6e-05,3.9e-05,6.5e-05,4.9e-05,4e-05,4.1e-05,5.1e-05,5.6e-05,4.8e-05,3.7e-05,4.8e-05,4.1e-05,4.1e-05,5.1e-05,4.3e-05,4.3e-05,5.2e-05,4.8e-05,7.2e-05,3.9e-05,9.3e-05,9.5e-05
14,7.5e-05,4.2e-05,6.7e-05,5.5e-05,5.3e-05,6.9e-05,5.8e-05,5.7e-05,3.4e-05,3.8e-05,3.9e-05,3.6e-05,5.5e-05,4e-05,0.000114,0.000103,3.9e-05,5.1e-05,4.2e-05,4e-05,4.2e-05,4.7e-05,4.2e-05,3.3e-05,4e-05,4.2e-05,4.5e-05,4.1e-05,3.6e-05,3.7e-05,3.4e-05,4.4e-05
15,5.5e-05,4.6e-05,4.6e-05,4.9e-05,5.8e-05,5.5e-05,0.000117,0.000103,5.6e-05,6.2e-05,9.3e-05,0.000141,5.5e-05,5.5e-05,9.2e-05,6.8e-05,4.5e-05,4.5e-05,5e-05,4.5e-05,6.3e-05,4.7e-05,4.5e-05,6e-05,6.1e-05,5.8e-05,5.7e-05,5.2e-05,4.9e-05,4.8e-05,4.1e-05,4.9e-05
16,4e-05,5.7e-05,4e-05,5.2e-05,3.8e-05,5.5e-05,6.3e-05,6.4e-05,4e-05,5.9e-05,6.2e-05,6.5e-05,9e-05,0.000104,5.1e-05,3.9e-05,0.000142,8.9e-05,8.8e-05,6.1e-05,6.9e-05,5.3e-05,7.6e-05,7.1e-05,3.6e-05,4.8e-05,4.1e-05,4.8e-05,5.2e-05,4.2e-05,3.9e-05,4.2e-05
17,4.6e-05,4.9e-05,4.5e-05,4.1e-05,4.7e-05,5.6e-05,3.7e-05,4e-05,3.9e-05,5.1e-05,5.2e-05,4.5e-05,5.5e-05,5.5e-05,4.9e-05,3.4e-05,7.7e-05,6.1e-05,6.7e-05,7.3e-05,7.4e-05,7.2e-05,6.7e-05,5.6e-05,4.1e-05,4.3e-05,5.1e-05,4.4e-05,0.000199,9.5e-05,4e-05,4.6e-05
18,5.4e-05,5.8e-05,7.2e-05,0.00011,4.6e-05,5.7e-05,5.2e-05,4.7e-05,5.4e-05,4.4e-05,4.6e-05,4.7e-05,0.000102,8.2e-05,4.7e-05,5.2e-05,4.6e-05,5.6e-05,4.5e-05,5e-05,5.9e-05,8.7e-05,5.7e-05,6.8e-05,6.8e-05,6.7e-05,7.9e-05,0.000365,5e-05,5.1e-05,6.1e-05,6.3e-05
