op_w_in_bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
80,655609856,715534336,694681600,641454080,654360576,723783680,676601856,652197888,663826432,715862016,674828288,692576256,660443136,700649472,668020736,692273152,685629440,681197568,691036160,679358464,654692352,675115008,688803840,668200960,706985984,680767488,704372736,709672960,661196800,663601152,760070144,678998016
81,663904256,724504576,703062016,649859072,662519808,733204480,685178880,660090880,671789056,724451328,682467328,701501440,668614656,709144576,675938304,700846080,694067200,689684480,699707392,687972352,662523904,683819008,697339904,676564992,714891264,689184768,713469952,718286848,669560832,671551488,769155072,687661056
82,670060544,731602944,708984832,655654912,668188672,739880960,690708480,665939968,677683200,731070464,688570368,707395584,674447360,716267520,682520576,707182592,699879424,695078912,705626112,693719040,668753920,689840128,703152128,682414080,721121280,695930880,720109568,725090304,675688448,677920768,776491008,693764096
83,677126144,739057664,717037568,662609920,675295232,748298240,698540032,672989184,685256704,739307520,695840768,715087872,682098688,722976768,689217536,715071488,707112960,702754816,713236480,701349888,675704832,696512512,710717440,689643520,729399296,703336448,728334336,733007872,683556864,685056000,784474112,701743104
84,689795072,752799744,730005504,675491840,688099328,761532416,710631424,685223936,697491456,752168960,708083712,727760896,693862400,736710656,701566976,727678976,720076800,715902976,726646784,714293248,687894528,709169152,724557824,700944384,741879808,715509760,741101568,745844736,695853056,696811520,798175232,713850880
85,698609664,763457536,739979264,684638208,697126912,772685824,721641472,694951936,708829184,762798080,719724544,738209792,704061440,748412928,712966144,738787328,731176960,727093248,738635776,724172800,697724928,719548416,734998528,711823360,752713728,726118400,753483776,758132736,705654784,708579328,810332160,724631552
86,707252224,772325376,748781568,691802112,705630208,781778944,729673728,703414272,716095488,772517888,727478272,747765760,712704000,755970048,720805888,746758144,738992128,734765056,746463232,732913664,706166784,727973888,742469632,720343040,760913920,734498816,760881152,766074880,714276864,715689984,819437568,734076928
87,712617984,777424896,754241536,696897536,710717440,787705856,735408128,708706304,721334272,778301440,732876800,753422336,717922304,761819136,725614592,752349184,745132032,740470784,751906816,738316288,711770112,734236672,748408832,726589440,766877696,740192256,766894080,771952640,719421440,721686528,825475072,739205120
88,720805888,786493440,763899904,704221184,718151680,797204480,744132608,716480512,728649728,787021824,740048896,761978880,725049344,770449408,733310976,761257984,752275456,748187648,758988800,745619456,718258176,740741120,756379648,733462528,774901760,747880448,774922240,779710464,727109632,730828800,834056192,748679168
89,727465984,793395200,770240512,711118848,725053440,804446208,750612480,723181568,735719424,794427392,747192320,768647168,732381184,777154560,740409344,768077824,759959552,755253248,767135744,752787456,725725184,748511232,763097088,740757504,782843904,755175424,782589952,787517440,734068736,736137216,842100736,754188288
90,739778560,807501824,783462400,722608128,736919552,817745920,762834944,735870976,747614208,806772736,759005184,781410304,743813120,789815296,753037312,780611584,771895296,767279104,780881920,764456960,737435648,761274368,774975488,752656384,795791360,767315968,795594752,801415168,746713088,748650496,856170496,765747200
91,748871680,817086464,793014272,732512256,745848832,828710912,772771840,744697856,757280768,817086464,768856064,791252992,753868800,799260672,763092992,789757952,781684736,776753152,789807104,774246400,747102208,770441216,784719872,762032128,805507072,777277440,805253120,810274816,755769344,757575680,866557952,775708672
92,756436992,825749504,801021952,740585472,754442240,837050368,781398016,752832512,765472768,825872384,777043968,799858688,761270272,808136704,770748416,798752768,791322624,784666624,798674944,782073856,754585600,778645504,792973312,770498560,814571520,786305024,813957120,819195904,764461056,765603840,876343296,784039936
93,762978304,833101824,808370176,747560960,759877632,843567104,788127744,759017472,771936256,832118784,783470592,806150144,768278528,816058368,777740288,805519360,796954624,790822912,805068800,789274624,761659392,784838656,799608832,776765440,821657600,792150016,820887552,826306560,771723264,772186112,884690944,790474752
94,773083136,843640832,817156096,756006912,770523136,854654976,797372416,768577536,782241792,843460608,793567232,817979392,776450048,823689216,786006016,815456256,805777408,799244288,812961792,798273536,768933888,793219072,807686144,785051648,831070208,802422784,829681664,835465216,780095488,781455360,894464000,800354304
95,782204928,854421504,827490304,764870656,777834496,864325632,807624704,777814016,790962176,851648512,802885632,825556992,786952192,834621440,796069888,824954880,815476736,807690240,822845440,806440960,777408512,802930688,817905664,794169344,841560064,812777472,839188480,845672448,789970944,790499328,905678848,809754624
96,792375296,865734656,839364608,774512640,789614592,879472640,818323456,788893696,801832960,864407552,814575616,836751360,797532160,845684736,808472576,838000640,827490304,818905088,835080192,818458624,789643264,816099328,829968384,805957632,853561344,826101760,851304448,857509888,800747520,804335616,918052864,820563968
97,800698368,874655744,847802368,782905344,797114368,886255616,826896384,797298688,809611264,873320448,822591488,845737984,805302272,854855680,815763456,846045184,836788224,829296640,844709888,828338176,798633984,823181312,839401472,815247360,861458432,831467520,859680768,866541568,809123840,809709568,927821824,829333504
98,809082880,883961856,857649152,791412736,805814272,895754240,836214784,806428672,818610176,883019776,831848448,855379968,814059520,863875072,825352192,855412736,844791808,837750784,852713472,836636672,806731776,832081920,847745024,823599104,871104512,841056256,870309888,876695552,818647040,819159040,938704896,838672384
99,819372032,893526016,866336768,799879168,814219264,904720384,844259328,813977600,827674624,893915136,840310784,863518720,822132736,871915520,833658880,866209792,853565440,846286848,860991488,844632064,815157248,839327744,856293376,830943232,880664576,849940480,878510080,886648832,826974208,827326464,947154944,847597568
100,826200064,903831552,873951232,806678528,821321728,912982016,854056960,823111680,834990080,900599808,847474688,872054784,832806912,882069504,842579968,872648704,861577216,853880832,869896192,852865024,822239232,848109568,864432128,839573504,888889344,857792512,889479168,894803968,834297856,834543616,959520768,855408640
101,834768896,912281600,884264960,815996928,833531904,923381760,863768576,832565248,845721600,910172160,857460736,882085888,840065024,892223488,850952192,882524160,869351424,862605312,877613056,861929472,830304256,856584192,872165376,847380480,899391488,868691968,898719744,905043968,843317248,843694080,970625024,865734656
102,844472320,922779648,894701568,825466880,841584640,933974016,873275392,841060352,854077440,921010176,867237888,892223488,849252352,901423104,860459008,892641280,880394240,873967616,889188352,872620032,840454144,868081664,885084160,858214400,908951552,877604864,907911168,914169856,853331968,854036480,979689472,874602496
103,851804160,930856960,902070272,833646592,849776640,942571520,881426432,848150528,861904896,928903168,875298816,900259840,856674304,909844480,867799040,900554752,887955456,881246208,896962560,880095232,847908864,875352064,891277312,865882112,916652032,885534720,915632128,922554368,860786688,861696000,988147712,882278400
104,860033024,940572672,911044608,840781824,858423296,952426496,889458688,856416256,870006784,937816064,883933184,909496320,865796096,918495232,876933120,909455360,895315968,888270848,904622080,887525376,854872064,882831360,898764800,872792064,926101504,894476288,924200960,930643968,868712448,869089280,996548608,890712064
105,868868096,950165504,920264704,849956864,867672064,961253376,899088384,866607104,878161920,948203520,892178432,918900736,873734144,927006720,886509568,918544384,903974912,896847872,912764928,895291392,862306304,891191296,907202560,880967680,934449152,902209536,933208064,940441600,876998656,877203456,1006972928,899018752
106,878182400,958685184,927854592,858128384,875667456,970743808,907571200,873635840,888283136,955613184,901877760,926326784,882774016,935288832,894930944,927133696,911540224,904450048,920731648,903270400,869986304,898711552,914538496,888225792,944869376,910934016,942714880,949161984,885522432,885313536,1015152640,907776000
107,888590336,972775424,939638784,868868096,887119872,982921216,918040576,883875840,897986560,968413184,911843328,937799680,892350464,947249152,905097216,940175360,923156480,915226624,931864576,914952192,880336896,909316096,925896704,898265088,955199488,922103808,954552320,959488000,894627840,897126400,1028538368,918814720
108,895307776,980250624,948469760,875573248,893231104,992661504,926556160,892596224,906596352,976748544,920113152,946053120,900583424,956297216,913014784,946470912,932761600,925712384,942202880,924356608,890605568,919216128,936517632,909262848,964710400,930541568,962416640,968998912,904609792,905547776,1039740928,927100928
109,902574080,988708864,956829696,883298304,901431296,1001459712,934457344,900198400,914976768,985260032,928153600,954249216,908619776,964759552,921419776,955482112,940711936,933744640,949735424,932179968,897794048,927248384,944300032,916582400,973119488,939397120,971108352,977797120,912146432,914370560,1048936448,935571456
110,910786560,998100992,965156864,891064320,909574144,1011036160,942383104,908578816,923803648,993820672,936652800,963284992,917229568,974069760,930811904,964354048,948834304,941547520,957992960,939810816,905949184,935596032,952193024,924549120,981733376,947281920,980070400,986578944,920186880,922583040,1057918976,944148480
111,918814720,1007173632,974950400,899911680,918278144,1019219968,952037376,916504576,932593664,1003352064,945422336,971624448,925462528,981970944,940163072,973426688,955973632,948916224,965255168,946933760,913215488,942567424,959361024,931741696,990629888,956379136,988737536,997298176,928718848,930336768,1066995712,952610816
112,927752192,1016283136,982749184,908271616,926044160,1028009984,960753664,924717056,941842432,1012625408,953671680,981704704,935534592,991911936,949051392,981991424,965251072,957759488,974770176,956325888,922513408,952078336,968663040,941117440,1001336832,965570560,998051840,1006026752,938471424,939839488,1077661696,961064960
113,935985152,1027563520,992808960,916295680,935170048,1039732736,969326592,934965248,949465088,1024131072,963346432,990883840,945545216,1001123840,956915712,991670272,975679488,968052736,985022464,966569984,932397056,961617920,978976768,950575104,1010810880,975814656,1009487872,1014521856,946454528,949088256,1087791104,970358784
114,944320512,1035300864,1000878080,925065216,943759360,1048031232,978890752,942714880,958050304,1031311360,972476416,999632896,952086528,1010282496,965595136,1000656896,983138304,975384576,992600064,974163968,939646976,969170944,986636288,957964288,1019174912,983150592,1017229312,1024679936,955305984,956977152,1097523200,980025344
115,951226368,1043812352,1008963584,932020224,950579200,1056153600,986378240,949981184,965591040,1039233024,979423232,1007595520,959594496,1018261504,972894208,1008627712,991731712,984190976,1001209856,982528000,947806208,977993728,995094528,966348800,1027018752,990830592,1025585152,1032519680,962445312,964825088,1106538496,987688960
116,959287296,1052352512,1017303040,940285952,958459904,1065127936,994201600,958185472,974004224,1048530944,987877376,1015939072,967827456,1026564096,980971520,1016692736,999047168,991682560,1008910336,990232576,955138048,985190400,1002799104,973549568,1035190272,998981632,1034190848,1041448960,970960896,972611584,1115217920,995545088
117,965619712,1058816000,1023418368,945745920,964354048,1072750592,1000333312,964087808,979935232,1054658560,994557952,1022517248,973578240,1032577024,987512832,1023229952,1006837760,999305216,1016586240,997912576,962809856,993136640,1010692096,981241856,1041453056,1004769280,1040420864,1047633920,976797696,979251200,1122418688,1001414656
118,974127104,1068285952,1032470528,954896384,973721600,1081425920,1009147904,973242368,988266496,1064570880,1002549248,1031065600,982097920,1041321984,995696640,1032228864,1016270848,1008615424,1026068480,1007001600,971698176,1002201088,1020268544,989884416,1050607616,1014112256,1049378816,1056972800,985915392,986791936,1131565056,1010397184
119,980893696,1075892224,1040457728,961654784,979808256,1089445888,1016545280,980017152,995323904,1072021504,1010069504,1038290944,989327360,1049227264,1003040768,1039470592,1024847872,1016971264,1034338304,1015255040,979804160,1010282496,1028435968,998150144,1058095104,1020698624,1057067008,1064689664,993193984,994066432,1140326400,1017217024
120,992161792,1087655936,1051521024,972521472,991543296,1100980224,1028845568,989962240,1006137344,1083682816,1020452864,1049620480,999116800,1059962880,1013764096,1050476544,1031725056,1023725568,1041596416,1022451712,986513408,1017323520,1035563008,1005645824,1070022656,1031725056,1068736512,1076338688,1004130304,1005113344,1152692224,1027694592
121,1001009152,1097654272,1061666816,981811200,1000095744,1112100864,1037852672,1000402944,1016012800,1094717440,1030680576,1059594240,1009950720,1071296512,1023684608,1061453824,1042796544,1034530816,1052540928,1033129984,996769792,1028198400,1047224320,1015861248,1080872960,1041936384,1078890496,1087668224,1013682176,1014857728,1164185600,1038737408
122,1007931392,1105588224,1069072384,988553216,1006141440,1119735808,1044566016,1007734784,1023361024,1102712832,1038102528,1067732992,1017073664,1079046144,1030787072,1068834816,1052053504,1043673088,1062305792,1042567168,1005613056,1037258752,1056104448,1024921600,1087946752,1049178112,1086369792,1094443008,1020616704,1022160896,1171951616,1045508096
123,1015816192,1114357760,1077547008,996876288,1014484992,1129762816,1053323264,1015222272,1031229440,1112125440,1049014272,1076342784,1025896448,1090215936,1040326656,1080356864,1060491264,1050943488,1069740032,1049927680,1013465088,1044836352,1064202240,1032093696,1097269248,1057792000,1095249920,1103040512,1029066752,1030729728,1181736960,1054154752
124,1024618496,1124257792,1086681088,1005002752,1023516672,1139191808,1062457344,1024598016,1039761408,1120702464,1055141888,1085636608,1034072064,1096790016,1048428544,1086164992,1071280128,1062121472,1080455168,1060945920,1023946752,1055567872,1074896896,1043320832,1106112512,1066889216,1103994880,1112633344,1037492224,1039085568,1191788544,1062686720
125,1033945088,1133477888,1096605696,1013772288,1032835072,1148731392,1070735360,1032339456,1048834048,1130700800,1064534016,1094533120,1042640896,1106165760,1057390592,1095483392,1078423552,1068920832,1087582208,1067876352,1030635520,1062686720,1081688064,1049628672,1114996736,1075859456,1114157056,1122553856,1045856256,1046851584,1202454528,1072185344
126,1043169280,1144107008,1107038208,1023582208,1042518016,1159274496,1082265600,1042948096,1058975744,1142419456,1074810880,1105326080,1053212672,1116430336,1067425792,1105858560,1087922176,1079050240,1097109504,1077321728,1039540224,1071968256,1092169728,1059610624,1126367232,1086648320,1124675584,1132605440,1057116160,1057845248,1214201856,1081933824
127,1051688960,1152679936,1115086848,1030782976,1049772032,1168384000,1089937408,1050517504,1066983424,1150705664,1082380288,1113456640,1060954112,1125126144,1074851840,1113559040,1096634368,1087668224,1106223104,1086177280,1048076288,1080627200,1100693504,1068617728,1134964736,1094451200,1133101056,1142108160,1065213952,1066012672,1222688768,1090891776
128,1061351424,1164664832,1125556224,1039712256,1058594816,1178886144,1100623872,1059094528,1077149696,1161760768,1092407296,1122607104,1070202880,1136869376,1085546496,1124192256,1104596992,1095258112,1113698304,1093160960,1054998528,1087741952,1108602880,1075548160,1145475072,1104068608,1142669312,1151750144,1074438144,1075109888,1233592320,1099788288
129,1068609536,1170911232,1132912640,1047666688,1067343872,1188204544,1108570112,1067212800,1084063744,1168580608,1099411456,1130979328,1077575680,1142837248,1091686400,1131642880,1114189824,1105297408,1123639296,1103179776,1064431616,1097809920,1118568448,1085390848,1153028096,1111699456,1151049728,1160499200,1081888768,1083367424,1242632192,1108168704
130,1076400128,1179824128,1141514240,1055129600,1074429952,1196572672,1116442624,1075642368,1092046848,1178083328,1107955712,1139625984,1085743104,1151373312,1100464128,1140613120,1123844096,1115078656,1133400064,1113055232,1073491968,1107030016,1128665088,1094848512,1161375744,1119682560,1159757824,1168994304,1089785856,1091260416,1251545088,1117163520
131,1083490304,1187610624,1149501440,1062416384,1081946112,1204994048,1124061184,1083117568,1099341824,1186336768,1115504640,1147211776,1093345280,1159086080,1108279296,1148506112,1131020288,1122512896,1140568064,1119944704,1080528896,1114431488,1135890432,1101692928,1169346560,1127604224,1167822848,1177280512,1097539584,1099100160,1260101632,1125056512
132,1094664192,1200447488,1161678848,1073692672,1094012928,1216208896,1133924352,1094242304,1110306816,1199738880,1125748736,1158049792,1103351808,1169805312,1119227904,1160798208,1138388992,1130053632,1147961344,1127055360,1087778816,1121538048,1143169024,1108561920,1181990912,1139056640,1179787264,1188204544,1108201472,1109794816,1271492608,1135861760
133,1102606336,1208320000,1170046976,1081266176,1100947456,1225240576,1144619008,1101635584,1119256576,1208221696,1134284800,1167208448,1112010752,1179983872,1127415808,1168187392,1148735488,1140641792,1158254592,1137197056,1097981952,1132122112,1153630208,1119051776,1190977536,1148510208,1189400576,1197252608,1117331456,1119137792,1282310144,1145196544
134,1111339008,1219543040,1178836992,1090457600,1110855680,1236385792,1152704512,1110929408,1128198144,1218662400,1144229888,1177690112,1121206272,1188700160,1137786880,1178734592,1158062080,1149579264,1167015936,1146056704,1106509824,1141071872,1162653696,1127571456,1201852416,1157255168,1199976448,1207169024,1126248448,1128022016,1294446592,1154281472
135,1119334400,1227886592,1187528704,1097019392,1117667328,1243979776,1161027584,1119105024,1135755264,1225814016,1151901696,1184768000,1129701376,1197428736,1144082432,1186512896,1167413248,1158934528,1176895488,1155678208,1115705344,1150812160,1171808256,1137348608,1208307712,1164795904,1206669312,1215541248,1133871104,1135714304,1302310912,1162432512
136,1127010304,1236389888,1195433984,1103564800,1124597760,1251794944,1169154048,1126412288,1143115776,1233547264,1159573504,1193263104,1136381952,1205276672,1151246336,1193676800,1174867968,1166385152,1184108544,1162899456,1122881536,1157947392,1179357184,1144619008,1216520192,1172815872,1215213568,1223307264,1141477376,1142837248,1310875648,1170198528
137,1137160192,1247043584,1206378496,1114959872,1135755264,1264521216,1180422144,1135984640,1154633728,1246740480,1170714624,1203920896,1147273216,1216995328,1163087872,1206878208,1184014336,1175674880,1193181184,1171578880,1131810816,1166802944,1188229120,1153167360,1228492800,1185431552,1226956800,1236967424,1152815104,1155149824,1323753472,1182810112
138,1149964288,1260331008,1218715648,1126092800,1147154432,1276026880,1190629376,1149534208,1165402112,1258647552,1181970432,1216344064,1159139328,1229168640,1175662592,1217904640,1194614784,1186127872,1203617792,1182646272,1141686272,1177432064,1199210496,1163386880,1240907776,1195495424,1239670784,1248407552,1163517952,1166540800,1337425920,1193746432
139,1156927488,1268338688,1227280384,1134600192,1154633728,1285701632,1199640576,1156280320,1174061056,1267105792,1190707200,1224343552,1167933440,1237725184,1183342592,1225801728,1206104064,1196941312,1215098880,1193619456,1153249280,1188642816,1210482688,1174654976,1248866304,1203666944,1247539200,1256099840,1171668992,1172860928,1346072576,1201238016
140,1165590528,1279004672,1236914176,1143431168,1163735040,1296138240,1208999936,1165856768,1183117312,1278058496,1200996352,1234345984,1177198592,1247141888,1192796160,1235955712,1213620224,1204744192,1222754304,1201831936,1160761344,1196187648,1218404352,1182363648,1258868736,1212555264,1257091072,1265852416,1180905472,1182466048,1356324864,1210888192
141,1172316160,1287163904,1243144192,1150554112,1170042880,1302765568,1215213568,1171619840,1189191680,1283727360,1206554624,1240268800,1183006720,1253318656,1198407680,1242456064,1223741440,1214767104,1232769024,1210900480,1170128896,1205653504,1228324864,1191878656,1265102848,1218498560,1263161344,1271721984,1186676736,1187737600,1363451904,1216458752
142,1180831744,1296658432,1253142528,1159114752,1179033600,1312702464,1224376320,1180917760,1198260224,1293684736,1215295488,1248649216,1191452672,1263366144,1207173120,1252323328,1230229504,1221541888,1239719936,1217585152,1176731648,1212002304,1235189760,1198305280,1275375616,1228845056,1273008128,1281896448,1196363776,1197056000,1373286400,1226018816
143,1190178816,1305886720,1263554560,1167654912,1187880960,1321635840,1233473536,1188765696,1207410688,1303576576,1225613312,1257885696,1200099328,1270538240,1215864832,1262456832,1239347200,1230819328,1249386496,1226698752,1185689600,1220988928,1244037120,1207144448,1284567040,1237524480,1283624960,1290588160,1204449280,1205301248,1384325120,1234501632
144,1197821952,1313492992,1271033856,1175842816,1196175360,1330769920,1241780224,1198100480,1214943232,1312292864,1232973824,1267081216,1208549376,1280884736,1224695808,1270022144,1248477184,1240215552,1258799104,1236320256,1194311680,1230368768,1253568512,1216851968,1293570048,1245839360,1292152832,1300459520,1213042688,1214025728,1393840128,1244168192
145,1205805056,1322823680,1279586304,1183408128,1203970048,1340088320,1250099200,1205837824,1222909952,1320435712,1241141248,1275752448,1216237568,1289785344,1233174528,1279164416,1255915520,1247604736,1266450432,1243582464,1201598464,1237893120,1261105152,1224310784,1302208512,1254207488,1300750336,1308979200,1221500928,1222414336,1402966016,1252659200
146,1213181952,1330446336,1287290880,1189834752,1210548224,1347166208,1257140224,1212579840,1230422016,1328427008,1248694272,1283919872,1223794688,1297936384,1240342528,1287012352,1263960064,1255927808,1274961920,1251405824,1209262080,1245855744,1269305344,1231900672,1310093312,1261813760,1308786688,1316098048,1228726272,1229975552,1411354624,1260363776
147,1217945600,1336381440,1292341248,1196625920,1216831488,1354096640,1262161920,1219276800,1235677184,1333174272,1254125568,1288720384,1228656640,1302634496,1245663232,1292595200,1271697408,1263366144,1282834432,1258987520,1216425984,1253396480,1277300736,1239756800,1315692544,1266954240,1315045376,1321709568,1233948672,1235394560,1417977856,1265254400
148,1227821056,1346519040,1302679552,1204838400,1226596352,1364434944,1272365056,1227563008,1245257728,1344212992,1264209920,1299230720,1238888448,1313374208,1255743488,1302056960,1277898752,1269395456,1289678848,1265557504,1223229440,1260335104,1283874816,1246240768,1325850624,1277239296,1324195840,1332252672,1243566080,1244823552,1429487616,1275748352
149,1238388736,1357754368,1314140160,1214971904,1236566016,1376395264,1282912256,1238233088,1256546304,1356259328,1275314176,1310519296,1249325056,1324527616,1267126272,1313173504,1289035776,1280503808,1300553728,1276633088,1233260544,1270870016,1294032896,1256546304,1337589760,1287868416,1336176640,1343639552,1254834176,1255501824,1442279424,1286402048
150,1247522816,1367818240,1324093440,1223921664,1245605888,1385938944,1292636160,1246695424,1265418240,1365864448,1284993024,1320079360,1258713088,1334710272,1276248064,1322815488,1298161664,1289572352,1309372416,1285664768,1241710592,1279619072,1303973888,1265344512,1347190784,1296801792,1345060864,1353199616,1263497216,1264697344,1452273664,1295659008
151,1256128512,1377079296,1333063680,1232539648,1254109184,1395130368,1301733376,1254850560,1274130432,1375162368,1293176832,1328820224,1267228672,1343815680,1285496832,1332473856,1307357184,1299193856,1318883328,1294565376,1250340864,1289244672,1313255424,1274298368,1356206080,1305776128,1354387456,1362649088,1271984128,1273110528,1461841920,1304711168
152,1262866432,1385107456,1340719104,1239105536,1261514752,1402933248,1308270592,1261613056,1281216512,1383264256,1300975616,1336705024,1275260928,1351684096,1292185600,1339482112,1315635200,1307267072,1327341568,1303068672,1258594304,1297801216,1321984000,1282908160,1363730432,1313112064,1361645568,1369919488,1278976000,1280634880,1470005248,1312260096
153,1271156736,1393410048,1348218880,1246900224,1268744192,1412579328,1316700160,1269587968,1288441856,1391161344,1308528640,1344573440,1282478080,1359372288,1300254720,1347350528,1322999808,1315151872,1335525376,1310318592,1265827840,1305288704,1330266112,1290485760,1372409856,1320730624,1370238976,1378967552,1286799360,1288364032,1478635520,1319882752
154,1282428928,1406394368,1359794176,1257684992,1280299008,1424510976,1328369664,1281474560,1299832832,1404297216,1320218624,1356181504,1293692928,1370632192,1311748096,1359347712,1331662848,1323839488,1343430656,1318252544,1273397248,1314160640,1338195968,1297686528,1386164224,1334493184,1382481920,1393274880,1297850368,1300107264,1491025920,1331384320
155,1291571200,1416757248,1370587136,1266610176,1290887168,1435615232,1338343424,1290162176,1309601792,1414144000,1330270208,1366556672,1303478272,1381683200,1321279488,1369329664,1343651840,1337323520,1356357632,1330745344,1285562368,1325305856,1351933952,1309081600,1394765824,1342820352,1393844224,1400930304,1307676672,1310097408,1502728192,1341861888
156,1301069824,1425408000,1379151872,1276092416,1301258240,1446457344,1348743168,1298923520,1317527552,1424642048,1340579840,1375662080,1312841728,1390526464,1330655232,1378709504,1353592832,1345204224,1364897792,1340067840,1294446592,1334370304,1360818176,1318735872,1404551168,1353007104,1402269696,1410744320,1317863424,1317666816,1511297024,1352073216
157,1308135424,1433858048,1387585536,1283686400,1306509312,1454133248,1356062720,1306628096,1326551040,1432797184,1347604480,1384169472,1320148992,1399205888,1338028032,1386950656,1363869696,1354891264,1375686656,1348894720,1304051712,1343537152,1369550848,1327759360,1412472832,1360248832,1411301376,1419010048,1324625920,1325805568,1521991680,1359650816
158,1314328576,1440321536,1394388992,1289650176,1312382976,1460994048,1362485248,1312948224,1332944896,1439395840,1353764864,1390972928,1326280704,1405853696,1344266240,1393451008,1370841088,1362350080,1382453248,1356918784,1310691328,1351614464,1377566720,1335648256,1419329536,1366667264,1417682944,1426161664,1330954240,1332297728,1529049088,1366437888
159,1322143744,1449160704,1402327040,1297485824,1320013824,1469300736,1370632192,1321009152,1340514304,1447854080,1362259968,1399226368,1333690368,1414184960,1352368128,1401683968,1376870400,1369387008,1388896256,1363030016,1316835328,1359032320,1384247296,1341706240,1427918848,1374748672,1425920000,1434009600,1338474496,1339662336,1537916928,1374367744
160,1334374400,1461587968,1414234112,1308663808,1331658752,1481826304,1382981632,1332080640,1351847936,1460555776,1374875648,1411497984,1345507328,1425248256,1364774912,1414557696,1385033728,1377357824,1397403648,1370742784,1324642304,1366011904,1392463872,1349779456,1440022528,1385803776,1438502912,1447895040,1349124096,1352318976,1550786560,1386852352
161,1339666432,1467883520,1419997184,1314074624,1337356288,1488760832,1388494848,1338630144,1357942784,1466888192,1380192256,1417891840,1351929856,1432117248,1369858048,1420660736,1396858880,1389768704,1409978368,1382756352,1335787520,1378115584,1404788736,1361002496,1445715968,1391206400,1443954688,1452638208,1355321344,1357352960,1557491712,1391079424
162,1348272128,1478033408,1429639168,1322995712,1346523136,1498259456,1397755904,1347383296,1367027712,1476280320,1389010944,1426890752,1360113664,1441947648,1379000320,1430360064,1403953152,1396174848,1416970240,1389355008,1343692800,1384685568,1410674688,1367900160,1455108096,1400397824,1453985792,1462468608,1364406272,1366155264,1568329728,1400414208
163,1355132928,1484865536,1436520448,1329025024,1353043968,1506054144,1405100032,1353981952,1374048256,1484001280,1396080640,1434587136,1367187456,1449062400,1385578496,1436909568,1413931008,1405575168,1425997824,1397743616,1351720960,1393483776,1420697600,1376473088,1462992896,1408040960,1461252096,1470074880,1371512832,1372950528,1577242624,1407696896
164,1359065088,1489354752,1440501760,1332363264,1356292096,1510244352,1408843776,1357570048,1378447360,1487745024,1402130432,1438543872,1371131904,1452777472,1389576192,1441329152,1419067392,1410760704,1431617536,1403953152,1357148160,1399431168,1426350080,1382785024,1465892864,1411461120,1463734272,1472667648,1374380032,1375199232,1579712512,1409937408
165,1363664896,1494179840,1446178816,1337225216,1361481728,1515479040,1413853184,1362755584,1382715392,1493426176,1404698624,1443385344,1375780864,1458454528,1394634752,1445806080,1425014784,1416273920,1437519872,1408393216,1362046976,1405550592,1430642688,1387065344,1472126976,1417117696,1470529536,1479618560,1380155392,1381933056,1587011584,1416749056
166,1369931776,1500680192,1452822528,1342943232,1367699456,1522106368,1420156928,1369014272,1388752896,1500327936,1411198976,1449701376,1381847040,1464651776,1400815616,1452294144,1428279296,1419689984,1440694272,1412714496,1365753856,1408278528,1435279360,1391697920,1479090176,1423806464,1477296128,1486163968,1386573824,1388294144,1593937920,1423294464
167,1374392320,1505873920,1457741824,1347112960,1372385280,1527222272,1424449536,1373720576,1393209344,1504161792,1415192576,1453576192,1386070016,1468846080,1404502016,1456885760,1434923008,1425899520,1447821312,1419083776,1372250112,1414676480,1441796096,1397948416,1482395648,1427091456,1480859648,1489842176,1389924352,1391742976,1597792256,1426706432
168,1380552704,1512632320,1464451072,1353646080,1378521088,1533935616,1431261184,1380048896,1399959552,1511862272,1422254080,1460645888,1392828416,1476272128,1411403776,1463558144,1439756288,1430507520,1452322816,1423986688,1376243712,1418936320,1446481920,1402654720,1490272256,1434693632,1488781312,1498058752,1397313536,1399037952,1606397952,1434202112
