%soft,ceph01,ceph02,ceph03,ceph04
341,5.21,5.59,5.14,4.97
342,5.4,5.16,5.18,5.06
343,5.37,6.22,5.16,5.27
344,3.12,3.38,3.18,2.91
345,4.26,4.48,4.16,4.83
346,4.87,4.91,5.26,5.67
347,5.5,5.35,5.27,5.25
348,4.75,5.21,4.88,4.94
349,5.35,4.89,4.7,4.61
350,5.06,5.43,5.06,5.08
351,4.26,4.17,4.11,4.58
352,5.15,5.32,5.46,5.81
353,4.51,4.45,4.62,4.68
354,4.77,5.27,4.83,4.83
355,4.94,4.6,4.57,4.44
356,4.9,5.04,5.06,4.69
357,4.06,3.98,4.01,3.98
358,5.47,5.34,5.1,5.98
359,4.83,4.71,4.72,4.77
360,5.46,5.1,4.93,4.9
361,4.48,4.46,4.29,4.14
362,5.17,5.21,5.15,4.87
363,4.15,4.45,4.21,4.12
364,6.03,5.82,5.8,6.46
365,5.59,5.55,5.46,5.96
366,4.6,4.13,4.45,4.46
367,4.2,4.64,4.37,4.25
368,4.71,4.43,4.51,4.41
369,5.14,5.23,5.33,5.04
370,4.63,4.69,4.82,5.03
371,6.05,5.96,5.87,6.5
372,4.83,4.6,4.55,4.84
373,3.77,4.26,4.09,3.76
374,4.99,4.47,4.35,4.43
375,5.4,5.51,5.36,5.44
376,5.08,5.18,5.02,5.07
377,5.4,5.13,5.31,5.71
378,5.05,4.77,4.86,4.78
379,4.69,4.61,4.94,4.69
380,4.29,3.89,3.94,3.93
381,6.07,6.24,6.16,5.95
382,5.29,5.18,5.79,5.04
383,4.99,4.9,5.73,5.1
384,4.12,4.16,4.16,4.26
385,3.73,3.78,3.86,3.81
386,5.54,4.78,4.98,4.69
387,5.54,5.41,5.5,5.73
388,6.08,6.2,6.03,6.81
389,5.04,5.0,5.26,5.27
390,4.24,4.18,4.54,4.44
391,4.85,4.7,4.76,4.83
392,4.86,4.54,4.31,4.57
393,5.84,5.65,5.69,5.52
394,5.16,5.2,5.13,5.14
395,4.82,4.95,4.93,4.78
396,3.78,4.27,4.02,3.89
397,5.76,5.42,5.39,5.59
398,4.83,4.79,5.05,4.81
399,5.08,4.75,4.46,4.64
