avg_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
22,4.2e-05,4.3e-05,3.6e-05,4.5e-05,4.2e-05,4.9e-05,4e-05,3.7e-05,6e-05,0.000258,4.4e-05,4.3e-05,7.3e-05,6.6e-05,4e-05,5.3e-05,0.000135,9.2e-05,0.000128,0.000101,3.3e-05,4.7e-05,5.5e-05,5.2e-05,3.9e-05,3.7e-05,4.6e-05,4.5e-05,5.6e-05,5.1e-05,4.2e-05,4.4e-05
23,4.7e-05,3.6e-05,4.3e-05,3.8e-05,4e-05,4.7e-05,3.8e-05,4.3e-05,4.4e-05,6.3e-05,5.8e-05,5.9e-05,5.9e-05,6.2e-05,4.8e-05,4.7e-05,5.3e-05,6.2e-05,4.6e-05,7.2e-05,8.1e-05,7.6e-05,9.2e-05,5.6e-05,4e-05,4.8e-05,9.9e-05,3.9e-05,8e-05,8.2e-05,6.4e-05,4.4e-05
24,5.7e-05,6e-05,0.0002,9.8e-05,4.4e-05,5.4e-05,5.2e-05,7.2e-05,4.7e-05,4.9e-05,4.1e-05,5.3e-05,4.2e-05,6.2e-05,4.8e-05,4.4e-05,4.8e-05,7.1e-05,5.3e-05,5e-05,6.3e-05,8.4e-05,5e-05,4.8e-05,0.000104,0.000163,7.4e-05,6.3e-05,5.4e-05,7.7e-05,7.3e-05,8.5e-05
25,7.7e-05,7.9e-05,4.6e-05,6.8e-05,4.4e-05,4.2e-05,4.4e-05,7.2e-05,3.4e-05,3.5e-05,3.8e-05,4.5e-05,5.4e-05,4.6e-05,0.000112,7.3e-05,5.4e-05,5.6e-05,4.6e-05,4.6e-05,4.9e-05,3.6e-05,4.4e-05,4.5e-05,7.4e-05,5.9e-05,5.8e-05,5.5e-05,5e-05,5e-05,8.2e-05,6.8e-05
26,0.000602,5.2e-05,4.6e-05,6.6e-05,5.7e-05,7e-05,5.8e-05,7.1e-05,5.8e-05,5e-05,0.000106,0.000124,4.6e-05,4.5e-05,0.000146,0.000107,3e-05,4.2e-05,4.1e-05,4.6e-05,3.7e-05,4.1e-05,4.1e-05,4.4e-05,5e-05,4.6e-05,5.4e-05,4.6e-05,4.7e-05,5e-05,5.2e-05,6e-05
27,4.7e-05,5.4e-05,5.1e-05,5.5e-05,8.8e-05,5.8e-05,8.9e-05,0.000105,8e-05,0.000159,5.6e-05,6.8e-05,3.6e-05,4.8e-05,6.2e-05,5.1e-05,7.4e-05,5.4e-05,4.1e-05,4.6e-05,4.6e-05,7.3e-05,5.9e-05,5e-05,5.7e-05,3.8e-05,5.7e-05,4.9e-05,4.5e-05,3.8e-05,5e-05,3.8e-05
28,5.7e-05,4.3e-05,4.8e-05,4.5e-05,4.7e-05,4e-05,4.4e-05,4.6e-05,4.4e-05,5.3e-05,4.1e-05,3.8e-05,8.6e-05,7.7e-05,4.3e-05,4e-05,0.000133,7e-05,6.5e-05,6.8e-05,4e-05,5.2e-05,5.3e-05,7.8e-05,4.3e-05,4.6e-05,4.4e-05,3.7e-05,5.2e-05,6.7e-05,4.4e-05,4.1e-05
29,4.1e-05,5.2e-05,8.6e-05,8.3e-05,4.5e-05,3.5e-05,3.8e-05,6.3e-05,4.3e-05,4.5e-05,3.9e-05,4.4e-05,5.6e-05,6.4e-05,4.7e-05,4.8e-05,5.2e-05,4.6e-05,4.6e-05,4.7e-05,6.5e-05,5.8e-05,7.9e-05,6.7e-05,4.4e-05,8.8e-05,4.6e-05,4.7e-05,5.2e-05,5.3e-05,3.9e-05,5e-05
30,5e-05,4.8e-05,5.6e-05,6.9e-05,6.9e-05,4.9e-05,5e-05,4.3e-05,4.3e-05,4.4e-05,4.1e-05,5.6e-05,4.5e-05,4.6e-05,3.9e-05,4.5e-05,4.1e-05,0.000104,3.9e-05,4.9e-05,4.9e-05,6e-05,4.4e-05,5.3e-05,9.9e-05,5.9e-05,6.3e-05,8.7e-05,4.2e-05,5.7e-05,0.000617,0.000123
31,6.3e-05,7e-05,4.2e-05,7.5e-05,4.3e-05,4.4e-05,3.9e-05,4.7e-05,3.8e-05,3.7e-05,6.1e-05,4.7e-05,3.4e-05,3e-05,6.2e-05,5.8e-05,4.4e-05,4.7e-05,3.9e-05,5.2e-05,3.9e-05,3.2e-05,4.9e-05,3.6e-05,7.8e-05,7.8e-05,5.4e-05,5.9e-05,5.8e-05,8e-05,7.1e-05,8e-05
32,6.4e-05,5.4e-05,4.3e-05,9.9e-05,8e-05,7.1e-05,0.000264,0.000109,8.4e-05,5.5e-05,7.4e-05,8.1e-05,4.2e-05,6.1e-05,8.8e-05,8.1e-05,5.4e-05,3.7e-05,4.6e-05,4.6e-05,3.9e-05,6.5e-05,4.9e-05,4.6e-05,3.9e-05,3.9e-05,4.2e-05,4.1e-05,4.7e-05,4.1e-05,3.9e-05,3.9e-05
33,6.1e-05,5e-05,7.1e-05,6.9e-05,0.000128,0.000141,0.000103,8e-05,6.5e-05,8.1e-05,4.2e-05,5.1e-05,5.5e-05,6.8e-05,6.9e-05,4.3e-05,6.7e-05,8.3e-05,5.9e-05,5.6e-05,5.2e-05,4.6e-05,4.7e-05,8.3e-05,4.8e-05,4.9e-05,5.2e-05,5.1e-05,6.1e-05,4.9e-05,5.2e-05,4.2e-05
34,6e-05,5.2e-05,4e-05,5.3e-05,4.5e-05,5.2e-05,5.6e-05,4.1e-05,4.8e-05,6.1e-05,4.7e-05,5.7e-05,7.2e-05,9.8e-05,0.000149,4.8e-05,9.8e-05,8.7e-05,0.000114,7.8e-05,4.5e-05,6e-05,6.2e-05,6.2e-05,3.4e-05,3.9e-05,4.1e-05,3.5e-05,6.1e-05,6.1e-05,3.7e-05,4e-05
35,4.6e-05,5.2e-05,0.000126,0.000121,4.8e-05,3.3e-05,9.3e-05,3.6e-05,4.3e-05,4.6e-05,4.7e-05,3.7e-05,5e-05,3.9e-05,3.9e-05,4e-05,5.7e-05,7.3e-05,4.1e-05,5.1e-05,7.6e-05,0.0001,8.5e-05,6.3e-05,4.2e-05,6.1e-05,4.7e-05,5.8e-05,4.6e-05,4.1e-05,4e-05,3.9e-05
36,4.2e-05,5.2e-05,6.3e-05,3.9e-05,5.1e-05,7.5e-05,4.5e-05,4.9e-05,5.1e-05,4e-05,4.4e-05,4.1e-05,4.7e-05,4.7e-05,3.8e-05,5.2e-05,4.8e-05,4.3e-05,5.5e-05,4.5e-05,6.2e-05,6.1e-05,5.1e-05,5e-05,8.7e-05,7.3e-05,8.5e-05,9.5e-05,5.3e-05,4.3e-05,0.000112,0.000124
37,7.5e-05,7.5e-05,5.4e-05,8.2e-05,4e-05,4e-05,4.8e-05,5.1e-05,5.5e-05,4.7e-05,9.5e-05,9.2e-05,5.2e-05,4.7e-05,0.000207,7.9e-05,2.8e-05,5e-05,3.5e-05,4.8e-05,4.3e-05,4.6e-05,4.5e-05,4.8e-05,7.1e-05,6.7e-05,5.8e-05,5.9e-05,0.000134,5.9e-05,4.8e-05,0.000225
38,7.6e-05,4.3e-05,4.2e-05,4.4e-05,9.3e-05,8.4e-05,6.7e-05,7.2e-05,5.1e-05,9.5e-05,4.4e-05,5e-05,4.3e-05,3.9e-05,8.9e-05,5.3e-05,3.7e-05,4e-05,4.4e-05,3.8e-05,3.4e-05,5.1e-05,3.6e-05,3.2e-05,5.6e-05,3.6e-05,4.4e-05,5.5e-05,5.7e-05,5e-05,4.1e-05,3.7e-05
39,5.8e-05,5.5e-05,4.3e-05,5.3e-05,6.5e-05,7.7e-05,5.9e-05,8e-05,8.1e-05,8.2e-05,8.1e-05,4.4e-05,3.8e-05,0.000246,9e-05,9.6e-05,4.3e-05,4.7e-05,4e-05,3.5e-05,4.4e-05,4.1e-05,3.6e-05,5.2e-05,4.9e-05,3.6e-05,3.7e-05,4.5e-05,4.1e-05,4.9e-05,5.1e-05,3.1e-05
40,3.6e-05,5.2e-05,7.3e-05,7.3e-05,4.4e-05,9.8e-05,3.7e-05,3.7e-05,4.5e-05,4.2e-05,5.5e-05,4.1e-05,9.1e-05,8.4e-05,5.1e-05,5.4e-05,7e-05,6.5e-05,8.2e-05,6.1e-05,7.5e-05,4.9e-05,4.6e-05,7.2e-05,4.6e-05,4.2e-05,0.000103,9.9e-05,7.1e-05,9.3e-05,4.1e-05,4.3e-05
41,4.1e-05,4e-05,0.000197,0.000305,4.3e-05,4.3e-05,6.3e-05,3.9e-05,3.8e-05,4.2e-05,9.5e-05,4.8e-05,5e-05,4.6e-05,4.9e-05,5.2e-05,6.1e-05,6.7e-05,4.8e-05,4.1e-05,7.2e-05,5.9e-05,6.6e-05,0.000105,4.9e-05,6.1e-05,5.5e-05,4.2e-05,4.2e-05,4.5e-05,5e-05,3.8e-05
42,4.5e-05,4.3e-05,4.2e-05,4.9e-05,5e-05,4.1e-05,3.9e-05,4.3e-05,5.2e-05,4.5e-05,7.5e-05,0.000345,4.3e-05,5e-05,4.9e-05,5.1e-05,6e-05,4.6e-05,7e-05,5e-05,7e-05,6.9e-05,6.5e-05,5.4e-05,6.5e-05,0.000129,7.1e-05,8.2e-05,6.2e-05,5.5e-05,8.9e-05,0.00012
43,7.5e-05,6.9e-05,3.7e-05,4.2e-05,3.4e-05,5e-05,4.5e-05,4.1e-05,4.1e-05,9.9e-05,4.8e-05,7.5e-05,5.6e-05,6.1e-05,5.7e-05,5.8e-05,4.6e-05,5.2e-05,4.4e-05,4.3e-05,4.2e-05,4e-05,3.9e-05,4.4e-05,6.1e-05,4.7e-05,5.1e-05,6.1e-05,6.2e-05,5.2e-05,7.2e-05,0.000207
44,4.3e-05,4.9e-05,4.3e-05,4.8e-05,7.4e-05,8.7e-05,9.4e-05,8.9e-05,4.7e-05,5.6e-05,4.6e-05,4.4e-05,3.7e-05,4.8e-05,7.1e-05,7.1e-05,4.8e-05,4.2e-05,4.4e-05,4.9e-05,3.6e-05,4.1e-05,5e-05,8.8e-05,4.1e-05,5.2e-05,4.6e-05,4.6e-05,3.6e-05,4.7e-05,4.4e-05,4.4e-05
45,5.3e-05,6.8e-05,4.5e-05,4.5e-05,5.8e-05,0.000101,6.8e-05,8e-05,8.6e-05,8.1e-05,4.6e-05,5.8e-05,4.7e-05,9.3e-05,5.8e-05,4.7e-05,0.000111,0.000117,5.2e-05,4.7e-05,4.2e-05,5.3e-05,4.9e-05,4.7e-05,4.7e-05,4.4e-05,4.5e-05,4.3e-05,4.5e-05,3.8e-05,4.8e-05,4.8e-05
46,3.1e-05,3.9e-05,9.6e-05,0.000114,4.1e-05,4.4e-05,4.4e-05,4.4e-05,4.3e-05,4.5e-05,4.1e-05,4.1e-05,6.4e-05,7.2e-05,6.2e-05,5.8e-05,7.3e-05,6.5e-05,5.6e-05,7.9e-05,6.2e-05,5e-05,0.000109,4.5e-05,3.8e-05,5.5e-05,4.3e-05,4.2e-05,6.8e-05,7.3e-05,3.6e-05,4e-05
47,7.3e-05,6.5e-05,4.2e-05,4e-05,5.6e-05,5.6e-05,4.7e-05,4.2e-05,3.9e-05,4.3e-05,4.5e-05,4.1e-05,5e-05,4.9e-05,4.6e-05,3.9e-05,0.000138,7.4e-05,5.3e-05,6.7e-05,0.000259,7.4e-05,8.3e-05,7.3e-05,6.2e-05,0.000106,6.1e-05,5.6e-05,4.9e-05,5.7e-05,4.6e-05,3.9e-05
48,5e-05,4.2e-05,3.8e-05,4e-05,3.4e-05,4e-05,4e-05,3.2e-05,3.7e-05,5.6e-05,7.9e-05,8.2e-05,4.1e-05,6.9e-05,4.8e-05,3.4e-05,3.6e-05,4.2e-05,4.2e-05,3.7e-05,4.3e-05,4.7e-05,4.3e-05,4.6e-05,4.5e-05,4.5e-05,6.8e-05,7.1e-05,4.2e-05,3.2e-05,0.000108,8e-05
49,0.000109,0.000103,6.6e-05,5.2e-05,6.2e-05,6.1e-05,3.7e-05,4.6e-05,5.1e-05,4.4e-05,4.9e-05,3.8e-05,7.3e-05,3.4e-05,0.000127,9.8e-05,5e-05,5.2e-05,6.2e-05,4e-05,4.4e-05,5.1e-05,4.4e-05,3.2e-05,3.6e-05,5.4e-05,8.9e-05,8.6e-05,3.8e-05,3.6e-05,6.2e-05,7.1e-05
50,5.5e-05,8.2e-05,5.6e-05,5.9e-05,6.9e-05,7.9e-05,7.7e-05,7.7e-05,0.00013,0.000174,4.5e-05,4.8e-05,4.2e-05,4.7e-05,5.8e-05,9.8e-05,4.1e-05,4.3e-05,8.8e-05,4.2e-05,2.8e-05,4.6e-05,4.6e-05,5.5e-05,4.3e-05,4.2e-05,5.9e-05,5.3e-05,5.3e-05,5.9e-05,3.6e-05,5e-05
51,3.8e-05,4e-05,5.4e-05,5.2e-05,0.000113,7.3e-05,7.8e-05,8.5e-05,7.1e-05,7.3e-05,4.8e-05,4.8e-05,4.2e-05,4.9e-05,8.1e-05,4e-05,8.7e-05,5.5e-05,3.4e-05,4.1e-05,4.3e-05,3.9e-05,7.9e-05,4e-05,4.8e-05,4.6e-05,6.2e-05,4.1e-05,5.4e-05,6.3e-05,5e-05,3.5e-05
52,4.4e-05,4.6e-05,6.1e-05,8.4e-05,3.7e-05,4.5e-05,4.7e-05,5.5e-05,4.2e-05,3.6e-05,4.1e-05,3.4e-05,8.2e-05,0.000135,4.4e-05,3.8e-05,9.5e-05,0.000109,5.8e-05,8.6e-05,4.8e-05,4.5e-05,4.9e-05,6.5e-05,6.4e-05,5.5e-05,4.3e-05,4.4e-05,8.1e-05,7.9e-05,5.6e-05,3.9e-05
53,4e-05,4.3e-05,3.9e-05,4.7e-05,4.1e-05,4.8e-05,4.1e-05,4.7e-05,4.8e-05,5e-05,0.000152,9.7e-05,4.1e-05,3.8e-05,3.5e-05,5.4e-05,5.3e-05,4.9e-05,4.3e-05,5.2e-05,8e-05,6.4e-05,7e-05,6.8e-05,9.4e-05,0.000108,6.1e-05,5.1e-05,5.9e-05,4.9e-05,4.6e-05,4.6e-05
54,0.000127,8.9e-05,4.2e-05,5.1e-05,4.4e-05,4.9e-05,5e-05,4.3e-05,6.4e-05,6.6e-05,8.2e-05,0.000113,4.4e-05,5.8e-05,4.9e-05,4.7e-05,4.7e-05,4.6e-05,3.4e-05,4.8e-05,4.6e-05,4.8e-05,5.1e-05,5e-05,8.7e-05,5.8e-05,6.8e-05,0.000108,4.9e-05,4.6e-05,7.4e-05,7e-05
