kbactive,ceph01,ceph02,ceph03,ceph04
149,52364856.0,52208608.0,52293608.0,52421676.0
150,52473232.0,52309344.0,52381684.0,52588920.0
151,52449760.0,52305568.0,52359424.0,52584080.0
152,52482016.0,52306640.0,52360916.0,52521344.0
153,52520740.0,52308912.0,52376788.0,52567400.0
154,52592528.0,52473452.0,52421528.0,52608296.0
155,52820864.0,52600148.0,52592744.0,52776388.0
156,53210980.0,52900432.0,52957052.0,53175548.0
157,53221364.0,52923264.0,52990656.0,53245264.0
158,53208772.0,52891060.0,53009684.0,53257916.0
159,53091248.0,52788612.0,52993648.0,53226020.0
160,52978964.0,52595944.0,52784440.0,52938632.0
161,53257776.0,52935020.0,53080412.0,53249648.0
162,53523572.0,53213332.0,53318128.0,53504704.0
163,53525676.0,53240324.0,53322116.0,53581288.0
164,53366112.0,53132556.0,53262132.0,53510540.0
165,53299596.0,53029444.0,53273812.0,53472720.0
166,53295616.0,52920008.0,53249944.0,53423500.0
167,53332500.0,53032672.0,53182504.0,53393076.0
168,53423680.0,53115384.0,53229152.0,53466768.0
169,53331060.0,53034976.0,53201808.0,53394220.0
170,53365880.0,52986668.0,53272816.0,53403552.0
171,53407216.0,53042592.0,53331492.0,53417776.0
172,53463984.0,53118876.0,53339352.0,53480600.0
173,53495092.0,53131512.0,53346404.0,53483340.0
174,53597996.0,53287548.0,53442504.0,53583524.0
175,53629384.0,53375520.0,53462444.0,53622980.0
176,53608384.0,53354436.0,53478460.0,53647992.0
177,53687232.0,53395824.0,53635236.0,53698032.0
178,53685400.0,53356200.0,53629148.0,53715364.0
179,53726448.0,53362440.0,53639016.0,53740404.0
180,53756024.0,53420108.0,53667744.0,53783920.0
181,53784788.0,53433788.0,53702000.0,53804688.0
182,53880396.0,53509204.0,53775244.0,53970248.0
183,53898384.0,53532980.0,53819768.0,54018548.0
184,53967376.0,53574872.0,53938788.0,54051224.0
185,54013936.0,53606328.0,53970048.0,54055432.0
186,54038772.0,53631704.0,54000240.0,54041868.0
187,54031252.0,53687520.0,54044000.0,54090580.0
188,54057352.0,53756428.0,54046556.0,54218440.0
189,54146900.0,53900152.0,54145380.0,54365704.0
190,54207000.0,53982804.0,54320180.0,54447624.0
191,54345468.0,54025124.0,54391828.0,54548576.0
192,54328920.0,53982148.0,54297496.0,54430788.0
193,54451496.0,54115044.0,54364600.0,54521932.0
194,54514476.0,54295584.0,54436408.0,54627332.0
195,54713472.0,54506076.0,54607172.0,54885688.0
196,54756928.0,54594100.0,54758304.0,54962276.0
197,54745972.0,54475472.0,54733196.0,54896544.0
198,54735776.0,54442560.0,54643064.0,54847812.0
199,54795716.0,54508352.0,54705108.0,54935904.0
200,54823284.0,54545636.0,54732728.0,54943996.0
201,55023548.0,54728816.0,54932408.0,55241792.0
202,55061816.0,54794608.0,54997084.0,55293388.0
203,55063720.0,54748192.0,55052272.0,55201460.0
204,55086700.0,54711540.0,55004536.0,55172048.0
205,55050212.0,54749868.0,55014120.0,55131076.0
206,55252404.0,54926944.0,55231448.0,55327636.0
207,55413896.0,55101844.0,55314096.0,55523612.0
208,55452676.0,55241264.0,55354260.0,55678304.0
209,55314688.0,55030832.0,55218456.0,55349200.0
210,55342656.0,54994724.0,55216240.0,55396732.0
211,55392684.0,55039332.0,55239984.0,55413920.0
212,55491080.0,55208000.0,55343440.0,55542376.0
213,55723036.0,55431536.0,55623048.0,55852416.0
214,55878836.0,55620604.0,55772036.0,56060324.0
215,55849872.0,55592140.0,55795824.0,56025192.0
216,55704468.0,55387436.0,55663376.0,55753068.0
217,55741128.0,55433064.0,55639740.0,55785296.0
218,55862280.0,55547492.0,55712816.0,55900260.0
219,56021452.0,55778240.0,55904864.0,56140648.0
220,56053312.0,55724172.0,55856732.0,56169316.0
221,55977436.0,55545236.0,55803524.0,55991316.0
222,55957240.0,55540564.0,55850364.0,55962616.0
223,56011232.0,55653008.0,55948476.0,56063860.0
224,56113556.0,55717144.0,56038592.0,56136404.0
225,56235192.0,55881804.0,56151664.0,56296956.0
226,56267536.0,55905220.0,56112164.0,56320468.0
227,56212088.0,55812284.0,56100796.0,56250132.0
228,56222324.0,55810680.0,56132648.0,56228980.0
229,56271128.0,55847604.0,56140968.0,56270668.0
230,56432972.0,56004464.0,56282216.0,56464940.0
231,56649672.0,56219800.0,56523120.0,56611552.0
232,56566972.0,56205176.0,56410024.0,56544940.0
233,56524424.0,56126948.0,56438188.0,56497576.0
234,56646400.0,56244072.0,56574980.0,56614176.0
235,56609816.0,56245212.0,56598716.0,56584672.0
236,56660980.0,56239120.0,56549280.0,56622152.0
237,56803800.0,56378192.0,56652128.0,56738080.0
238,56714428.0,56343912.0,56624672.0,56639604.0
239,56770696.0,56430044.0,56676132.0,56752016.0
240,56845200.0,56534512.0,56812764.0,56826424.0
241,56853544.0,56519564.0,56846512.0,56801356.0
242,56955588.0,56531440.0,56901148.0,56926968.0
243,57008232.0,56529492.0,56910312.0,56954252.0
244,56986200.0,56531924.0,56927608.0,56898592.0
245,57014100.0,56597092.0,56931376.0,56936752.0
246,57071264.0,56690728.0,57054716.0,57039240.0
247,57169320.0,56777080.0,57137220.0,57111088.0
248,57190824.0,56821628.0,57188132.0,57124908.0
249,57206128.0,56870824.0,57169796.0,57154156.0
250,57211688.0,56217580.0,57165468.0,57118604.0
251,57440812.0,56498784.0,57336260.0,57281716.0
252,57492724.0,56626236.0,57423264.0,57368140.0
253,57629228.0,56708636.0,57543868.0,57442656.0
254,57729916.0,56779136.0,57636240.0,57528352.0
255,56986924.0,56710416.0,57499856.0,57504892.0
256,57041300.0,56805332.0,57611808.0,56923148.0
257,57178640.0,56923064.0,57714268.0,56361980.0
258,57342244.0,56382468.0,56592852.0,55748804.0
259,56818116.0,55827076.0,56561764.0,55862512.0
260,55561832.0,55225340.0,55982908.0,56048772.0
261,55013872.0,55450276.0,55413140.0,55575996.0
262,55138052.0,55673868.0,55541452.0,55018520.0
263,55318848.0,53773816.0,55042548.0,55095632.0
264,54757264.0,53735468.0,54645940.0,55192652.0
265,54827124.0,53815056.0,54079536.0,55331876.0
266,55010244.0,53898532.0,54036668.0,55448672.0
267,55146004.0,53981712.0,54096440.0,54910596.0
268,55198876.0,54065556.0,54179864.0,55029048.0
269,54666192.0,54147256.0,54297148.0,55142060.0
270,54787548.0,54243692.0,54374964.0,54550572.0
271,54891216.0,54360064.0,54461816.0,54658132.0
272,54305100.0,54449296.0,54555472.0,54775984.0
273,54418724.0,53854628.0,54715984.0,54947020.0
274,54495936.0,53944912.0,54846520.0,55031120.0
275,54599940.0,54016704.0,54936188.0,54448788.0
276,54701432.0,54091316.0,54358384.0,54545720.0
277,54798904.0,54149248.0,54440844.0,54643548.0
278,54932712.0,54271352.0,54571560.0,54796744.0
279,55124752.0,54425916.0,54749548.0,54996780.0
280,55173080.0,54501232.0,54833036.0,55036684.0
281,55256012.0,54587252.0,54917684.0,55121296.0
282,55368144.0,54699020.0,55021144.0,55246688.0
283,55453300.0,54769116.0,55106532.0,55344000.0
284,55547920.0,54831052.0,55220596.0,55436164.0
285,55777832.0,54722008.0,55402196.0,55588788.0
286,55896268.0,54791096.0,55513364.0,55680288.0
287,55993456.0,54846320.0,55602528.0,55766100.0
288,56076912.0,54904332.0,55683452.0,55833268.0
289,56035688.0,54948492.0,55842688.0,55934088.0
290,55752208.0,55028520.0,55966436.0,56094900.0
291,55768324.0,55098448.0,56074936.0,56036396.0
292,55715664.0,55143212.0,55943932.0,56063732.0
293,55801928.0,55043424.0,56045164.0,55946732.0
294,55844040.0,55075704.0,56098864.0,56033056.0
295,55862836.0,55091336.0,55949356.0,56041008.0
296,56065228.0,55284180.0,56195020.0,56272468.0
297,56075580.0,55320892.0,56259496.0,56361740.0
298,56082188.0,55289380.0,56262376.0,56198536.0
299,56154112.0,55361248.0,56338728.0,56252280.0
300,56164160.0,55381000.0,56167100.0,56263508.0
301,56149944.0,55480796.0,56213724.0,56282692.0
302,56245788.0,55547964.0,56262792.0,56329888.0
303,56267968.0,55538088.0,56290580.0,56343808.0
304,56293192.0,55538984.0,56314640.0,56371272.0
305,56365624.0,55597812.0,56404412.0,56486756.0
306,56456996.0,55636812.0,56466032.0,56537588.0
307,56579048.0,55693456.0,56550788.0,56564468.0
308,56660528.0,55765600.0,56654556.0,56673908.0
309,56665884.0,55790476.0,56690984.0,56701116.0
310,56667860.0,55803064.0,56669956.0,56723016.0
311,56638800.0,55812672.0,56662632.0,56744472.0
312,56685584.0,55886572.0,56704584.0,56787936.0
313,56707464.0,55891100.0,56727468.0,56836460.0
314,56780000.0,55977928.0,56803892.0,56878116.0
315,56786320.0,55973900.0,56811876.0,56890188.0
316,56849780.0,56056240.0,56889148.0,57024016.0
317,56892904.0,56069088.0,56918500.0,57086736.0
318,56952988.0,56152356.0,56994808.0,57108872.0
319,57019156.0,56206480.0,57035720.0,57163192.0
320,57102696.0,56295016.0,57140688.0,57249856.0
321,57098408.0,56300912.0,57122036.0,57220840.0
322,57181108.0,56322740.0,57189868.0,57253836.0
323,57204436.0,56419332.0,57234464.0,57279604.0
324,57307644.0,56465024.0,57321072.0,57344880.0
325,57350364.0,56543556.0,57381108.0,57369192.0
326,57416064.0,56590696.0,57472372.0,57446844.0
327,57604340.0,56756756.0,57663040.0,57626012.0
328,57603624.0,56742224.0,57657304.0,57615580.0
329,57573356.0,56730688.0,57618724.0,57577524.0
330,57654560.0,56812976.0,57657944.0,57648632.0
331,57791208.0,56947104.0,57769156.0,57754612.0
332,57816200.0,56965112.0,57786616.0,57775612.0
333,57823488.0,57002640.0,57836816.0,57864596.0
334,57834456.0,56974904.0,57813712.0,57816048.0
335,57871248.0,57028088.0,57862824.0,57853236.0
336,57984676.0,57098360.0,57929768.0,57915568.0
337,58023836.0,57156512.0,57965288.0,58010180.0
338,57998680.0,57121096.0,57973916.0,58019648.0
339,58029432.0,57194524.0,58025396.0,58038016.0
340,58065220.0,57268316.0,58068252.0,58029572.0
341,58128420.0,57366176.0,58127176.0,58071552.0
342,58216832.0,57390780.0,58235488.0,58107672.0
343,58285676.0,57471240.0,58299028.0,58153864.0
344,58285660.0,57501604.0,58324504.0,58174320.0
345,58311972.0,57474472.0,58395060.0,58206792.0
346,58382136.0,57509500.0,58491104.0,58295392.0
347,58495732.0,57581212.0,58467720.0,58345260.0
348,58551568.0,57605844.0,58468232.0,58353404.0
349,58597728.0,57641896.0,58491776.0,58374864.0
350,58636588.0,57707908.0,58585300.0,58439584.0
351,58648904.0,57715712.0,58615900.0,58520068.0
352,58640148.0,57775760.0,58665328.0,58613676.0
353,58694124.0,57804252.0,58689384.0,58666060.0
354,58757188.0,57888476.0,58739972.0,58694100.0
355,58818696.0,57910256.0,58784004.0,58705424.0
