wMB/s,ceph01,ceph02,ceph03,ceph04
151,19.8025,35.0575,32.0,46.0663
152,17.9562,38.0025,45.1312,21.5725
153,24.8562,17.6613,45.9025,41.535
154,66.2175,39.1725,20.7425,22.195
155,29.8513,26.3987,15.5225,15.595
156,17.5612,14.8312,14.8925,21.645
157,21.355,40.9588,26.3425,49.07
158,26.39,30.7063,42.2987,32.1538
159,23.6137,23.5525,55.0162,37.9838
160,57.0513,39.5063,32.8675,29.0562
161,40.83,25.7325,12.6638,12.9038
162,21.8325,18.0425,15.3338,15.0563
163,21.3188,48.0563,25.7775,49.0262
164,28.6838,27.4788,44.81,48.755
165,27.8112,29.6588,48.29,25.9413
166,34.3238,27.1337,42.055,32.8425
167,49.2225,27.1638,15.9237,17.345
168,30.0413,31.485,17.6962,16.7775
169,24.215,51.4087,21.9325,47.8688
170,20.3425,20.7875,33.23,55.8412
171,23.7875,27.7313,45.525,16.8712
172,21.86,18.565,45.2275,29.8038
173,45.1675,23.1575,19.9213,28.5737
174,37.3912,38.6588,15.2487,15.3
175,31.86,46.3363,18.2538,33.6388
176,30.0725,19.4838,23.22,59.1013
177,16.5775,30.0425,48.0425,19.4438
178,24.0175,23.77,56.1213,26.5087
179,40.9175,25.6525,42.0362,30.1938
180,45.13,47.9887,18.3275,15.245
181,26.4037,50.885,14.3262,26.8637
182,20.965,23.715,12.7125,59.9963
183,23.3525,27.8825,42.5625,28.2037
184,22.6088,17.2525,58.465,20.9825
185,38.3988,15.7413,33.4588,32.5
186,51.5687,49.835,15.685,15.7325
187,30.7613,39.8838,16.5875,27.3575
188,23.8562,28.4588,16.815,45.7775
189,16.7925,21.7088,28.7662,33.1163
190,19.3225,16.7912,59.6775,16.59
191,35.7812,21.19,40.6988,32.3938
192,49.28,52.8188,23.6062,25.7825
193,40.89,34.9413,15.765,29.8763
194,22.0562,30.8075,17.8025,39.0337
195,15.2863,20.4738,19.2862,37.4138
196,17.9112,18.185,51.2413,18.0787
197,38.5375,31.325,58.205,29.9275
198,46.5212,45.4612,31.0637,32.5525
199,44.5762,30.0925,15.1637,34.5637
200,23.335,37.17,19.0287,25.6462
201,14.7562,18.6388,14.1687,41.5112
202,19.7038,18.6762,40.4763,29.42
203,39.5562,40.7025,66.3675,25.3487
204,40.5113,33.1125,32.9387,37.1938
205,38.0463,35.535,20.8112,42.535
206,30.64,38.4687,14.8125,15.3788
207,24.5862,16.43,22.5163,33.7475
208,21.09,16.68,22.9962,45.1887
209,38.3988,49.9763,67.13,21.59
210,36.4975,35.4138,59.255,36.6775
211,42.9063,33.08,20.73,37.1062
212,27.2338,44.2413,14.8575,17.8775
213,16.3038,17.295,13.765,19.5763
214,22.42,25.8588,16.5362,47.4538
215,42.71,46.2062,56.445,35.1962
216,35.4262,21.435,60.7488,34.6675
217,34.6638,30.9837,20.9363,34.6
218,30.51,30.7575,14.05,18.7688
219,17.5925,24.4562,14.91,14.4625
220,30.2825,41.2312,21.8675,44.0387
221,41.8175,35.5975,40.3663,46.8825
222,20.775,16.0087,56.25,22.62
223,28.2788,28.6288,29.5275,24.8025
224,39.3575,20.8287,17.4588,26.9
225,23.4913,26.9438,15.7625,15.2725
226,33.4288,54.9312,21.1625,36.5513
227,37.9238,27.2188,40.4888,54.505
228,14.96,19.3875,45.4688,24.5638
229,23.2288,28.9775,43.7812,20.905
230,36.9162,14.2037,14.6275,27.6813
231,32.5337,30.2,16.6375,17.0188
232,39.7575,59.045,24.775,37.5263
233,26.36,22.9162,33.7263,49.5087
234,15.9,23.1625,37.82,21.075
235,25.2463,32.6875,45.9438,19.2225
