apply_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
83,0.264099,0.238918,0.24138,0.256317,0.198495,0.237615,0.223035,0.214713,0.252553,0.242122,0.187822,0.214459,0.200985,0.249547,0.241585,0.199783,0.199346,0.227204,0.194201,0.195861,0.381643,0.461194,0.232854,0.189908,0.197927,0.258645,0.2212,0.210203,0.211329,0.205037,0.253749,0.21982
84,0.593419,0.664639,0.616853,0.52828,0.456598,0.620651,0.580654,0.568531,0.586778,0.633458,0.597129,0.497137,0.558946,0.704351,0.616905,0.473024,0.580046,0.548796,0.612626,0.570523,0.743598,0.814417,0.639315,0.595033,0.431194,0.627343,0.838056,0.892007,0.489172,0.502137,0.637852,0.550703
85,0.75742,0.830384,0.809848,0.741181,0.612176,0.80871,0.755239,0.789389,0.758511,0.772918,0.764473,0.637593,0.740832,0.863629,1.045584,0.975174,0.814956,0.742573,0.83137,0.769308,0.923864,1.029823,0.811987,0.848262,0.774965,0.834352,1.033453,1.110572,0.659631,0.703627,1.151842,1.081305
86,0.41491,0.53373,0.729891,0.593595,0.495473,0.798801,0.863003,0.947894,0.559042,0.469145,0.671381,0.384414,0.417691,0.706568,0.96647,0.895548,0.721625,0.544545,0.670394,0.570765,0.780015,0.952442,0.643045,0.692287,0.751228,0.951686,0.864983,0.992969,0.392547,0.437902,1.063876,1.000451
87,0.047245,0.037657,0.123745,0.145237,0.091234,0.355515,0.230177,0.300616,0.257513,0.043039,0.146885,0.071146,0.060923,0.110824,0.179874,0.122132,0.123285,0.177542,0.05689,0.043729,0.106366,0.252286,0.045961,0.051862,0.061591,0.25125,0.143749,0.21281,0.067933,0.088673,0.362655,0.243982
88,0.1604,0.208254,0.169541,0.125294,0.121838,0.212623,0.200048,0.200341,0.143802,0.190367,0.180363,0.181355,0.307995,0.294644,0.147081,0.174792,0.171632,0.127651,0.174203,0.210193,0.160322,0.205469,0.393525,0.287013,0.133694,0.198182,0.164555,0.214401,0.302064,0.266749,0.237438,0.174452
89,0.155547,0.139916,0.12679,0.15293,0.103659,0.151695,0.133539,0.163979,0.170102,0.145163,0.117184,0.149664,0.110529,0.150965,0.143209,0.100553,0.135465,0.135396,0.159219,0.129782,0.291556,0.384446,0.223704,0.150781,0.14519,0.138123,0.153213,0.185571,0.134908,0.132213,0.137254,0.12922
90,0.478072,0.485406,0.489795,0.480536,0.466258,0.540666,0.507617,0.546483,0.550603,0.539056,0.496297,0.436679,0.420271,0.55663,0.514918,0.327741,0.530365,0.437501,0.563175,0.50299,0.624254,0.742784,0.57812,0.534194,0.402666,0.475377,0.74141,0.858408,0.535316,0.470697,0.435592,0.434542
91,0.3959,0.453612,0.456435,0.434865,0.3518,0.589156,0.488018,0.533807,0.476158,0.562285,0.478507,0.476301,0.278749,0.556702,0.829648,0.510632,0.596045,0.407004,0.594684,0.515164,0.693472,0.815011,0.683628,0.564431,0.437004,0.825441,0.797169,0.909538,0.45841,0.389172,0.867804,0.854332
92,0.106036,0.123956,0.256497,0.198786,0.077793,0.329323,0.240363,0.295707,0.23219,0.261641,0.277253,0.243711,0.056214,0.164977,0.414117,0.178839,0.450037,0.142781,0.214925,0.138302,0.332259,0.456977,0.305986,0.197773,0.092955,0.478386,0.32485,0.44506,0.127273,0.105029,0.510165,0.418652
93,0.089061,0.199842,0.089968,0.109698,0.075135,0.205884,0.113695,0.243599,0.18707,0.083896,0.068278,0.071159,0.124368,0.115209,0.075213,0.073331,0.166482,0.03901,0.167707,0.165267,0.044603,0.069361,0.05764,0.059722,0.043248,0.070912,0.086546,0.061193,0.127348,0.153138,0.09556,0.075281
94,0.120979,0.174199,0.108226,0.109681,0.095215,0.160641,0.127101,0.169239,0.168738,0.125157,0.142972,0.096686,0.322621,0.355777,0.145342,0.109161,0.108288,0.086308,0.228572,0.219023,0.072165,0.088243,0.355226,0.380303,0.112571,0.178623,0.113061,0.142569,0.368548,0.322587,0.129794,0.122787
95,0.22634,0.272448,0.244126,0.219607,0.225971,0.297027,0.246318,0.216793,0.288186,0.222173,0.261019,0.259121,0.419491,0.440617,0.225881,0.218326,0.157387,0.088751,0.192998,0.184287,0.41841,0.570167,0.604086,0.574461,0.23498,0.316341,0.250472,0.27234,0.418514,0.397935,0.263661,0.219888
96,0.51165,0.610106,0.640095,0.542518,0.542601,0.703589,0.587411,0.654006,0.599324,0.563203,0.632093,0.595186,0.723582,0.806062,0.630202,0.538075,0.5169,0.403307,0.533035,0.528496,0.838002,0.899237,0.885452,0.856738,0.669531,0.571524,0.828191,0.823878,0.717801,0.729946,0.588772,0.549202
97,0.339897,0.513612,0.597108,0.382358,0.365604,0.682947,0.421378,0.565982,0.387069,0.391483,0.560015,0.487066,0.575518,0.783917,1.05095,0.817588,0.441021,0.252058,0.46276,0.454671,0.899031,0.972599,0.965844,0.941148,0.561329,0.914813,0.795048,0.951747,0.590379,0.557947,1.028095,0.86841
98,0.210303,0.489456,0.626498,0.273412,0.320232,0.700628,0.237289,0.531625,0.280564,0.374768,0.621316,0.454793,0.244948,0.564401,0.81848,0.533717,0.619062,0.371455,0.231791,0.212915,0.592988,0.666377,0.678289,0.757965,0.230526,0.680758,0.561256,0.776453,0.313509,0.242125,0.813828,0.599986
99,0.135863,0.50953,0.655674,0.299761,0.34429,0.792322,0.143199,0.537424,0.190696,0.202753,0.374608,0.231675,0.275055,0.6037,0.554059,0.36249,0.529783,0.253444,0.352221,0.338692,0.310329,0.459213,0.379078,0.514604,0.108491,0.44716,0.32041,0.575949,0.302353,0.200809,0.600521,0.389891
100,0.11906,0.323105,0.488823,0.163952,0.160406,0.726343,0.089576,0.431017,0.134403,0.127205,0.196995,0.140116,0.331767,0.805031,0.347134,0.165521,0.338564,0.074386,0.467722,0.485418,0.122549,0.280211,0.514406,0.612702,0.090329,0.266165,0.193294,0.425717,0.39458,0.330481,0.461196,0.254622
101,0.256956,0.312073,0.48784,0.236157,0.194181,0.650399,0.218573,0.486183,0.207673,0.241415,0.263627,0.217716,0.326928,0.786952,0.368316,0.186102,0.271894,0.135811,0.436446,0.400949,0.236624,0.293912,0.708363,0.765861,0.272236,0.317966,0.213734,0.478146,0.394889,0.334407,0.496784,0.285533
102,0.128976,0.187358,0.397222,0.118982,0.093982,0.557257,0.11028,0.461486,0.109798,0.16718,0.202958,0.097466,0.193993,0.857455,0.313908,0.128959,0.237533,0.062748,0.493656,0.361559,0.729139,0.816334,0.704404,0.7819,0.392634,0.507914,0.418487,0.697973,0.227468,0.185282,0.492727,0.271914
103,0.084956,0.087672,0.069506,0.017573,0.024763,0.188375,0.016912,0.126188,0.114521,0.112351,0.108136,0.142599,0.029703,0.414715,0.211416,0.177297,0.009714,0.010331,0.199834,0.050844,0.45354,0.527414,0.373794,0.529374,0.065438,0.26245,0.099407,0.446573,0.022157,0.021635,0.460419,0.259355
104,0.061499,0.075878,0.140011,0.102233,0.246767,0.180804,0.394117,0.420069,0.140033,0.145316,0.079171,0.102197,0.056277,0.086781,0.077275,0.05519,0.089626,0.080834,0.035711,0.035595,0.084191,0.1047,0.038838,0.122362,0.041745,0.056,0.061504,0.132999,0.056912,0.051772,0.103128,0.059052
105,0.139712,0.135734,0.183417,0.18265,0.266334,0.291344,0.300688,0.377742,0.126899,0.148466,0.136083,0.104819,0.199176,0.260521,0.149775,0.113859,0.20161,0.155481,0.203911,0.242106,0.148525,0.160267,0.124918,0.153241,0.112314,0.154051,0.122868,0.137767,0.206631,0.228061,0.132831,0.134811
106,0.304391,0.311033,0.332921,0.25772,0.285499,0.335193,0.300649,0.378984,0.338386,0.294951,0.293319,0.260308,0.470717,0.535953,0.380715,0.267665,0.166917,0.149907,0.418778,0.509807,0.172582,0.158333,0.135541,0.091214,0.305439,0.282023,0.2971,0.313606,0.467729,0.493282,0.312172,0.302593
