apply_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
133,0.14065,0.142033,0.152415,0.087104,0.125364,0.193181,0.175026,0.209487,0.468697,0.35009,0.525856,0.477735,0.128158,0.225446,0.338547,0.195319,0.198767,0.194567,0.278356,0.264206,0.586965,0.595016,0.291263,0.322771,0.112416,0.112744,0.47923,0.573491,0.118949,0.112128,0.836802,0.739957
134,0.090407,0.105787,0.378103,0.373238,0.156637,0.169507,0.393874,0.377062,0.650928,0.500939,0.549468,0.470481,0.085651,0.305804,0.279529,0.124743,0.493126,0.369972,0.129356,0.139536,0.401289,0.474975,0.166654,0.266828,0.103272,0.134877,0.385825,0.492488,0.123087,0.102343,0.808855,0.727316
135,0.055151,0.055385,0.124313,0.118259,0.160007,0.172989,0.309492,0.364826,0.304409,0.185707,0.222943,0.159313,0.077788,0.226259,0.089065,0.022797,0.416964,0.269829,0.047347,0.070138,0.333103,0.39085,0.076452,0.228659,0.114362,0.122862,0.112945,0.17459,0.083616,0.088208,0.451676,0.358509
136,0.186608,0.385152,0.230288,0.162885,0.167483,0.196693,0.164432,0.182191,0.228055,0.186973,0.173078,0.141479,0.159118,0.432153,0.185634,0.178552,0.117981,0.089466,0.098135,0.118447,0.090666,0.086899,0.071273,0.058459,0.207642,0.25054,0.211654,0.210687,0.350727,0.32726,0.256758,0.257206
137,0.414373,0.689652,0.477603,0.385988,0.379684,0.450298,0.397919,0.509079,0.536757,0.424337,0.370482,0.325035,0.362008,0.70518,0.462836,0.365043,0.238499,0.230098,0.152087,0.221796,0.215727,0.206362,0.644082,0.663506,0.402858,0.526352,0.474904,0.485661,0.606336,0.600161,0.567337,0.514925
138,0.665437,0.874307,0.666171,0.634106,0.597285,0.673184,0.643914,0.784454,0.751503,0.650358,0.59378,0.534021,0.519541,0.991902,0.932302,0.808516,0.460738,0.366089,0.360277,0.42724,0.939884,0.97048,0.847278,0.867843,0.516355,0.697274,1.062638,1.089602,0.752065,0.727208,1.017217,0.896397
139,0.458738,0.761285,0.468425,0.383565,0.32186,0.480176,0.450856,0.723372,0.999637,0.890084,0.810685,0.709414,0.236233,1.031869,0.975547,0.807947,0.622986,0.489472,0.532624,0.599077,1.080817,1.114172,1.006027,1.075608,0.289313,0.510763,1.036308,1.219087,0.627881,0.55976,1.228087,1.042672
140,0.342533,0.427365,0.477724,0.384783,0.332869,0.601983,0.476091,0.771577,0.922989,0.833572,0.645672,0.534791,0.160062,0.843133,0.78526,0.480316,0.888512,0.699596,0.284048,0.37597,0.950078,1.012661,0.847606,1.034387,0.210551,0.359927,0.698104,1.042937,0.389758,0.327231,1.038546,0.8494
141,0.154789,0.15699,0.051428,0.050536,0.178155,0.423822,0.21646,0.432916,0.351795,0.336533,0.142872,0.057657,0.043987,0.672025,0.271351,0.03596,0.582637,0.365272,0.164676,0.203209,0.612222,0.708109,0.509196,0.798512,0.034433,0.117596,0.113452,0.538639,0.291488,0.236325,0.565508,0.287557
142,0.115819,0.156708,0.081719,0.058377,0.087559,0.223537,0.104379,0.235636,0.139652,0.164155,0.091527,0.047528,0.05075,0.500216,0.122416,0.062684,0.12824,0.04216,0.122349,0.136077,0.178872,0.293547,0.06939,0.385277,0.065248,0.056859,0.059677,0.307574,0.304019,0.222493,0.386215,0.132129
143,0.11139,0.120546,0.114919,0.080971,0.108396,0.170525,0.073873,0.197402,0.123718,0.120607,0.111294,0.098612,0.114212,0.424223,0.112151,0.10954,0.085776,0.070163,0.078098,0.084859,0.069415,0.126692,0.347333,0.71324,0.108229,0.125586,0.09794,0.23775,0.196106,0.127437,0.323787,0.152029
144,0.073643,0.068494,0.059621,0.063371,0.051125,0.092707,0.073099,0.100779,0.058911,0.047436,0.04723,0.056005,0.041729,0.216275,0.15907,0.340818,0.088891,0.058238,0.076365,0.123081,0.227463,0.523039,0.336876,0.689987,0.063526,0.063651,0.086365,0.293495,0.095803,0.063978,0.245093,0.261107
145,0.047571,0.042028,0.096322,0.081457,0.035432,0.057474,0.057574,0.069959,0.196148,0.146605,0.451957,0.474735,0.068973,0.088834,0.052444,0.080131,0.062533,0.060323,0.086488,0.075739,0.066264,0.173863,0.070271,0.339216,0.120942,0.068584,0.059751,0.095744,0.075873,0.076735,0.139487,0.199492
146,0.036013,0.00965,0.089044,0.118644,0.036959,0.03335,0.018409,0.033218,0.029597,0.015453,0.188452,0.19461,0.126262,0.158036,0.014782,0.007542,0.11049,0.281793,0.023289,0.024175,0.019459,0.024871,0.028257,0.042245,0.098057,0.101785,0.016224,0.009308,0.014067,0.012025,0.028206,0.019564
147,0.10606,0.158753,0.09866,0.113926,0.117001,0.112681,0.10563,0.110467,0.108492,0.100379,0.106737,0.086336,0.098821,0.158718,0.121601,0.108696,0.029165,0.02157,0.121994,0.135679,0.022118,0.022535,0.019216,0.02452,0.103548,0.124961,0.1126,0.107971,0.139341,0.341308,0.098457,0.108146
148,0.173446,0.276861,0.172559,0.196772,0.207993,0.23577,0.177908,0.240343,0.238441,0.241179,0.202148,0.203809,0.119756,0.258318,0.207249,0.165422,0.135633,0.111762,0.249029,0.288793,0.15554,0.147573,0.16141,0.155551,0.176565,0.25866,0.220785,0.222043,0.219668,0.425504,0.234606,0.31264
149,0.351851,0.466745,0.326294,0.397643,0.405155,0.429318,0.377359,0.476445,0.468712,0.437667,0.381404,0.434423,0.309474,0.527831,0.484014,0.357486,0.203148,0.144966,0.255733,0.345117,0.181285,0.163361,0.561997,0.633679,0.338789,0.460496,0.368896,0.403435,0.418724,0.593759,0.475747,0.570274
150,0.16088,0.372652,0.158344,0.225029,0.158006,0.24295,0.197752,0.454831,0.360862,0.275368,0.147151,0.325434,0.126727,0.540201,0.513242,0.545179,0.400815,0.267028,0.461228,0.551407,0.771989,0.743397,0.702335,0.820965,0.122118,0.249094,0.500971,0.81459,0.245723,0.471092,0.575579,0.763871
151,0.143496,0.159196,0.133195,0.081177,0.057093,0.088354,0.040589,0.205001,0.295843,0.117833,0.224284,0.337883,0.109486,0.239128,0.185898,0.165586,0.173738,0.053202,0.267187,0.322343,0.618153,0.663548,0.530891,0.73514,0.143005,0.202878,0.169477,0.448312,0.088877,0.182007,0.490466,0.623507
152,0.042955,0.077665,0.053913,0.049834,0.138079,0.141077,0.13365,0.253599,0.114702,0.043655,0.042073,0.055313,0.070073,0.248915,0.047138,0.047328,0.218308,0.15965,0.08871,0.077614,0.209641,0.313168,0.16583,0.386171,0.046612,0.157199,0.037219,0.095588,0.040104,0.048441,0.114288,0.151641
153,0.108474,0.14841,0.145787,0.111509,0.196786,0.259921,0.127593,0.295038,0.10499,0.133841,0.151906,0.12277,0.07862,0.200059,0.12408,0.085135,0.023858,0.029357,0.183449,0.144516,0.022178,0.043475,0.02213,0.055814,0.114593,0.075913,0.108263,0.130447,0.483898,0.410434,0.091306,0.158915
154,0.370641,0.389267,0.470386,0.337804,0.396032,0.572541,0.413804,0.62827,0.456231,0.483135,0.445767,0.442399,0.388922,0.52692,0.371122,0.291952,0.147942,0.204738,0.396293,0.401013,0.166828,0.123798,0.173516,0.139488,0.362601,0.388203,0.448218,0.439771,0.725687,0.682309,0.459833,0.531056
155,0.236312,0.301357,0.463626,0.228342,0.228779,0.53098,0.31166,0.646096,0.357915,0.444638,0.418546,0.324707,0.302165,0.569126,0.560182,0.679945,0.435184,0.439411,0.631944,0.632808,0.46708,0.363297,0.835678,0.690108,0.218583,0.283292,0.475531,0.485613,0.675045,0.657488,0.47167,0.584299
156,0.335213,0.261975,0.370574,0.176673,0.117133,0.466433,0.251562,0.581052,0.255149,0.432613,0.449009,0.2514,0.318012,0.547494,0.489764,0.58552,0.428604,0.30138,0.618328,0.52135,0.807972,0.726842,0.786774,0.698422,0.290866,0.226487,0.690284,0.725047,0.495338,0.516845,0.605276,0.806514
157,0.141236,0.040623,0.251808,0.111739,0.003853,0.124954,0.036895,0.311263,0.119412,0.322262,0.39872,0.185347,0.191805,0.470608,0.123271,0.149606,0.609795,0.403398,0.553408,0.458673,0.745861,0.652775,0.725381,0.610309,0.146736,0.172488,0.345841,0.43628,0.200484,0.198153,0.645981,0.821555
158,0.015679,0.020763,0.013422,0.013932,0.234592,0.255121,0.056834,0.166506,0.019607,0.024147,0.020509,0.015643,0.017664,0.207428,0.013534,0.012943,0.5072,0.264153,0.177659,0.111573,0.331121,0.274486,0.388034,0.286753,0.012727,0.012294,0.014983,0.013067,0.011112,0.01114,0.064589,0.158208
159,0.114399,0.12404,0.089254,0.084669,0.162144,0.176927,0.121159,0.093692,0.108297,0.101883,0.126498,0.100088,0.097575,0.117791,0.122435,0.107224,0.024247,0.011304,0.160251,0.148947,0.015056,0.014544,0.012993,0.015275,0.08092,0.106147,0.090118,0.109032,0.513413,0.348234,0.092598,0.118331
160,0.19614,0.2758,0.263805,0.207256,0.260196,0.298246,0.258014,0.293485,0.356582,0.208863,0.282767,0.233698,0.240479,0.356096,0.373496,0.354615,0.122654,0.118312,0.271779,0.293204,0.110432,0.147896,0.104165,0.120606,0.219355,0.270145,0.274384,0.290968,0.662046,0.433969,0.3485,0.25433
161,0.157423,0.170835,0.180251,0.166802,0.188985,0.196064,0.169396,0.215137,0.191734,0.179701,0.186215,0.241316,0.195006,0.309487,0.212579,0.272083,0.217113,0.129705,0.299923,0.310305,0.324425,0.34471,0.685062,0.637038,0.101575,0.158774,0.133869,0.142999,0.335238,0.116099,0.145134,0.160262
162,0.125697,0.085504,0.079167,0.054248,0.062977,0.063206,0.044169,0.082643,0.079959,0.05816,0.06305,0.13788,0.101932,0.204693,0.077597,0.089587,0.218649,0.170422,0.212969,0.183348,0.363484,0.376509,0.476377,0.423819,0.12834,0.255763,0.359492,0.418656,0.089546,0.032612,0.265445,0.165315
163,0.021892,0.040594,0.120136,0.098434,0.010854,0.016868,0.149735,0.055671,0.078108,0.046108,0.134971,0.131939,0.028188,0.036309,0.029683,0.03745,0.200939,0.13655,0.079611,0.047074,0.170872,0.161526,0.219644,0.225406,0.002834,0.068177,0.00218,0.024018,0.004213,0.001808,0.087453,0.045136
164,0.097114,0.090188,0.107814,0.080197,0.203809,0.273677,0.160676,0.098001,0.1196,0.125428,0.089494,0.092586,0.088966,0.110169,0.098667,0.093663,0.047898,0.045176,0.039959,0.028028,0.029178,0.08358,0.019441,0.019868,0.065069,0.071798,0.070353,0.08325,0.070043,0.071601,0.078486,0.075034
165,0.124351,0.113879,0.135936,0.091948,0.091459,0.086161,0.087287,0.110547,0.094302,0.098862,0.122433,0.087981,0.072145,0.098124,0.091995,0.102366,0.079247,0.07625,0.165812,0.193196,0.106108,0.071143,0.087224,0.083343,0.084069,0.093829,0.079571,0.109874,0.134728,0.144896,0.071302,0.076813
166,0.028743,0.039184,0.036006,0.040905,0.025565,0.042388,0.026723,0.052344,0.021286,0.030248,0.047756,0.027426,0.024634,0.048538,0.044683,0.03177,0.107155,0.081142,0.15023,0.166272,0.078298,0.110178,0.100774,0.111214,0.027454,0.066645,0.058813,0.057073,0.054957,0.079111,0.078777,0.107043
167,0.110372,0.080802,0.075999,0.064687,0.060521,0.068442,0.06671,0.07819,0.075682,0.065638,0.059177,0.048128,0.06036,0.09567,0.054158,0.057319,0.022426,0.023902,0.027276,0.040538,0.039457,0.046983,0.025945,0.030657,0.095815,0.102969,0.090337,0.070392,0.052086,0.064698,0.074677,0.079956
168,0.036045,0.031253,0.124009,0.154371,0.031239,0.029933,0.050709,0.068245,0.034595,0.036431,0.032827,0.026554,0.032892,0.102205,0.04028,0.027946,0.096855,0.086786,0.105646,0.087067,0.327241,0.127153,0.102995,0.130234,0.024297,0.037286,0.038201,0.04654,0.031579,0.031326,0.033075,0.031596
169,0.112932,0.11813,0.201354,0.295788,0.117306,0.156001,0.363028,0.357643,0.363047,0.236994,0.314406,0.33592,0.116958,0.283303,0.146807,0.133552,0.079699,0.145989,0.046362,0.039941,0.03853,0.034136,0.035182,0.043871,0.097099,0.168502,0.120054,0.136114,0.119598,0.107794,0.131054,0.156758
170,0.010094,0.014181,0.050719,0.081329,0.043419,0.125067,0.104836,0.117563,0.186839,0.140137,0.167671,0.267919,0.011106,0.096129,0.032644,0.033593,0.114774,0.116699,0.176309,0.146298,0.170057,0.174856,0.152848,0.143339,0.022325,0.02363,0.052017,0.061719,0.041526,0.047429,0.028052,0.064324
171,0.207054,0.202863,0.213157,0.172128,0.190816,0.183863,0.180992,0.21561,0.238484,0.188441,0.208348,0.197326,0.1961,0.233861,0.186001,0.189123,0.009688,0.007618,0.070377,0.11149,0.010019,0.020524,0.010635,0.008573,0.207445,0.204497,0.154658,0.176753,0.375675,0.325541,0.198819,0.174231
172,0.550032,0.539831,0.500546,0.424808,0.366653,0.431733,0.446412,0.436834,0.471299,0.405582,0.468183,0.37543,0.363197,0.578081,0.754471,0.584694,0.25086,0.247008,0.252795,0.262159,0.231599,0.252728,0.224072,0.246141,0.602193,0.511383,0.431716,0.529515,0.680545,0.624586,0.5899,0.501028
173,0.240177,0.214402,0.12826,0.088206,0.056728,0.144496,0.12372,0.143705,0.127273,0.081021,0.130569,0.070352,0.133806,0.322423,0.396544,0.215013,0.460259,0.42832,0.428224,0.474169,0.492942,0.623807,0.829891,0.783752,0.391802,0.50667,0.214976,0.399967,0.390274,0.273954,0.341788,0.240026
174,0.055197,0.050256,0.077481,0.082692,0.069496,0.063647,0.165212,0.201205,0.048058,0.02486,0.039835,0.054917,0.045507,0.073899,0.05997,0.05198,0.15654,0.181655,0.094771,0.13259,0.389668,0.343058,0.472431,0.457925,0.03415,0.127614,0.03947,0.065636,0.045662,0.036637,0.097712,0.098667
175,0.043588,0.063842,0.078151,0.085083,0.173696,0.15328,0.218852,0.256811,0.466325,0.424133,0.42144,0.460025,0.046089,0.073374,0.041264,0.043416,0.072218,0.066704,0.060745,0.057188,0.063306,0.059775,0.054776,0.067965,0.054931,0.082115,0.078991,0.067899,0.059354,0.066206,0.101906,0.070308
176,0.042413,0.033738,0.029813,0.037013,0.139338,0.143412,0.040453,0.057549,0.23694,0.217799,0.181154,0.226551,0.040048,0.043128,0.049,0.037353,0.046918,0.037491,0.050431,0.058099,0.046641,0.068256,0.053536,0.04632,0.030771,0.032408,0.034734,0.035972,0.044417,0.053248,0.034693,0.043189
177,0.187245,0.207073,0.212085,0.178986,0.15863,0.257034,0.147726,0.216679,0.255838,0.281108,0.213845,0.207376,0.158775,0.194395,0.326484,0.294113,0.067612,0.053948,0.163486,0.172369,0.033596,0.042163,0.033112,0.038067,0.130137,0.168778,0.105943,0.149321,0.445208,0.495714,0.138797,0.153091
178,0.145246,0.282557,0.150386,0.095608,0.08623,0.184372,0.073248,0.161917,0.132607,0.174262,0.098115,0.101507,0.264927,0.157442,0.260995,0.18804,0.235263,0.184815,0.302657,0.235403,0.179467,0.212163,0.174169,0.205815,0.121958,0.218927,0.06492,0.111918,0.334787,0.433786,0.094104,0.099757
179,0.045823,0.123012,0.026152,0.027223,0.041139,0.036198,0.036368,0.04768,0.036565,0.037725,0.03126,0.030862,0.066448,0.068078,0.060071,0.03419,0.093883,0.054089,0.165924,0.074963,0.14649,0.256341,0.268611,0.371068,0.035424,0.122949,0.150352,0.111785,0.035774,0.080733,0.137128,0.150987
180,0.114057,0.123766,0.388459,0.310993,0.121192,0.126969,0.288352,0.324495,0.130861,0.175251,0.174471,0.140025,0.131375,0.175789,0.16952,0.146625,0.174187,0.103112,0.048047,0.040628,0.100945,0.209759,0.070551,0.088004,0.143989,0.200114,0.162311,0.228088,0.148249,0.161108,0.475528,0.412246
181,0.091539,0.09037,0.299937,0.131059,0.216067,0.353275,0.451838,0.289283,0.267229,0.384083,0.42598,0.303401,0.067754,0.071431,0.10808,0.092541,0.365776,0.280659,0.166188,0.155476,0.177449,0.148602,0.165268,0.191843,0.075155,0.095273,0.072805,0.12862,0.077066,0.072462,0.385811,0.282604
182,0.295741,0.294516,0.483128,0.230467,0.532523,0.625612,0.560638,0.45428,0.45066,0.58724,0.607557,0.517149,0.27404,0.339312,0.291041,0.288975,0.28263,0.144918,0.099433,0.097467,0.090487,0.078907,0.081239,0.080102,0.24664,0.28883,0.28734,0.328004,0.472289,0.384053,0.50893,0.3946
183,0.447335,0.282666,0.379395,0.097754,0.403719,0.575639,0.508805,0.324349,0.335492,0.504578,0.540138,0.438385,0.202859,0.344932,0.588629,0.494786,0.436848,0.147109,0.442596,0.500378,0.23322,0.280787,0.278978,0.285696,0.260539,0.232848,0.134223,0.27991,0.665589,0.526248,0.452416,0.38594
184,0.05669,0.051124,0.030073,0.010751,0.028804,0.114981,0.094833,0.024335,0.039659,0.15798,0.183427,0.094712,0.072875,0.100804,0.265298,0.191421,0.331263,0.046803,0.627696,0.666339,0.135059,0.232259,0.172893,0.248975,0.132534,0.221731,0.084703,0.029561,0.206354,0.137175,0.107867,0.067927
185,0.061263,0.072065,0.077598,0.101905,0.05344,0.070264,0.059304,0.096213,0.069974,0.067088,0.07461,0.068163,0.071381,0.090879,0.066529,0.052815,0.025762,0.009913,0.178634,0.18497,0.153864,0.159319,0.115764,0.190968,0.041933,0.050848,0.17533,0.210488,0.064849,0.044354,0.352722,0.31743
186,0.141364,0.105388,0.291716,0.270618,0.098448,0.123397,0.299324,0.126563,0.111166,0.118602,0.063008,0.067958,0.111014,0.107003,0.114763,0.11045,0.36049,0.193623,0.073921,0.096793,0.133212,0.149995,0.085903,0.078823,0.11511,0.114615,0.111343,0.1199,0.105082,0.086081,0.23711,0.249222
187,0.134705,0.12979,0.21841,0.298294,0.345468,0.405614,0.258493,0.192541,0.382625,0.511331,0.435921,0.462376,0.111269,0.141903,0.124978,0.105141,0.216181,0.119099,0.107295,0.121092,0.117144,0.120714,0.126334,0.131985,0.1173,0.142072,0.195794,0.193197,0.148048,0.129853,0.22098,0.288748
188,0.415324,0.370355,0.276006,0.337646,0.608093,0.688925,0.28757,0.340218,0.578559,0.682447,0.540678,0.51266,0.299054,0.325637,0.313598,0.291256,0.260403,0.122807,0.112176,0.134678,0.123038,0.173336,0.139469,0.146264,0.253493,0.272126,0.287279,0.314972,0.413484,0.302747,0.311769,0.353421
189,0.260106,0.405259,0.199965,0.155035,0.489982,0.56699,0.116392,0.205706,0.417117,0.53479,0.379519,0.291212,0.392277,0.213383,0.536377,0.408417,0.379141,0.232667,0.448983,0.450263,0.219923,0.267202,0.328461,0.293454,0.230657,0.279789,0.089032,0.119355,0.644079,0.422898,0.180391,0.247504
190,0.090699,0.219981,0.074842,0.043432,0.232222,0.328775,0.030571,0.086624,0.227683,0.446472,0.166522,0.096752,0.244503,0.428591,0.351435,0.179436,0.25852,0.062004,0.57765,0.394942,0.059132,0.111684,0.178258,0.182632,0.073444,0.231682,0.105023,0.056577,0.471743,0.178362,0.094296,0.111389
191,0.064283,0.067377,0.041954,0.031136,0.08183,0.068964,0.185153,0.101313,0.053116,0.088932,0.067495,0.046715,0.043949,0.087265,0.069978,0.056578,0.09558,0.028981,0.249371,0.176672,0.210407,0.257858,0.249935,0.238957,0.061682,0.057128,0.067379,0.146443,0.067225,0.045965,0.179757,0.206252
192,0.165509,0.181155,0.63504,0.623404,0.168158,0.234677,0.410501,0.273188,0.220293,0.271373,0.224519,0.166373,0.192359,0.281887,0.257688,0.187323,0.184733,0.160121,0.076816,0.064983,0.111963,0.122793,0.061874,0.05853,0.174049,0.223488,0.275937,0.182139,0.22654,0.257614,0.47932,0.465563
193,0.42634,0.350831,0.771665,0.819785,0.550358,0.60123,0.610609,0.520516,0.607421,0.779451,0.742447,0.662069,0.293819,0.566696,0.441671,0.333649,0.299489,0.211562,0.247684,0.232979,0.253878,0.283826,0.295853,0.251565,0.314235,0.435074,0.539322,0.424944,0.495841,0.498508,0.734604,0.686555
194,0.624041,0.544135,0.797417,0.828826,0.750573,0.806073,0.634948,0.587243,0.807436,0.93017,0.811285,0.755906,0.325943,0.722461,0.455115,0.36117,0.546458,0.365185,0.451021,0.477338,0.473781,0.570346,0.621507,0.416281,0.256256,0.465984,0.525293,0.447953,0.637339,0.636058,0.793839,0.803818
195,0.320641,0.422763,0.641918,0.609619,0.48657,0.59841,0.372833,0.39156,0.544539,0.683312,0.575451,0.502522,0.175987,0.904931,0.398554,0.312045,0.507807,0.281995,0.872818,0.981986,0.456042,0.626009,0.657306,0.400678,0.199854,0.456241,0.216318,0.196022,0.783499,0.872558,0.537608,0.567027
196,0.106758,0.222434,0.281367,0.289384,0.185142,0.268608,0.163799,0.221929,0.256003,0.326788,0.286579,0.234771,0.074123,0.759195,0.174639,0.116072,0.251701,0.070945,0.737962,0.913456,0.221302,0.455376,0.484731,0.145447,0.127706,0.293384,0.247404,0.504582,0.35374,0.517812,0.248542,0.26048
197,0.120026,0.127355,0.128035,0.13378,0.097847,0.103182,0.174699,0.173423,0.115342,0.101658,0.149313,0.120397,0.124515,0.458335,0.151861,0.076694,0.104377,0.052997,0.299402,0.439842,0.183467,0.296283,0.519847,0.21466,0.150721,0.126741,0.1732,0.448388,0.115041,0.208194,0.3034,0.33658
198,0.062416,0.056678,0.468186,0.551597,0.055514,0.055163,0.053439,0.074925,0.068542,0.071931,0.067823,0.047857,0.056767,0.337272,0.070532,0.039427,0.484498,0.474831,0.100983,0.163847,0.208988,0.234451,0.198413,0.117794,0.054622,0.062643,0.108875,0.261647,0.065267,0.078004,0.374212,0.405798
199,0.106504,0.109333,0.213926,0.321243,0.151313,0.156323,0.04254,0.042469,0.156185,0.159002,0.37687,0.318748,0.027382,0.128821,0.045344,0.042419,0.331181,0.291483,0.063048,0.060193,0.065555,0.108223,0.07252,0.057971,0.024005,0.036702,0.031987,0.102857,0.045473,0.033271,0.167807,0.203696
200,0.098955,0.258004,0.061645,0.104855,0.168045,0.170837,0.07982,0.078999,0.170647,0.128507,0.18471,0.164641,0.151448,0.108492,0.075301,0.084019,0.110884,0.09467,0.040289,0.035603,0.060571,0.036995,0.041331,0.051757,0.058285,0.081859,0.048844,0.061446,0.142443,0.097638,0.096813,0.059187
201,0.006824,0.006751,0.008964,0.010275,0.007286,0.010761,0.011105,0.013182,0.010548,0.007961,0.009594,0.009142,0.011116,0.018995,0.106844,0.099827,0.047947,0.046211,0.308161,0.387349,0.050111,0.061194,0.071778,0.087597,0.20445,0.183784,0.061172,0.012625,0.121153,0.112852,0.013302,0.012422
202,0.04554,0.049264,0.052903,0.045862,0.037421,0.061934,0.306574,0.103085,0.0485,0.059402,0.050822,0.047395,0.056663,0.058757,0.047399,0.049663,0.009296,0.007895,0.035687,0.06933,0.009377,0.00957,0.029752,0.01844,0.119287,0.116838,0.078003,0.156673,0.044738,0.045497,0.050684,0.063326
203,0.098458,0.171747,0.213359,0.147588,0.085998,0.167383,0.414405,0.22266,0.175985,0.177961,0.108734,0.182887,0.212259,0.178555,0.168098,0.1265,0.06022,0.05607,0.051994,0.06006,0.186391,0.142902,0.227654,0.271746,0.137029,0.187518,0.127927,0.184252,0.131137,0.17636,0.227649,0.282186
204,0.074461,0.033225,0.345639,0.305088,0.019207,0.036848,0.163956,0.06234,0.05404,0.041678,0.022275,0.041583,0.103309,0.067741,0.038623,0.014092,0.510957,0.454902,0.180279,0.219548,0.385203,0.37679,0.234486,0.288479,0.029643,0.050527,0.026126,0.049474,0.018609,0.051738,0.235687,0.35069
205,0.119568,0.089507,0.076115,0.051798,0.137199,0.066534,0.055765,0.050781,0.068801,0.059918,0.461724,0.074234,0.097796,0.053925,0.039395,0.043561,0.371349,0.300937,0.052611,0.069238,0.228295,0.215801,0.120387,0.175692,0.02543,0.034364,0.032539,0.031942,0.02711,0.0375,0.03454,0.084645
206,0.060825,0.085015,0.060806,0.03704,0.148754,0.098298,0.089684,0.073293,0.090592,0.069592,0.337293,0.078513,0.129274,0.332185,0.089394,0.068397,0.066526,0.029925,0.034743,0.027075,0.027804,0.031941,0.029631,0.040032,0.03491,0.094268,0.068657,0.063214,0.074945,0.085748,0.072858,0.102392
207,0.021775,0.02334,0.016191,0.020853,0.028023,0.020451,0.049498,0.030437,0.016761,0.019678,0.024442,0.027576,0.017575,0.023054,0.123259,0.032863,0.055715,0.056789,0.311548,0.279853,0.066707,0.090414,0.071859,0.0751,0.097683,0.193586,0.030479,0.039557,0.132456,0.134403,0.016814,0.015526
208,0.132715,0.176701,0.181899,0.157645,0.096692,0.143073,0.337056,0.192299,0.144723,0.137142,0.174443,0.182216,0.099818,0.185338,0.155327,0.100584,0.017577,0.013857,0.117955,0.070116,0.01198,0.015634,0.034005,0.043349,0.172458,0.284604,0.118787,0.176783,0.106303,0.142702,0.172179,0.197669
209,0.197935,0.259995,0.2418,0.198345,0.080177,0.224191,0.416984,0.319586,0.244353,0.232923,0.274117,0.238115,0.161706,0.300069,0.225932,0.125639,0.151515,0.088134,0.207789,0.173033,0.25497,0.306135,0.219609,0.226829,0.244795,0.299396,0.132069,0.27528,0.15092,0.205028,0.310164,0.283889
210,0.261463,0.33958,0.491288,0.521042,0.064316,0.152717,0.260919,0.212891,0.147977,0.124696,0.217403,0.2421,0.096832,0.238461,0.121003,0.088156,0.517875,0.391481,0.257559,0.236133,0.549142,0.61274,0.266588,0.323034,0.146355,0.183494,0.074678,0.200122,0.084407,0.15146,0.640966,0.595034
211,0.171664,0.216119,0.188511,0.204504,0.183962,0.18049,0.031731,0.036808,0.162306,0.142683,0.186603,0.072667,0.087575,0.12127,0.067714,0.043561,0.56515,0.294,0.222009,0.18483,0.510113,0.63792,0.186292,0.348993,0.028018,0.046031,0.04284,0.0377,0.052181,0.042544,0.227011,0.200611
212,0.10507,0.124637,0.104577,0.096564,0.173677,0.197909,0.116417,0.24406,0.172984,0.138003,0.111504,0.103857,0.089119,0.260459,0.385132,0.222205,0.195736,0.066962,0.040031,0.029992,0.156393,0.283411,0.031483,0.081328,0.10383,0.126717,0.251189,0.175029,0.183505,0.213473,0.099481,0.140115
213,0.019207,0.034325,0.041267,0.045616,0.030562,0.043974,0.113333,0.107201,0.058344,0.04252,0.04439,0.041228,0.046122,0.068512,0.160865,0.049128,0.125509,0.112086,0.18899,0.206496,0.115587,0.124092,0.109963,0.124217,0.113932,0.113861,0.037805,0.138259,0.164185,0.197129,0.042915,0.049084
214,0.118349,0.154712,0.187701,0.12519,0.101849,0.213653,0.165042,0.201859,0.255675,0.20201,0.247524,0.104975,0.197872,0.255183,0.220979,0.134547,0.050159,0.039949,0.210402,0.044797,0.0226,0.0485,0.045455,0.049891,0.090711,0.135852,0.118398,0.109777,0.113616,0.09635,0.128986,0.116554
