journal_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
109,0.003918,0.004282,0.000528,0.000517,0.000492,0.000512,0.000541,0.001027,0.005319,0.005328,0.004643,0.004333,0.001818,0.001097,0.009249,0.009384,0.000639,0.000572,0.000523,0.000517,0.000695,0.000752,0.000516,0.000553,0.000498,0.000564,0.001691,0.001787,0.000486,0.000487,0.003417,0.003231
110,0.000772,0.000909,0.003807,0.003671,0.007647,0.007517,0.008521,0.009026,0.001987,0.002079,0.001704,0.001384,0.000595,0.00068,0.000585,0.000574,0.003732,0.003357,0.000598,0.000618,0.000589,0.000621,0.000506,0.000468,0.000525,0.000645,0.000781,0.000698,0.000832,0.00054,0.000871,0.000861
111,0.000916,0.00073,0.002568,0.002344,0.003051,0.003061,0.00362,0.003833,0.000764,0.00073,0.000642,0.000654,0.004074,0.00427,0.000734,0.000748,0.004396,0.004372,0.002395,0.002085,0.000551,0.000568,0.000666,0.000679,0.000849,0.00087,0.001307,0.001621,0.006874,0.006497,0.000775,0.000645
112,0.000619,0.00083,0.001241,0.001233,0.000623,0.000779,0.000553,0.000681,0.000658,0.000715,0.000792,0.000752,0.002645,0.002964,0.000824,0.000635,0.000927,0.000708,0.004534,0.004803,0.000989,0.00091,0.003622,0.002759,0.00378,0.003803,0.000721,0.000627,0.004326,0.003704,0.002366,0.002138
113,0.004519,0.004052,0.000707,0.000635,0.000751,0.00071,0.000943,0.000863,0.000723,0.00063,0.000664,0.000629,0.002082,0.001485,0.000726,0.0006,0.000635,0.000623,0.001697,0.001755,0.006067,0.006039,0.005064,0.005283,0.007884,0.009277,0.000887,0.001668,0.000724,0.000724,0.002101,0.002251
114,0.007701,0.007709,0.000533,0.000512,0.001947,0.002083,0.000891,0.000881,0.000649,0.000659,0.000545,0.000534,0.001116,0.000617,0.006204,0.006176,0.000729,0.000677,0.001391,0.00137,0.006276,0.006446,0.002363,0.002229,0.001492,0.001544,0.009259,0.008265,0.000747,0.000725,0.005398,0.005369
115,0.002011,0.001947,0.000644,0.000797,0.000517,0.000629,0.000799,0.00072,0.004965,0.00486,0.005954,0.006241,0.000891,0.000824,0.003355,0.002758,0.001734,0.00175,0.001505,0.001433,0.000565,0.00056,0.000549,0.000515,0.003155,0.003186,0.00621,0.006581,0.00084,0.000787,0.001842,0.001853
116,0.000628,0.000604,0.004903,0.005017,0.010203,0.009731,0.009854,0.009641,0.004481,0.004244,0.003176,0.002996,0.000556,0.000563,0.001869,0.00272,0.005524,0.005329,0.000566,0.000667,0.000588,0.000683,0.00475,0.005128,0.000936,0.000747,0.000389,0.000433,0.000445,0.000525,0.000499,0.000613
117,0.000825,0.000827,0.002784,0.00262,0.007779,0.008569,0.00414,0.004551,0.00064,0.000599,0.002633,0.002597,0.004754,0.005099,0.000806,0.000709,0.002733,0.002558,0.000567,0.001034,0.000553,0.00086,0.000709,0.000622,0.000611,0.000636,0.000576,0.000633,0.002533,0.002277,0.000682,0.000785
118,0.000477,0.000573,0.000659,0.000626,0.00058,0.001146,0.000528,0.000605,0.000606,0.000553,0.000534,0.000549,0.003975,0.004115,0.000512,0.000483,0.002377,0.002138,0.004694,0.004355,0.000517,0.000575,0.001487,0.001498,0.009194,0.009696,0.000656,0.000778,0.009558,0.008715,0.00065,0.000624
