journal_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
155,0.000658,0.000614,0.000801,0.000681,0.000673,0.000813,0.000775,0.00064,0.000716,0.000669,0.000869,0.000682,0.000612,0.000936,0.010365,0.011353,0.000997,0.000788,0.000796,0.000794,0.005221,0.004786,0.008348,0.007804,0.000638,0.000747,0.007089,0.007255,0.000692,0.001121,0.000735,0.000705
156,0.003383,0.002941,0.000663,0.001292,0.000528,0.000619,0.000648,0.000565,0.000612,0.000673,0.001259,0.00073,0.001064,0.000918,0.000492,0.000518,0.001041,0.000634,0.00093,0.001089,0.002057,0.00185,0.001892,0.001762,0.00597,0.006185,0.003616,0.003676,0.000661,0.000671,0.006446,0.007843
157,0.002741,0.00287,0.005327,0.004919,0.00043,0.000521,0.005861,0.006367,0.00671,0.006907,0.0048,0.005186,0.009534,0.00936,0.00049,0.00048,0.005647,0.005459,0.000559,0.000797,0.000687,0.000751,0.000786,0.000609,0.001848,0.001789,0.000531,0.000543,0.000393,0.000429,0.004814,0.004593
158,0.001246,0.001164,0.000666,0.000561,0.007802,0.008078,0.005189,0.005455,0.003087,0.003061,0.001464,0.001775,0.001143,0.001177,0.000648,0.000656,0.003041,0.002852,0.000385,0.00037,0.000481,0.000453,0.000471,0.00038,0.000594,0.000516,0.000422,0.000579,0.003653,0.003858,0.000701,0.000775
159,0.000755,0.00082,0.000609,0.000784,0.003335,0.00356,0.000827,0.000871,0.000988,0.000678,0.000896,0.000802,0.000798,0.000889,0.00092,0.001113,0.000642,0.000542,0.007091,0.007487,0.000513,0.00058,0.000518,0.000545,0.000628,0.00084,0.000951,0.000934,0.008479,0.007497,0.000831,0.000978
160,0.000527,0.000566,0.000571,0.00066,0.000517,0.000576,0.000715,0.000814,0.001319,0.001242,0.000969,0.000976,0.006093,0.006062,0.009085,0.008487,0.000971,0.000767,0.003785,0.003906,0.000887,0.000833,0.000912,0.000812,0.000466,0.000429,0.000562,0.000547,0.002058,0.001477,0.000934,0.000572
161,0.001085,0.001635,0.00067,0.000669,0.000683,0.000833,0.000719,0.000989,0.001104,0.001361,0.000822,0.000951,0.000916,0.001384,0.002902,0.003109,0.000574,0.000624,0.000538,0.000714,0.004754,0.005675,0.015173,0.014081,0.001487,0.001001,0.007179,0.006982,0.000716,0.000664,0.000946,0.00078
162,0.003289,0.002842,0.005531,0.005588,0.000592,0.00089,0.000581,0.00058,0.000649,0.000586,0.002962,0.003018,0.003007,0.002868,0.000493,0.000537,0.000836,0.000803,0.000801,0.000748,0.003173,0.003255,0.004173,0.004593,0.009639,0.009586,0.003502,0.003873,0.000783,0.000666,0.004234,0.003927
163,0.002393,0.002457,0.008983,0.007843,0.001001,0.000763,0.01755,0.020154,0.012162,0.015348,0.013869,0.02135,0.008061,0.010046,0.006953,0.005753,0.009307,0.008419,0.000498,0.000465,0.00069,0.000568,0.00049,0.000554,0.000279,0.000435,0.000271,0.000266,0.0003,0.000237,0.003829,0.004182
164,0.000651,0.000591,0.000968,0.000623,0.00429,0.005117,0.001803,0.001788,0.005085,0.005065,0.001753,0.003203,0.002396,0.002554,0.000948,0.000721,0.001074,0.00092,0.000598,0.000513,0.000866,0.001113,0.000671,0.000946,0.000604,0.000537,0.000758,0.00085,0.000586,0.000605,0.000643,0.000605
165,0.010325,0.013129,0.00158,0.001217,0.001712,0.001329,0.00095,0.001491,0.000791,0.000731,0.000683,0.000735,0.000773,0.001069,0.000941,0.000781,0.001989,0.001349,0.029583,0.021432,0.001507,0.001469,0.009741,0.010286,0.000759,0.001034,0.00464,0.004526,0.01412,0.011545,0.001796,0.001519
166,0.00465,0.004756,0.00285,0.002994,0.004601,0.003768,0.001614,0.001293,0.000925,0.00093,0.008676,0.008373,0.001012,0.001338,0.003259,0.003514,0.000826,0.000566,0.001943,0.002681,0.000718,0.000692,0.00095,0.000798,0.000935,0.000845,0.00141,0.001315,0.003576,0.003978,0.006901,0.006781
167,0.002319,0.002325,0.000738,0.000735,0.000745,0.000716,0.000992,0.00075,0.006777,0.005759,0.001367,0.001154,0.001698,0.001903,0.001244,0.001376,0.001154,0.000953,0.000813,0.000883,0.027179,0.025178,0.003694,0.003639,0.002101,0.002435,0.001307,0.001225,0.000934,0.000871,0.000786,0.000835
168,0.001781,0.002212,0.00602,0.005971,0.003274,0.003042,0.004024,0.00447,0.000863,0.000763,0.00069,0.000633,0.002104,0.002418,0.000618,0.000656,0.0079,0.007242,0.001449,0.001171,0.006848,0.006537,0.005085,0.005464,0.003811,0.003822,0.001936,0.001924,0.004418,0.004702,0.004415,0.003791
169,0.000696,0.000768,0.001185,0.001949,0.000767,0.00087,0.005811,0.00598,0.005262,0.004986,0.004739,0.003937,0.001141,0.000822,0.000702,0.000719,0.005296,0.005869,0.001053,0.000751,0.000855,0.000784,0.00107,0.000922,0.000656,0.00076,0.001679,0.001988,0.000822,0.000693,0.002968,0.002943
170,0.000652,0.001105,0.000514,0.000477,0.004498,0.004436,0.000423,0.000441,0.002767,0.002572,0.002552,0.002438,0.001098,0.00124,0.008335,0.009005,0.001398,0.00138,0.000754,0.002971,0.002427,0.002094,0.001409,0.001322,0.00066,0.000621,0.000599,0.000674,0.000543,0.00068,0.000718,0.000693
171,0.000888,0.000796,0.000712,0.00072,0.000766,0.000794,0.000767,0.000721,0.000914,0.000828,0.000798,0.000945,0.000846,0.000874,0.004092,0.004344,0.000519,0.000566,0.022009,0.016284,0.001002,0.00087,0.001451,0.001456,0.001163,0.001053,0.004856,0.004963,0.006261,0.006028,0.001055,0.001188
172,0.002815,0.002984,0.000702,0.000675,0.000643,0.000795,0.000715,0.00077,0.000515,0.000539,0.000561,0.000517,0.00061,0.000682,0.003499,0.003567,0.001003,0.000804,0.001051,0.000905,0.000803,0.000965,0.000947,0.001138,0.002068,0.001966,0.000663,0.000727,0.000634,0.000685,0.000802,0.000721
173,0.003487,0.003588,0.002243,0.002204,0.002389,0.002277,0.000408,0.000385,0.000529,0.000361,0.000482,0.000541,0.002177,0.002977,0.000571,0.000512,0.000608,0.000699,0.000826,0.000752,0.007826,0.006532,0.008638,0.009775,0.010794,0.010799,0.005683,0.006061,0.00058,0.000572,0.005496,0.007545
174,0.000913,0.000735,0.003928,0.00393,0.000773,0.000682,0.005573,0.005756,0.001913,0.001923,0.000606,0.000598,0.004061,0.004243,0.000578,0.000831,0.007512,0.007839,0.000691,0.000623,0.005405,0.005831,0.0026,0.003035,0.002582,0.002598,0.00104,0.000932,0.000719,0.000584,0.002309,0.002361
175,0.00055,0.000875,0.000947,0.000805,0.005182,0.005312,0.00486,0.005368,0.006281,0.006287,0.007464,0.007573,0.000683,0.000738,0.000684,0.00063,0.009753,0.008607,0.000656,0.000634,0.000704,0.000762,0.003007,0.003116,0.001647,0.001695,0.000728,0.000718,0.000474,0.000492,0.000825,0.000875
176,0.000499,0.000683,0.000502,0.000554,0.00263,0.002672,0.001502,0.00154,0.005437,0.004769,0.002527,0.002661,0.000618,0.000656,0.001638,0.001699,0.000704,0.000787,0.005068,0.005048,0.00058,0.000645,0.001837,0.001997,0.000893,0.000942,0.000512,0.000527,0.005366,0.00546,0.000537,0.000506
177,0.002054,0.001933,0.000827,0.000853,0.001145,0.00138,0.000748,0.000914,0.000801,0.00077,0.000696,0.000757,0.000755,0.000737,0.004649,0.005149,0.000837,0.000749,0.007909,0.007638,0.000837,0.000931,0.000607,0.000668,0.000862,0.000882,0.000897,0.00085,0.003499,0.003034,0.000765,0.001075
178,0.004226,0.004105,0.000542,0.000595,0.000548,0.000649,0.000585,0.000661,0.000603,0.000589,0.000494,0.000533,0.004417,0.004283,0.003521,0.003619,0.003936,0.003706,0.006546,0.007611,0.000785,0.001019,0.00096,0.000632,0.004626,0.003903,0.000592,0.000574,0.003624,0.004094,0.000625,0.000827
179,0.000626,0.000825,0.002324,0.00169,0.000577,0.000569,0.000622,0.000618,0.000638,0.000571,0.00066,0.000488,0.003539,0.003656,0.000587,0.000599,0.000593,0.00061,0.000504,0.000472,0.005614,0.006047,0.006741,0.00704,0.001545,0.001288,0.007973,0.007722,0.000787,0.000707,0.007404,0.006563
180,0.000973,0.000587,0.006096,0.005333,0.000644,0.000815,0.01017,0.01056,0.001352,0.001634,0.002168,0.001459,0.000614,0.000611,0.000768,0.000693,0.004345,0.005214,0.000756,0.000573,0.002586,0.002878,0.003258,0.003264,0.000747,0.00075,0.000689,0.001423,0.000572,0.000582,0.002661,0.002836
181,0.000781,0.001005,0.00194,0.002245,0.005998,0.006129,0.001048,0.001069,0.006241,0.006437,0.005045,0.005803,0.000933,0.001024,0.001132,0.000849,0.002688,0.002913,0.000732,0.000646,0.00064,0.000556,0.000666,0.000667,0.000638,0.000727,0.000656,0.000799,0.000692,0.000789,0.000856,0.000791
182,0.003198,0.002905,0.000656,0.000632,0.002635,0.002499,0.000771,0.000932,0.006494,0.006407,0.001586,0.001582,0.000782,0.000719,0.000836,0.000811,0.000644,0.000642,0.000813,0.000795,0.000711,0.000778,0.000788,0.000833,0.000585,0.000813,0.000795,0.000841,0.004392,0.004054,0.000717,0.000607
183,0.005072,0.004965,0.000506,0.000466,0.000582,0.000519,0.000523,0.00054,0.000517,0.000579,0.000785,0.000602,0.002186,0.002267,0.008857,0.007469,0.000625,0.000567,0.00691,0.00656,0.001523,0.000679,0.000668,0.000704,0.006204,0.005487,0.000484,0.000519,0.006254,0.006067,0.000554,0.000874
184,0.001563,0.001717,0.000468,0.00052,0.000593,0.000617,0.00051,0.000657,0.000618,0.000523,0.000536,0.000554,0.004148,0.003922,0.002193,0.002245,0.00053,0.00059,0.002738,0.002389,0.000575,0.000436,0.002106,0.001584,0.009888,0.010876,0.008255,0.00888,0.000547,0.00046,0.000598,0.000598
185,0.000535,0.000687,0.003709,0.00398,0.000572,0.000571,0.003383,0.002835,0.000625,0.000536,0.00064,0.000674,0.001069,0.001095,0.000728,0.000678,0.000631,0.000677,0.000585,0.000737,0.007248,0.007583,0.005205,0.006036,0.000492,0.000624,0.006447,0.007051,0.000566,0.000545,0.006429,0.007311
186,0.000784,0.000891,0.004096,0.004148,0.000632,0.000774,0.004371,0.004873,0.000946,0.000779,0.002122,0.003162,0.000764,0.00106,0.00081,0.000695,0.009241,0.008074,0.000661,0.000614,0.002577,0.00297,0.000629,0.000997,0.000718,0.001082,0.000875,0.000856,0.000978,0.000768,0.003577,0.003309
187,0.000781,0.000706,0.003026,0.002962,0.008524,0.008762,0.000678,0.000725,0.006659,0.006764,0.005974,0.005337,0.000696,0.00085,0.000885,0.000665,0.003058,0.002925,0.000697,0.000802,0.000869,0.000794,0.000754,0.000797,0.00101,0.000965,0.000754,0.000892,0.000658,0.00069,0.000778,0.001079
188,0.003159,0.003409,0.00065,0.000672,0.003485,0.003692,0.000816,0.001133,0.003339,0.003434,0.001688,0.001565,0.000599,0.001106,0.001717,0.00112,0.000698,0.000519,0.000723,0.000621,0.000646,0.000737,0.000541,0.000607,0.00073,0.000825,0.000685,0.000724,0.005327,0.005127,0.000712,0.000679
189,0.002247,0.002005,0.000548,0.000615,0.000542,0.000519,0.000961,0.000631,0.000801,0.000575,0.000524,0.000515,0.005239,0.005337,0.008014,0.00715,0.00081,0.000808,0.006791,0.0072,0.000801,0.00089,0.000872,0.000678,0.005125,0.005064,0.000676,0.000684,0.005975,0.005971,0.000708,0.000812
190,0.000646,0.000572,0.000564,0.000562,0.000566,0.000781,0.001275,0.000995,0.000508,0.000499,0.000604,0.00086,0.002134,0.002145,0.001229,0.001042,0.000711,0.000525,0.002764,0.002775,0.000617,0.00058,0.002698,0.002734,0.006154,0.00564,0.008585,0.009345,0.000685,0.000523,0.000726,0.000575
191,0.000683,0.000651,0.002552,0.003136,0.000588,0.000689,0.004881,0.00543,0.000834,0.000842,0.000648,0.000624,0.000696,0.000761,0.000685,0.000605,0.000773,0.000585,0.000562,0.000571,0.006717,0.007155,0.006671,0.007395,0.000769,0.000808,0.002065,0.001864,0.000575,0.000663,0.005189,0.005077
192,0.000748,0.000784,0.005605,0.00545,0.000646,0.00083,0.001327,0.001269,0.000841,0.000883,0.00285,0.003323,0.000687,0.000813,0.000805,0.000773,0.007754,0.007689,0.000605,0.000689,0.003331,0.003483,0.002495,0.001519,0.000867,0.000881,0.00096,0.000902,0.000839,0.000795,0.004165,0.00396
193,0.003144,0.0035,0.001276,0.001217,0.006186,0.00502,0.001118,0.000703,0.005037,0.004705,0.00468,0.004154,0.000813,0.000975,0.00071,0.000673,0.002596,0.003243,0.000975,0.000673,0.000758,0.000934,0.000766,0.000694,0.000721,0.000754,0.000736,0.000689,0.00088,0.000874,0.000775,0.000755
194,0.002456,0.002537,0.00057,0.000469,0.003582,0.003639,0.000476,0.000706,0.004042,0.004221,0.002217,0.002237,0.002346,0.001823,0.003729,0.004328,0.000847,0.000794,0.00063,0.000848,0.000656,0.00074,0.000628,0.000614,0.000424,0.000523,0.00074,0.000531,0.007323,0.006027,0.000558,0.000716
195,0.000666,0.000922,0.000514,0.000515,0.000585,0.000545,0.00065,0.000722,0.001099,0.000855,0.000687,0.000688,0.007091,0.006719,0.003957,0.003617,0.000479,0.000477,0.008705,0.009294,0.000517,0.000728,0.000802,0.000905,0.003471,0.004123,0.002827,0.002554,0.004198,0.004457,0.000938,0.000638
196,0.000655,0.000739,0.000694,0.000587,0.000679,0.000828,0.003796,0.003658,0.000635,0.000539,0.000617,0.000619,0.00061,0.00078,0.003031,0.002529,0.000661,0.000816,0.002487,0.002729,0.000682,0.000743,0.002725,0.003093,0.00309,0.002808,0.011211,0.01215,0.000805,0.000672,0.000749,0.000843
197,0.000837,0.000596,0.00422,0.004331,0.000609,0.000599,0.001267,0.001481,0.000654,0.000727,0.000628,0.000559,0.000576,0.00065,0.000526,0.000481,0.001251,0.00104,0.000623,0.00069,0.004414,0.004695,0.004753,0.00419,0.000677,0.000729,0.001239,0.001183,0.000609,0.000568,0.00481,0.005122
198,0.000826,0.000809,0.007372,0.00781,0.000878,0.000866,0.00114,0.00089,0.000725,0.000932,0.001747,0.000695,0.000748,0.000884,0.000727,0.000682,0.008813,0.008824,0.000832,0.000666,0.006308,0.006771,0.000809,0.000846,0.00052,0.000612,0.00077,0.000729,0.000784,0.000696,0.009305,0.009903
199,0.007317,0.007678,0.001332,0.002423,0.005413,0.005377,0.000655,0.000525,0.006338,0.005538,0.007538,0.007602,0.000559,0.00059,0.000648,0.000633,0.003702,0.003825,0.000732,0.000914,0.000894,0.000783,0.000957,0.000824,0.00052,0.000505,0.000515,0.00069,0.000666,0.000424,0.000682,0.000686
200,0.00118,0.001197,0.000588,0.000441,0.003936,0.00415,0.001065,0.000703,0.004932,0.005498,0.003127,0.002736,0.004321,0.004603,0.00445,0.004428,0.000654,0.000539,0.000619,0.000543,0.000473,0.000593,0.000542,0.000585,0.000669,0.000652,0.000524,0.000449,0.009154,0.007766,0.003474,0.002892
201,0.000463,0.000444,0.000444,0.000574,0.000513,0.000543,0.001753,0.001797,0.000635,0.000577,0.00059,0.000936,0.001991,0.001906,0.007822,0.006666,0.000428,0.000396,0.007841,0.008124,0.00044,0.000541,0.000674,0.00067,0.007589,0.00773,0.003159,0.003279,0.003597,0.003784,0.000637,0.000718
202,0.000813,0.000866,0.00083,0.000614,0.000696,0.000654,0.007518,0.007058,0.000732,0.00085,0.000747,0.000642,0.000731,0.000727,0.001222,0.001265,0.000779,0.000519,0.003066,0.003215,0.000552,0.00049,0.006935,0.006979,0.002079,0.002003,0.003967,0.003897,0.000576,0.000744,0.000783,0.000785
203,0.000728,0.000996,0.003894,0.00246,0.000725,0.000992,0.00074,0.000675,0.000696,0.000671,0.000771,0.000618,0.000506,0.000712,0.000798,0.000694,0.00096,0.000727,0.000783,0.000858,0.003532,0.003561,0.006297,0.00714,0.000686,0.000928,0.000729,0.000814,0.000655,0.000692,0.004812,0.004628
204,0.004656,0.004767,0.008115,0.008198,0.003707,0.003949,0.000748,0.000559,0.003221,0.003169,0.001122,0.001226,0.000681,0.000725,0.000675,0.000588,0.007952,0.007198,0.000855,0.000778,0.004925,0.004922,0.000887,0.001032,0.001493,0.001616,0.001691,0.001784,0.000532,0.000568,0.00591,0.005923
205,0.002274,0.002271,0.001549,0.001854,0.004636,0.005131,0.000791,0.000783,0.004314,0.004053,0.012896,0.011958,0.002498,0.003329,0.003218,0.003098,0.004033,0.004571,0.000577,0.000561,0.000499,0.000493,0.000532,0.000613,0.000575,0.000525,0.000724,0.000545,0.000518,0.000581,0.000713,0.000821
206,0.000697,0.000615,0.000437,0.000584,0.002794,0.002578,0.003313,0.00304,0.002443,0.002304,0.000867,0.000796,0.006693,0.007616,0.005681,0.006412,0.000616,0.000546,0.000447,0.000537,0.000477,0.000501,0.00123,0.001365,0.000543,0.000566,0.000713,0.000842,0.005559,0.00486,0.000535,0.000649
207,0.00056,0.000615,0.000669,0.000698,0.002017,0.001746,0.004859,0.005056,0.000623,0.000647,0.000614,0.000503,0.000547,0.000802,0.003568,0.004374,0.00201,0.001668,0.006445,0.006555,0.000638,0.000696,0.001286,0.001344,0.006734,0.006991,0.001979,0.002054,0.00444,0.00499,0.000682,0.000608
208,0.000575,0.000721,0.000702,0.000776,0.000646,0.001381,0.002988,0.003132,0.000708,0.00083,0.000725,0.00099,0.000821,0.00083,0.000855,0.000793,0.00068,0.000648,0.007389,0.0076,0.000758,0.000799,0.002129,0.002039,0.002601,0.002407,0.000793,0.000693,0.004051,0.00381,0.0009,0.000841
209,0.000672,0.000627,0.000731,0.000629,0.000514,0.000656,0.000681,0.000728,0.000723,0.000727,0.00096,0.000764,0.00101,0.001093,0.000816,0.000769,0.000681,0.000752,0.000899,0.000737,0.003952,0.003735,0.006433,0.007171,0.000543,0.000767,0.000744,0.000824,0.000699,0.000752,0.005713,0.005233
210,0.007072,0.00629,0.010486,0.008842,0.000585,0.000682,0.000573,0.000799,0.000626,0.000742,0.004349,0.005558,0.000515,0.000576,0.000555,0.000812,0.008217,0.007956,0.000681,0.000736,0.005054,0.005257,0.000979,0.001069,0.000668,0.00068,0.000887,0.000659,0.000659,0.000712,0.005426,0.005089
211,0.002515,0.002674,0.002152,0.00151,0.006844,0.0076,0.000532,0.000681,0.005008,0.005086,0.006018,0.0056,0.005544,0.006154,0.000781,0.000597,0.003267,0.003261,0.000716,0.0006,0.000738,0.000659,0.00062,0.000699,0.000625,0.000698,0.00067,0.000639,0.000668,0.000575,0.000905,0.000984
212,0.000537,0.000461,0.001175,0.001124,0.002962,0.002927,0.003791,0.004314,0.002015,0.001932,0.000463,0.000529,0.001442,0.001469,0.007652,0.006216,0.000582,0.000548,0.000701,0.000595,0.000543,0.000663,0.000636,0.000611,0.000843,0.000601,0.006891,0.004033,0.004229,0.003537,0.000613,0.000541
213,0.000817,0.000663,0.000623,0.000711,0.000545,0.000708,0.006007,0.006683,0.000699,0.000683,0.000633,0.000566,0.000638,0.00063,0.002516,0.002212,0.000618,0.000607,0.007474,0.006848,0.000584,0.000667,0.000613,0.00047,0.004958,0.005123,0.001564,0.001619,0.003213,0.003284,0.000833,0.000628
214,0.000748,0.000842,0.000731,0.000774,0.00058,0.000768,0.000658,0.000601,0.000712,0.000901,0.001097,0.000797,0.000773,0.000939,0.000828,0.000748,0.000556,0.000555,0.004487,0.004274,0.000614,0.000739,0.006363,0.006561,0.003494,0.003305,0.000929,0.000835,0.000906,0.000761,0.000797,0.000877
215,0.000632,0.00076,0.000804,0.000641,0.000675,0.000792,0.000835,0.000753,0.00075,0.00069,0.001981,0.001907,0.000658,0.000854,0.000723,0.000689,0.001069,0.001283,0.00122,0.000892,0.005898,0.007132,0.005403,0.005874,0.000641,0.000618,0.0006,0.000667,0.000597,0.000597,0.008516,0.006772
216,0.007237,0.008114,0.004457,0.00496,0.00069,0.000826,0.001676,0.000829,0.000655,0.00061,0.00387,0.003936,0.005036,0.004831,0.000625,0.000734,0.010099,0.010583,0.000722,0.000738,0.002979,0.002896,0.003499,0.003097,0.000656,0.000855,0.00077,0.000686,0.000713,0.000736,0.005027,0.005399
217,0.002548,0.002633,0.004056,0.003872,0.004943,0.005195,0.002426,0.002843,0.007837,0.00738,0.000679,0.000582,0.002289,0.002601,0.001135,0.000994,0.003492,0.003498,0.000811,0.000695,0.000648,0.00083,0.000725,0.000548,0.000645,0.000704,0.002631,0.002456,0.000795,0.000781,0.000977,0.000705
218,0.000586,0.000658,0.00052,0.000489,0.002723,0.002698,0.003737,0.00319,0.0019,0.001847,0.000534,0.000477,0.000523,0.000639,0.005241,0.005201,0.000975,0.000709,0.00128,0.000701,0.000851,0.000839,0.000812,0.000849,0.000432,0.000494,0.00258,0.002278,0.008346,0.007355,0.000636,0.000771
219,0.000713,0.000705,0.000919,0.000661,0.000791,0.000916,0.000969,0.001186,0.000695,0.000683,0.000891,0.000774,0.000605,0.000824,0.002202,0.001969,0.000535,0.000585,0.011948,0.011399,0.000605,0.000542,0.000603,0.000584,0.006366,0.006363,0.001211,0.001382,0.005202,0.004933,0.000973,0.001036
220,0.000616,0.000637,0.000854,0.000847,0.000799,0.000939,0.000825,0.000789,0.000604,0.00075,0.000856,0.000796,0.000838,0.001102,0.000726,0.000675,0.000791,0.000713,0.001142,0.00116,0.000718,0.000812,0.001314,0.001022,0.002242,0.002219,0.000921,0.000727,0.000935,0.001055,0.000959,0.000952
221,0.00043,0.000408,0.000503,0.000599,0.000498,0.000487,0.00052,0.000514,0.000518,0.000535,0.007958,0.007536,0.001687,0.002097,0.000527,0.000575,0.000858,0.000739,0.001395,0.000738,0.005905,0.006673,0.006121,0.005826,0.000438,0.000537,0.000478,0.000546,0.000642,0.000501,0.006837,0.006973
222,0.006742,0.006447,0.003287,0.003053,0.000785,0.000805,0.000864,0.000893,0.000742,0.000874,0.004524,0.004144,0.004075,0.004021,0.000866,0.000689,0.011419,0.012637,0.000815,0.000819,0.004204,0.003744,0.003417,0.00306,0.000533,0.000685,0.001998,0.001582,0.000921,0.00058,0.003322,0.003248
223,0.006323,0.006385,0.00247,0.002709,0.006791,0.00905,0.00294,0.002898,0.006368,0.006158,0.000612,0.000414,0.000841,0.000461,0.002077,0.002161,0.005747,0.005654,0.000479,0.000536,0.000567,0.000514,0.000487,0.000434,0.00054,0.000748,0.00318,0.003322,0.000543,0.000616,0.000603,0.000492
224,0.000485,0.000546,0.000722,0.000614,0.003289,0.003397,0.002361,0.002724,0.001674,0.001526,0.000583,0.00048,0.000552,0.000599,0.008192,0.008904,0.000523,0.00047,0.003984,0.00392,0.000525,0.000551,0.000678,0.000642,0.000559,0.000739,0.000523,0.000535,0.01263,0.011538,0.000623,0.000653
225,0.000717,0.000592,0.000602,0.000671,0.000696,0.000655,0.000748,0.000743,0.00105,0.000917,0.000806,0.00096,0.000735,0.001034,0.000831,0.00082,0.000482,0.000493,0.014057,0.014429,0.000483,0.000552,0.000514,0.000533,0.008208,0.008042,0.000805,0.000994,0.004512,0.004381,0.001187,0.001466
226,0.000638,0.000857,0.000654,0.000676,0.000649,0.000727,0.000833,0.000864,0.000688,0.000814,0.002452,0.002156,0.000645,0.000988,0.000972,0.000705,0.000743,0.000678,0.000666,0.00107,0.000949,0.000943,0.000905,0.000831,0.00095,0.00091,0.002532,0.002717,0.000695,0.000621,0.000738,0.000822
227,0.000484,0.000489,0.000468,0.000547,0.00056,0.000527,0.000534,0.000664,0.000695,0.000736,0.005292,0.005801,0.006985,0.006397,0.000683,0.000719,0.000743,0.000873,0.001159,0.000798,0.006889,0.005998,0.006854,0.006051,0.000547,0.000585,0.000547,0.001009,0.00068,0.000727,0.004181,0.004705
228,0.00538,0.004775,0.00501,0.00541,0.000704,0.001042,0.002423,0.002144,0.001727,0.001615,0.000602,0.000567,0.001478,0.001471,0.000452,0.000447,0.004286,0.004552,0.00082,0.000885,0.004615,0.005114,0.004608,0.004892,0.000619,0.00067,0.006434,0.006972,0.000654,0.000595,0.006293,0.005943
229,0.002577,0.002623,0.001682,0.001636,0.011793,0.011138,0.002437,0.002498,0.003734,0.004625,0.000745,0.000605,0.000648,0.000883,0.008281,0.008602,0.004123,0.004157,0.000549,0.000545,0.003026,0.002449,0.000667,0.000623,0.00053,0.000662,0.00127,0.000816,0.000548,0.000611,0.000577,0.000575
230,0.000578,0.00067,0.0008,0.000648,0.003902,0.003458,0.000714,0.000739,0.000759,0.000725,0.00067,0.000661,0.000683,0.000801,0.001315,0.001249,0.000483,0.000408,0.007063,0.006577,0.000554,0.000379,0.000422,0.000455,0.003573,0.001249,0.000803,0.000908,0.005504,0.005664,0.006837,0.00661
231,0.000722,0.000615,0.000794,0.000957,0.000705,0.000683,0.000866,0.000822,0.00088,0.000754,0.000853,0.000754,0.000648,0.000933,0.000645,0.000723,0.000866,0.000733,0.001058,0.001135,0.000723,0.000733,0.000775,0.000612,0.0085,0.00983,0.000905,0.001304,0.004401,0.004548,0.001026,0.001203
232,0.001988,0.002043,0.000474,0.000462,0.000437,0.000477,0.000454,0.00051,0.000568,0.000878,0.010377,0.012021,0.001841,0.001968,0.002064,0.002157,0.000786,0.000721,0.000856,0.001009,0.000753,0.000912,0.000945,0.001038,0.004472,0.004806,0.000551,0.00061,0.000493,0.000481,0.000513,0.00062
233,0.000535,0.000557,0.002771,0.002679,0.003679,0.003922,0.00124,0.001552,0.000391,0.000529,0.001397,0.001301,0.003971,0.004064,0.00048,0.000447,0.000691,0.000518,0.000589,0.000632,0.002327,0.002455,0.011188,0.013425,0.000492,0.000531,0.004717,0.0051,0.000566,0.000527,0.003708,0.003673
234,0.004904,0.004942,0.004783,0.004948,0.000538,0.000628,0.003318,0.003287,0.005028,0.004565,0.000981,0.000983,0.000548,0.000649,0.003296,0.002573,0.00578,0.006338,0.000583,0.000707,0.00653,0.00699,0.004252,0.004154,0.000618,0.000737,0.00836,0.008708,0.000887,0.000673,0.002631,0.002674
235,0.003117,0.003507,0.001715,0.00177,0.003959,0.004731,0.001148,0.001181,0.003231,0.00405,0.001482,0.001024,0.000841,0.001044,0.00729,0.008108,0.003853,0.003631,0.002847,0.003576,0.002535,0.002822,0.000483,0.000437,0.001515,0.001783,0.000635,0.000604,0.00062,0.000616,0.000718,0.000868
236,0.000712,0.000683,0.000981,0.000802,0.001279,0.001176,0.002591,0.002367,0.000703,0.001308,0.003234,0.002959,0.003371,0.003432,0.000902,0.00078,0.001522,0.00162,0.005248,0.005308,0.000697,0.000605,0.001012,0.001046,0.000926,0.000829,0.000815,0.000904,0.004296,0.004003,0.000811,0.000831
