op_queue_bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
273,5661037,7509273,7706538,8271953,6505511,8873065,11459398,8024548,2265284,5908658,1567118,2074121,6606258,14443120,13561404,13525854,5997,1429578,12064,223499,0,12134,5997,157182,19110464,9905365,5502414,5957859,9127027,10722654,5172521,5435397
274,11768611,12181266,10130054,10626673,11405291,9726581,12730003,10070568,4181727,7710919,10804897,7437612,8194389,23611502,16303700,23681092,7186812,5941134,5289509,7089594,5060042,7793646,7374113,5251036,21150505,16158261,22887703,23215922,23612820,29208287,14466105,12811960
275,7279007,8517591,4843567,8284437,6461012,9636562,5861009,8093735,13838561,13655460,15238014,12266076,12131161,32971140,20275824,28910193,11479524,7161208,11614766,11458453,8109031,9341939,11273567,9866157,15632194,12591833,17566016,21033260,20626940,24051721,9929429,11153038
276,6963593,7339817,15885188,23045847,6606865,6612862,5738432,9117378,9811233,11437761,11532179,14524628,9138216,27057389,13687644,24457825,8747198,6161658,7523233,7164364,21535561,23256617,19309094,24666250,11829742,7288055,12077509,16862564,14429627,16039797,24018814,25996790
277,12247315,17615234,668076,2294954,493463,102999,471966,7988700,4280386,5635363,3214128,0,452575,6466933,124566,6067,9425401,7471821,15686954,20234545,11362956,12120736,7444187,12561428,60390,211715,157252,1683126,362760,402178,8916199,11058241
278,5088633,11482523,7120069,7479002,14104272,14080926,15753808,9508758,21289124,28236984,11607188,11766307,13471653,16098647,15120728,10509481,6833240,175313,12844780,14535029,7426219,9438871,5407413,10041015,13655612,11029662,8847566,4752381,4195092,4069190,3187614,7104849
279,5849464,15832481,12367348,10125877,18830075,18710952,21386575,16727713,21138429,28304123,11975875,14103199,10853369,16788903,24467013,30214365,5854971,5414431,6893980,6017520,5768353,6123961,8385482,7765633,16214037,13497537,8510194,6188825,16204137,20251095,9349488,10076087
280,14973026,19866745,16618846,16374929,23776367,25245305,28217989,27802726,28180957,36450875,20971738,21607624,20421356,29756067,31328231,34966326,14039361,10616435,12194240,12625435,12606166,15765003,18373405,16069467,26452749,26330510,35715747,33598818,26724060,35213148,22279055,22250656
281,6012929,13267977,13711854,11181016,17533236,16672685,25583505,24707750,25675682,35781218,22197220,23431662,18794869,31736237,29985219,30258549,21754644,15776612,21121354,17736224,22325449,25397277,23958902,20711446,15488832,19527920,27390357,32247773,22166208,27523568,13215416,19018905
282,78591,0,18021093,13563189,158267,0,5575819,11007109,1573780,10284395,11755427,8749578,7185931,13168017,5942680,4730149,9803095,8999836,10586806,4158060,29954061,33685710,32173376,30846301,36332,120780,4888912,8130108,375314,8314574,23936641,28112108
283,8258145,11358797,4402840,3825699,953015,1248933,1232558,12830867,9970416,18449441,112362,247207,0,11564182,334070,617539,6244840,940461,16123755,8116504,18200991,21310271,21381121,19390590,1778658,9939696,1524754,1097713,1445848,1783815,16251378,20844611
284,10047263,11120066,11083664,12905707,12425475,14363269,8133398,9780688,18181723,26629176,7951353,6861008,4579180,20779251,15788734,10015872,1816081,54393,4460150,726465,5993112,7543528,8615538,7886220,21779029,13826252,11853444,14954224,12425457,11173753,10022120,13436657
285,1754355,4129125,3304958,2450975,4065159,5372417,5478216,9675332,15011271,23852111,6578443,11309170,4398774,22332607,11110872,31932983,7902292,7893011,9019099,7364324,7093024,7609711,9591071,7171020,6831350,5707403,6028499,4333093,14667103,11374250,1149125,7034116
286,20455396,22478052,18771995,17762709,20035985,24113115,24527281,30708586,27451062,35447836,19597055,16129210,25501431,29255907,22993963,36213375,5868400,638021,3006304,3058031,5773078,10140607,5346043,4404036,23120828,24469201,37087116,38286137,39914945,29800356,25347038,25738137
287,3319478,5847259,4327201,6267492,7010023,11441973,9047917,21248218,18238910,26789158,12013741,17392517,23348007,24299838,14278955,26742069,19043867,17001650,18845231,18203348,18811454,26131139,17881272,15972786,9667638,12825506,22532311,27423084,26992822,11921552,14506258,12119692
288,66597,0,3710922,2170382,523938,157112,1653497,17931826,1563997,465479,42259,1108797,2573231,21026580,743441,1587040,16673682,10124938,6682154,6514553,20898275,33089750,23467702,27352082,0,0,98017,9437506,5838030,0,12980909,6044483
289,11258802,12840481,5067935,3019383,2140263,3866319,11094118,7896540,2164531,3015142,18061,126847,181450,10645218,0,36192,11881772,2830186,5196678,4805473,15006400,20579483,5742994,12215072,7602880,12219908,5038166,6475141,1901719,5408778,9874196,6447262
290,12349147,11742774,13116016,10820146,18618185,21915805,12511136,11271747,22736798,26485213,13854749,16920271,14022957,23150124,17066147,19682104,7574534,7098922,8123720,7769133,11928062,13193633,7034810,8535821,9545662,12517436,8937655,13564251,12367803,11983902,15184858,14729465
291,24952268,28848053,28657537,22971287,32568326,35890628,26394406,28279283,34929410,34158913,22969467,29872437,19049362,32725176,25137440,26811221,7487350,5429645,9397458,6638950,5047389,6807601,7930912,7739294,18894053,25530547,24457697,26646595,32265810,26959069,33221078,33022190
292,21960764,28876323,32508152,20425731,33079564,39745367,27821470,31719541,41968485,38225624,28221886,28414986,19255494,40848558,34239289,22251368,23891068,23790432,25555130,22009055,24634439,24273505,24528144,22063868,17048238,29972589,43054934,45223834,47874582,45559945,34799718,31200544
293,0,0,2559866,3330381,0,3457088,0,9243729,7199605,4752591,15620480,9189844,2505158,9411523,3502567,312083,30724314,27783685,30257114,22503312,22475864,29934962,25329566,26985653,11994,0,7040434,9606752,15196939,10324980,12064,12064
294,702897,737899,5997,6067,205718,293532,7338417,18201,320151,609897,502021,0,247767,468915,1010284,1329140,3484728,4065445,6034385,24198,0,5090908,24851556,30220012,5997,4165737,0,0,306751,5997,2041785,2902115
295,10072855,10516248,6061529,6264050,6665919,6906289,7573729,7227659,6040907,4709457,3014092,4034264,2748999,1021683,13445874,2538270,1553164,420239,8687817,8880415,2150962,1480214,1329729,4239976,14881251,6376208,5436873,5887161,6749235,6232391,6325222,13137945
296,9816081,12327866,11544937,11107436,22253176,12728113,11910392,12329896,25236618,13853997,11912148,9277967,13706084,10354825,14375578,11648840,7643237,8945828,7551917,7346403,6569862,7757845,7656357,8719062,10118947,9785600,11340234,13686075,11098633,11688229,11598980,12550787
297,23622195,22679272,26937070,23410060,34443846,26549891,23233283,30877575,40963427,35992904,27888183,25171334,25767848,32062000,33516715,29180881,9933419,10814336,10364905,13517010,9513699,9635821,8684912,9187913,18919797,23235511,21804312,29929887,27707328,28501563,29957072,29390816
298,27093500,30372236,28825290,21548733,39389333,33374007,26457719,39628011,48770503,37952300,38090796,35489319,38350003,43610589,38970908,35687360,22940369,24456968,23326954,28341032,26827613,25989113,22916912,21495151,20532371,27067808,44516410,53875162,40223143,41275633,35930315,32222262
299,9925310,14299280,33761163,18026711,15534212,18083595,9024057,26433672,21853011,8209259,28308603,7918148,14179287,29791466,12039777,5407518,28196749,24733209,29314769,34108732,32290195,32328732,33249277,30828725,383977,14831204,21833200,36984240,23672761,26856449,19036558,19701973
300,5378449,5610401,8054854,6067,0,6067,157392,6534889,2372419,713736,7747467,880071,782999,10050343,7215840,1042480,18778803,15257020,18437178,25068393,29662034,23443533,41334647,38724191,2167407,90725,1296104,12698198,332565,5048678,12745906,11729794
301,6008781,7005782,2687413,4526461,9441123,12510751,4664987,6962881,48256,0,1130679,296303,0,3517653,2757627,6419873,16374789,9464399,13652800,13728159,7346164,18829544,14574278,11165691,2719965,5173116,4436722,6556818,5297425,4884175,16650453,17882847
302,12077048,13544428,15033451,11584425,17790996,23628945,12226734,14389882,27678592,26327191,14981619,11615647,11978325,18157420,17001440,15145778,10121356,5972595,11273322,12325655,10343204,16512959,11829631,11313510,11626375,14012258,12993737,12300722,13205656,14170076,16096810,16372718
303,21878055,25790798,27527763,26265657,28283460,38306141,25017337,30578186,35691297,36998264,25184080,25265769,24180376,28962614,28002080,23741301,12254152,10005739,7586738,8978298,9449389,10592406,14927220,11182025,19008492,28412967,22696447,26950575,30626314,30269615,29304922,30029817
304,565637,4969364,8027354,12373281,4043697,15423075,7563491,28046730,14838496,11737057,21479931,20866044,20930016,15270198,5357541,30125,27461107,20835038,24634299,22070618,22460767,24986815,26961659,22964211,1764523,7343924,20223100,24011434,23636295,26105745,6877780,9898277
305,2288887,3790744,12929333,4490660,2131320,3488969,5339025,6162352,0,12134,1132995,1294062,946738,3617461,6582661,0,9613554,2915929,6664449,4571777,6252762,12075298,10845546,8549320,2850913,3676696,3436291,4455518,4218905,3827525,3972439,3936562
306,4985319,5256963,169106,24198,229636,48186,408595,0,0,72384,481189,181240,12064,0,4931200,1872784,3102711,852612,3388105,793202,2521323,13467622,2781994,1917814,168896,0,0,0,0,18061,235843,0
307,12364262,13890259,10651577,11590795,13210107,14421652,10078117,11448349,9127978,8664920,10567730,8205788,11642196,9782730,11109618,13349228,1252684,4839460,15132687,14546148,2428358,2558641,3994986,4042011,10355268,12457834,9872230,11716750,11690901,9293718,18539851,19648607
308,8184221,10531439,7522492,6198684,15081462,15973183,4099251,5842872,32774616,32789889,12591483,5019125,12121763,8311949,12144870,11433672,12164401,11090017,14475584,12012452,12234358,12060253,13410633,12096713,2484962,9948009,5168379,7261331,6176872,1729177,13781333,14834885
309,13306952,17296279,13723352,12264273,20151929,22261618,10892110,30449607,28793695,29267038,16864209,17687338,24084454,10845587,9942928,5755793,8167636,5078739,11477996,8566757,8734323,8655942,8853306,9889264,2354119,17073970,11135776,18277704,21226208,15206623,23261139,24428552
310,12064,5180863,11486309,9966659,5631437,9315740,8582969,17957868,18882578,17610328,7315438,6079106,13737236,10116164,0,18131,18053966,14095102,22459087,21320095,17294208,20797376,15864601,18915054,72664,14126265,11210488,20865770,23745629,15224485,7792217,9287190
311,1467374,713246,541509,0,112362,208524,233072,242855,1137201,434934,923275,145188,1336076,924611,1318931,1160314,3040250,3358896,6503720,6131807,12397706,5129737,3241972,7407143,3358861,929908,1623302,1704203,1915113,30265,499775,3024890
312,3305798,1399173,982895,1329169,459622,0,2124553,108856,640862,418168,0,18131,253764,0,3888895,10756443,5264716,4263725,3096574,3100850,1666926,3106707,11997687,4243558,6067,1532997,2239196,3173409,1622456,114643,3085741,5200954
313,14909521,15751533,9557370,9986966,16602599,15077927,8727451,8549577,14219551,11028536,7628262,12124050,13892563,12751401,14755763,12534436,11805859,5617022,16726920,16621564,3962224,5837435,4709177,5908174,9171503,12014902,11065545,12659731,8406285,9327938,21681741,21912205
314,25798924,29607887,25219304,23909753,35248173,36669077,21706825,27634454,33909734,36473632,20214722,18773092,21413579,34876359,24315624,28061834,12441692,9931984,10106947,12103871,10121000,10903795,10366854,12313445,22543313,28544662,24827329,27830897,22722418,21888952,39845876,40047620
315,12106788,16248689,13300266,21176750,20172492,23322287,19608751,26416171,20038715,20563546,28959149,21473269,20004629,33470419,11930098,9353939,27785925,23820207,26823326,31492151,28748869,28661207,24354908,30467942,8088415,19480615,11941392,16877090,12975810,9090882,32106109,29947720
316,4287567,4758740,14101635,6347063,3933896,3748444,3586846,5481057,3044351,3633702,3857901,4101981,3279669,16524084,4270597,1197731,20249158,11008789,14755938,22174614,16916642,15753569,13146450,20119015,11406073,6413911,14596738,14140196,5357150,6192477,5465003,5078809
317,11312046,11060452,23540145,11007249,13015794,14357920,10861151,12258632,12655478,12184533,10278917,12780091,8619645,28586227,23696539,11609434,4586921,5130221,3155459,3679992,6142716,9276176,2880157,5848793,18872416,17286951,23632445,28278099,15614588,15983771,17357789,15279188
318,10882012,10087305,15996179,7763311,5252477,6775300,6456135,6450832,8698767,6829769,5912514,8117939,4012971,21619198,15340680,21467809,16649478,17220138,14332473,13002435,14999149,19557847,31302837,30107124,11081570,11581409,14095983,21734903,6719116,7449933,9401909,7224719
319,278382,6496743,332075,0,10771966,9722101,229916,0,3823704,2361685,3382213,2345240,2840885,3022819,2351937,2498846,18708502,14631232,24263833,23543464,5970629,10847156,21095359,22698815,211505,384467,278522,1627088,1009619,0,14218023,12931515
320,10886125,19036989,19213171,13492409,28385625,29232777,13732184,22309774,26707026,27602988,11864423,9691474,21267067,15975796,10249323,6986350,2821552,263407,190393,0,761642,451064,308157,1778868,15016720,16578045,15889925,15826227,16127168,14280699,29250295,31426143
321,227215,175243,767639,384397,0,78661,0,332355,229496,203017,4374022,2550859,662639,4483543,108646,2511855,16854251,12832728,11773453,15008757,12492229,15318069,15239933,19478048,0,239209,30195,18131,374684,7126206,21707,0
322,7303199,7799369,8620217,9367712,6001110,7171522,8428301,10007524,9549757,8891289,12771282,8089605,6962117,12559707,8959047,9094878,156972,18131,54393,6067,1075726,2521994,191233,0,9142323,10665432,25771395,25014210,8735939,7924040,9529421,8387372
323,5333553,8965295,10017383,8254289,5610395,6822366,8561711,10269408,4412314,8431078,7219632,181310,5487894,8992900,13038901,21296527,7665084,7846884,6603318,6613276,7127606,15961364,10730798,9106819,9260472,11725722,23105065,25364457,13194263,6215246,11598199,6122374
