op_queue_bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
345,11312705,6048806,8047906,4000458,8121486,4484494,6431546,6010467,8126701,7248328,10813764,6455295,7221913,7695279,10441186,6773235,0,36332,0,0,0,0,529725,681295,6686191,9141267,6840141,10004088,6985411,7848494,9053115,7983164
346,5477691,5845264,7670025,5350482,3446284,4539266,6308707,6002539,11644809,7895461,6133989,7359552,9093402,9273516,8857285,7749485,6967729,8314609,5014318,5920302,4829292,5776835,4458750,4294970,9174373,9764943,8636726,9715678,8095007,6513048,9836213,7436568
347,5997,0,0,94161,6067,0,82167,120780,0,11994,0,0,138981,447558,18061,12134,7142517,7125885,4475195,4097069,5329277,7438178,8915802,4379173,275331,645173,0,610247,487921,520012,265758,0
348,422660,199371,103664,96722,0,72524,338002,241700,4388460,4070462,11086546,4383274,4160621,6381260,3472197,2715543,2547697,4948036,988437,1350071,0,0,12134,0,6752893,6879559,2845616,7061604,5299006,18729678,3889111,6282572
349,4643980,6492111,8349646,6310486,14972034,16639386,6413736,8522637,12359140,9209626,5502379,7879745,1699682,2460758,1809133,1478289,0,181240,0,102859,294022,76100,150905,145328,1487197,3428859,3664667,6981683,6035085,12629431,9355957,7152650
350,8950886,6060689,7833210,9625997,4222697,4254508,4688946,6048304,10952389,9810259,7485244,6488430,7267147,6514139,9385207,9095479,4213013,4651733,7897491,5404671,4536874,4990295,7552471,5181061,6413800,11789723,10806659,7327047,7536901,6871952,9932247,11040845
351,418658,1285755,506332,0,580262,374684,1017926,631884,0,54253,271125,6067,405089,90515,102789,2425027,5424879,3347287,3541151,4853099,2972498,4626380,4015042,4666457,452995,329724,8885683,484100,146343,185026,504827,374544
352,8918964,7371447,7516600,8345603,6241334,7838472,6991437,10465075,4662741,4897680,5369331,7513304,14051944,10050693,9509820,5134398,6067,549997,305666,481189,438370,205858,700902,138911,5027992,14292985,8124706,6293376,5755863,4988329,7235733,7204278
353,0,60250,120850,58039,0,0,7073960,1018556,72454,108926,253834,0,84658,54533,0,0,9133555,9200951,9126759,9720508,8768578,9180539,11406102,10068019,18201,54463,368477,511524,2368178,4467897,0,6067
354,2073170,1537664,1329700,1643218,1475518,2412403,526604,580542,2950861,2343280,3853753,9758036,3198517,4755642,4253586,1377956,193444,72314,193514,625957,321166,199371,12134,348135,5207838,5998432,3552165,7700051,4640684,3122137,6138510,2752575
355,862290,0,2339354,1635716,1108231,523028,1359049,1396367,10997816,9232733,4907486,4808326,3214898,4399229,4519525,4488805,1735384,992223,2293939,0,867867,1733278,521622,102859,5112446,4146941,3912218,5190226,3922427,3195081,5368240,6432310
356,3783300,4181447,997870,2288432,704618,1288246,804846,1495049,23988,277822,78661,24198,539718,1640027,0,36332,867237,1352772,6067,162899,565987,638161,1778553,911421,0,63896,114923,6067,6067,6067,0,6067
357,1250549,2577437,1498946,731657,1781499,3348582,858749,3318912,1807202,3446424,3791759,3154858,7710709,3773867,4853659,3740347,980299,1431643,1533802,1239850,1393526,1300485,2264304,1420635,1469031,4957714,5021120,5403341,1527350,2730267,3905346,4798601
358,0,393025,12064,42399,0,599268,820976,1754950,6067,0,138841,193094,217712,417013,0,36332,1422805,3013602,1943698,2662830,1751409,1621091,9054200,3000196,2447119,18131,6067,0,821052,102999,5997,60460
359,0,0,0,0,6067,0,0,0,3759108,4077503,5103427,8585979,2258727,3959739,4622798,2627764,690413,0,338492,587554,390464,1476673,2607282,542069,4997768,6869502,3461160,2698001,2321503,5387211,5315253,5262540
360,7587998,11825880,11932624,9872982,10746607,17861572,9907856,15623157,5497718,6946057,5063834,14456158,1753865,8305252,980159,3755742,0,0,0,66387,799129,641667,0,0,6067,5694598,4570412,2557101,0,3531957,9088047,11141365
361,5571432,1915078,1129769,779563,1147404,807862,1273621,906830,1325663,1537798,1535278,1070954,1013125,3135397,1679410,2126198,9954041,8578086,9777462,12988953,19239154,19848917,13206222,13862916,1242866,850086,2691905,4022130,822102,1720269,3249620,2205775
362,91005,126847,698271,1004917,0,6067,78731,66457,535232,571704,0,277822,441351,549857,940321,1193945,0,6067,1283089,1427227,946458,444927,283889,1781569,51902,523798,78521,200246,211505,54463,208944,48466
363,532006,0,1180370,768864,0,0,692904,6067,7698400,3536105,8107345,7723088,8369807,10047362,8807512,6775644,78801,48256,5997,18201,0,0,6067,36262,8007228,13066745,7429877,9153792,10313610,9333585,9002998,10192445
364,0,0,18201,0,0,0,12134,0,144838,1148040,7777796,2449505,5609269,1707184,1264258,1528651,130563,595832,72454,78591,0,24058,3275072,6067,1254335,1761507,302090,156972,861590,887293,381101,1518897
365,305246,0,54533,481259,48326,197020,366546,199161,3580254,2764884,4742849,5492001,1355263,4341015,5026166,3430580,132844,4809230,166825,1411167,0,6067,12064,0,3347637,3374641,4565465,5476752,3528807,2766640,4264046,3262238
366,7798109,8121241,12944104,16642367,18060931,17082668,7509763,8906719,12552199,11132072,12274692,12336418,7071813,16423535,14716864,7444677,6067,635215,353852,0,7370111,7060029,5997,0,6007107,12561521,9050472,13238581,10321672,5543833,15256874,13290985
367,15232256,6387893,5878603,10152817,10475838,11179762,4772548,6003659,10569159,10221205,1285160,695045,792257,5906517,3036604,13219657,11397322,11530528,10112308,9887345,20444014,20337404,7830404,12011472,1430033,3635627,7490827,10620647,90585,1247457,6313753,1407725
368,5738823,893156,1956888,4070030,4215253,5733631,1711676,7000298,5997,1439221,0,956171,889714,988717,422660,1392756,5580060,4092659,4045377,4164996,16452429,12072375,4702474,11306282,1585004,5677663,1744152,1508029,229496,1594087,2585785,1017932
369,42399,30265,0,257830,6067,0,2490253,18201,0,48326,0,60390,54393,4969743,84728,0,958592,560235,1522123,1805312,8275016,5536220,13768942,6095084,6067,54253,45905,0,7328511,7548125,1000291,0
370,18131,196810,5997,320501,133264,0,60460,0,8011224,9204638,13531868,17820952,8506787,9287995,10088699,10647377,108856,54463,308437,24128,0,0,66457,0,7775918,10250548,9582099,9934557,9383218,8999334,10531433,7972535
371,136630,2598619,5494031,1525244,3760718,1617340,3195326,2894951,3059017,3309269,2598689,8108290,3647271,4761184,2981575,4954144,0,24198,531376,3390771,351571,290516,193444,169981,2353168,3671918,3220020,4026651,4977210,4497917,3369274,5188336
372,4707141,5562349,6920663,15574983,15993612,13055206,4132182,5185903,9411371,15377094,0,2752015,265898,0,1538854,1152771,586259,363110,6067,259971,16976682,14069848,6067,199511,1645954,2135001,3537995,4674035,2428813,668426,1403554,3007535
373,478208,1560491,636825,2469672,0,2352503,1313599,8287389,7637876,14962444,2774737,2213137,2847506,6329982,3185543,11239382,7828053,9391321,7172047,10931365,19558010,25691462,8358233,13452262,3942168,7739883,7039168,5514612,4266735,3032077,3603507,2374525
374,1936966,3630861,3301026,3291138,2720624,4332673,3742103,15572037,7095865,10124098,114923,0,853172,8906480,780788,5807205,1528651,1032977,2208540,1330995,8724785,14034910,3214443,4421082,9280738,11937746,2264969,2522869,2082813,1704839,12296376,8982545
375,0,126777,223989,5997,6067,102859,0,0,2273562,3267745,4733585,7489322,3836258,3564614,1398782,979879,7735292,5722273,5877489,6132058,12501534,18422075,16315612,8585308,114713,0,48396,6067,24198,30265,900273,513875
376,10357689,5353866,15716531,6914596,5370066,5210253,4899640,5989950,15870872,16593662,16602914,27541116,16409400,22071971,19303132,13772664,521377,4660647,520432,3517513,72454,253904,0,84728,13717256,14293831,14499526,16565357,16307626,15905675,19130894,17844806
377,4200949,5572546,22983369,15308729,6055252,13234171,6332969,7816024,5441260,5681274,6873673,16044651,6370485,11495182,18989357,5535835,7238638,5185069,7118634,6073383,12273187,4846373,6049220,8167904,6432147,9292872,8917774,19234079,10798894,7213320,13038411,12554223
378,4722221,6643576,11607264,4332247,11735435,21021686,344419,173242,6141876,1076251,0,0,0,0,0,2784141,2533457,3860882,6639761,5690310,24429538,20406083,7923550,15737631,0,962728,1999590,1633225,1607096,1628173,1802541,1479199
379,6613457,6071732,7566583,5645712,5256473,4053486,7488791,13277894,14923393,6616753,7388668,5107604,3283111,7342127,7424294,5428099,6067,6067,883367,441561,19182772,16050333,680280,11230281,11842675,11570010,6007311,7401648,5002849,5971230,4230018,8049026
380,0,541089,2492744,480839,644508,1954846,12642154,8711035,0,0,0,166615,3211217,493113,0,0,6303264,5657391,5747906,4979946,5859043,6652099,14171167,7519301,18201,354202,157042,283959,5238412,4206631,7664005,30125
381,3529396,3511656,5332678,4019528,4689401,5121704,5395839,5013717,2889911,6006611,10233724,17261394,3337924,4884484,4390992,6035896,14473554,1830700,6713411,1763018,2050308,2189009,7612908,3020748,2531392,3572081,1155402,2010645,10726936,12377219,7551083,6456339
382,3715869,6566391,13424850,13113630,4207885,8248473,6720020,9500655,3870420,7314394,10946795,13488536,2537739,10253290,20912894,3516428,5622529,4870641,4895749,7235908,7383616,8167140,8517031,8364831,6067,3617461,209084,4549784,11343285,10843679,4932921,4972835
383,0,4550210,3364572,4886316,8173522,9425477,2522274,1191664,3096714,5561614,5494381,4800643,2526025,8745751,15711876,6768288,7659927,7059644,8186280,8918503,8840577,8518618,7850355,9216737,271755,2767270,10708572,9577070,2053044,3510641,3059822,2070440
384,3025555,3650147,0,0,417223,495604,114783,0,11930005,7893361,6721193,5244829,5857281,6418922,5763610,4476945,3432855,1467275,4025852,2522408,14322550,17258203,4804003,4473048,12705082,19722525,8277402,8042475,8123411,8301501,8938390,8839457
385,13478117,12491360,9965434,7488715,5473695,9201004,14211273,9512970,16716787,12347823,12360202,10837735,9151091,24125021,14835795,9174542,48256,0,172682,0,6067,0,2350152,439000,16783390,17770870,6303713,9975439,10305017,6630077,10510041,12923377
386,3665892,0,36192,281818,0,0,8838938,3716359,18131,45975,1002496,2044031,787660,4649061,0,0,17546852,5569367,16093210,6246135,3564783,6640070,8374859,8025394,267123,0,0,0,2447469,2442843,0,312013
387,13174586,13217615,15694853,11120521,11347847,11705987,10835442,13081142,15196904,16412288,13945060,23325425,12225695,15015530,15283464,11548787,7704222,8958528,2412963,668916,327093,253904,6067,0,7162042,11754138,11079219,11929159,12749604,13514233,13351492,12025000
388,6504391,9446560,10260547,12715232,7744865,9632519,5045073,12987407,16280196,18410694,13287899,18886854,10048167,19761774,35156083,12714824,10063521,9383819,11132941,11756080,11393478,13625819,9431118,10898218,5610290,12109979,16445639,26038419,16822201,17274175,16322508,13447846
389,0,535302,604110,187237,1738680,2172138,247627,1817796,5979537,1231998,0,0,0,0,438720,6067,5495758,5911406,8485360,8508426,7496334,11241797,5793490,22207458,909496,719593,350346,581067,287955,846580,283819,30125
390,5623894,8392891,6067,0,314084,275401,108716,628938,3898748,2323253,2258692,1324648,2346366,3891742,3231273,3179202,0,0,265828,78731,259481,28209413,0,12134,9166486,3781760,2541986,2780635,1910411,3083244,3339015,2741106
391,1007058,3318498,0,2269875,1674358,2448000,5185034,2332476,4675505,3817188,4440683,2940483,17303425,7239519,4518078,4315242,0,76030,187587,402598,48326,3664562,435284,272105,3739361,4408528,4598326,3603857,3688620,3656459,5691273,3895808
392,181310,904339,10393642,807407,0,2164566,96722,4139153,600563,30335,6543319,6569133,5227684,1706764,952595,1032207,4141055,1068078,7004131,7163279,1242271,586819,2067809,2567199,42259,0,0,6067,6208403,9327979,8496100,5362768
393,4514187,3205465,4840551,10194055,1690914,4682634,3802767,4184428,3908963,3666347,2846100,4181558,6496953,2545807,11062243,3645556,2956928,7752653,807197,5237321,1851077,1887269,3676760,3623102,8806783,10886889,10180766,10774574,9674749,7582672,8595033,9989842
394,647069,5718726,4278875,9990262,3601681,6905058,5393774,7288609,0,0,0,0,139051,0,11994,10717999,5778095,3291039,4630166,2876476,4937092,3877082,4797656,10948895,289536,0,214871,187447,90655,0,24268,24198
395,5953793,5664613,6574319,6207516,10199457,13274470,6342997,6141940,12629851,15127052,1899263,0,1703853,0,1288736,1287651,614243,2879772,3594564,2085870,11932554,5672780,3225982,10596933,10136133,19213673,8012630,8491818,8428062,6996308,10819948,9161008
396,8587840,10906397,2559621,1729416,1770485,1736784,7265473,1621231,4559783,7371599,674423,636440,1355193,10630412,161038,428867,5787394,4135408,4719170,4428969,6185745,10834882,14223296,7035376,7031135,3721545,0,559430,761642,6067,634445,142767
397,5473024,6572108,5827057,5981042,4095920,3065953,4403301,4496371,11010300,7746796,16324876,14230740,13864567,9504657,7868241,5478216,7518589,2854769,7766432,1441852,2380977,2243501,1720934,1848761,7739778,11407741,8457761,11912469,6972524,6230349,12668079,8954625
398,7807892,9145240,21669560,10390328,4919661,8863457,5497053,12248254,7470899,6349099,12614316,12594575,13175881,7921269,5279860,1521388,6646417,3786567,5382474,6232239,3176950,5519810,4916680,3163031,6412091,9630104,7927062,9076741,22679990,23514004,23619337,22762623
399,6729045,10532512,25944451,18319076,3944974,9678821,5927705,13131166,8519732,8998045,14654467,15679796,16160151,13912269,15441060,12024236,9333276,7313087,9204078,7756439,6221383,9263173,9946084,12640690,344419,0,12559614,9409061,14076778,14510242,14356362,19437446
400,241700,211645,5839710,604670,2210506,2682752,1003867,2993709,1014700,557359,553503,259691,477753,0,555218,102929,12641349,8564021,14771981,11293057,6921363,14136153,13817624,21859416,8444688,8049522,8849637,9619335,8327513,9014665,10391752,15351216
401,4645590,6027233,4474279,2687979,16861310,15772365,5659030,5273204,11848660,8503917,0,0,0,6067,114713,317870,0,36122,18131,643172,356973,10946013,6279107,1579742,13977898,393585,468495,277752,574860,356903,138841,6067
402,9047427,9439256,5337485,4441972,3590317,4697574,4896869,5021750,631884,1348006,2982001,2061911,10502918,8958277,1286035,885998,10863403,4713523,3884625,3574076,3366567,7794107,14878649,3830961,4489470,6335250,5099530,6739738,5931380,9496000,3811681,7676203
403,12160113,16097842,18659633,8104014,3565769,12869381,4926323,11701174,3789122,12347444,25689467,23698406,25069449,21213193,13262324,6025973,5617302,9699542,6145032,15199640,3530563,4780330,3710391,4708722,4991316,6104424,5686857,10387861,8934779,8710714,9933536,10440317
404,475122,5607910,11235485,9094411,1073935,2096283,368827,2800341,265758,2000127,19911104,18879352,13330018,5335239,8841061,1157823,9875567,13015059,10322874,17935338,8187091,7463747,8703982,10645609,5500454,8853032,6786203,8101173,18891025,17801392,15831997,18814184
405,3348687,6223308,8076666,6452063,3513027,5109780,4822799,15812500,5797655,1713391,23255783,23935159,19688229,9134885,15620398,11443694,360409,0,2607562,7219988,1070744,1116124,2556570,18019471,9383504,16716262,22693349,25477035,24803148,25253104,23200247,24067857
406,9524684,14601253,16388580,14827657,16085533,18732251,17054591,26607346,5444544,8108092,27732938,28987355,24924004,14313922,20119231,14554928,6140435,5059797,4348272,5752736,11012050,3810409,6705232,19113427,12134,19372885,11493251,19923944,17218388,16471318,20453097,18867883
407,1306377,1697226,894416,1052683,1447919,3550158,2836638,5078780,6734575,5602426,7038526,7254529,2263639,6726449,1805201,1188438,15156792,13361502,12425154,17279974,21926707,20644120,24670281,27170550,6368630,8773455,0,3988569,3585370,102999,7067648,5008957
408,8920533,22602332,8768193,8364720,10694122,6845998,10410309,8194447,7998384,10705620,10598065,9606087,16146611,13280601,10447335,8686703,4799272,2588976,3102536,2127563,2441297,2242311,4983697,6462272,4312611,7697315,6890083,8546036,6088959,7107398,9321527,4736455
409,9189418,19317483,19339540,20775867,6136824,9287132,12643058,10309001,8610136,11209753,35905982,27468522,17832619,24867558,21061559,10443829,9280843,7074345,13315323,10522268,9253454,8855908,7801300,7998028,10945010,19187077,16407306,19861559,12279336,14254687,20839723,11887081
410,8653381,23177665,22141386,22372311,5506970,12578165,15505522,17602849,1829049,5520055,27363965,19678160,11193669,14402022,15551847,19131016,9974091,10034843,11383940,9994060,7076655,12701138,6902386,17266778,3356265,4525487,2404685,8027004,20501872,23341456,24652460,17309860
411,0,6063956,7400703,1890880,0,6067,921064,17605649,10809418,8418868,23748762,11129861,8908265,11368644,12087537,13394824,13633467,15581103,12266356,10223107,12110539,15030493,10929253,22702828,6416927,8575531,17963247,28318643,20616031,20311905,21183372,12224307
412,0,1804962,169246,0,12704720,12513983,8291461,13913838,910476,54323,17110728,3716394,420519,8609022,1729066,7618514,0,0,842613,544070,8240860,14120344,1146844,7904719,11616172,2921751,5997,7680619,0,108856,5749627,0
413,2997431,3534034,4380293,2065913,3081313,4404701,4015952,5553546,9225266,12136563,4369769,6561345,13445250,12319874,4800392,3112879,9952950,1133415,517171,90865,5111180,12747224,6442671,4228408,10534000,829394,611752,1766139,1136466,1066112,1166836,1426667
414,28846250,27449767,18240666,12463679,12907953,11902616,10534764,11643753,14359967,14205912,12205575,10733738,15260777,18142713,11275673,8028445,2738510,2923116,3454626,3377552,3605082,3846642,4136353,1992648,11920368,3778295,2707055,6871777,2884404,5678882,6972717,6819035
415,18660689,22720878,10544226,22275338,4776550,4511772,6779681,8705703,5026907,4668114,21642964,21757479,6164913,11059711,15068639,14436295,13409134,13109646,13214739,9879545,12112219,11619771,10477658,13376681,4382399,3055540,811263,1905925,1046231,2607842,3220230,2216363
416,3846292,7894020,0,7568397,51832,5997,72524,4345052,6067,169106,217642,296233,6067,187097,0,0,8001476,6884296,10909588,6079094,7811468,7955244,6567972,18908345,446928,902408,317800,1509254,10099025,10667952,879721,690553
417,12064,459272,12064,0,120920,96512,0,154271,2066263,2374070,2958363,3262273,2135491,3201953,3165452,3553600,0,0,0,0,1125417,5311251,659133,560200,305526,5301958,6297582,16618986,6643302,4832098,2682822,2216048
418,0,0,6067,0,879861,390394,0,188392,6501054,8418419,4847382,3536840,5460406,10238035,3878698,3148476,10757662,2578347,424095,477263,710615,737304,8237815,989277,8592431,4738357,4532213,4654294,5673620,5981316,4040121,5743169
419,7752758,11412898,9574801,5843362,13328402,13688111,10805218,8470875,24560515,24136951,4982017,3896409,16782468,16614062,6704561,3868769,217782,1962319,635145,7738979,63966,235633,60320,5997,1967960,3776504,4092227,245136,6671525,5422312,4569146,8541859
420,19790050,27632967,8205922,7158793,4819964,12273975,8761047,8111761,16845559,19688451,11658833,11983972,14061132,15708405,14050171,4553220,6223238,5057563,6846634,15937883,5931800,8819675,7276691,8148980,5022141,6694154,7080307,6688186,8107806,5134077,7887924,7363735
421,20078016,27102507,12769771,6542094,5763820,10465851,12329692,18041516,17720543,305946,24058,22048520,17709500,19275638,21815699,118639,11222505,10854699,11590883,10739846,11346966,12441319,12167843,14692427,1287406,3952902,2916419,4955964,5522336,2273486,8121976,7778566
422,0,356553,272315,24128,1220173,923205,923205,1422840,11151877,1245987,1766699,15260666,9338427,1442972,15912425,1585704,12259233,9041605,12192432,11096533,16691043,13139683,16065652,17110337,2291693,2164426,3238956,3402689,12579769,11034889,5496668,4347747
423,6067,569213,128072,18131,384047,209154,168826,6067,0,603900,1373744,241560,2152607,1901363,4328426,676704,610527,96652,483540,731167,767359,391059,1079477,1056889,13632079,10315430,11882070,13490379,523518,1510094,3589903,1445848
424,1567153,3409357,1663735,1315075,3094999,9640284,3968017,2501302,1949059,2015236,2600299,849386,6420631,8550306,1703888,1292102,5812257,6779792,11232568,7303940,4195302,5474570,6409530,6377637,13523672,12275287,10212052,11852919,5073693,4141049,2727992,4003719
425,4239276,4788818,4508756,6865115,14780031,24707541,4012557,3023840,15418495,14984979,4905316,2016111,7582952,15874098,3593263,1696281,634725,11017248,6581646,14684394,670987,2207490,1212566,1740045,8504471,10839444,6425059,10474234,3329220,2001562,4228373,1408460
426,13618282,14537777,13853810,9373913,2445713,12588683,1395241,2549202,15259499,11348314,3675045,1481270,3492510,18667112,11205570,10369094,5815862,13082134,9276357,19435976,5739943,5835154,5603103,6492706,793622,3801087,0,3729753,0,290516,217152,114783
427,3396908,7068033,2151341,1689263,795483,3089976,592186,3936387,11115160,5600163,18184797,13293155,8016060,12544417,7023458,6575865,6195802,6748337,7226160,12713214,7141379,7923649,8586434,13547660,7830474,5361187,6898956,4252571,4115906,4518504,3653863,3255401
428,5159961,7653131,4320434,3310144,3200518,3161071,9135836,5822874,11474647,4762940,19799325,11995307,6840456,16871414,9207339,4361217,6096531,4242158,5649148,5007551,6603633,16410304,9886843,5147308,84658,6382765,0,810703,20544481,19211421,4360027,8808953
429,0,0,145188,0,0,0,6067,0,10383077,3747785,4692837,5102488,3864662,5624460,7278027,7934593,21260866,7885579,8758107,7310246,7553282,20671462,16506711,9108686,17269765,10700498,17017617,19982934,10596974,10376561,6912817,10822894
430,10965369,11306148,14645332,8858568,9764255,13303615,11421456,14410848,5228489,2030561,6242349,6414786,4221670,11037479,5395763,1715777,5768236,2477139,2740301,3270487,6758779,2983722,3633346,4326005,9850902,4445700,14786495,23341567,7066201,6311892,2689840,8150998
431,4289749,5480398,4515733,6514063,10955306,17035305,2089481,5728147,15357808,14690310,3731328,5026551,13783532,22707291,4755111,3489809,6140645,3414473,7132489,6577008,8349255,7686167,5114336,6694329,6398265,1737449,9670438,16691825,669721,211505,3547014,6013909
432,8540698,9311569,6000118,4857620,139261,0,641212,54253,439000,3014337,3134440,4866429,4435567,7865610,11350151,11813647,6535630,4867695,7656386,6687982,8250503,9157642,7849900,13725283,1085019,2281805,2001422,88094,2466691,546946,4082036,2367758
433,1132359,3384990,11994,0,0,5997,6067,6067,6127840,6198445,12071856,13114412,6573893,5048095,9391461,6112130,5055136,5487480,6269738,6433162,12488017,9914232,7970435,9477262,5967899,7092190,7858738,8485214,5621724,6017100,6345529,6426885
434,5997,0,0,346729,0,0,2310699,0,245206,543230,217782,6067,0,338282,492833,163039,10611978,4458394,3016478,808912,1930152,2262828,3262804,2807738,9656280,3326420,446788,0,7002865,7768293,12174826,13390250
435,2930653,4595695,4311940,3367524,2355834,3349988,2903340,4641518,7713970,6191287,5724822,7311763,7572533,7332560,7880719,9748504,462778,4731170,710335,7551561,0,296373,736108,380751,26369794,9730198,22098707,24579970,18376333,20763535,25632041,19130823
436,8711519,13895696,11068065,11984007,14735678,12609147,13398785,16075884,18364596,4536215,4093598,5984939,4903432,9428913,2520168,24729633,7041093,5916131,6566210,10298145,5919771,5239491,7630508,4784501,9667597,2559201,12553722,16686767,8059305,12374681,12750071,14357622
437,4676217,3317932,8193619,3719089,12952452,11140169,6062369,7562231,36236540,19741473,7334870,10525284,18040437,26588416,8909875,19388245,447418,126987,387973,617819,102999,532951,348415,11053889,5757473,9960843,11592604,18179226,8219386,12599726,11954524,12646319
438,11069809,11623563,24177763,21140733,14042686,8712062,2027685,13219050,15516985,3060592,2265138,2048768,1820882,13015403,8215746,21599819,9718624,9288748,11799827,11091936,12991333,12735335,9793703,14525497,343999,1488457,2082463,3704639,1503677,640792,2170913,1935630
439,1875940,0,265548,299459,1709045,0,780788,0,10161486,72384,16020610,15095346,1077616,5962421,719033,8224199,151185,5997,0,199371,1675484,23199261,14426226,1032551,851667,6002539,733267,0,0,0,0,0
440,0,42259,18061,278312,0,142487,341788,0,10742121,11354655,17192399,11479425,11574648,13907754,16526686,12879129,3880588,6824367,12960065,5794966,3804552,14749025,3981306,5517214,14627773,19825186,14782353,18189143,20434184,17591934,23569465,23941605
441,18108895,19101941,21115835,17960248,16896627,20348675,19792809,22989500,17971396,16622655,19795201,18852692,18001107,20822163,23195819,17102485,4097851,4192117,4191271,1559330,4305663,1014140,1886744,1162624,19842961,22339911,47076405,52892331,31634148,28641337,29043930,32061061
442,23228540,23389421,23645139,23077827,21298440,22460312,24398672,29313549,27273765,29498675,27409182,18486502,15417830,29424494,25974103,14788000,14022642,13633747,15181970,13828317,12009115,16736872,15298462,20186761,19747511,23415660,42453951,52844547,30916871,27603174,32426983,39136088
443,4730108,8442051,7036047,6988555,19486466,24815586,12919130,25888692,8243205,10858240,4084976,0,16477537,31992702,3487633,51902,22785958,16537245,21481594,22352447,18021956,22155935,22232023,31678297,0,1516021,18396448,30596090,9954280,3785196,15257942,19976820
444,6952742,8145649,2988733,1015686,2642809,3455262,4531309,2178520,1460263,1417234,5649037,4761505,2257006,17344669,14552087,14488226,9170540,437950,5736472,8260840,12056694,7492507,5104652,15548866,0,0,5303994,15911410,2922906,0,2624258,7743634
445,396531,725975,3540311,1813619,163389,1067028,435494,296968,478698,1417514,9654652,9843960,2749244,7721717,2376351,1574766,6418187,2136757,3172534,24128,2287306,7039868,3251125,4285146,12624373,6976176,4254356,7773106,1272886,1695155,4144701,1299295
446,553783,986506,30125,3619882,943827,798044,5997,1101849,4516363,5039146,3769731,4402041,4775208,5083540,4077474,4321064,1707400,4914160,3885675,9765433,1769365,2650661,3430749,2394126,3510326,6524068,4692522,4103877,13208024,15339677,15027921,18102391
447,1503957,3834088,5442724,3886480,4403890,5044023,3324069,9035806,13454059,16480804,14007912,11016186,11492988,16206208,11304007,14834500,239209,668356,0,0,277752,0,215011,0,18032078,20364093,24356390,27750795,21586961,23834406,29775692,30293271
448,9688067,16228271,17304195,11750970,15211109,22100224,14913820,27625202,18170796,26392265,14495798,11152694,9725280,17856998,8327653,11221677,4265825,3444884,4755391,2914278,5927705,5405056,4749190,13433332,11100891,18900102,21648378,26991749,19321514,19170416,29036113,27178980
449,96862,78591,0,0,9190159,8809344,27844,8452213,5949202,25942852,4543326,3592073,2558851,11115300,4647282,2902325,15362020,7927622,14754328,16140037,13849388,14865447,14269738,22322445,9137872,5304379,1474223,3639413,2399458,2274927,3741117,4108923
450,13599772,16988962,4161362,4186038,3829701,3838924,3715548,4804732,1828769,10651542,1325068,535092,1704664,4464490,7096256,5391732,4829257,821752,18061,120920,977143,11734233,4155038,142627,2252240,1527805,1559721,2397883,172752,1119700,1160979,1729346
451,5997,0,54253,190603,60530,23988,0,0,11960824,15325454,23620130,29301229,11180316,13612361,12340519,12704790,420309,6727085,9805411,692274,85743,39908,90725,90865,13850421,14396830,14717203,14286148,13513457,15632882,18643550,13046263
452,12590316,14954055,15220128,14790969,13666328,12887191,15345814,19911815,13581355,10340620,23343591,23294933,11830471,13767612,12269267,7523058,4376746,5411975,4183559,4959015,4806879,4431845,5500483,2769510,8486072,13998846,8390021,11212658,29449526,30908879,28427348,27809499
453,5352040,13648273,5916341,7037820,7187926,6938240,7780701,24291939,10720128,11184324,25098903,25221754,8866951,17842379,10580797,9810574,11759114,8655936,11419105,11224197,11907901,12362897,14022105,23864834,6610651,6230991,24979774,27524251,22098905,25885869,28361690,25884708
454,3678697,6059254,3726527,3452847,12130426,19118462,2104065,17540592,12060049,10162536,19424157,18779305,3541425,14745869,5752077,1984586,6495063,0,8191659,1835466,8325588,10709441,6409600,26182032,950979,941406,19035245,25046179,17556553,19943294,25755336,20913991
