%util,ceph01,ceph02,ceph03,ceph04
159,31.0375,33.2625,67.9125,43.2125
160,56.4375,46.475,44.8625,37.4875
161,66.8,45.0,30.6375,32.7875
162,40.25,36.875,33.7125,35.9125
163,34.2125,50.35,35.5625,56.75
164,37.65,37.475,52.7875,54.9125
165,35.3125,41.2125,55.3125,38.425
166,42.0625,37.25,55.75,42.1375
167,62.4875,40.475,32.8375,30.0625
168,49.55,45.3,30.975,37.325
169,29.5125,54.575,29.9875,47.2125
170,29.1625,36.1375,44.325,64.8875
171,31.3875,35.8,63.15,26.275
172,34.275,25.9,52.875,36.2125
173,44.225,31.125,29.9875,37.35
174,52.2625,51.6375,31.0375,33.0
175,40.5375,57.4,30.8375,41.325
176,35.425,30.275,32.525,65.5625
177,30.35,39.5875,63.2125,33.3625
178,31.65,29.075,64.9125,33.1
179,46.8625,34.4125,48.4375,41.275
180,53.475,60.1,28.3625,29.0375
181,34.3625,53.6125,22.825,33.2
182,29.8625,36.2375,26.075,62.675
183,31.6375,40.65,48.35,44.95
184,36.25,33.2125,74.1,31.7
185,46.725,26.7875,49.025,36.825
186,57.3625,50.1375,24.25,25.5375
187,43.275,56.6625,35.35,42.2875
188,34.1125,41.3,32.05,53.05
189,33.7625,35.025,38.6,49.55
190,35.0625,32.575,69.7875,37.8375
191,43.6375,33.9875,56.325,45.6625
192,53.9,52.475,34.925,33.2125
193,54.5,46.675,30.35,39.1625
194,33.3125,48.7,32.95,44.8875
195,32.6625,39.325,38.8,57.735
196,33.625,30.9,61.8375,34.2375
197,42.75,35.7875,67.5625,42.0625
198,51.825,51.175,41.35,41.25
199,53.05,46.525,29.45,46.775
200,42.2875,50.9625,32.7,38.675
201,33.625,35.4375,33.55,61.375
202,33.0,32.7375,51.7875,48.925
203,43.9375,49.1875,74.5375,32.125
204,49.125,43.25,43.1625,49.7625
205,46.525,41.7375,29.675,55.2375
206,44.5,54.675,33.875,36.0625
207,36.3,33.5875,36.025,50.3875
208,34.575,32.8625,44.0875,59.175
209,36.3875,46.4375,63.15,29.85
210,42.5375,37.975,62.025,37.1875
211,48.25,40.7125,34.5375,54.1375
212,40.1125,60.1,34.775,32.7625
213,37.45,41.05,33.1,37.35
214,38.0,41.0875,32.45,57.025
215,43.9,48.075,58.65,43.3375
216,39.9375,31.3,72.3,42.075
217,46.9875,41.275,35.95,47.2875
218,42.35,39.9125,27.7875,33.25
219,39.2875,46.7625,35.5125,32.15
220,38.7375,50.5625,34.3625,47.9125
221,41.1,38.9375,42.825,48.3125
222,27.8375,25.3125,63.3375,32.4
223,40.175,38.55,45.6625,34.8875
224,53.1187,36.6713,30.4875,40.15
225,38.6625,46.2875,33.525,32.9375
226,38.75,60.6875,34.5375,48.15
227,39.875,34.4125,47.2625,52.4
228,28.075,29.875,51.5625,35.275
229,36.6625,36.425,51.6125,32.475
230,50.25,34.7,35.5,42.9625
231,45.525,40.7375,34.375,33.825
232,49.025,64.3,34.2875,43.325
233,36.05,35.7625,39.0,53.2375
234,31.65,40.55,51.525,35.45
235,34.1625,46.375,56.1125,31.9
236,41.775,26.05,39.8,41.45
237,56.225,43.2875,31.6625,41.85
238,52.35,60.55,30.325,43.3
239,36.975,44.8625,39.8125,46.7
240,33.4375,40.6875,49.175,44.6375
241,37.575,45.6,64.0,34.575
242,32.9375,32.3125,52.025,36.075
243,53.85,34.45,34.0625,45.975
244,46.6875,51.5,28.6625,41.8875
245,37.4375,42.3,26.825,36.0625
246,33.7,41.2375,41.3625,48.275
247,41.4875,36.375,56.3375,33.3125
248,37.55,32.4125,57.3375,30.975
249,43.875,36.4625,32.9125,57.4625
250,33.3375,53.2375,25.35,38.025
251,40.1875,42.2375,32.2625,30.875
252,34.05,50.025,42.6875,41.4875
253,44.025,37.5125,51.325,36.3
254,36.45,40.1125,54.65,34.875
255,48.7625,33.45,41.1625,53.7875
256,37.35,47.8125,22.0875,42.0875
257,46.75,38.5125,42.0125,42.775
258,26.0875,35.5125,26.4375,38.1125
259,42.2625,33.9625,38.9,33.575
260,47.6375,43.4875,53.35,39.025
261,44.6,34.75,38.175,45.725
262,39.3375,46.5875,31.8875,46.4875
263,40.3125,43.275,25.6875,26.975
264,43.625,38.75,39.4625,46.8625
265,46.075,40.3375,52.625,41.9375
266,35.4375,32.025,62.1375,52.425
267,51.075,44.425,50.8,51.05
268,63.1875,47.5625,36.425,49.25
269,56.525,42.2875,43.2375,42.8875
270,33.725,40.95,45.9,52.85
271,55.3375,43.95,48.8,46.3875
272,47.6125,42.025,61.0625,51.975
273,49.5375,50.6375,55.7,38.4125
274,50.8875,44.4375,39.55,49.25
275,42.9375,43.1875,47.65,54.025
276,46.95,43.9125,52.025,47.8
277,35.925,48.125,50.0,47.5125
278,34.7,54.475,55.875,40.1
279,59.9875,45.1125,57.7625,42.025
280,50.925,43.1375,36.6125,45.575
281,52.6875,44.2,39.0375,61.225
282,48.7375,35.6875,43.45,56.8125
283,41.475,34.7,56.4375,55.8375
284,34.9625,53.25,56.8875,42.7875
285,64.2,38.775,54.525,44.2125
286,56.2,44.6625,47.8125,46.0375
287,50.4375,52.5125,48.975,54.2
288,42.275,31.075,44.0875,62.8
289,35.925,39.8375,59.6625,57.975
290,34.525,45.2875,54.7125,39.8875
291,51.5125,36.025,59.0,45.45
292,52.375,44.4375,48.3,46.8625
293,39.3,53.2625,49.85,42.45
294,34.125,36.6375,52.3625,55.6
295,24.225,42.775,56.75,57.175
296,40.15,37.425,38.15,36.51
297,42.825,39.55,54.9375,43.125
298,45.925,40.0125,40.5625,35.8
299,51.725,39.4,47.3625,37.4
300,37.7625,36.125,45.4875,43.625
301,27.5,40.125,46.5875,53.8875
302,40.9,41.45,38.4875,39.1125
303,38.2,37.425,45.9125,44.275
304,46.0625,43.1625,39.0125,32.1125
305,48.1,35.475,47.1875,39.7625
306,41.1125,45.35,47.475,39.7375
307,25.05,39.2125,29.7625,48.1625
308,38.975,41.15,43.5625,41.1125
309,33.8375,43.6,41.7625,43.675
310,39.4125,37.0875,35.35,27.85
311,44.175,36.075,45.35,36.825
312,33.925,44.7,47.675,28.4125
313,34.6125,41.525,28.225,45.0625
314,37.725,32.4,35.75,48.0125
315,29.7125,36.5125,35.125,36.45
316,40.2125,36.05,43.25,32.9625
317,47.225,39.4625,48.4625,42.575
318,29.85,49.125,39.575,28.325
319,43.375,39.5625,34.25,44.6875
320,39.1875,38.875,35.9625,57.325
321,34.2125,30.8625,44.0125,43.0875
322,44.5875,38.1625,43.25,37.375
323,40.9625,37.0125,42.7125,34.4
324,45.325,44.9625,42.0375,32.025
325,39.0,41.0,41.9,37.225
326,34.475,41.9,34.7875,58.775
327,37.8625,34.825,45.8375,56.4625
328,54.0625,40.625,44.4625,42.8
329,34.2125,50.225,45.05,33.2625
330,52.7125,44.0125,36.625,29.6875
331,38.8375,52.3375,39.775,34.575
332,36.0125,41.2875,44.475,50.5
333,30.025,33.3375,51.575,56.9875
334,48.1875,32.5875,41.8,56.425
335,39.7125,53.825,42.525,35.6125
336,53.8,42.15,36.525,28.45
337,40.4375,54.5125,33.3125,36.3125
338,34.525,46.2,38.4125,36.9375
339,31.375,29.225,43.9875,62.5125
340,32.225,22.15,44.85,45.5875
341,42.0375,58.5375,41.4,35.95
342,57.575,51.15,34.975,34.0
343,48.25,54.65,39.2875,30.65
344,26.4875,34.8,37.8875,23.9875
345,29.2,29.5375,33.5125,56.5125
346,30.85,30.0875,55.2,70.6125
347,41.9125,44.475,32.725,31.4375
348,48.45,57.3875,40.9375,31.9375
349,63.675,46.6625,36.9,27.15
350,34.45,52.55,49.3625,29.8
351,32.2625,30.725,43.3375,52.7375
352,25.325,28.075,39.7,66.8
353,42.5,41.125,36.9375,39.575
354,44.375,58.2625,39.5375,28.275
355,58.1625,36.5125,37.7625,26.0375
356,43.15,49.1,42.9625,26.95
357,25.4,31.3375,41.0875,52.85
358,30.85,32.9125,33.9,62.575
359,40.625,28.6625,36.0625,43.0875
360,54.8375,53.725,28.775,33.5125
361,51.8375,47.8625,52.225,29.1375
362,41.9375,53.3125,46.625,24.6375
363,32.45,39.0375,45.0875,48.2875
364,35.175,34.1375,36.7625,67.25
365,31.45,29.925,40.3,48.8625
366,48.3,44.0625,35.0,33.9
367,48.425,55.875,48.5375,31.75
368,47.575,46.6125,43.6125,26.975
369,32.325,52.85,45.9875,42.775
370,30.9625,31.8875,29.9,58.9
371,35.9125,32.85,33.5875,65.0125
372,44.4375,29.8875,45.125,37.4
373,46.2875,57.2125,49.125,34.0375
374,56.6375,49.125,41.8375,29.8625
375,29.425,53.8375,38.85,33.975
376,29.4375,40.8125,44.0375,42.125
377,37.3375,32.5875,35.1125,63.125
378,45.7625,35.7375,45.725,58.0
379,46.4125,50.775,48.6,29.625
