w/s,ceph01,ceph02,ceph03,ceph04
144,2900.62,2838.88,2742.62,1951.75
145,2808.5,2712.88,2464.5,2437.12
146,3101.0,2379.5,2083.75,3149.25
147,1970.0,2494.38,2110.5,1769.5
148,1849.12,2190.75,2374.38,2717.38
149,3137.0,2582.62,3201.88,3178.5
150,2951.0,2887.88,3103.75,2774.38
151,2719.62,2346.88,2419.75,1907.12
152,2781.5,2235.12,2074.12,2826.62
153,2620.62,2916.88,2105.5,2197.88
154,1868.0,2450.25,3063.49,3015.88
155,2624.12,2973.25,3222.88,3226.62
156,3194.38,2963.62,3169.25,3062.62
157,2963.88,2368.0,2726.75,2148.38
158,2934.0,2879.0,2602.0,2787.25
159,2927.88,2894.0,1977.12,2682.12
160,1902.38,2334.12,2285.5,2387.75
161,2205.88,3162.25,3401.62,3520.75
162,2870.12,2877.75,3113.0,3206.62
163,2809.0,2101.25,2671.88,2246.75
164,2532.62,2650.38,2317.12,2123.25
165,2845.88,2718.5,2115.25,2702.62
166,2780.38,2994.62,2558.5,2792.75
167,1995.25,2496.0,3108.62,3038.88
168,2661.25,2788.75,3284.75,3053.62
169,2645.62,1923.88,2652.25,2060.88
170,3054.75,2949.62,2347.25,2101.5
171,2659.12,2560.75,1803.12,2783.12
172,2520.38,2723.25,2169.88,2576.62
173,2345.75,2646.5,2674.75,2518.0
174,2679.0,2570.38,3319.75,3417.0
175,3004.25,2336.12,3344.5,2779.12
176,2675.75,2791.88,2550.75,1823.75
177,3122.38,2954.62,1955.88,3020.75
178,2690.88,2720.5,1775.25,2546.0
179,2569.62,2893.12,2433.5,2760.88
180,2378.25,1690.75,3133.75,3117.75
181,2862.5,1985.62,2962.62,2666.0
182,2979.88,2828.12,3048.0,1838.5
183,2994.88,2726.0,2309.5,2807.38
184,3237.75,3223.38,1602.62,3194.25
185,2399.25,2820.0,2435.75,2585.12
186,2167.0,2359.62,3105.0,3142.5
187,2801.88,2422.62,3193.0,2750.25
188,3019.62,2970.0,3165.62,2471.12
189,3190.88,3086.5,2737.12,2464.75
190,3230.5,3245.12,1807.88,3320.5
191,2733.0,3052.0,2553.5,2619.88
192,1926.25,2018.88,2567.75,2630.12
193,2697.0,2856.25,3504.25,2985.25
194,3176.12,2668.5,3205.38,2798.88
195,3317.25,3013.62,3133.38,2267.57
196,3268.75,3214.25,2029.0,3139.0
197,2257.25,2360.12,1830.88,2477.75
198,2614.62,2500.62,3020.38,2906.12
199,2394.75,2832.38,3090.5,2734.62
200,2868.12,2435.0,3111.0,2894.75
201,3677.5,3244.12,3430.38,2356.0
202,2866.5,2882.75,2390.88,2523.38
203,2360.25,2386.25,1501.0,2638.12
204,2637.25,2751.12,2731.12,2480.25
205,2554.25,2496.5,2848.5,1931.0
206,2901.88,2685.5,3527.25,3467.5
207,3049.75,3302.38,3104.12,2625.88
208,2653.88,2568.88,2521.88,2155.25
209,2303.88,2025.75,1228.38,2388.75
210,2519.88,2516.62,2035.5,2518.5
211,2533.25,2732.5,3048.62,2458.75
212,3068.88,2001.25,3257.38,3252.62
213,3276.88,3070.0,3176.38,3107.75
214,3305.38,3068.88,3336.38,2465.38
215,2116.25,2111.0,1906.62,2247.62
216,2497.75,2699.62,1618.75,2457.75
217,2903.75,2798.25,2866.38,2671.5
218,2675.75,2879.0,3130.5,3072.38
219,3025.75,2619.75,3308.62,3015.88
220,2574.38,2276.25,2822.75,2312.25
221,2178.12,2353.25,2216.38,2243.0
222,2710.5,2787.25,1759.38,2755.25
223,2761.5,2703.0,2652.25,2798.25
224,2368.93,3056.44,3161.75,2965.75
225,3146.0,2630.38,3304.88,3274.62
226,2634.62,2122.38,2904.88,2574.12
227,2398.38,2502.75,2094.12,2195.75
228,3049.12,2892.62,2121.0,2790.12
229,2732.12,2520.0,2318.25,2747.88
230,2804.75,3426.0,3376.25,3064.12
231,2714.25,2811.0,3258.12,3063.25
232,2328.25,1621.62,2570.75,2496.62
233,2670.0,2951.25,2651.25,2184.38
234,3434.12,3014.88,2586.75,3201.5
235,2666.0,2382.12,2070.62,2803.88
236,2235.5,2756.12,2588.38,2371.12
237,2406.25,2942.0,3311.62,2909.88
238,1884.5,1701.75,2461.88,2091.62
239,3164.88,2859.75,2958.12,2491.88
240,3168.62,2916.62,2591.38,2885.5
241,2669.38,2610.75,1759.88,3014.25
242,2987.75,3011.75,2574.25,2699.12
243,2179.12,2821.12,3194.38,2622.88
244,1960.0,1701.25,2388.25,2266.5
245,2590.88,2407.0,2873.38,2491.88
246,3361.12,3065.75,3003.38,2790.62
247,2997.12,3153.38,2544.38,3373.75
248,2750.62,3087.75,2377.5,3069.62
249,2531.88,2863.75,2983.25,2177.5
250,2045.25,1343.5,2288.5,2045.62
251,2926.62,2728.12,3157.12,3121.75
252,2912.62,2398.0,2747.62,2591.0
253,2926.75,3183.5,2698.88,3162.62
254,2848.0,2794.5,2284.0,3007.75
255,1868.5,2312.25,2111.38,1721.0
256,2175.12,1852.62,2529.62,1796.88
257,2218.38,2246.25,2210.0,2152.75
258,1893.38,1715.88,1842.38,1815.0
259,1473.62,1574.5,1449.88,1768.25
260,2056.12,2093.62,1847.62,1918.75
261,1966.62,2038.5,2009.62,1966.5
262,2135.0,1743.38,2200.38,1981.38
263,1480.12,1459.5,1793.25,1808.88
264,2084.5,2154.62,1993.75,1930.88
265,2281.88,2534.38,2283.12,2315.12
266,1588.38,1928.0,1219.62,1596.38
267,2652.88,2634.88,2796.75,2623.25
268,1914.88,2280.62,2480.62,2112.5
269,2101.0,2539.75,2366.25,2570.25
270,2285.5,2168.12,2057.75,1980.25
271,2351.12,2486.5,2269.0,2479.12
272,2159.62,2165.5,1799.75,1828.12
273,2553.75,2423.0,2524.12,2634.12
274,2343.25,2388.0,2722.0,2181.62
275,1858.75,1694.5,1727.62,1697.75
276,2857.88,2714.62,2476.0,2716.0
277,2382.5,1921.38,2109.0,2288.25
278,2346.62,1717.88,2042.75,2272.62
279,2410.5,2773.88,2499.75,2780.12
280,1762.75,1804.0,2076.25,1669.62
281,1952.5,2688.62,2724.62,1793.5
282,2385.62,2787.12,2498.75,2039.75
283,2113.88,1926.38,1632.75,1621.38
284,2943.0,2423.0,2365.0,2840.88
285,2314.0,3291.5,2648.38,3098.88
286,2412.38,2641.0,2703.0,2701.38
287,2734.12,2545.25,2836.0,2630.62
288,2622.38,2782.62,2449.38,1566.38
289,2549.0,2286.25,2012.0,2234.12
