ops,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
214,1342559,1383878,1382328,1352247,1333916,1383273,1364819,1396868,1367451,1375508,1371763,1367421,1365000,1419183,1380505,1340063,1372150,1329647,1364063,1377375,1356801,1375590,1368547,1380422,1340361,1378117,1351864,1391338,1367869,1360054,1395406,1388983
215,1349979,1391492,1389901,1359548,1341031,1391191,1371570,1403733,1374660,1383547,1379820,1375117,1372975,1428080,1387918,1347569,1377767,1334968,1369323,1382768,1361694,1380740,1373967,1386149,1348280,1386704,1359619,1399521,1376348,1368292,1403541,1396925
216,1356015,1399259,1396841,1366968,1348075,1397166,1378412,1410704,1382040,1390480,1387192,1382699,1380078,1434245,1395129,1354272,1386041,1342642,1377452,1391124,1370090,1389561,1382213,1394802,1354495,1392304,1365444,1406029,1381619,1373761,1409519,1402553
217,1363008,1405292,1404343,1373284,1354338,1404299,1384943,1417898,1387954,1396318,1392438,1388143,1385725,1441094,1400735,1360040,1391845,1348508,1383173,1396965,1375629,1395023,1388077,1400602,1361437,1400064,1374003,1412819,1389419,1382371,1416590,1410224
218,1368750,1411255,1409645,1378598,1359959,1410242,1390412,1424127,1393920,1402581,1398679,1394246,1392084,1447713,1406939,1366226,1398827,1355120,1390870,1403596,1382168,1402613,1395094,1406947,1367927,1406306,1378978,1419415,1395867,1387446,1424055,1417238
219,1374659,1417350,1415153,1384903,1365593,1415968,1396138,1429959,1399396,1408219,1404222,1399840,1397932,1453402,1413389,1371749,1405996,1361867,1396713,1410436,1388870,1408836,1401853,1414204,1373225,1411294,1384257,1425427,1400854,1393425,1429196,1422409
220,1382098,1424936,1422912,1391977,1373070,1423629,1403719,1437049,1407732,1415775,1412312,1408667,1405408,1461563,1422036,1379950,1410513,1366560,1402304,1416054,1393841,1413897,1407224,1418723,1380665,1419281,1391865,1432706,1408826,1400442,1437061,1430066
221,1390888,1433798,1431941,1400641,1381607,1432453,1412060,1446685,1415417,1424529,1420290,1415847,1413547,1470667,1429080,1387347,1418935,1374201,1410134,1423787,1401870,1421456,1415066,1427180,1389259,1428006,1401816,1442003,1416776,1408922,1445539,1439453
222,1395394,1439027,1437412,1405979,1386479,1437786,1417907,1451702,1420369,1429385,1424969,1420851,1418732,1475604,1434039,1392116,1427552,1382682,1417415,1431555,1409871,1429400,1423407,1435605,1394653,1433888,1406278,1447488,1423066,1414502,1451473,1444593
223,1402376,1446695,1444781,1413357,1392246,1445138,1423605,1457473,1427505,1436599,1431918,1428355,1425900,1482781,1441541,1399350,1433016,1387567,1423839,1437939,1415754,1435598,1428825,1441507,1400260,1439478,1411960,1453017,1428948,1420174,1458711,1451867
224,1406501,1450568,1448470,1416958,1396827,1448672,1428554,1462584,1431733,1440886,1436591,1432473,1429904,1487040,1445582,1403177,1437755,1392472,1428422,1442774,1420936,1440615,1433498,1445702,1405129,1444952,1416847,1458664,1433955,1425624,1463096,1456226
225,1411167,1455035,1452972,1421951,1401712,1454008,1433444,1467610,1436698,1446165,1441604,1436961,1434814,1492227,1451185,1408473,1444687,1399007,1435110,1449446,1427421,1447467,1440389,1453007,1409562,1449621,1421476,1463121,1438244,1429993,1467808,1460869
226,1419198,1463732,1461570,1429947,1409970,1462449,1441604,1476211,1445491,1455409,1450287,1445869,1443506,1500906,1460673,1417347,1448855,1403038,1439353,1453763,1431496,1451550,1444634,1457255,1417936,1458659,1430167,1472330,1447026,1438987,1476598,1469711
227,1427159,1471541,1469841,1437497,1418179,1470150,1449557,1484175,1452620,1462138,1457638,1453576,1451093,1508420,1467293,1424170,1457763,1411632,1447966,1461659,1440348,1459727,1452450,1465192,1426368,1466964,1438554,1480250,1455261,1447005,1484263,1477746
228,1432576,1477045,1474702,1443006,1422715,1475807,1454790,1490074,1458785,1468828,1463218,1458840,1456628,1514842,1473548,1430713,1463776,1417720,1454411,1468950,1446222,1467448,1460082,1473667,1431927,1472505,1443702,1486216,1460744,1452451,1490771,1483582
229,1438115,1483270,1481376,1449170,1428995,1482229,1461213,1496511,1464196,1473631,1469056,1464836,1462541,1520449,1478667,1435401,1470249,1424051,1460689,1475268,1452647,1472955,1465952,1478703,1437870,1478470,1449821,1492616,1466826,1458640,1497325,1489903
230,1443956,1489320,1487161,1455115,1434516,1488108,1467155,1502656,1470246,1479304,1475003,1470450,1468076,1526340,1484632,1441214,1476429,1430230,1466829,1481374,1459093,1479578,1472061,1485191,1443437,1484570,1455309,1498887,1473206,1464641,1502835,1495528
231,1450047,1495576,1493358,1461148,1440556,1494319,1473051,1508548,1475905,1485587,1480343,1476577,1474216,1532632,1490508,1446811,1481184,1434531,1471577,1486335,1463544,1484166,1476931,1489916,1449262,1490494,1461746,1504697,1478708,1470256,1509178,1502270
232,1457438,1503015,1500823,1468301,1448003,1501751,1480539,1516379,1483716,1493239,1488186,1484730,1481963,1540814,1498328,1454437,1488900,1442018,1479104,1493615,1470684,1491886,1484683,1497020,1456614,1498851,1469497,1512597,1486635,1477972,1516971,1509831
233,1462188,1508206,1505814,1473165,1452749,1506862,1485356,1521379,1489613,1498773,1494266,1490163,1487519,1546729,1504234,1460169,1495811,1449816,1487029,1501579,1478244,1498606,1491611,1505533,1461820,1503778,1474582,1518059,1491507,1483367,1522192,1515177
234,1467155,1513097,1510781,1478138,1457668,1511699,1490273,1526559,1493945,1503331,1498244,1494463,1491671,1551333,1508586,1464423,1501024,1454089,1491449,1506856,1483441,1504319,1496850,1510117,1466770,1508952,1479202,1522866,1496433,1488228,1527434,1520302
235,1472542,1518914,1516824,1483712,1462942,1517440,1495977,1532607,1499232,1508543,1503578,1499817,1497200,1556830,1513712,1469204,1506881,1459469,1497352,1512637,1489071,1510149,1502638,1515845,1472167,1514757,1485013,1528800,1502006,1493879,1533196,1526074
236,1479636,1524758,1524039,1491267,1469766,1523341,1502423,1538560,1508145,1516203,1511169,1507506,1506054,1564148,1521087,1476746,1511986,1464168,1502005,1517545,1494129,1515111,1507316,1520595,1478023,1521344,1491331,1534988,1508229,1499885,1539342,1532197
237,1486916,1533040,1531327,1497973,1476716,1531987,1509867,1546223,1514446,1523898,1518492,1515121,1512460,1572395,1529032,1484307,1518549,1470441,1508404,1523885,1500601,1521608,1513634,1526994,1486501,1528646,1498913,1543552,1515352,1507392,1547485,1540056
238,1492242,1539230,1537112,1503353,1482698,1537728,1515744,1553229,1519723,1529149,1523726,1520356,1517652,1577950,1534527,1489687,1526497,1478783,1517078,1532627,1508801,1529619,1522001,1535885,1491907,1534980,1504741,1549545,1522001,1513574,1554066,1546685
239,1497084,1544340,1542588,1508215,1487330,1542731,1520842,1557996,1525849,1535388,1529913,1526665,1524057,1584450,1540842,1495577,1533692,1485365,1523690,1539566,1515584,1536564,1528995,1542595,1497452,1539857,1509644,1554533,1526763,1518653,1559838,1551631
240,1503867,1551546,1549293,1515353,1494523,1549060,1527140,1564561,1531525,1541083,1535408,1532076,1529433,1590133,1546248,1500828,1538370,1489858,1528641,1544429,1520130,1541367,1533847,1547412,1503939,1547326,1517044,1561038,1532951,1525586,1565717,1557973
241,1509649,1556249,1554108,1520259,1499092,1554953,1532369,1570448,1539045,1549227,1542869,1539109,1536912,1598162,1553689,1508529,1544222,1495384,1534249,1549786,1525462,1547496,1539334,1553245,1508506,1551747,1521380,1566790,1538628,1530650,1571280,1563419
242,1516798,1566586,1562552,1529804,1507413,1562935,1540652,1579303,1547948,1556943,1551208,1548303,1546926,1608606,1564345,1517318,1550057,1501169,1540361,1556323,1531765,1552987,1545539,1559141,1516351,1560434,1529370,1575771,1546658,1538396,1579848,1572572
243,1525363,1573353,1571402,1537259,1515568,1572214,1549428,1587381,1554325,1564214,1558470,1554912,1552188,1614025,1569157,1523357,1558174,1509632,1548808,1564634,1539642,1560989,1553796,1567168,1524843,1568953,1538330,1584196,1555353,1547228,1588871,1580807
244,1530972,1579339,1577127,1542400,1521249,1577708,1555337,1593606,1560601,1570438,1564952,1560914,1558490,1620399,1575448,1529704,1567865,1518681,1557913,1574100,1549168,1570905,1563556,1577416,1530740,1575242,1544203,1590237,1561307,1553273,1594755,1586630
245,1537926,1585873,1583939,1549477,1528013,1583952,1561536,1600658,1566837,1577601,1570875,1567106,1565527,1626999,1581670,1535533,1573756,1524001,1563639,1580028,1555096,1576590,1569005,1582764,1537651,1582276,1550418,1596646,1567696,1559822,1601118,1593405
246,1542603,1591794,1589342,1554494,1532832,1590725,1567484,1605938,1572633,1582984,1577193,1573359,1570398,1633259,1587862,1541437,1580738,1530370,1570752,1586816,1561102,1583403,1575421,1589802,1542686,1587194,1555884,1602383,1573913,1565733,1607043,1599192
247,1547613,1596626,1594265,1559082,1537860,1594832,1572307,1610975,1580067,1590013,1585145,1580876,1577204,1640517,1595361,1548908,1587022,1536017,1576727,1592825,1568105,1589090,1581872,1595224,1547275,1592192,1561117,1607440,1578642,1570185,1612174,1604049
248,1557015,1606561,1603931,1568512,1547028,1604456,1581426,1620498,1588927,1600584,1593347,1589110,1586726,1649067,1605404,1558133,1591624,1541152,1581248,1597636,1572175,1594354,1586922,1600619,1556568,1601942,1570690,1617478,1587635,1579990,1621636,1613631
249,1564896,1614103,1611621,1576212,1554436,1612108,1589168,1628988,1594358,1604918,1599351,1595050,1592102,1655982,1611295,1562931,1601008,1550359,1590710,1607426,1581604,1603707,1596858,1609994,1564284,1609623,1578019,1625056,1595562,1587225,1629614,1621939
250,1569739,1619708,1616821,1581800,1559608,1617300,1594220,1634336,1599779,1610530,1604290,1600730,1597467,1661809,1615821,1568250,1609012,1558113,1598888,1615389,1589420,1611767,1604550,1617913,1569382,1615164,1583208,1630474,1600728,1592661,1635037,1626960
251,1575721,1626046,1622999,1588045,1565846,1623690,1600525,1640338,1606693,1617843,1611272,1607513,1604759,1669072,1622854,1575151,1614063,1562912,1603977,1620560,1594514,1616879,1609408,1623167,1576192,1621820,1589723,1636891,1606808,1598693,1641433,1633089
252,1581866,1632636,1629843,1594205,1571518,1629704,1606565,1647052,1612838,1623520,1617222,1613471,1610030,1675342,1629242,1581086,1621335,1569694,1610404,1627447,1600849,1624042,1615657,1629828,1581579,1628185,1596392,1643004,1613879,1605244,1648067,1640012
253,1587552,1638069,1635499,1599645,1577047,1635803,1612717,1652724,1618845,1629358,1623764,1620431,1616549,1682231,1635309,1587196,1627237,1575268,1617175,1632944,1607011,1629675,1622510,1635985,1587431,1633828,1601623,1649228,1619305,1610901,1654028,1645962
254,1594833,1645445,1642660,1606480,1584095,1643845,1620117,1660380,1625643,1636831,1632127,1626657,1623468,1689150,1642197,1595099,1632749,1581057,1622510,1639194,1613101,1635463,1627991,1641760,1594936,1641672,1609397,1656547,1627114,1618178,1661670,1653109
255,1600578,1651938,1649399,1613124,1590513,1649458,1626344,1666906,1631302,1642179,1636157,1632194,1628552,1694499,1647217,1599357,1639643,1588177,1629456,1645972,1619746,1642474,1635277,1649237,1600827,1647496,1614947,1663057,1632918,1624330,1667700,1659550
256,1605626,1657153,1654496,1618156,1595625,1654766,1631653,1672279,1637452,1648433,1642369,1638444,1635124,1701222,1653579,1605003,1646350,1594102,1635725,1652585,1626005,1649009,1641520,1655824,1605991,1652774,1620049,1668745,1638432,1629583,1673345,1665077
257,1612589,1664298,1661630,1625352,1602472,1661725,1638268,1679718,1643119,1654172,1647771,1644064,1640614,1706992,1659100,1610693,1651527,1599291,1641178,1658105,1631254,1654453,1646707,1660840,1613237,1660003,1627197,1675503,1645197,1636783,1680209,1672053
258,1617286,1669209,1665778,1629411,1606695,1666675,1643061,1684179,1648814,1661316,1653354,1651093,1646330,1714048,1665555,1617483,1658796,1606189,1648386,1665112,1638515,1660911,1654069,1667838,1617674,1664709,1631998,1680365,1650034,1641544,1685287,1677369
259,1622805,1674855,1672146,1635550,1612501,1672562,1649125,1690295,1654199,1665531,1659050,1655245,1651835,1718485,1670904,1621845,1663550,1610768,1652910,1670068,1642782,1666153,1658630,1672938,1622948,1670297,1637311,1686119,1655678,1647000,1690677,1682674
260,1630165,1682553,1679823,1642276,1619826,1679271,1656751,1697752,1661803,1673383,1666744,1662716,1659747,1726726,1678452,1629453,1669092,1616353,1658276,1675590,1648603,1671974,1664555,1678533,1630977,1678647,1645082,1693807,1663794,1654799,1698723,1691084
261,1637058,1688046,1686455,1648686,1625110,1685860,1662333,1703766,1668177,1679709,1673171,1669153,1666066,1733156,1684741,1635493,1676325,1623305,1665401,1682618,1655253,1679487,1672151,1686690,1636502,1683998,1650792,1699904,1668849,1660345,1704491,1696218
262,1642274,1694910,1691959,1654980,1631454,1692368,1668917,1710605,1673126,1684741,1678208,1674093,1671141,1738400,1689862,1640430,1681956,1629039,1671526,1688732,1661645,1685325,1677889,1691790,1643070,1691024,1657146,1706654,1675900,1666991,1711343,1702986
263,1649317,1702114,1699618,1662311,1637977,1699783,1675208,1717977,1679953,1691419,1684991,1680990,1677753,1746157,1697423,1647584,1689067,1635740,1677986,1695736,1668150,1692166,1684889,1698695,1649819,1697845,1663999,1713755,1682748,1673870,1718906,1710386
264,1654028,1706446,1703748,1666480,1643020,1703930,1680357,1722279,1686954,1698454,1691782,1687585,1684720,1752294,1703260,1653564,1696151,1642610,1684957,1702410,1676183,1699982,1692225,1705557,1654659,1702812,1669509,1719061,1687871,1680151,1723977,1715379
265,1660191,1713373,1710746,1673123,1649492,1710962,1686794,1729069,1692562,1704530,1697204,1693373,1690023,1758193,1708615,1658828,1700305,1646826,1689354,1707452,1679898,1703784,1696336,1710195,1661055,1709480,1675590,1725584,1693932,1685470,1730242,1722205
266,1665808,1719044,1716560,1678901,1655056,1716982,1692961,1734903,1698309,1709831,1702689,1699058,1696169,1763885,1714798,1664847,1707007,1653121,1696122,1714018,1686561,1710691,1703016,1716777,1666837,1715566,1681804,1731491,1699969,1691279,1736297,1728123
267,1671554,1724681,1722321,1684439,1660645,1722486,1698585,1740726,1703056,1714817,1708228,1704018,1700934,1769424,1719757,1669497,1713093,1659140,1702026,1720143,1692160,1716927,1709098,1722960,1672144,1720608,1686797,1737282,1705203,1696890,1741900,1733809
268,1678915,1731797,1729606,1691611,1667805,1729970,1705847,1748513,1710021,1721850,1715111,1711102,1708012,1777116,1726711,1676714,1718758,1664617,1707896,1725928,1697942,1722391,1714654,1728587,1679134,1727896,1694032,1744310,1712309,1703887,1749381,1740909
269,1684234,1738279,1735435,1697262,1673603,1735948,1711690,1754093,1718110,1729626,1722805,1718390,1715812,1784925,1734684,1684101,1726287,1671396,1715083,1733104,1705014,1730291,1722490,1735762,1685753,1734298,1700293,1750425,1718367,1710164,1755355,1747019
270,1691204,1745152,1742050,1704146,1680356,1742422,1718167,1760802,1724076,1735577,1728977,1724973,1721955,1791672,1740822,1689612,1731871,1676996,1720865,1739099,1710786,1735208,1727476,1741856,1691713,1741042,1706672,1757465,1725417,1716949,1762693,1754352
271,1696868,1751330,1748703,1710737,1686769,1748789,1724174,1766716,1729140,1741059,1734139,1730075,1726756,1796927,1746254,1694828,1738243,1683288,1727115,1745644,1717235,1741845,1734495,1748236,1697975,1747248,1713077,1764205,1731596,1723352,1768945,1760245
272,1702743,1757009,1754148,1715918,1690977,1754494,1730138,1772705,1735512,1748127,1740316,1736698,1733218,1803524,1752801,1701071,1744762,1689727,1733564,1751683,1723436,1748105,1740609,1754501,1703150,1752826,1718354,1769811,1737241,1728371,1774759,1765870
273,1709601,1764566,1761724,1723213,1698829,1762050,1736942,1780373,1742320,1754722,1747859,1743924,1740820,1810561,1759453,1707801,1750329,1695478,1739047,1757664,1728728,1753821,1746170,1760483,1710459,1760015,1725669,1777390,1744386,1735537,1782257,1773525
274,1717247,1772289,1768903,1730193,1707183,1769261,1744570,1787709,1749154,1761649,1754136,1750034,1747094,1817714,1766135,1714242,1757767,1702616,1746922,1764989,1736104,1762065,1754039,1767827,1718533,1768697,1733011,1784873,1751879,1743392,1790559,1780919
275,1724112,1778762,1776142,1737311,1712877,1776347,1751180,1794791,1757107,1770170,1762301,1758544,1754969,1825950,1774442,1722185,1765527,1709965,1754195,1772850,1743135,1768547,1762112,1775686,1724880,1774858,1739483,1791970,1758680,1750023,1796826,1788065
276,1730968,1786137,1783168,1744260,1719491,1783257,1757970,1802314,1763778,1776727,1768854,1764889,1761851,1833157,1781027,1728645,1772597,1716213,1760711,1779525,1751055,1775538,1768470,1782541,1731539,1781786,1746368,1798762,1765595,1756780,1804140,1795361
277,1735463,1791222,1788396,1749130,1724350,1788459,1763297,1807148,1767776,1780649,1773251,1769184,1766245,1837555,1785244,1732792,1778050,1721780,1766609,1785752,1756627,1781599,1773945,1787553,1736688,1787080,1751479,1804023,1771088,1761965,1809215,1800444
278,1742183,1798271,1795135,1756012,1731187,1795357,1770114,1814378,1776232,1789240,1781411,1777101,1774060,1845342,1793815,1740656,1784160,1728018,1772577,1791697,1762796,1787892,1780194,1794304,1743183,1793985,1759243,1811446,1777479,1768560,1816249,1807351
279,1749272,1805501,1802499,1762977,1737960,1802974,1777323,1821574,1783610,1796844,1789162,1785050,1781062,1852992,1801468,1747989,1790760,1734366,1779186,1798210,1769085,1794377,1786824,1800729,1750510,1801244,1765558,1818385,1784942,1775973,1823801,1815200
280,1757528,1813256,1810558,1770442,1745967,1810621,1785113,1829776,1790868,1803759,1796068,1791911,1788888,1860779,1808501,1755283,1798738,1741629,1786823,1806244,1777198,1802285,1795087,1809192,1759162,1810028,1774344,1826653,1793039,1784748,1832621,1823389
281,1763521,1820108,1817488,1777289,1752026,1817443,1791945,1836749,1798087,1811374,1803710,1799186,1796081,1868734,1816014,1762304,1806472,1749226,1795474,1814543,1784848,1810558,1803336,1816339,1764729,1815960,1780096,1834694,1800275,1790364,1838685,1829782
282,1768455,1825460,1822745,1782017,1757081,1822857,1797089,1841970,1802465,1816557,1809191,1803883,1801467,1874329,1821598,1767188,1812963,1755803,1801511,1820490,1791394,1816827,1809552,1823393,1769931,1820627,1785174,1838406,1804594,1795502,1843726,1834970
283,1774735,1832139,1829102,1788339,1763147,1829025,1803346,1849089,1807882,1821469,1813833,1809513,1806143,1879155,1826124,1772334,1818781,1761369,1807206,1826261,1796734,1822402,1815292,1829037,1776346,1827474,1791589,1844751,1811126,1802120,1850144,1841515
284,1782092,1838794,1836997,1795771,1770614,1836335,1809723,1854993,1815528,1828996,1821644,1816980,1813668,1887108,1833713,1779651,1824830,1767075,1813434,1832434,1802889,1828426,1821377,1834844,1783403,1834782,1798554,1853364,1819180,1810106,1857104,1848566
285,1787924,1845732,1842861,1801608,1776366,1842695,1816696,1862041,1822574,1836294,1828555,1826050,1820111,1896008,1840591,1788786,1831319,1774377,1820651,1839428,1809245,1834976,1828607,1841738,1789255,1840390,1804738,1858203,1824391,1814867,1863612,1854906
286,1797076,1855377,1851379,1809929,1784392,1852157,1826030,1871303,1830307,1843911,1837163,1831763,1828704,1903024,1848351,1794796,1838403,1779918,1826612,1845290,1815973,1841952,1834381,1848214,1798663,1850217,1814398,1868305,1833871,1824394,1873494,1864398
287,1801986,1860220,1857361,1816227,1790372,1858178,1831314,1877217,1836532,1850128,1842599,1837872,1834792,1908977,1854673,1800214,1846673,1788732,1835642,1854242,1824899,1850187,1843583,1856483,1803950,1856068,1819301,1873982,1839225,1829177,1879308,1870119
288,1807506,1866102,1863083,1821474,1795769,1863472,1836736,1882595,1841561,1854747,1847031,1842729,1839658,1913488,1859378,1805605,1852573,1794135,1841017,1860013,1830236,1856532,1849023,1862926,1808647,1860737,1824500,1878966,1844866,1834807,1884289,1875845
289,1813590,1872543,1869638,1827863,1802145,1869838,1843458,1889421,1846875,1860503,1852925,1848532,1844901,1919899,1865237,1810563,1858589,1799491,1846528,1865297,1835657,1862410,1854411,1868408,1814732,1867092,1830791,1885463,1851210,1840984,1890516,1882043
290,1821308,1880533,1877043,1835819,1809471,1877505,1850565,1896402,1855543,1869138,1861154,1856877,1853230,1928430,1873743,1818277,1865555,1806914,1853246,1872235,1843109,1869001,1861035,1875026,1821742,1874812,1838544,1893122,1858205,1848415,1898110,1889250
291,1829228,1888532,1885981,1843516,1817168,1885535,1858789,1905160,1862692,1876327,1868577,1864072,1860425,1935866,1880762,1825974,1871429,1811911,1860079,1878618,1848403,1875342,1867870,1881908,1830112,1882837,1846088,1901326,1866537,1856427,1906342,1898079
292,1835807,1896221,1893672,1850330,1824250,1893626,1865995,1912460,1870344,1884135,1876332,1871946,1868382,1944274,1888811,1833426,1880211,1820980,1868433,1887187,1858070,1884607,1876242,1889695,1837901,1890630,1854168,1908929,1874032,1864461,1913862,1905383
293,1839432,1899315,1896727,1854298,1828206,1896860,1870018,1916623,1873797,1887372,1879887,1875144,1871413,1947451,1892071,1836364,1888234,1828344,1875817,1894827,1865053,1892072,1883521,1897682,1840738,1893933,1857398,1912803,1878166,1867663,1918097,1909547
294,1844164,1904253,1901780,1859195,1833028,1901826,1874998,1921594,1878700,1892412,1884665,1880214,1876423,1952747,1897330,1841511,1892140,1832440,1880615,1899611,1869385,1896524,1888401,1902775,1845615,1898956,1862402,1917641,1883031,1872492,1923028,1914443
295,1851548,1911698,1909079,1866262,1840126,1908699,1881933,1928465,1885643,1899792,1891830,1887160,1883575,1960290,1904657,1848612,1897034,1837365,1885142,1904486,1873945,1901459,1893139,1907605,1852211,1906087,1869332,1925244,1890176,1879452,1929909,1921870
296,1857913,1918593,1916314,1873125,1846651,1915768,1889010,1936141,1892706,1906964,1898969,1894766,1892163,1967708,1912004,1855480,1903495,1843775,1891877,1910830,1880248,1907845,1899801,1914369,1859335,1913308,1876271,1931898,1896917,1886262,1937197,1928842
297,1866177,1927649,1924731,1881358,1855337,1924358,1897436,1944600,1900762,1917059,1907210,1902472,1899205,1976607,1921213,1864171,1911019,1850664,1898939,1918511,1887351,1914626,1906365,1920963,1867779,1921812,1884619,1940889,1905452,1894724,1946159,1937603
298,1873143,1935217,1932278,1888281,1862957,1931956,1904353,1951713,1908866,1923251,1914861,1910047,1906584,1985215,1928493,1871988,1919460,1859791,1907376,1926694,1897157,1923454,1914869,1929169,1874804,1929193,1892756,1948738,1913166,1902432,1954163,1945363
299,1878397,1939980,1937557,1893738,1867229,1937179,1909782,1957293,1913251,1927401,1919405,1914592,1911194,1988677,1932737,1875839,1927021,1866081,1914700,1934174,1903420,1931097,1923022,1937116,1879726,1934511,1896932,1953843,1918500,1907495,1959333,1950631
300,1883221,1945074,1942696,1898696,1872097,1942195,1914938,1962461,1918395,1932401,1924495,1919846,1916421,1994611,1938502,1880655,1932898,1871961,1920820,1940328,1909591,1937253,1929078,1943401,1884469,1939398,1901920,1958804,1923632,1912507,1964217,1955764
301,1889684,1951694,1949375,1905121,1878177,1948699,1921322,1969228,1924852,1938973,1931387,1926565,1922615,2001024,1944376,1887410,1938217,1876982,1925621,1945490,1914325,1942546,1934035,1948758,1891182,1946190,1908547,1965558,1930230,1919214,1970955,1962630
302,1897470,1959548,1957173,1912292,1885520,1955997,1929191,1976887,1932705,1946838,1939635,1933641,1930165,2009859,1953250,1895104,1944933,1883663,1932441,1952136,1921343,1949322,1941059,1955319,1898435,1954296,1916143,1973121,1937838,1927160,1978813,1970003
303,1904943,1967288,1965218,1921089,1893488,1964822,1936798,1985386,1940538,1954477,1946562,1942007,1938301,2016894,1959840,1902293,1952051,1890233,1938863,1958659,1928085,1956271,1948721,1963413,1906714,1962491,1924022,1981281,1946075,1934717,1986698,1978949
304,1909917,1972779,1970382,1926192,1898497,1969755,1941496,1990038,1945600,1959607,1951526,1947079,1943528,2022355,1965348,1907585,1959767,1898070,1947154,1966850,1935716,1964142,1955537,1970371,1911128,1967403,1929252,1986526,1950821,1939764,1991989,1983723
305,1915205,1978031,1975939,1931209,1903486,1975383,1947179,1996055,1950804,1965180,1956693,1952296,1948440,2027217,1970317,1912850,1965036,1903394,1952663,1972112,1941204,1969893,1961002,1975805,1916520,1972773,1934449,1992056,1956419,1945071,1997250,1989150
306,1919842,1983033,1981313,1936038,1908428,1980244,1952234,2001118,1955666,1970018,1961883,1957348,1953812,2032911,1975069,1917491,1970453,1907946,1957686,1976605,1945946,1975219,1965482,1980548,1921387,1977810,1939355,1997406,1961552,1950343,2002590,1994225
307,1926944,1990391,1988376,1943137,1915209,1987288,1959025,2008512,1962794,1977517,1969103,1964226,1960839,2039924,1982441,1924383,1976129,1913930,1963504,1982883,1952086,1980728,1971506,1986658,1928263,1985157,1946390,2004725,1968978,1957807,2010224,2001780
308,1933751,1996907,1994752,1949655,1921810,1993711,1965615,2015146,1970578,1985434,1976912,1971440,1968276,2047569,1990618,1932612,1983447,1920885,1970892,1990940,1958851,1988778,1978725,1993691,1934567,1992169,1952835,2011182,1975237,1963695,2016450,2008119
309,1940840,2005019,2002697,1957284,1929194,2001619,1973357,2022999,1976792,1991100,1982851,1978599,1974607,2054792,1996792,1937934,1989727,1927032,1977218,1997058,1965176,1994833,1985518,2000486,1941952,1999563,1960395,2019145,1982693,1971433,2024126,2015727
310,1946849,2011114,2008466,1963245,1934940,2007737,1979626,2029203,1982252,1996826,1988679,1984121,1980287,2060597,2002349,1943438,1997763,1934833,1984911,2004791,1973412,2002899,1993108,2008531,1947691,2005676,1966635,2025460,1988651,1977528,2030426,2021881
311,1951775,2016224,2013824,1968515,1939798,2012938,1984773,2034796,1988064,2002190,1994313,1989220,1986159,2066439,2007940,1948836,2003307,1940483,1990641,2011311,1978733,2008944,1999253,2014203,1952654,2010909,1971676,2030734,1993858,1982742,2035167,2027047
312,1957722,2022312,2020079,1974278,1945993,2019133,1990857,2040915,1993634,2008327,1999971,1995423,1991687,2072027,2013830,1954398,2008392,1945270,1995631,2015896,1984138,2013656,2004316,2019363,1958633,2017176,1977903,2036794,2000008,1988827,2041755,2033519
313,1965152,2029427,2027300,1980826,1952058,2025407,1997354,2047375,2001537,2015311,2007371,2003477,1999562,2079572,2021594,1961574,2014763,1951892,2002147,2022470,1990255,2020060,2010695,2025876,1965023,2024179,1984509,2043731,2006530,1995384,2048394,2040322
314,1972216,2037531,2035102,1989380,1960433,2034079,2005508,2055924,2009189,2023280,2015133,2010613,2006548,2087713,2029355,1969474,2021742,1958811,2009553,2029352,1996963,2027100,2017529,2033069,1973521,2032023,1992382,2051869,2014900,2003658,2056979,2048633
315,1977981,2043274,2040771,1994994,1966190,2039906,2011315,2061602,2014461,2028951,2020620,2016096,2012023,2093645,2034803,1974705,2030452,1966870,2017605,2038197,2005630,2035567,2026214,2041710,1978993,2037959,1998131,2057891,2020624,2009307,2062959,2054595
