ops,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
160,1024390,1054407,1052621,1031913,1017387,1053613,1040713,1063295,1041047,1046811,1046913,1040939,1040414,1080522,1052671,1021257,1041772,1010683,1035837,1046791,1031079,1044707,1039494,1048596,1021609,1050505,1030809,1060407,1043172,1037075,1062767,1059919
161,1028334,1058821,1056854,1036101,1021589,1058432,1044667,1068323,1045604,1051262,1050774,1045464,1045140,1085683,1056532,1025383,1050420,1019591,1044956,1055773,1039507,1054086,1048558,1057256,1025631,1054462,1034597,1063835,1047812,1040891,1067314,1063072
162,1034681,1066033,1063888,1043096,1028431,1065293,1051456,1075103,1052340,1057828,1057278,1051840,1051276,1092952,1063452,1032166,1055662,1024183,1050171,1060810,1045689,1058967,1052976,1062584,1032139,1061340,1041555,1070912,1054666,1047578,1074554,1070103
163,1039858,1070767,1068981,1047848,1033297,1070539,1056856,1080483,1057685,1063317,1062567,1057179,1056582,1098068,1068279,1036805,1062858,1030921,1056607,1066810,1051677,1065533,1060335,1069101,1037604,1066767,1046764,1076467,1060000,1052798,1080400,1075590
164,1042846,1073913,1071700,1050467,1035782,1073529,1059716,1083326,1061087,1065866,1067016,1059969,1059520,1100687,1071211,1039938,1066695,1034685,1060685,1071599,1055877,1070038,1064560,1073713,1039648,1069295,1048543,1078313,1062274,1054484,1082051,1077364
165,1046227,1077477,1075794,1054122,1039531,1077211,1063456,1087233,1064250,1069841,1069046,1063601,1063070,1104949,1074995,1043194,1070902,1038619,1064865,1074907,1059368,1074511,1067800,1076836,1044000,1073517,1053382,1083452,1066745,1059659,1086911,1082481
166,1050821,1082140,1080426,1058609,1044147,1081750,1068116,1092111,1068850,1074651,1073678,1068290,1067536,1109630,1079698,1047648,1073297,1041073,1067158,1078225,1062297,1076600,1071185,1080335,1048839,1078449,1058132,1088230,1071475,1064351,1091750,1087300
167,1054321,1085730,1083960,1061841,1047634,1085337,1071342,1095750,1072075,1077508,1076575,1071154,1070600,1112648,1082654,1050818,1078248,1045723,1072159,1082862,1067157,1081481,1076015,1085027,1051192,1080967,1060588,1090829,1073971,1066884,1094413,1089901
168,1058967,1090516,1088718,1066766,1052255,1089988,1076311,1100574,1077190,1082901,1081778,1076430,1075744,1118126,1087877,1055591,1081779,1048975,1075335,1086358,1070179,1084707,1079292,1088560,1056550,1086610,1066130,1096543,1079536,1072519,1100074,1095606
169,1065549,1096030,1095756,1072190,1057468,1095595,1082660,1105961,1083789,1088625,1087699,1081560,1080962,1125003,1093739,1061024,1086379,1053352,1080114,1091050,1075123,1089635,1084053,1093463,1061404,1091347,1070650,1102574,1084415,1077038,1104429,1100920
170,1070938,1102725,1101086,1078633,1063933,1102201,1088302,1112772,1089097,1095178,1093851,1088487,1087744,1130577,1099940,1067331,1093219,1059764,1086508,1097677,1081117,1095359,1089594,1099628,1068518,1099024,1077997,1108893,1091611,1084533,1112581,1108157
171,1074728,1106508,1105009,1082184,1067477,1105863,1091920,1116561,1092684,1098936,1097526,1092247,1091273,1134440,1103596,1070899,1098572,1065081,1091970,1103205,1087349,1101790,1096118,1105567,1072078,1102645,1081282,1112331,1095062,1088111,1116220,1111765
172,1083579,1116060,1114250,1090708,1076873,1114082,1100122,1125008,1101658,1107813,1106570,1101234,1100011,1143954,1113043,1079338,1102700,1068961,1096140,1107845,1091660,1105950,1100026,1109564,1080463,1111093,1089611,1121033,1103432,1096546,1124796,1120192
173,1089685,1122200,1120467,1097400,1082446,1121263,1107016,1132053,1107989,1114355,1112527,1107577,1106580,1150153,1119214,1085921,1112490,1078614,1105672,1116993,1100539,1114862,1109347,1119172,1087157,1117905,1096537,1128209,1110572,1103085,1132221,1127050
