w/s,ceph01,ceph02,ceph03,ceph04
144,3723.75,4008.5,3751.38,8251.12
145,5288.38,5146.0,6052.88,7224.5
146,3922.12,8670.5,8865.25,4206.5
147,4989.38,4378.5,7478.38,9173.62
148,12306.9,7650.88,6979.0,4303.25
149,4917.5,6418.88,4216.5,4143.25
150,5197.88,4982.5,4854.75,5692.5
151,5069.25,6559.62,6048.12,9564.75
152,3966.88,8371.62,8290.5,4754.75
153,4516.12,3869.88,9236.75,7772.75
154,12035.4,7051.38,5004.21,5233.38
155,6271.25,6196.5,3973.62,3992.0
156,4089.5,3797.12,3812.75,3465.25
157,5204.88,7936.12,5103.0,10748.0
158,5805.0,6610.5,8448.0,6146.62
159,5150.75,5157.0,10206.8,7590.0
160,9124.38,7157.5,7316.38,6857.38
161,9415.62,6432.0,3241.88,3303.12
162,4446.38,3578.62,3925.38,3854.12
163,5456.88,9103.38,5324.38,8919.62
164,6259.5,6751.75,8989.38,9474.88
165,6112.12,6076.88,7814.25,5076.12
166,5569.5,6345.25,9748.0,7774.0
167,9835.25,5027.12,4043.38,4224.5
168,6700.12,6687.5,4530.0,4295.0
169,5269.38,9806.88,4512.62,6727.38
170,4965.88,5121.75,5452.12,12622.8
171,5238.75,5283.88,8617.62,3874.12
172,3983.12,4597.25,9526.88,5831.62
173,8176.38,4227.75,4593.75,5304.62
174,7907.62,7808.75,3903.62,3917.12
175,6158.88,8809.25,4672.75,5637.12
176,5689.0,4385.88,3755.5,11797.9
177,4121.75,6663.38,8774.25,4110.0
178,4676.88,4654.88,10542.0,4977.88
179,7900.5,4623.62,7302.38,7155.62
180,9023.62,8539.62,4194.25,3902.5
181,5690.62,9734.12,3667.38,4147.38
182,4467.12,4567.75,3254.12,11050.5
183,5273.0,6260.25,6716.75,6378.12
184,4121.25,4416.75,11726.6,4351.88
185,7284.38,4029.75,7567.25,7365.62
186,9994.75,7968.38,4015.38,3790.38
187,6520.12,8994.38,4246.25,5251.5
188,5343.0,5451.38,4304.12,8052.88
189,4298.5,5428.38,4537.12,7595.75
190,4340.5,4298.62,10789.4,4247.0
191,6775.75,4554.75,9061.5,6526.5
192,8820.5,8790.12,5479.62,5844.12
193,8647.12,8140.12,4036.12,6021.25
194,4975.38,6019.75,4557.5,6262.0
195,3913.38,5126.75,3912.38,8708.41
196,4585.5,4655.12,8797.0,4601.0
197,7183.75,6309.12,11422.0,5829.75
198,8949.38,8680.0,6918.75,6906.5
199,8668.38,5868.12,3516.25,6852.0
200,5456.88,7698.62,4871.38,4983.0
201,3777.12,4614.0,3627.25,8612.62
202,5043.75,4780.75,5850.38,6542.0
203,7329.38,7663.62,13663.9,4739.75
204,7376.5,7095.38,6970.5,8423.25
205,7341.5,5793.5,4545.25,7225.25
206,6427.62,8367.5,3792.0,3747.25
207,5041.75,4104.75,4796.38,5084.0
208,5069.5,4269.5,4659.75,10322.9
209,7428.25,9355.0,10865.0,5024.62
210,6452.75,6271.0,11723.0,6744.5
211,8100.75,5817.12,4759.62,7609.62
212,6339.62,8710.0,3803.0,4095.38
213,3832.88,4086.38,3523.75,3556.62
214,5074.62,5224.0,4233.12,8982.5
215,8127.12,9530.62,8829.75,7332.38
216,6334.38,5345.25,13236.6,6366.38
217,7529.12,6015.75,4426.25,8570.75
218,6723.25,5908.38,3596.62,4257.5
219,4085.62,5739.38,3817.12,3702.38
220,6567.5,7806.0,5598.0,7584.12
221,8014.25,7648.12,6563.62,9960.25
222,4568.0,3586.12,10321.1,4878.5
223,5582.0,6013.12,6674.62,4588.12
224,7302.23,4486.63,4469.62,6367.75
225,5016.38,5822.62,4035.25,3910.12
226,6750.75,10354.4,5228.38,5771.75
227,8132.75,6092.12,6975.88,11263.0
228,3830.12,4103.5,7670.25,5559.62
229,4247.0,6264.25,9275.0,3558.5
230,7304.62,3636.0,3744.62,6769.5
231,7057.38,5159.12,4259.0,4272.88
232,7973.12,11831.5,5507.25,7208.75
233,5850.38,5266.5,6022.12,9474.5
234,4070.5,4733.12,7016.25,4928.12
235,5053.12,6985.38,10026.6,4920.75
236,6109.12,4129.0,5497.75,5959.12
237,8513.88,4174.75,4100.5,5568.62
238,8971.38,11902.8,5556.0,8709.25
239,5318.25,6435.5,5766.88,6660.88
240,4435.25,5873.0,6849.62,6611.25
241,5881.0,6704.88,10259.4,4992.88
242,5756.5,4358.5,7203.0,4467.0
243,7721.12,5780.12,4620.12,8475.5
244,7594.88,9592.12,5669.5,7612.88
245,6222.75,5952.75,4180.5,4935.62
246,3989.25,5252.88,5575.0,7193.0
247,6687.25,5894.25,8182.12,4427.62
248,5233.75,4522.5,8441.62,4531.0
249,7418.62,5725.12,5331.0,9535.0
250,6308.0,8971.0,4962.5,7212.62
251,5648.62,4700.12,3474.38,3309.5
252,5271.5,7408.25,4634.38,7355.75
253,6264.62,4225.62,7868.12,4390.0
254,5415.5,4729.0,9320.0,4599.75
255,6197.5,5820.88,7150.38,9752.75
256,6081.38,9715.75,3545.0,7091.25
257,7411.0,4356.12,3573.12,2948.5
258,3794.75,3126.12,2607.12,5084.88
259,3607.12,4630.62,5032.25,3301.12
260,3905.5,3807.38,7818.5,4530.88
261,4308.75,5014.38,5096.0,5755.25
262,5172.88,6577.0,3391.25,5711.0
263,4524.75,2641.12,2281.5,2211.0
264,4971.0,5060.5,4419.75,5632.38
265,4686.12,4288.38,4406.75,4288.0
266,4705.25,4870.12,8770.88,4515.75
267,5265.88,5549.75,5878.25,5692.38
268,5934.62,6701.5,3801.62,7081.38
269,6440.5,4737.88,5016.38,4430.0
270,4509.25,4902.5,4783.25,4792.12
271,4443.25,5157.62,5048.25,5648.25
272,4552.88,4652.12,9757.5,7754.12
273,5312.88,5918.38,5721.62,3479.88
274,7703.88,5672.38,3923.12,6306.62
