%usr,ceph01,ceph02,ceph03,ceph04
279,51.93,53.13,53.55,53.64
280,38.27,37.23,38.97,36.88
281,41.96,42.12,42.0,41.91
282,49.86,48.47,50.69,47.81
283,37.04,36.48,36.84,38.7
284,51.06,50.06,49.88,50.98
285,54.01,55.57,55.3,56.37
286,51.63,50.26,52.72,52.46
287,53.28,50.82,52.43,52.47
288,43.48,41.27,43.69,40.83
289,45.42,42.31,44.13,45.76
290,50.99,51.14,52.94,53.5
291,47.6,53.19,51.9,54.07
292,47.96,47.59,51.74,50.87
293,52.35,53.65,54.47,52.78
294,48.54,49.76,52.15,48.43
295,37.65,36.91,39.61,40.29
296,53.82,56.03,56.23,56.36
297,48.52,50.39,49.46,50.32
298,42.88,41.29,43.04,42.84
299,53.21,53.84,52.96,52.78
300,42.88,44.31,45.65,41.5
301,50.13,48.15,51.03,49.41
302,52.09,52.78,52.88,53.36
303,48.12,50.19,48.45,49.28
304,41.02,41.11,41.96,42.09
305,53.51,54.42,52.56,52.89
306,49.32,47.47,48.35,48.38
307,39.89,42.04,41.4,41.09
308,52.32,52.0,52.26,52.71
309,45.83,47.33,44.51,46.33
310,40.55,40.76,41.13,40.47
311,45.11,47.19,46.04,46.82
312,51.57,48.91,51.54,50.67
313,39.26,43.69,41.85,39.97
314,52.93,51.06,52.56,51.78
315,37.74,39.57,37.55,38.75
316,53.54,51.74,52.81,50.91
317,44.71,46.89,43.95,45.45
318,50.69,49.45,51.2,51.26
319,50.8,52.63,51.87,48.38
320,53.86,52.6,53.15,51.43
321,40.37,45.3,41.31,45.25
322,49.61,48.47,49.46,49.5
323,44.08,43.42,42.34,45.05
324,51.68,50.36,52.95,52.46
325,49.81,47.96,49.67,48.05
326,50.96,52.49,51.0,49.1
327,54.45,55.6,53.71,54.97
328,44.72,47.04,46.32,46.73
329,41.33,45.85,43.14,47.7
330,52.51,52.1,53.34,54.17
331,55.15,54.46,54.18,55.31
332,48.66,50.35,48.44,44.8
333,52.64,52.77,50.2,51.09
334,39.64,43.47,41.66,43.8
335,49.77,50.71,51.93,52.29
336,50.7,53.36,52.25,53.46
337,51.54,50.02,51.46,51.77
338,41.39,44.33,39.18,37.01
339,49.12,50.26,48.57,48.72
340,41.38,42.5,41.78,43.67
341,52.15,49.52,52.93,53.39
342,47.88,52.04,49.53,51.38
343,52.28,49.35,52.73,53.46
344,37.51,37.19,35.87,33.02
345,42.57,47.4,41.32,41.79
346,50.19,52.5,49.68,51.04
