%util,ceph01,ceph02,ceph03,ceph04
158,37.2,41.6625,48.475,41.0125
159,28.25,28.8,63.5375,39.0
160,47.6125,35.1625,35.7875,33.7875
161,70.325,51.7,37.5625,39.9375
162,37.95,36.925,35.6,37.7875
163,26.9125,40.55,27.1125,47.8625
164,33.75,34.525,44.5625,40.725
165,34.0375,35.1875,46.0375,32.5
166,38.725,37.225,52.2625,43.7375
167,58.6375,38.2,34.1,30.5875
168,44.825,43.2375,32.85,36.5875
169,27.5625,46.95,29.7125,36.45
170,30.9625,35.925,39.475,63.2125
171,31.675,35.3625,53.625,27.375
172,32.6375,31.6625,51.025,38.275
173,42.2125,29.75,29.3,34.975
174,52.45,55.1125,34.6625,37.3
175,40.15,53.5125,31.325,38.1
176,35.2875,29.4,27.05,57.225
177,35.7625,44.8875,62.425,37.4625
178,30.725,30.8625,52.3625,29.975
179,43.9,33.1,46.15,42.7375
180,52.8,56.725,32.6375,31.5
181,35.8,52.3625,26.3125,31.9625
182,36.15,37.1375,31.3375,62.4
183,31.175,35.325,42.475,37.3875
184,34.425,34.3625,68.075,31.7625
185,42.1,27.9,41.7625,37.8
186,57.45,50.15,27.3125,29.5875
187,41.3875,55.2875,35.725,41.9875
188,35.4375,41.225,32.95,53.1625
189,34.8,37.625,38.2875,49.0125
190,35.3625,33.8125,63.0375,38.7375
191,41.8625,31.4,53.5375,42.275
192,43.125,43.0,28.3,30.0625
193,57.6875,48.475,36.1875,44.85
194,34.25,41.7625,33.275,43.1
195,37.5375,42.825,39.825,55.9413
196,34.1875,30.425,55.85,32.6625
197,34.6625,28.5875,53.75,30.4
198,51.975,49.3125,43.5375,40.2
199,54.7125,47.6375,33.075,48.2375
200,35.9625,46.3,30.5375,33.65
201,38.5375,41.9875,38.8375,63.975
202,28.8625,29.375,39.9875,37.225
203,39.1125,41.1875,67.0375,25.725
204,49.675,44.5875,40.3,55.025
205,40.825,38.4375,29.4375,47.7625
206,47.325,58.875,38.675,39.2625
207,37.6,34.2,35.0875,44.2125
208,28.325,29.45,32.6375,50.1625
209,34.225,36.025,48.45,21.1875
210,42.9625,38.4,59.725,39.1375
211,43.1625,39.35,34.8625,49.4625
212,42.1125,59.45,37.575,35.975
213,40.675,42.725,37.875,38.5375
214,39.0,40.7125,34.1875,55.1875
215,26.5625,36.175,41.0625,32.7875
216,32.275,27.875,58.55,31.9
217,46.2125,41.05,32.0875,53.575
218,45.225,42.8125,31.825,33.5875
219,38.7125,46.7375,37.675,33.9125
220,31.4375,39.7625,27.7,38.2375
221,36.7875,35.7,36.9,41.5375
222,32.075,27.0,56.95,35.525
223,43.7875,38.275,47.55,36.975
224,50.4963,37.4638,31.4375,40.5875
225,39.3,43.625,35.6625,36.175
226,33.4,53.725,30.375,35.8875
227,36.6875,31.1875,37.6625,47.5875
228,31.0625,31.1,46.275,35.25
229,34.1375,37.9375,50.5875,30.275
230,51.475,38.7625,40.0,49.375
231,45.7,41.1125,35.8,32.7375
232,37.1125,50.175,24.7375,31.475
233,33.15,32.675,36.625,50.475
234,34.9875,41.6375,50.25,38.1
235,30.45,36.8625,48.8125,28.675
236,33.9625,25.625,32.85,37.0875
237,60.425,41.6125,35.1,42.9625
238,47.85,55.9125,28.4625,37.8625
239,40.8875,46.475,44.075,48.3375
240,33.8625,41.9125,44.3625,46.675
241,31.5,40.3625,59.4,31.4125
242,33.7125,33.725,44.325,34.05
243,49.4125,36.3,33.6,44.6875
244,46.625,46.5375,31.85,41.575
245,37.525,39.325,27.5875,31.9375
246,37.85,44.1125,43.525,50.0125
247,39.7375,37.25,54.0,34.75
248,33.5625,32.5,48.625,30.625
249,44.3625,36.575,32.3125,50.1125
250,32.45,50.825,28.5125,35.0625
251,44.1375,42.8375,37.1125,36.025
252,30.225,45.1375,32.25,36.5125
253,46.8375,38.4875,54.4375,37.475
254,36.125,34.4125,47.225,33.5875
255,36.5875,27.6375,28.9375,41.5
256,37.2375,46.8375,27.5,45.2875
257,37.9125,30.5625,41.05,42.4125
258,21.975,26.3125,24.5375,33.6
259,39.2625,29.3875,30.2875,24.8875
260,46.9,40.7625,51.8625,33.8625
261,38.8625,32.3,33.275,35.9875
262,33.525,45.9,30.0875,39.4625
263,29.4625,38.4,22.875,22.0875
264,35.15,31.45,33.4875,35.2625
265,39.475,32.9125,52.2125,34.175
266,35.0,28.0625,44.0125,42.775
267,44.2,41.1375,49.675,44.4125
268,56.675,39.2875,30.7,38.9625
269,45.775,36.4875,37.7875,40.45
270,30.45,36.2625,36.8,48.1125
271,53.175,35.6875,38.65,39.3625
272,36.7125,41.7875,53.925,45.9875
273,44.8625,48.425,47.2375,34.85
274,45.45,39.95,34.025,43.525
275,34.225,37.0,45.1125,48.4375
276,45.275,41.4,42.0875,44.825
277,30.35,43.55,37.9875,38.825
278,32.55,49.875,42.5,37.5375
279,50.175,40.9,49.3,37.125
280,35.925,37.675,31.225,34.625
281,59.375,41.8625,41.2625,61.9375
282,48.9375,32.9125,38.7625,48.325
283,34.25,24.6625,48.6875,39.325
284,33.775,47.125,45.45,37.775
285,59.975,39.875,53.2875,41.4125
286,43.925,46.85,41.025,39.2
287,43.7375,46.9125,39.675,48.4375
288,36.1375,30.1625,39.2375,57.4625
289,33.4125,37.575,50.6,46.0125
290,37.2625,44.4875,45.3625,38.0625
291,47.7625,37.5,53.6125,39.0125
292,48.825,41.2375,39.9,39.5625
293,41.625,46.9625,47.4,40.0875
294,37.2375,34.775,49.8625,55.375
295,27.025,36.35,43.325,50.775
296,44.85,44.05,41.125,40.4325
297,36.35,36.3375,49.4375,35.125
298,42.9,34.55,35.6125,33.675
299,53.8875,42.025,45.275,42.2375
300,37.5125,35.0125,42.9625,36.5
301,29.5375,42.025,43.9625,51.9875
302,44.575,41.35,39.9875,36.8625
303,35.175,36.2,43.875,42.8625
304,43.1625,34.95,37.4375,31.7
305,50.9875,39.1,48.05,42.7375
306,38.2,37.2375,40.4125,40.2125
307,31.625,36.3125,33.9125,43.625
308,41.675,39.825,43.8625,40.1
309,30.2,36.975,31.3625,35.4625
310,37.7375,34.7375,33.7,27.525
311,46.6625,37.925,46.5375,41.2375
312,34.8625,42.6375,45.8875,32.65
313,32.125,37.575,28.0875,33.6875
314,42.025,36.7625,37.8375,45.125
315,25.1875,27.0375,26.375,29.55
316,42.6875,35.1125,43.3,35.275
317,42.0125,38.4,42.3875,40.1625
318,32.7875,48.925,44.675,32.25
319,40.9125,38.8625,34.3375,42.6625
320,40.3625,41.2125,36.7625,49.6125
321,30.5875,28.6375,36.7625,31.1625
322,43.65,37.1125,44.225,37.125
323,43.1125,42.3125,44.25,34.4375
324,40.5875,44.5375,43.25,33.9125
325,38.5375,35.2125,38.625,30.35
326,35.5625,43.9125,38.8875,58.6125
327,41.5125,38.3375,45.9375,57.5375
328,49.5875,29.5875,39.45,34.6625
329,26.925,48.375,45.55,29.675
330,54.275,43.475,38.55,34.05
331,42.9375,55.425,44.725,38.55
332,33.8125,37.05,38.925,41.7375
333,31.5125,34.3,48.9,53.8875
334,44.9875,28.4,40.9375,45.575
335,38.4375,49.55,43.2,34.7125
336,52.325,41.45,36.0,31.4
337,36.95,46.775,35.2125,34.4
338,34.975,40.6,32.8875,36.025
339,33.3375,32.775,46.0,59.5875
340,35.1125,25.3625,39.875,44.15
341,43.6625,53.9625,41.7625,37.6875
342,54.0625,50.025,36.8875,36.225
343,44.2,53.8125,38.625,33.025
