kbinact,ceph01,ceph02,ceph03,ceph04
122,36595116.0,56827632.0,36633036.0,56080068.0
123,36667988.0,56892160.0,36710348.0,56145364.0
124,36742940.0,57011324.0,36822108.0,56208168.0
125,36823232.0,57113332.0,36928112.0,56274868.0
126,36890776.0,57038080.0,36845300.0,56341844.0
127,36969020.0,57113188.0,36912328.0,56416596.0
128,37042552.0,57195804.0,37001560.0,56482428.0
129,37139520.0,57277020.0,37088648.0,56549380.0
130,37195604.0,57347860.0,37157728.0,56619008.0
131,37255504.0,57419696.0,37230776.0,56672368.0
132,37331620.0,57504200.0,37307992.0,56736056.0
133,37411744.0,57608472.0,37405220.0,56805764.0
134,37542408.0,57677936.0,37480216.0,56890384.0
135,37626832.0,57739496.0,37547548.0,56953120.0
136,37577440.0,57837164.0,37645072.0,57028112.0
137,37629016.0,57822364.0,37761692.0,57071844.0
138,37729180.0,57882696.0,37685156.0,57125732.0
139,37763040.0,57945088.0,37739860.0,57193948.0
140,37859668.0,58040792.0,37835376.0,57274472.0
141,37933216.0,58130012.0,37925608.0,57354884.0
142,38006228.0,58207292.0,38008704.0,57427220.0
143,38084056.0,58278896.0,38079600.0,57497288.0
144,38142772.0,58349680.0,38147116.0,57551868.0
145,38235316.0,58479320.0,38272516.0,57639000.0
146,38300412.0,58520000.0,38313072.0,57704568.0
147,38386688.0,58582796.0,38379428.0,57753452.0
148,38414736.0,58637812.0,38433204.0,57811276.0
149,38482024.0,58753212.0,38514096.0,57870820.0
150,38566832.0,58866748.0,38666992.0,57936612.0
151,38688232.0,58804820.0,38595680.0,58023368.0
152,38797548.0,58874728.0,38663424.0,58093740.0
153,38727128.0,58943268.0,38734776.0,58150700.0
154,38794936.0,59011452.0,38809948.0,58214584.0
155,38897968.0,59129732.0,38930156.0,58279072.0
156,38945240.0,59165972.0,38965856.0,58341080.0
157,39026112.0,59245416.0,39051344.0,58412256.0
158,39109164.0,59336192.0,39133080.0,58488452.0
159,39193796.0,59428892.0,39214640.0,58563208.0
160,39266532.0,59513244.0,39307500.0,58643568.0
161,39323456.0,59585680.0,39388148.0,58700100.0
162,39397000.0,59564224.0,39363136.0,58764564.0
163,39528060.0,59636440.0,39441008.0,58839624.0
164,39581556.0,59765280.0,39560624.0,58916280.0
165,39660584.0,59820240.0,39598512.0,58989860.0
166,39723976.0,59895072.0,39682116.0,59064288.0
167,39804760.0,60008132.0,39802348.0,59135028.0
168,39958700.0,60047988.0,39849344.0,59207236.0
169,39899680.0,60139208.0,39926972.0,59269312.0
170,39961424.0,60210320.0,39989240.0,59339644.0
171,40029180.0,60281984.0,40060836.0,59403688.0
172,40089292.0,60350840.0,40136284.0,59457508.0
173,40161192.0,60452432.0,40247092.0,59523976.0
174,40238420.0,60560624.0,40350600.0,59592608.0
175,40317512.0,60498504.0,40291836.0,59661044.0
176,40384476.0,60572476.0,40352272.0,59728912.0
177,40460668.0,60657204.0,40422432.0,59794360.0
178,40524780.0,60724408.0,40501136.0,59854352.0
179,40601928.0,60799136.0,40580756.0,59927632.0
180,40670124.0,60874152.0,40655996.0,59993100.0
181,40736520.0,60953336.0,40727612.0,60047168.0
182,40806416.0,61054320.0,40832528.0,60103028.0
183,40890992.0,61113024.0,40877704.0,60182288.0
184,40960408.0,61182548.0,40941684.0,60252304.0
185,41037704.0,61307800.0,41078232.0,60322096.0
186,41184836.0,61400992.0,41123320.0,60384164.0
187,41106160.0,61327240.0,41102788.0,60450308.0
188,41180328.0,61394084.0,41175212.0,60512360.0
189,41260708.0,61470620.0,41250868.0,60583324.0
190,41343580.0,61563044.0,41332844.0,60657584.0
191,41407436.0,61681260.0,41450508.0,60730140.0
192,41476536.0,61714992.0,41495116.0,60800696.0
193,41546064.0,61785244.0,41570852.0,60865036.0
194,41626500.0,61903852.0,41692736.0,60932600.0
195,41703680.0,61946556.0,41737068.0,60995536.0
196,41784924.0,62025520.0,41802580.0,61068040.0
197,41859608.0,62154976.0,41922656.0,61148676.0
198,41940916.0,62131780.0,41907148.0,61221452.0
199,42006396.0,62205444.0,41977688.0,61279304.0
200,42098876.0,62278864.0,42060648.0,61355696.0
201,42154864.0,62332464.0,42111236.0,61411704.0
202,42266052.0,62429904.0,42194472.0,61495708.0
203,42409116.0,62525288.0,42287744.0,61571600.0
204,42342284.0,62600520.0,42367408.0,61635304.0
205,42409176.0,62659832.0,42432932.0,61704996.0
