subop_w,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
99,410958,412895,419720,418529,405975,408811,412517,435438,418558,408614,418005,409970,418579,432385,423996,397088,419412,400194,414112,424119,419677,424319,417922,427663,395722,423655,400759,419938,421937,418142,406646,428704
100,414321,417667,423394,422282,409579,412830,417152,440292,422289,411675,421682,413869,423906,437278,428543,400059,423241,403851,418439,428337,423400,428626,422025,432298,399455,427524,405540,423784,425817,421782,411911,432667
101,418586,421518,428602,427148,415514,417354,421709,445481,427799,416164,426629,418641,427691,442432,432906,404829,427173,407800,422199,432593,427486,432743,425850,436278,404128,432836,409808,428615,430442,426281,416443,437988
102,423275,426406,433749,432081,419275,422186,426393,450240,432164,421040,431607,423687,432368,447051,437765,409384,432738,413230,427449,438033,432959,438445,431931,441812,408327,437038,414043,433182,435614,431369,420447,442378
103,426928,430146,437515,436388,423329,426009,430362,454133,436065,424777,435416,427306,436216,451126,441577,413111,436420,416657,431271,441848,436873,442060,435003,445892,411856,440927,417460,437317,439274,435239,423857,446348
104,431103,434505,441814,440237,427457,430299,434217,458610,440338,428882,439810,431810,440569,455591,445997,417310,440038,420012,434982,445512,440601,445912,438612,449618,416108,445321,421264,441124,443204,439009,427660,450543
105,435635,439027,446161,445068,431929,434219,438993,463992,444336,433589,443980,436359,444635,459959,450911,421456,444179,423946,438986,449418,444495,450075,442679,453926,419852,449282,425388,445799,447437,443075,432083,454930
106,440341,442840,449847,449340,435909,438386,443084,467568,449330,436804,448663,439875,449361,464171,455038,425350,448031,427453,442764,453435,448605,453924,446315,457579,424571,453641,429786,450025,451950,447345,435536,459359
107,445687,449149,455544,454964,441822,443789,448269,473078,454096,442764,453515,445199,454138,469847,460080,431419,453860,432472,448068,459383,453766,459400,451761,462684,429279,459237,435518,455015,456819,453383,441098,465208
108,449275,452530,459844,458487,444900,448087,452267,477945,458308,446603,457521,449066,458416,474246,464130,434412,458707,437503,453209,464147,459105,464469,456604,468358,433639,463581,439037,459482,461920,457560,445617,469324
109,452928,456474,464002,462508,448898,451884,456176,482049,462561,450601,461597,452865,462436,478294,468408,438576,462605,441343,456895,468126,462840,468420,460465,472176,437563,468000,443036,463448,465839,461986,449640,473654
110,457178,460572,468060,466542,452844,456157,460017,486538,466931,454450,465939,457215,466682,482808,473111,442708,466618,445048,461017,472139,466739,472637,464343,476276,441538,471866,447252,467662,469941,465847,453348,478002
111,461336,464817,472792,471222,457104,459943,464640,490729,471429,458732,470260,461200,470866,486881,477624,446850,470192,448682,464574,475945,470453,476057,468034,479906,445580,476412,451279,472626,474184,469777,457334,482319
112,465771,469015,476468,475542,461043,463987,468803,495338,476177,463216,474302,465909,475987,491957,482046,450833,474752,452950,469129,480541,474971,480632,472692,484629,450279,481045,455553,476787,478947,474547,461797,486920
113,469868,474151,481537,479804,465608,469256,472880,500751,480021,468459,479087,470213,481191,496470,486047,455227,479795,457853,474119,485687,479905,485639,477581,489704,454565,486203,460542,480779,483146,479301,466315,491384
114,474026,477808,485383,484392,469873,472977,477568,504890,484456,471626,483761,474466,484544,501001,490634,459309,483416,461480,477821,489411,483644,489499,481263,493665,458295,489906,463966,485302,487716,483342,470580,496131
