subop_w,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
168,693719,698046,709406,707841,687545,691782,698133,739058,707377,690509,706270,693699,708613,732543,717434,671669,708183,676539,699684,716343,708974,716902,704970,723538,669650,715591,678671,709749,713293,707751,687617,725754
169,698085,701644,714094,711559,691091,695450,702361,742717,711809,694271,710293,697102,712113,737080,721410,675248,711298,679403,702889,719488,712350,720219,708149,726848,672807,718787,681655,713728,716623,710842,690403,729309
170,701673,705995,717611,715966,695439,699732,706118,747414,715408,698595,714399,701643,716726,740802,725633,679343,715787,683620,707090,723946,716420,724076,711816,731037,677401,723961,686435,717948,721484,715866,695565,734134
171,704208,708479,720251,718412,697847,702092,708537,750014,717821,701066,716889,704125,719120,743398,728122,681694,719372,687151,710756,727693,720637,728416,716159,735091,679723,726416,688570,720194,723769,718288,697896,736548
172,710085,714695,726343,724225,704193,707479,713981,755770,723874,706811,722910,710095,725013,749753,734519,687226,722190,689703,713505,730755,723561,731096,718721,737816,685153,732127,694011,726002,729487,724016,703434,742223
173,714232,718765,730459,728751,707942,712094,718577,760547,728178,711052,726984,714244,729480,753868,738712,691488,728704,696128,719866,736855,729599,737169,724925,744296,689497,736734,698493,730761,734282,728443,708102,746828
174,717065,721673,733390,731752,710721,714968,721604,763830,731204,713782,730023,717051,732310,756822,741595,694312,732120,699416,723774,740524,733493,741599,728938,748011,692430,739699,701435,733689,737294,731864,710875,749905
175,721210,725690,737564,735814,714859,719028,725703,768066,735084,717620,734070,721248,736581,761217,745927,698233,735132,702340,726738,743678,736531,744431,731798,751046,696009,743827,705453,737659,741248,735764,714802,754098
176,725025,729381,741516,739860,718626,722752,729658,772246,739156,721669,738035,725027,740581,765305,749614,701951,739462,706486,730746,747694,740649,748535,735912,755429,699741,747654,709019,741656,744939,739517,718558,757777
177,729405,733628,745685,743918,722675,726919,733988,776598,743525,726742,742275,729629,744755,769623,754448,706433,743406,710218,734695,751621,744566,752569,739800,759310,703577,751716,712971,745463,748983,743708,722434,761936
178,734548,739004,751085,748995,727518,731866,739017,782123,748689,731348,747715,734761,750178,775344,759818,710818,749495,715467,739945,757870,749129,757251,744260,764369,709036,757273,718487,750909,754822,748892,727727,767328
179,738056,742369,754651,753191,731736,735603,742941,786410,752283,734830,751096,738247,753664,778958,762904,714549,753092,719424,744144,761456,754297,762633,749246,769028,712320,761141,721584,754427,758278,752638,731215,771173
180,742127,746700,758988,756917,735563,739668,746839,790837,756543,738879,754905,742191,757726,783204,767653,718298,756788,723023,747892,765262,758160,766340,752961,773023,716347,765473,725785,758621,762510,757127,735257,775793
181,746555,751186,763534,761546,739915,744328,751245,795549,761112,743279,759775,746782,762450,788262,772076,722794,761045,726871,752156,769573,762254,770543,757547,777385,720682,770074,730342,763757,767305,761722,740144,780536
182,752195,757012,769035,766955,745248,750358,756545,801273,766816,749201,764989,751903,767475,793394,778200,728521,765397,731357,756543,774266,766710,774984,761799,781890,725573,775270,735034,768662,772382,766969,745181,785655
183,756325,760907,773744,771334,749865,754033,761085,805773,771023,753284,769540,756865,772196,798177,782328,731994,770971,737045,762551,780163,772367,780427,766981,787070,730077,780062,740157,773673,777242,771669,749321,790680
184,759886,764835,777512,775252,753495,757920,764944,809811,774973,756822,773433,760572,776138,802331,785915,735636,775236,740821,766638,784470,776508,785432,772182,792233,733706,784031,743641,777661,780863,775607,753527,794874
185,764761,768400,781160,778858,756833,761399,769315,813958,778187,760190,776568,764069,779266,805462,789120,738624,778905,744777,770157,788290,780422,788948,775636,796157,736765,787117,747158,780450,784440,778848,756603,798066
186,767065,771771,784800,782570,760424,765117,772020,817490,782367,764079,780780,767573,783386,809809,793361,742585,783395,748390,774071,792953,784529,793265,780027,799946,740534,791385,750540,784891,788280,782832,760504,802246
187,772471,776818,790100,787738,765520,770439,777218,822920,787253,769019,785583,772701,788610,815209,798614,747609,786372,751731,777616,795642,787701,796406,783052,804005,745666,796517,755507,789822,793392,787974,765407,807549
188,777008,781915,794522,792316,769889,774827,782593,829117,792578,773727,790583,777030,793233,820027,803469,752296,791692,756795,782586,800870,792985,801627,788363,809158,750003,801362,760322,795402,798422,792714,770326,812355
189,781257,786056,799387,797085,774634,779450,786582,832732,797199,778770,795318,781906,798194,825509,808211,756594,796349,761260,787141,805955,797662,806338,792814,813861,754492,806125,764755,799526,803294,797510,774815,817143
190,785237,790156,803401,801374,778605,783343,790286,837165,800752,782489,799059,785975,802071,829150,812012,760353,800959,765992,791638,810079,802406,811680,797350,818414,758280,810242,768417,803418,807045,801782,778348,821090
191,789014,793897,807191,804802,782300,787090,794162,840940,804775,786170,803119,789726,805996,833369,816008,764148,804903,769353,795645,814188,806038,815259,801245,822730,761690,814006,772051,807167,810905,805455,782250,825019
192,793249,798186,811541,809177,786619,791417,798557,845458,809170,790700,807554,793992,810281,837896,820548,768310,809031,773122,799371,818237,810020,819395,805134,826819,766009,818433,776465,811731,815300,810054,786451,829629
193,798275,803512,816856,814735,791810,796369,803535,851268,814673,795920,812513,799175,815728,843225,825782,773322,813421,777327,803653,822654,814558,823558,809820,831349,770987,823854,781538,817110,820465,815201,791653,835007
194,803398,808482,822777,820410,796631,801838,809198,856435,819899,801231,817834,804552,821279,848752,831050,778165,818535,782421,808736,827858,819861,829325,815188,836635,776325,829230,786611,822540,826577,820345,797032,839831
195,807212,812319,825817,823724,800256,805122,812122,860701,823304,804372,821428,807785,824632,852647,834813,781704,824603,787234,814111,833873,825494,834755,820331,841965,779245,832860,789999,826004,829401,823988,800178,843978
196,811240,816306,830294,827593,804727,809361,816446,864790,827852,808658,825973,812214,828803,857248,839160,785631,827604,790754,817539,837088,828822,838511,824242,845861,783356,837431,794201,830172,833601,828513,804422,848453
197,815076,820655,834014,832017,808854,813285,820781,869236,831922,812705,830172,816133,832663,861232,843499,789506,831903,794917,821805,841468,832839,842520,828270,850240,787196,841659,798335,834292,837739,832584,808418,853104
198,819318,824546,837949,835913,812346,817243,824314,873332,835991,816680,834448,820247,836918,865575,847593,793544,836244,798963,825899,845819,836942,846951,832297,854667,791194,845735,802288,838393,841954,836956,812241,856855
199,823969,829148,842857,840737,817011,821854,829264,878481,840671,821230,839272,824885,841395,870475,852616,797964,840300,802926,830019,849984,841126,850703,836497,858734,795634,850296,806590,842890,846849,841802,816967,861440
200,827879,833201,846812,845679,820982,825862,832927,882237,844647,825985,842741,829406,845716,874866,856937,802459,844906,807265,834868,854386,846027,855191,841027,863498,799104,854335,810178,847273,850840,845224,820635,865541
201,830906,836182,850085,847979,824336,828856,836009,885709,847815,828016,846066,831782,848774,878170,859653,804723,849158,811322,838457,858415,850143,859337,844690,867558,802325,857601,813501,850327,853920,848658,823529,869046
202,834649,839651,853836,851700,827789,832505,839659,889515,851424,831511,849819,835396,852755,882031,863329,808636,852050,814039,841796,861799,852956,862948,848393,870957,805917,861366,816994,853920,857664,852371,827128,872993
203,839266,844506,859304,856353,832300,836967,844326,894487,856097,836760,854354,840040,857550,886844,868324,812917,855646,817508,845479,865526,856596,866690,852036,874710,810533,866712,821474,858545,862497,857024,831736,877641
204,843842,848938,863439,861307,836786,841572,848887,899623,860813,840907,859078,844798,861966,891624,872663,817371,860928,822424,850272,870793,861630,871280,856861,879292,814760,870961,826067,863659,867476,861714,836448,882674
205,848163,852794,867622,865097,840708,845935,853020,903416,864906,844827,862802,848452,865873,895828,876725,820924,865250,826776,855018,875058,866197,876022,861522,884560,818094,874354,829353,866852,870675,865183,839712,885936
206,851829,857255,872161,869630,844685,849844,857096,908219,869178,849247,867404,853290,870023,900310,880660,825441,869158,830010,858467,878734,869720,879475,864833,887930,822025,878628,833617,870963,874834,869060,843383,890173
207,854971,860228,874703,872594,847866,852833,860327,911579,872294,851929,870726,855923,873433,903378,884120,828058,873119,833820,862453,882782,873738,883465,869314,892335,825346,882442,837004,874755,878736,873102,847257,893953
208,858750,864696,878764,876694,852666,856753,864362,915666,876184,856402,875144,860690,877908,907331,888603,831900,876742,837369,865941,886547,877291,887314,872576,895797,829412,886779,840989,878741,882735,876941,851099,897801
209,863996,869271,884596,882467,857460,861688,869413,920976,881673,861300,879911,865218,882380,913185,894027,837478,880580,841053,870229,890775,881301,891291,876395,899602,834381,891896,845569,883536,887578,881995,856284,902850
210,868351,873670,889225,886290,860996,866694,873927,925999,887162,865867,884969,869633,888440,918925,899283,842150,885978,846273,874750,895879,886276,896668,881435,904731,838146,896101,849908,888197,892208,886406,860109,907449
211,872461,877986,893023,890743,865208,870659,878699,930370,890474,869603,888736,873866,891392,921956,902570,845763,890427,850574,879368,900207,890818,900701,886108,909516,842513,900405,854385,893061,896466,891050,865009,912272
212,876828,882201,897051,894935,870026,874236,882123,934528,894758,873660,893572,878127,895783,926144,907557,849732,894684,854689,884059,904834,895062,904905,890831,913853,846153,904024,858082,896339,901227,894682,868586,916577
213,880099,885505,900298,898565,873046,878284,885928,938189,898549,877435,897002,881811,899603,930336,910837,853511,898784,859249,887725,908151,898692,909744,894026,918115,849737,908023,861452,900352,904553,898893,871919,919927
214,883963,889671,904711,902279,877055,882230,890469,942929,903228,881319,901085,885847,903691,934428,915507,857407,902088,861824,891268,912129,902876,912901,897676,921791,853126,911572,865007,904005,908093,902207,875455,923719
215,888953,894629,909648,907244,881814,887305,894934,947606,908136,886621,906477,890940,909080,940421,920548,862299,905876,865290,894769,915728,906161,916386,901222,925677,858267,917300,870075,909367,913823,907804,880635,929099
216,893043,899650,914278,912339,886512,891130,899449,952361,913152,891142,911415,895976,913859,944536,925432,866681,911404,870357,900213,921437,911882,922320,906764,931519,862249,921095,873854,913706,917341,911493,884495,932861
217,897752,903608,919303,916651,890723,895842,903816,957363,917065,894985,914857,899538,917659,949154,929185,870497,915274,874200,904025,925379,915613,926039,910696,935463,866741,926233,879391,918209,922576,917391,888962,938110
218,901635,907515,922789,920250,894551,899687,907470,961680,921063,899072,919070,903571,921940,953566,933404,874511,919888,878556,909149,929830,920044,931153,915403,939766,870956,930381,882654,922580,926897,920811,893729,942775
219,905589,911487,926482,924590,898376,903399,911234,965706,924749,902727,922774,907192,925861,957403,937833,878096,924676,883000,912980,934449,924595,935415,919902,944749,874351,933740,886157,926504,930216,924869,897005,946273
220,910525,916486,931704,929364,903409,908250,916295,970600,930391,907660,928245,912993,930944,962902,943648,883504,927667,886087,916651,938266,927934,938864,923457,947845,879162,939076,891101,931343,935582,929638,901997,951427
221,916386,922256,937711,935256,909097,913856,921877,977245,935550,913411,933610,917764,936440,968987,948495,888392,933182,891116,921864,943509,933364,943989,928636,953603,884803,944970,897618,937506,940902,935411,907371,957739
222,919430,925647,941358,938934,912396,917277,925786,980725,938903,916527,936758,921043,939964,972266,951835,891458,938929,896625,926574,948846,938826,949356,934139,959393,888326,948884,900510,941092,945200,939211,911147,961213
223,924113,930647,946311,943986,916268,922025,929551,984669,943666,921266,941372,926035,944836,977014,956834,896176,942587,899839,930865,953101,942827,953520,937742,963413,891940,952679,904213,944733,949123,943096,915770,966132
224,926887,933218,948769,946478,919364,924340,932873,988192,946543,924094,944557,928790,947529,979867,959547,898638,945786,903098,933950,956341,946384,956994,940818,966270,895131,956336,907372,948376,952472,946754,918565,969119
225,930048,936167,951777,949891,922659,927818,936154,991649,949916,927503,947898,931829,950815,983314,963302,902074,950415,907438,938382,960763,950818,961585,945344,971298,898016,959493,910353,951284,955344,949727,921548,972220
226,935387,941860,957518,955319,928086,933282,941518,997567,955797,933459,953740,937786,956734,989114,969754,907938,953202,910069,941199,963645,953574,964309,948213,974137,903482,965501,915951,957414,961291,955841,927151,978119
227,940806,947015,962982,960441,933580,938270,946856,1003134,960598,937856,958680,942851,961798,994099,974218,912338,959128,915692,946832,968938,959594,969910,953413,979636,908987,971026,921383,962636,966874,961274,931985,983541
228,944474,950584,966249,964200,936615,941925,950349,1007133,964759,942201,962459,946347,965573,998322,978523,916639,963168,919737,951146,973882,963598,975194,958508,985387,912505,974728,924791,966550,970650,964855,936183,987495
229,948186,954660,970699,968427,940800,946039,954572,1011547,968442,945353,966361,950328,969582,1002083,981983,919692,967479,923932,955375,978138,967904,978880,962409,988806,916355,978725,928807,970781,974786,969022,940335,991759
230,952055,958642,974569,972505,944475,949834,958460,1015725,972562,949028,970285,954003,973316,1005990,985977,923584,971610,927987,959401,982173,972308,983384,966464,993260,919951,982857,932380,974944,979128,973097,943831,995529
231,956146,962701,978641,976628,948516,953859,962333,1019749,976380,953197,973894,958025,977489,1010175,989937,927284,974765,930858,962514,985569,975391,986449,969702,996491,923760,986812,936603,978749,982794,976865,947938,1000052
232,961059,967576,983632,981568,953554,958653,967301,1025154,981667,958245,979099,963407,982715,1015591,995226,932283,979979,935841,967472,990465,980297,991717,974899,1001299,928479,992380,941712,983938,988094,982085,952905,1005170
233,964219,970990,986947,984887,956783,961998,970544,1028581,985684,961881,983172,967047,986510,1019510,999176,936016,984597,941002,972704,995872,985466,996207,979560,1007090,931837,995668,944966,987529,991403,985729,956175,1008776
234,967588,974217,990248,988298,960124,965110,973861,1032145,988554,964776,985865,969850,989316,1022574,1002174,938789,988067,943860,975628,999428,988987,1000051,983013,1010216,935014,999164,947908,990664,994749,989020,959492,1012167
235,971208,978039,994270,992104,963616,968884,977675,1036324,992064,968219,989375,973321,993042,1026252,1005611,941930,991983,947424,979546,1003315,992775,1003973,986914,1014118,938516,1003047,951679,994619,998455,992812,963139,1016090
236,975954,981820,999105,997259,968230,972755,981979,1040427,998095,973251,994451,978397,999042,1031145,1010546,946834,995443,950530,982674,1006602,996251,1007324,990056,1017356,942337,1007506,955812,998688,1002744,996901,967019,1020182
237,980845,987398,1003972,1001852,972889,978350,986911,1045597,1002337,978234,999368,983395,1003389,1036656,1015925,951819,999813,954630,986941,1010858,1000643,1011765,994209,1021687,947848,1012396,960761,1004333,1007608,1001913,972223,1025514
238,984448,991430,1007829,1005530,976908,982113,990782,1050397,1005914,981661,1002789,986825,1006892,1040322,1019604,955332,1005106,960158,992739,1016686,1006150,1017159,999813,1027699,951325,1016611,964548,1008264,1012118,1006105,976421,1030053
239,987727,994785,1011496,1008808,980018,985355,994187,1053645,1010019,985711,1006966,991015,1011235,1044626,1023840,959163,1009925,964492,997208,1021303,1010715,1021849,1004500,1032278,954916,1019857,967694,1011589,1015316,1009571,980077,1033314
240,992257,999493,1015939,1013713,984870,989514,998400,1058139,1013836,989372,1010603,994563,1014851,1048494,1027443,962616,1013049,967428,1000533,1024607,1013806,1025113,1007758,1035582,959171,1024912,972548,1015875,1019468,1014262,983823,1037613
241,996134,1002573,1019135,1017036,987916,993376,1001833,1062183,1018882,994694,1015568,999178,1019866,1053919,1032479,967624,1016972,971032,1004194,1028149,1017419,1029280,1011440,1039585,962089,1027907,975349,1019675,1023330,1017699,987406,1041333
242,1000898,1009320,1024775,1023503,993530,998616,1007279,1068210,1024908,999681,1021228,1005270,1026568,1060919,1039684,973404,1020840,974829,1008229,1032575,1021697,1033044,1015546,1043582,967213,1033752,980591,1025584,1028762,1022953,992957,1047581
243,1006664,1013775,1030683,1028534,999034,1004577,1013109,1073793,1029220,1004396,1026231,1009625,1030082,1064584,1042893,977398,1026169,980351,1013863,1038211,1027081,1038474,1021033,1049053,972661,1039435,986392,1031175,1034633,1028886,998735,1053114
244,1010452,1017701,1034498,1032016,1002853,1008165,1017073,1078129,1033500,1008475,1030598,1013507,1034329,1068869,1047182,981500,1032596,986325,1019907,1044512,1033494,1045178,1027508,1056029,976492,1043592,990194,1035189,1038628,1032969,1002432,1056979
245,1015136,1021925,1039049,1036821,1007485,1012177,1021148,1083052,1037693,1013170,1034553,1017616,1038986,1073304,1051417,985374,1036629,989774,1023656,1048507,1037528,1049014,1031137,1059653,980953,1048275,994328,1039443,1042915,1037389,1006470,1061499
246,1018320,1025767,1042670,1040266,1010724,1016524,1025107,1086674,1041626,1016681,1038867,1021757,1042311,1077518,1055624,989233,1041249,994009,1028417,1053069,1041595,1053663,1035446,1064412,984139,1051594,997902,1043236,1047116,1041352,1010260,1065363
247,1021656,1028939,1045949,1043443,1014131,1019187,1028293,1090133,1046599,1021295,1044211,1026756,1046833,1082476,1060698,994052,1045399,997736,1032388,1057111,1046334,1057554,1039723,1068065,987079,1054911,1001295,1046604,1050312,1044340,1013528,1068655
248,1027977,1035472,1052376,1049930,1020305,1025446,1034354,1096749,1052564,1028259,1049764,1032165,1053349,1088183,1067543,1000012,1048460,1001150,1035362,1060349,1049068,1061133,1043098,1071708,993134,1061388,1007551,1053208,1056399,1050941,1019499,1075086
249,1033236,1040442,1057511,1055241,1025221,1030492,1039495,1102440,1056249,1031083,1053772,1036107,1056957,1092806,1071519,1003123,1054715,1007174,1041652,1066970,1055401,1067483,1049662,1078076,998138,1066488,1012280,1058214,1061850,1055850,1024592,1080693
250,1036501,1044177,1060874,1059060,1028721,1033874,1042864,1106084,1059904,1034718,1057114,1039865,1060551,1096710,1074572,1006636,1059976,1012328,1047094,1072329,1060720,1072944,1054691,1083395,1001468,1070195,1015670,1061771,1065373,1059555,1027989,1084038
251,1040468,1048330,1065025,1063307,1032898,1037942,1047048,1110189,1064641,1039410,1061835,1044355,1065419,1101585,1079340,1011177,1063378,1015468,1050490,1075787,1064173,1076409,1057914,1086992,1005910,1074644,1019910,1066042,1069496,1063663,1032091,1088168
252,1044586,1052649,1069615,1067579,1036689,1041900,1051155,1114805,1068756,1043135,1065837,1048278,1068954,1105768,1083655,1015105,1068301,1019956,1054733,1080469,1068422,1081212,1062066,1091590,1009389,1078884,1024289,1069999,1074229,1068083,1036234,1092794
253,1048406,1056141,1073432,1071296,1040413,1045801,1055266,1118779,1072756,1046957,1070264,1052910,1073414,1110451,1087788,1019109,1072311,1023613,1059223,1084088,1072608,1085017,1066617,1095771,1013128,1082663,1027689,1074129,1077901,1071863,1040052,1096796
254,1053206,1060912,1078108,1075933,1045092,1050989,1060270,1124018,1077372,1051903,1075894,1057071,1078078,1115063,1092449,1024296,1075985,1027445,1062740,1088271,1076748,1088931,1070227,1099675,1018016,1087939,1032779,1078967,1083154,1076756,1044908,1101589
255,1057032,1065168,1082519,1080434,1049386,1054647,1064451,1128488,1081243,1055436,1078624,1060701,1081518,1118632,1095846,1027076,1080560,1032116,1067333,1092747,1081352,1093625,1075087,1104850,1021782,1091792,1036409,1083273,1087088,1080954,1048723,1106011
256,1060456,1068561,1085861,1083903,1052805,1058088,1067995,1132171,1085362,1059536,1082888,1064898,1085963,1123126,1100121,1030711,1085053,1036006,1071490,1097165,1085567,1098069,1079255,1109316,1025058,1095320,1039747,1087045,1090792,1084524,1052379,1109776
257,1065160,1073240,1090575,1088804,1057402,1062563,1072361,1137302,1089127,1063235,1086468,1068629,1089706,1127032,1103849,1034423,1088553,1039404,1075106,1100895,1089170,1101753,1082674,1112644,1029802,1100180,1044406,1091506,1095360,1089410,1056771,1114539
258,1068345,1076489,1093355,1091577,1060227,1065771,1075511,1140362,1092957,1067911,1090185,1073233,1093629,1131774,1108232,1038822,1093349,1043922,1079865,1105631,1094088,1106114,1087536,1117394,1032677,1103300,1047559,1094701,1098658,1092596,1060012,1118104
259,1072009,1080173,1097557,1095760,1064057,1069600,1079561,1144536,1096557,1070705,1094058,1075914,1097369,1134749,1111862,1041691,1096517,1046923,1082866,1108962,1097010,1109672,1090592,1120859,1036089,1107078,1051007,1098486,1102483,1096327,1063495,1121732
260,1077012,1085207,1102647,1100345,1068990,1073877,1084716,1149708,1101663,1075772,1099253,1080833,1102680,1140224,1116904,1046701,1100216,1050557,1086431,1112698,1100923,1113604,1094544,1124669,1041223,1112628,1056101,1103624,1107992,1101544,1068600,1127359
261,1081626,1088825,1107118,1104722,1072498,1078145,1088441,1153837,1105972,1079888,1103596,1085101,1106940,1144484,1121084,1050585,1105011,1055071,1091161,1117405,1105454,1118688,1099623,1130311,1044805,1116233,1059810,1107676,1111454,1105299,1072302,1130842
262,1085115,1093335,1110785,1109011,1076784,1082391,1092834,1158593,1109311,1083242,1107012,1088400,1110366,1147959,1124523,1053761,1108741,1058888,1095212,1121578,1109783,1122626,1103393,1133765,1049104,1120966,1063928,1112034,1116256,1109783,1076617,1135350
263,1089851,1098074,1115841,1114046,1081158,1087169,1097018,1163674,1113905,1087675,1111484,1092899,1114834,1153124,1129690,1058435,1113524,1063300,1099486,1126254,1114193,1127197,1108091,1138498,1053476,1125536,1068341,1116717,1120957,1114420,1081435,1140305
264,1093038,1100837,1118634,1116906,1084546,1089850,1100466,1166582,1118623,1092280,1116093,1097286,1119494,1157265,1133653,1062287,1118286,1067815,1104145,1130725,1119679,1132488,1112958,1143152,1056634,1128904,1071952,1120202,1124369,1118632,1084619,1143663
265,1097162,1105377,1123317,1121471,1088865,1094428,1104727,1171203,1122364,1096314,1119748,1101015,1123090,1161173,1137297,1065700,1121082,1070608,1107071,1134076,1122173,1135069,1115733,1146318,1060768,1133422,1075944,1124476,1128456,1122258,1088662,1148290
266,1100929,1109107,1127180,1125354,1092624,1098342,1108839,1175211,1126184,1099731,1123420,1104826,1127250,1164991,1141423,1069609,1125578,1074813,1111523,1138530,1126752,1139699,1120205,1150730,1064546,1137490,1080001,1128406,1132473,1126193,1092559,1152273
267,1104747,1112870,1130946,1129104,1096396,1101971,1112513,1179255,1129401,1102956,1127180,1108132,1130453,1168750,1144767,1072628,1129657,1078720,1115437,1142658,1130559,1143944,1124208,1154975,1068030,1140888,1083294,1132205,1136043,1130012,1096154,1156086
268,1109738,1117515,1135829,1133996,1101173,1106789,1117298,1184594,1134107,1107482,1131717,1112786,1135302,1173901,1149458,1077350,1133402,1082362,1119344,1146543,1134478,1147582,1127921,1158763,1072508,1145798,1088015,1136864,1140916,1134644,1100943,1160849
269,1113255,1121782,1139694,1137867,1105047,1110707,1121165,1188424,1139458,1112548,1136845,1117643,1140597,1179189,1154809,1082183,1138439,1086828,1124132,1151322,1139248,1152999,1133170,1163644,1076841,1150134,1092097,1140859,1145120,1138918,1104734,1165007
270,1117906,1126266,1144062,1142571,1109560,1114954,1125458,1193048,1143456,1116397,1140962,1122014,1144723,1183695,1158952,1085760,1142113,1090517,1127967,1155364,1143161,1156300,1136476,1167765,1080744,1154668,1096275,1145468,1149847,1143499,1109374,1169952
271,1121809,1130241,1148462,1147057,1113884,1119160,1129561,1197209,1146826,1119975,1144440,1125415,1147965,1187263,1162654,1089231,1146373,1094691,1132127,1159761,1147528,1160866,1141123,1172106,1084722,1158832,1100405,1149907,1153993,1147801,1113308,1173927
272,1125776,1133945,1152094,1150576,1116703,1122923,1133539,1201303,1151162,1124566,1148503,1129860,1152374,1191766,1167116,1093336,1150732,1098884,1136458,1163853,1151683,1165050,1145250,1176350,1088071,1162545,1103846,1153587,1157772,1151134,1117036,1177685
273,1130420,1138854,1157133,1155555,1121966,1127802,1138112,1206718,1155794,1128887,1153525,1134576,1157541,1196511,1171633,1097731,1154460,1102675,1140078,1167876,1155272,1168918,1148962,1180432,1092812,1167323,1108510,1158595,1162578,1155916,1121831,1182829
274,1135522,1143896,1161929,1160304,1127508,1132493,1143304,1211789,1160404,1133389,1157757,1138607,1161789,1201319,1176152,1101937,1159380,1107357,1145263,1172784,1160316,1174410,1154157,1185450,1098079,1173216,1113280,1163527,1167635,1161235,1127079,1187818
275,1140087,1148135,1166822,1165176,1131262,1137087,1147696,1216661,1165800,1138967,1163147,1144199,1167027,1206865,1181770,1107129,1164536,1112176,1150014,1178054,1165085,1178786,1159574,1190794,1102214,1177296,1117459,1168178,1172262,1165733,1131037,1192606
276,1144662,1152985,1171410,1169944,1135680,1141574,1152203,1221894,1170295,1143322,1167578,1148344,1171728,1211719,1186296,1111344,1169223,1116367,1154262,1182534,1170449,1183561,1163867,1195387,1106571,1182016,1121926,1172633,1176899,1170254,1135707,1197586
277,1147707,1156312,1174857,1173266,1139000,1144915,1155734,1225225,1172960,1145945,1170518,1151195,1174707,1214657,1189123,1114012,1172916,1120043,1158204,1186756,1174174,1187662,1167509,1198725,1109918,1185515,1125268,1176101,1180562,1173736,1138961,1201000
278,1152241,1160877,1179322,1177995,1143601,1149355,1160332,1230179,1178733,1151580,1175978,1156413,1180025,1219850,1194919,1119056,1176963,1124179,1162171,1190790,1178413,1191968,1171649,1203316,1114090,1190210,1130325,1180997,1184828,1178138,1143509,1205601
279,1156974,1165600,1184245,1182731,1148146,1154387,1165121,1235131,1183692,1156507,1181177,1161600,1184742,1224964,1200073,1123917,1181340,1128340,1166528,1195151,1182670,1196336,1175994,1207696,1118836,1195090,1134484,1185624,1189959,1183122,1148281,1210871
280,1162545,1170617,1189589,1187814,1153540,1159332,1170297,1240766,1188598,1161034,1185784,1166163,1190062,1230210,1204837,1128737,1186706,1133084,1171595,1200601,1188156,1201635,1181448,1213414,1124446,1200931,1140240,1191090,1195380,1189010,1153835,1216359
281,1166543,1175088,1194099,1192508,1157647,1163713,1174838,1245636,1193477,1165971,1190938,1170963,1194870,1235547,1209890,1133390,1191856,1138078,1177368,1206177,1193419,1207224,1186957,1218321,1128043,1204984,1143975,1196379,1200325,1192795,1157714,1220682
282,1169828,1178515,1197573,1195662,1161024,1167210,1178262,1249242,1196448,1169364,1194631,1174086,1198442,1239302,1213646,1136516,1196129,1142462,1181403,1210160,1197850,1211508,1191128,1223178,1131461,1208165,1147191,1198801,1203257,1196310,1160971,1224185
283,1174027,1182899,1201813,1199974,1165100,1171196,1182413,1254060,1200022,1172555,1197783,1177855,1201612,1242578,1216674,1139824,1200001,1146202,1185277,1214009,1201493,1215256,1194866,1227003,1135618,1212827,1151369,1202969,1207631,1200807,1165044,1228615
284,1178952,1187298,1207072,1204997,1170100,1175961,1186685,1258118,1205151,1177453,1203035,1182800,1206652,1247894,1221790,1144620,1204000,1149946,1189373,1218226,1205633,1219329,1198944,1231012,1140238,1217765,1155910,1208648,1213036,1206290,1169503,1233440
285,1182839,1191940,1211012,1208975,1173925,1180027,1191339,1262927,1209932,1182250,1207760,1188765,1211016,1253907,1226462,1150587,1208344,1154803,1194182,1222975,1209894,1223735,1203709,1235745,1144016,1221532,1159941,1211862,1216563,1209545,1173571,1237726
286,1188919,1198249,1216753,1214633,1179243,1186024,1197560,1269322,1215078,1187228,1213491,1192521,1216843,1258638,1231721,1154498,1213049,1158416,1198074,1226953,1214505,1228454,1207531,1240122,1150067,1228142,1166287,1218527,1222923,1216032,1179914,1244194
287,1192213,1201427,1220735,1218937,1183208,1189958,1201046,1273396,1219275,1191313,1217100,1196512,1220921,1262664,1236030,1158046,1218561,1164226,1204052,1232998,1220572,1233963,1213709,1245729,1153536,1232102,1169490,1222273,1226566,1219275,1183587,1248034
