journal_ops,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
26,41025,42068,16002,9660,36636,42273,33352,36465,30680,31274,36000,31838,25869,31839,45822,36970,29561,26114,25290,26036,17485,17957,18925,21892,13495,22891,10479,10161,31669,26541,18018,20046
27,10812,10624,20766,14241,41477,47787,38519,42022,36192,36841,5358,37589,31504,37940,8305,7270,34580,31412,30847,31508,22906,23325,24705,27410,18581,28237,15223,15514,36182,31824,23037,25117
28,17477,18043,28040,21357,12088,12965,10346,10591,43589,43955,13084,9804,39006,45313,15914,14603,42840,39410,38678,39349,30835,31223,32451,34970,25461,34933,22295,23045,43437,38729,30237,32237
29,23866,24862,34677,27657,18550,20315,17994,17490,14818,13841,18907,15892,44822,52115,21988,20270,48950,45418,44945,45742,36900,37597,38849,41241,31832,42721,29027,30207,50906,45857,37127,39724
30,30744,31640,41579,34528,25116,26196,23829,24004,21178,21209,26349,23525,13544,18656,29508,27367,15972,15613,15021,14462,44166,45031,46211,48635,38297,48697,35134,36454,16368,12890,44115,45945
31,37098,37803,10954,6352,30792,32350,29829,29473,26413,27076,31508,28500,20357,25090,34632,33313,21662,20691,20065,20486,11297,12014,12669,12787,44183,54668,41353,43571,24235,20096,50059,53009
32,42281,43942,15741,11591,36750,38301,35413,36260,32248,32983,38537,35659,25273,30343,40874,38991,27651,26724,26179,26268,17505,18041,18859,18920,13359,19765,10919,11812,28864,25360,15718,16958
33,11393,12006,22541,17756,43052,45380,42156,42736,39790,39938,10410,6767,32197,37973,8173,8164,34767,33414,33052,33031,24111,24887,25857,26065,20174,26178,17342,18258,34925,31571,21914,23717
34,17832,18477,29253,24203,12659,12574,10921,11550,8541,46410,16886,13374,38958,44574,15008,14639,41518,40178,40276,40228,31100,31978,32924,32919,26065,32803,23776,24733,41755,37972,29011,30235
35,23895,24913,35403,30122,18510,18727,16982,17644,14744,14371,22968,19654,44759,51213,21050,20750,47968,46353,46844,46815,37562,38386,39070,39243,31799,38838,29620,31093,47579,44146,35068,36298
36,30258,31359,41486,36760,25195,25100,23680,24149,21284,20710,29426,25526,12352,16766,27544,27090,14833,14367,14222,13657,43742,44179,44950,45783,37822,45298,35732,37644,10932,10811,41192,42808
37,36630,37339,11765,9736,30974,31302,29554,30406,27187,26673,34761,31763,17750,22508,33197,32522,20557,19417,20381,19728,10843,11020,12524,13321,44046,52038,41836,44227,16902,17121,47923,48871
