journal_ops,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
103,34558,32955,34053,32029,31217,33571,34383,34421,34570,36677,37826,37034,23912,27796,43679,41824,33012,31012,24300,24306,11153,11747,19573,20648,8190,45322,47903,49803,23873,23310,45537,44833
104,5417,39715,40533,37608,37449,40259,40292,41063,40838,42969,44330,43815,30495,34392,50195,48115,38424,36084,29887,29780,16584,17434,25017,26061,14749,12701,12702,14885,29758,28883,10302,9562
105,12126,9822,47162,44733,44204,46356,47346,48772,9730,11000,11173,11422,36512,40830,15029,13783,44713,42115,35864,35579,22288,23634,31140,32367,20535,18559,19024,21951,35990,34947,17266,15982
106,19094,15723,11968,12516,11802,11413,14205,14226,17222,16028,18208,16760,43449,47105,21243,19787,8844,8354,41601,41576,28269,29314,36576,37788,27795,25040,25750,28299,42600,41208,22746,22556
107,26981,25517,20527,20750,20514,19753,21951,22225,24329,25104,25495,24879,11930,12708,28738,29038,17496,16019,11200,12432,35970,37383,44783,45374,35029,33359,34355,35810,11229,12165,31552,31089
108,32202,30679,26988,25907,25092,26431,28031,29215,30642,30975,31529,30766,18220,19328,34716,33562,24684,23585,18867,19480,43842,44978,52224,53789,41698,39955,39793,42586,18759,18383,38791,37222
109,4551,36682,33180,31819,31078,32381,33867,35179,36932,37043,37550,36553,24191,25429,41208,40081,30532,29394,24393,25378,49322,50817,17453,17611,13631,11787,45936,48708,24538,24974,45066,43634
110,10796,8134,39287,37735,37010,38978,39649,41777,43513,42997,43973,43133,30572,32216,10541,8354,36526,35007,30534,31251,16970,17507,23264,23656,19711,17578,14633,15282,30589,30837,12357,11919
111,16913,14607,46433,44641,43397,44771,46664,47849,12483,11479,11862,11396,36749,38237,17339,14705,41859,40455,35864,36796,22450,22632,28705,29040,25919,24343,20777,22870,36918,36666,18561,18300
112,23541,21023,11466,11712,10716,10639,12371,13742,19486,18225,17919,18578,44350,45774,23944,20793,8247,8114,42793,43707,29237,29522,35631,36046,33232,31221,27336,29161,44086,43777,25629,24958
113,29644,28907,18959,17931,17510,18767,18541,21668,25220,26265,25064,25121,12420,11704,29864,27532,15827,15528,50225,51324,36583,36851,43131,43472,39874,39040,35104,35221,11536,12616,32624,31691
114,35842,34459,24769,24656,23877,24512,25567,27697,31717,31190,31973,31507,17364,18475,36561,33812,21270,20948,15175,15331,42133,42600,48589,49204,9431,7744,40584,42320,18265,18572,39251,38795
115,7887,40396,30616,29914,29254,30092,31019,33200,37243,36556,37217,37188,23025,24315,42076,39445,27528,27290,21359,21623,7648,8086,14774,15443,14916,13577,46339,48136,23858,24481,45253,44646
116,13977,9888,36805,36276,35076,36270,36687,39617,43444,43069,43344,43247,29433,30517,48288,45169,33024,32477,26942,27248,13160,13660,20273,20956,20583,19696,13101,13684,30369,30246,10566,10528
117,18723,14435,41267,40392,39444,41495,41031,44378,9970,9769,11534,11190,33773,35023,13459,13189,38764,38066,32501,33083,18740,19471,26096,26797,25065,24009,17548,18101,34865,35271,15534,14952
118,25165,21137,9867,10156,9618,9321,10000,11813,16349,16670,17534,17208,40092,41576,19632,19426,9525,8947,39390,39864,25460,26231,32906,33593,31350,31067,23753,24716,41676,41043,21673,21823
119,30288,26511,15555,15415,14059,14795,15506,17106,21593,21708,23010,22323,9972,10181,25040,24515,15848,15046,45667,46077,31650,32233,38909,39916,36540,35925,29066,30187,9788,46617,27562,27063
120,7609,34889,23555,23791,22990,22748,24634,24999,29721,29740,30898,30540,17418,17906,33191,32105,20837,19940,12973,13023,36827,37550,44348,6847,11691,9194,37245,38663,18103,17510,35736,34854
121,14190,9333,31112,30691,29423,30454,31007,32989,37057,37480,38612,37812,25446,26265,41028,39995,28986,27791,20890,20966,44576,10343,14615,14840,19273,16843,44541,46644,25424,24818,43223,43170
122,19382,14921,36718,35924,33920,35827,35931,38734,42618,43042,44319,43551,30704,32016,46424,45194,35512,34348,27847,27965,16392,17127,20995,21726,24168,22042,12678,13315,30577,30329,12893,13939
123,25292,21190,42801,42229,40278,42408,42233,44782,13203,13868,14468,11906,37394,40346,16574,17024,41765,39714,33438,33539,22206,22693,26881,27281,30516,28316,19042,19502,36922,36678,19534,20427
124,31906,28084,10724,10686,46836,9050,11599,12603,19507,20007,18986,18433,43552,45178,22586,21186,14374,12489,41376,41834,30278,30741,34743,35576,36739,35111,25127,26162,43198,43084,26409,27112
125,38691,34751,17998,17501,14512,15551,17710,18778,26237,26964,25809,24871,10811,10847,29256,27761,19610,17310,46348,47043,35338,35994,39695,40312,6867,41958,32230,33278,49630,49085,33594,34135
126,10186,42205,25249,24936,21753,22854,25999,26916,33874,34743,33417,32494,18728,18500,36949,35269,26748,24504,14534,14698,42366,43106,47212,47917,14862,13525,39801,40673,15514,15240,41357,41462
127,16530,12704,31261,30448,27312,29160,31572,32864,39866,40585,39097,38399,24652,24713,42803,40718,33298,30660,20992,21541,8296,9486,15246,15747,20697,19340,45670,47235,21666,21404,47060,48101
128,23779,21105,38924,37301,33903,36397,39187,39583,47390,48393,46412,45068,31737,33563,9625,8770,39063,36182,26560,26916,13690,15058,21038,21154,27967,26529,10839,11085,28574,28223,15133,14664
129,29077,25457,44416,43635,40415,42795,44994,46099,11853,11578,12995,12929,37326,37997,14146,14103,46150,43215,33785,34249,20970,22540,28256,28741,33254,32355,16756,17331,34098,34287,21138,20738
130,34981,31845,13419,12984,7055,8530,11364,11777,17880,18166,19379,19118,43582,44289,20687,20299,14282,13810,41034,41653,27963,29496,35429,35783,39163,38354,22682,23329,39996,40252,27090,27217
131,5542,37555,19127,18598,12575,14309,16930,17604,23346,23865,25060,24680,10388,11398,26646,25794,19632,18928,46215,7536,33124,34918,40685,41299,9907,6893,28252,29405,7190,6626,32989,33078
132,13711,9934,28130,27477,21671,22258,24076,26452,31683,33081,32751,32426,17864,19267,34956,34472,25044,24210,12537,12799,38703,40190,45972,46523,18697,15228,36389,37308,15144,14575,40588,41071
133,19748,15533,34216,33370,26834,28474,31838,31984,38334,38974,39334,38862,24287,26702,41244,39665,32720,31787,20256,20660,46176,47947,13863,14296,25029,22387,43156,43860,21974,21575,47734,48156
134,26331,23461,40374,40371,34256,36341,37731,39109,44961,46320,46584,46587,31051,33217,11535,11147,39640,38229,26506,27234,15471,15657,20608,20908,32577,29075,14503,13855,28703,28044,16884,15581
135,32262,29151,46673,45451,39349,41645,43751,45416,12737,12138,14246,13985,37419,39694,16380,16639,46666,45138,33748,34338,22545,22863,27351,28199,37220,34875,19207,19856,34440,33859,22261,21708
136,4069,35130,12610,11513,7515,7955,10927,10707,18226,17642,19934,20148,3804,45490,21772,21804,14164,12815,38871,39812,28070,28112,33031,33711,6776,4739,25175,25591,40068,39433,28003,27497
137,11646,7494,20843,20172,16018,16809,19320,18261,26732,26750,28106,27583,11878,12563,30304,31262,20808,19545,7382,7788,34645,34715,39727,40368,15061,14239,33291,35329,12009,12714,36571,37045
138,21026,16957,29732,28501,24505,24661,26923,28956,34720,35155,36630,36439,20678,21488,39785,38831,28527,27127,14920,15908,42363,42818,47665,48073,23578,21875,42107,43506,20421,21289,45826,45383
139,26241,22582,35944,35173,30242,31375,33413,34245,41072,41012,43101,42257,27095,27855,45477,44432,36875,34925,23358,24040,50898,51299,18243,18211,29219,27998,47670,49014,26595,26149,51659,50980
140,32927,30146,43056,41938,36887,38647,40364,41543,47866,48726,50649,49557,34005,34926,17659,16282,42484,40548,29088,29964,18418,18404,24084,24019,36142,34621,17981,18722,33513,33455,18277,17055
141,38070,35924,47591,8583,41545,43296,44881,46055,14789,14423,16462,15645,38448,39606,22063,20815,49862,47590,36248,36990,25531,25584,31203,31081,4496,39016,22137,22936,37936,37516,22916,21471
142,10211,42581,15676,15236,10606,12356,11918,14754,21841,21474,22844,21877,8733,11021,28550,27808,16302,14883,41029,42006,30502,30440,36135,36007,11514,9463,28755,30184,45221,44615,29691,28378
143,17319,10992,23150,21684,17253,18515,18567,20843,28822,28743,30428,28560,15517,16395,35061,34941,23210,21411,9797,9925,37244,37166,42754,42878,17974,15950,36096,36537,12658,12160,36981,34645
144,22884,16396,28444,27875,23460,25066,24733,28025,34491,34653,35973,35281,21894,23894,41766,40291,30000,28136,16489,16909,43887,44175,49785,49954,23977,22269,42033,43622,19072,18725,43292,41704
145,28902,22830,34749,33559,29279,31529,30938,34170,40456,40579,42176,41742,27953,30363,8447,8009,35449,33494,22080,22503,7728,7767,13874,16015,29908,28401,48085,49632,25394,24956,49413,48048
146,34283,28236,40510,38491,34046,36429,36162,39485,46199,46331,47491,47363,33485,36300,13824,13686,41415,39446,28259,28432,13516,13733,19703,21859,35295,33993,11863,12308,30967,30405,11828,10900
147,4378,32564,5796,7226,38572,41261,40047,44698,10447,10195,11051,11165,4035,39867,17763,17605,7619,6788,33942,34095,19103,19331,25523,27821,6693,3874,16226,16399,34751,34466,16182,14592
148,11912,7496,13332,13531,9536,9840,9508,9858,17621,17914,18647,18685,11697,10226,25319,24495,12351,11257,38853,39091,24174,24427,30493,32737,13757,11428,22783,23810,42171,41701,23891,22416
149,20015,15550,21470,21308,17079,18249,17456,18207,26049,26448,26759,26649,19489,18387,33744,32160,20505,19093,11112,11394,32073,32240,37691,40730,21848,19475,31149,31935,15022,14591,32339,30707
150,26622,22643,28653,28251,23924,25080,24359,24989,32735,33047,33618,33666,26582,25768,40428,38977,27208,25390,17607,18216,38458,38967,45185,47741,28438,26292,37448,39156,21655,21391,38977,37512
151,33012,28985,35147,34747,30213,31505,31058,31407,39300,39416,39604,40073,32819,32278,13368,11870,33817,32283,24566,24972,10560,10521,15408,15373,34764,33026,10340,10445,28307,27860,45580,44273
152,5033,34515,40849,39714,35679,36874,36094,36829,44590,45174,45323,45611,38843,38262,18450,16859,40039,38225,30721,31362,16923,17070,21639,21866,5620,38597,15452,15687,33572,33389,12506,13765
153,11146,4823,10105,10030,41038,43274,7098,43054,11403,10606,12683,13740,9297,7039,24746,22574,8226,7354,36496,36748,22416,22631,27565,27731,11473,9672,21305,22097,39605,39279,18361,19595
154,19922,14028,18727,18261,13030,13400,15605,16387,19977,19723,21362,22104,17778,15370,33425,31035,14402,13671,42419,42798,28219,29010,33307,33192,20925,19689,29772,32199,48099,9921,26674,28056
155,26801,21360,26536,25182,20724,21006,22881,23118,27164,26677,28618,29621,25143,23519,40600,38062,23090,23314,14051,13404,37633,37293,43290,41696,26984,25697,37683,37877,17429,17374,34631,35924
156,33608,27576,32839,32422,28415,28492,30445,29981,33204,34167,36230,36189,32295,30433,11778,8202,30367,29224,20107,20356,44416,44278,49661,49087,33694,33001,43679,45006,24937,23089,40514,43520
157,38968,33759,38998,38074,32538,33811,35669,36129,39704,39682,41515,42199,37947,37002,17089,13968,38095,36063,27953,26974,13465,12405,16517,15846,39237,38450,11358,11684,29945,29331,47515,49297
158,8287,38245,6341,5004,36974,38678,40396,41061,44435,44365,46226,46900,6039,41950,21840,18473,43159,41251,32924,33009,18648,18272,22532,21871,8829,6444,15918,16872,34711,34286,12141,13456
159,14239,7435,12164,10779,42643,44527,7370,7147,9940,11230,13099,11400,11680,10311,27971,24153,10664,9278,37636,37626,23159,23855,27513,26490,14648,12427,21636,22471,40496,39970,18139,19488
160,23386,16128,21145,19117,13404,14001,16634,15615,18372,20197,22229,20230,20693,18598,37323,33010,16731,14919,43706,43543,28996,29200,33491,32673,23066,20707,30464,32186,48467,10272,26734,29038
161,27329,20555,25383,23280,17607,18817,20552,20625,22928,24650,26097,24749,25445,23822,41193,37150,25378,23827,12863,12639,37440,38579,42683,41334,27085,24663,34235,35613,13422,14028,31280,32190
162,33719,27936,32412,30273,24456,25674,27342,27400,29663,31213,32593,31122,31555,31028,12275,9582,30669,28437,18083,17688,43678,43504,47019,46719,33674,31692,41272,42735,20276,20712,38520,39221
163,5478,32592,37624,35078,29314,30920,32738,32780,35020,36714,37971,36600,36887,36146,17103,14218,37823,35166,24523,23706,10767,10459,14756,14236,5804,36965,8716,8419,25611,25932,44366,44717
164,8364,3155,3788,3564,31804,33915,35621,2002,38459,39294,42368,39277,5070,2481,20049,17369,41653,38921,28592,28465,14955,14951,18968,18839,7848,6191,10498,10265,27894,27625,5683,4848
165,11746,6711,7872,7215,35548,37593,5805,5900,6379,6565,7089,7002,8626,6762,23818,20607,7098,6397,32782,31786,18460,19442,22210,22003,12200,10412,15334,15404,32355,32793,10542,9958
166,16410,11437,12538,11726,7528,8107,10497,10819,10979,11375,11721,11691,13075,11422,28521,25061,9485,8848,35065,35091,21375,21513,25593,25461,17039,15344,20086,20182,37085,37485,15388,14777
167,19839,14964,16038,14937,10910,11655,13692,14418,14214,14232,14620,14557,16139,14443,1278,1492,14436,13498,6353,6012,26235,26394,30424,30153,19392,17862,22540,22781,7164,7222,18044,17378
168,3412,19750,20796,19859,15531,16306,18660,19241,19324,19625,19821,19831,21283,19918,6501,6260,17966,16750,9529,9508,29455,29698,33701,33686,2462,23505,28082,28495,12729,12857,23705,23083
169,9994,5153,27837,25312,20746,21914,25151,24684,25930,25350,25742,24962,5243,4118,12372,11708,22656,21214,14308,14200,5973,5998,6576,6660,7322,5581,5727,6952,17616,17377,4021,4989
170,15383,11845,10744,10266,27209,28536,7080,9061,31226,31902,31894,31888,11964,9665,18564,18000,6608,6190,20738,20836,11982,11750,12125,12826,14429,13256,13073,13285,24804,24871,12193,12226
171,19173,15629,14667,13817,3756,4441,10698,12850,8859,9241,8975,9261,15493,13528,22220,21568,11961,11528,26361,26427,18221,18172,18680,18836,17989,16877,16543,16913,28255,28449,15812,15834
172,28025,25182,23913,22355,13152,12660,18900,21297,17834,18119,18031,18258,24257,23088,31688,30067,16089,15387,30382,3377,22512,22313,22550,22763,26376,25326,24688,25411,8167,8267,24388,24262
173,6141,31320,30125,29033,18725,19841,25796,28343,24164,24660,23976,24591,30800,29242,11877,10964,25881,25053,12423,12538,31393,31242,31886,32375,33254,32317,31626,32597,15308,14818,31813,31138
174,10412,3816,34524,33419,22864,24299,30376,33185,28590,28952,28458,28858,5784,33749,16169,15307,30976,30038,18319,18002,37072,37806,37782,37882,10214,5491,36114,37010,19779,19890,36166,35706
175,16685,9908,40772,39390,29033,30502,36458,39429,34464,35082,34513,35144,11954,6978,22605,21270,35485,34493,22746,22705,9412,10279,13781,13394,15757,11642,10756,11807,25644,25656,8093,7915
176,22311,15627,11769,11571,34604,36239,10846,11423,40537,41124,40411,40836,17862,13159,28062,26939,10165,8986,28819,28700,15424,16412,19844,19723,21558,17248,16212,17914,31081,31207,14067,13373
177,28879,22204,18091,17571,9600,9735,17449,17787,14261,15277,13122,13818,24038,19545,35172,33819,16131,14638,34748,34636,21289,22482,25585,25389,27453,23275,22326,23738,37125,37454,20118,19543
178,36539,30522,26118,24971,16821,17361,24861,25799,21977,22419,21272,21794,32023,28131,43063,40560,25216,22616,42772,43881,27915,29381,32381,32877,35828,31559,30773,31982,10270,9772,28510,27467
179,8769,35856,31407,31021,23030,23066,30803,32097,27307,27698,26305,27095,5183,33521,11881,12121,30694,28704,15904,16002,35488,37326,39812,39781,4662,37294,35478,37260,15290,15228,33988,33122
180,14842,10253,38048,36604,28728,29349,36742,38448,33680,33878,31956,32977,11191,5233,18749,17856,36196,34178,21539,21697,41211,42897,45322,45645,10978,9268,6602,43856,21611,21850,40332,40033
181,21410,17116,44787,43471,35244,36548,43484,6829,40406,40698,39243,40032,18164,12761,25282,24793,42712,39995,27984,27991,8691,9968,13878,14133,17743,16133,13607,13914,28765,28613,11916,11380
182,29904,25900,17040,15959,43157,45781,12866,15167,48774,49722,46962,47581,25662,20408,34339,33646,11366,10549,34470,34826,15302,16516,20226,20776,25242,23947,20876,21320,36328,36443,19849,18941
183,36233,31977,24062,22401,13082,13908,19610,21657,14929,16817,16029,15798,32723,27582,40451,38984,19762,19178,43487,43551,23782,24557,27963,28394,32219,30932,28702,28887,43614,43395,26376,26433
184,8184,37792,29623,28234,18499,19904,25444,27503,20816,22284,21946,21350,38587,33869,45811,44564,26254,24857,49643,49969,29912,31981,35742,36027,37930,36939,34004,34804,11624,10892,32940,32626
185,15472,7877,35065,33484,23499,25203,31997,33509,25624,27454,26644,26635,6753,38663,11661,11072,31645,30769,11594,12223,35747,37177,41114,41706,8191,5439,39470,39271,16880,15627,37766,37327
186,18873,13072,40663,38940,28753,30840,36173,38772,31761,33393,32810,32076,12772,9230,17945,17163,38233,36363,17475,19192,41924,43547,7100,47252,13922,11882,7956,8111,22540,21562,43833,43599
187,26948,20798,48509,46492,36281,38977,8279,9951,38931,40925,40112,39978,20517,17302,25711,24755,42628,41383,22870,23157,9450,9469,11570,12501,21966,19464,15641,15662,30217,29099,12274,12213
188,33805,28599,15646,15421,42782,45784,16365,18974,46742,48125,47706,46419,27388,24470,32898,31777,12363,12825,30422,30958,17239,17191,19610,20087,28727,26744,23013,24137,37648,36069,19941,19339
189,6629,35133,22992,22420,12867,13587,22294,24238,14484,15564,16758,16605,34862,32553,39903,38563,19367,19617,37298,38535,24192,24161,26346,26941,35686,33963,29764,30446,45018,43285,27063,26421
190,12421,8686,29054,28721,18732,19562,27832,30642,19721,21249,22291,22763,7532,37971,45451,44134,26358,26695,44057,44778,31170,31987,33204,33574,41515,40091,35390,36278,11006,10126,32596,32268
191,18041,14422,34726,33834,24337,25326,33699,36291,25558,26880,28351,28399,13358,9162,13249,13063,32302,31861,12345,13195,36637,37409,39124,40058,11394,10585,40951,41972,16723,15633,38763,38137
192,24273,20999,41391,40374,30816,32036,40354,6874,32178,33761,34813,34942,19732,15934,19984,19351,38401,37668,17993,19147,42487,43474,44958,45990,18038,17186,9746,8736,23210,22332,45508,45028
193,31714,29118,49334,10235,38568,39775,12438,15323,40245,41794,42356,42859,27756,23791,27633,27132,45055,43999,24520,25657,10393,10338,14121,13648,25637,25317,17500,16946,30940,30051,13444,13479
194,39419,36715,18973,18616,45744,48134,21049,22802,48064,49866,50116,50990,35946,32001,35446,34633,14383,14013,32281,33381,18215,18721,22159,21510,33902,33186,25308,25254,40060,37709,21892,20557
195,10959,7318,23511,23490,12969,13615,25453,29037,14020,15268,17069,16668,40925,37784,41105,40253,23480,21373,40235,42234,26513,26744,29800,29471,38451,38520,30449,30496,44375,43185,26777,26753
196,16957,13417,30173,29167,19570,20133,31907,35011,20752,21863,23816,23325,9085,9499,47464,46241,28008,26685,45440,46944,31459,32256,35636,35162,44849,45291,37002,36975,11708,11922,33542,33328
197,22656,20118,35846,35597,25652,26196,38321,5115,26749,28177,30065,29181,14838,15441,15247,13979,34460,32845,15422,16010,37463,38262,41763,41674,10769,12766,8394,43128,17876,17982,39823,40274
198,28926,26029,42027,41374,30945,32269,8044,11068,32831,34210,36415,35381,21188,22029,21284,20086,41002,39085,21521,22485,43516,44857,10120,8337,16988,18916,14456,12429,24124,24247,46002,45910
199,35899,33050,49300,48361,37911,39499,15445,18517,39834,41281,43619,42411,27872,29182,28748,26857,46961,44984,27575,28629,10726,10786,16449,14339,23851,25662,21089,19210,31343,31377,12473,12057
200,5529,39154,14932,16353,43728,45689,21028,23979,45805,48627,48750,49246,34377,35630,35178,33708,14630,14226,34918,35188,17995,17441,23180,21362,29212,31717,26484,25931,37225,36415,18365,18031
201,10018,8083,19888,19764,9163,9049,25645,29033,9314,9115,11636,11336,4947,40522,39322,37279,21028,20455,40376,41144,24071,23621,28681,27395,34219,36519,31660,30544,41718,41519,22923,23267
202,15537,13387,25349,25242,14346,14681,31161,34538,14681,14529,17314,16933,10776,7191,6082,6650,25311,24601,45388,46207,28204,28934,34219,32284,39640,42160,37084,36085,7240,7230,28649,29066
203,22440,20701,33589,32005,21066,21625,6322,8130,21782,22535,24142,23989,17918,14509,13652,13233,30749,29895,10069,10522,33607,34448,39709,37793,11278,12155,10118,7717,14370,14088,35893,35860
204,29241,27467,39879,39361,27757,28673,13156,15446,28801,28777,31089,31283,24437,21643,20104,19962,38655,37326,17317,18336,40997,41282,9475,8880,17834,18413,17141,15527,21618,21059,43221,43386
205,35669,33409,46035,44728,33662,35391,19291,20924,34909,34858,36731,36803,30223,27885,26123,25334,45162,43991,24394,24692,11641,11353,16518,16695,22964,23459,22114,20327,26319,26185,8605,9086
206,8372,7111,14987,13772,39632,41375,25406,27835,41296,41736,43539,6934,36322,34758,31967,32282,13327,12046,29684,30157,16804,16507,21540,21729,29069,29728,28592,26567,32433,31940,14415,15346
207,13013,11673,18868,18076,8922,9111,30235,32707,9161,9223,11730,10971,8617,6104,37104,36529,19152,17760,35702,36204,22720,22459,28292,28171,34195,35437,33790,32293,38176,37922,20415,20893
208,18660,18508,25031,24179,15973,15299,36296,4326,14916,16105,18360,18233,15185,12002,7500,6851,24588,23114,40987,41893,27988,28311,33138,33250,40524,41883,6770,3506,7521,7299,26441,26672
209,26422,25549,33830,32679,23001,22813,9762,12070,22998,23583,25397,25170,21914,20814,15503,15314,30380,28712,10557,10603,33881,34339,38885,38911,12781,12932,13728,10765,14657,14840,34516,34159
210,32807,32386,40746,38282,28301,30489,16438,19407,31166,30637,32923,31781,31026,29411,23273,22413,38390,36588,17324,18272,41309,42297,9115,9332,18547,19182,20313,17836,21466,21338,40664,41063
211,38893,39038,46545,44905,34519,36601,23513,25759,36084,36236,38721,38318,35361,33937,28112,27956,45080,43077,24316,24769,11857,11848,16149,16250,25298,25648,27319,25219,27809,28268,10919,10342
212,10354,11202,13184,13030,41669,42168,28688,31830,42482,42551,8213,11475,6561,40239,35500,34020,14021,13183,31411,31611,18070,18091,23190,22736,30979,31098,33061,30223,34849,33651,16616,16711
213,15315,16203,18072,18380,10342,11025,34337,37133,10942,11135,13343,17110,12187,10446,40352,39799,20081,20107,36983,36617,23462,25147,28014,28934,36515,37059,6428,36330,39698,39954,21786,21666
214,21136,22553,24658,23839,16359,17176,5108,10725,17814,17041,19386,23253,18295,16509,13117,12278,25125,23991,42454,42525,29629,29901,33559,34410,41828,42313,11902,7198,7422,7510,27366,27271
215,28508,30161,32235,31145,23481,25116,11872,17594,25004,25080,27443,30949,26271,25406,20511,19784,30741,29301,7972,9736,34521,35049,39150,40306,12322,12915,19611,15381,15902,15748,35478,35227
216,34589,37937,39172,38551,30516,31075,18713,24561,32384,32013,34821,38576,33374,31593,27722,26487,39023,36990,16099,18097,42947,43875,47216,48935,18534,18515,25436,21890,21171,21217,41642,41047
217,41543,43965,46681,44876,36774,38197,25228,31754,38302,37852,5559,8545,39150,38582,33328,32266,44882,42844,21820,23933,10458,10575,15013,15674,25484,26314,33995,28696,28979,29828,48659,9673
218,11126,11335,12832,12598,42403,44181,30837,37987,44280,44116,11800,14637,11414,8896,39652,38482,12472,12186,29537,30566,16998,18205,22030,22015,31957,32525,4317,35275,35426,34910,16792,16694
219,17035,17450,18340,18903,10667,10718,36433,7919,11147,11462,17347,20230,17259,14589,7362,44065,19653,18938,35447,37511,23701,24392,28790,29276,37389,37505,9608,6297,40440,40898,21932,21859
220,24473,25016,26101,25978,18145,18379,9463,14994,19493,19013,25457,29059,24735,22899,15840,14439,24167,23627,40953,6434,28671,29455,34167,33793,44698,45503,17210,13580,10223,10361,29804,29513
221,33264,33878,35128,34641,26681,27203,17806,24633,27171,27765,33411,36246,32873,31850,22883,21817,32578,31261,13044,14166,36702,37008,42083,42303,16396,16641,27177,22877,18187,18857,38301,38906
222,37769,39107,40599,39979,31553,32536,23648,29647,32121,32621,38268,41402,38058,36789,27842,26587,41200,39744,20347,21975,44738,44961,50351,50682,21778,22515,31618,28363,24460,24421,44341,44106
223,44760,46799,47977,47357,37345,40018,29351,35433,39284,39836,9771,13903,9252,6856,35346,33820,46692,44664,26750,28326,11418,12086,15736,16822,27389,28109,37317,33913,30345,30098,11744,12104
224,10163,10181,10054,9955,41999,43470,34370,6085,43495,44131,14441,18021,13256,11116,39570,37816,11010,10252,31333,33157,16610,17103,20406,21015,32254,33579,7598,4900,35349,35543,16103,16429
225,14834,14649,14556,14948,10261,11226,4925,11110,10622,10640,19456,22510,18174,16303,6761,5734,17927,16788,38130,39940,23076,23954,27297,28320,36712,38267,12228,9364,39808,40098,20815,21072
226,22860,23345,23154,22943,18516,19673,13085,19712,19406,19930,28142,31419,26864,24994,16243,14610,22095,20818,5075,7163,27156,28038,31545,32572,45152,47287,20922,18566,9932,10573,29605,29920
227,30822,31166,31432,30502,26727,27375,21038,27680,26535,26612,35493,39130,34448,32495,22870,21431,31003,29418,13700,15093,36012,36218,39380,40532,16805,17401,29309,26511,18175,18592,37317,37949
228,36238,36656,36286,36004,31261,33033,26271,33574,32712,33307,8424,11074,8374,38928,29120,27974,37019,35543,20148,22358,41913,43956,47005,48998,22364,22942,34454,32462,23648,24037,43803,43788
229,41795,42895,42989,42169,37610,39452,32694,40014,38174,38168,14261,17070,14281,11682,34237,32665,43511,41841,26413,28668,48456,49555,15149,15314,28307,28907,8533,5932,29731,30230,12952,12648
230,8503,8677,11461,12013,43216,45450,4730,11197,6762,6200,20216,22683,19816,17628,5505,38476,11425,10422,32552,34774,18329,18924,21258,21798,33874,35010,13934,12202,36110,36228,18461,18324
231,14596,14930,17656,18046,12058,12042,10627,17093,12421,12482,25548,28810,25955,23864,11195,10303,16180,14723,37309,3586,22778,23511,26130,26524,39812,41131,20368,18012,41612,41869,24803,25015
232,21985,22411,25124,25199,19504,19474,18114,24920,20233,20134,33391,36963,33702,32064,19022,17931,23947,22212,9483,10860,29919,31230,33881,33637,47062,49332,28119,25923,10187,10102,32597,32576
233,26735,27560,30112,30063,24250,24585,22931,29920,26130,25669,39471,5088,39285,38003,24917,23661,30808,30008,17430,18832,37488,37980,40809,42142,13228,13885,33204,31374,15059,15497,37817,37922
234,31703,32451,35079,35036,29173,29422,27849,35100,30461,30226,7033,9385,6548,4847,29270,27947,36024,34279,21819,24105,42807,43838,46047,46726,18179,19060,37974,36357,19985,20358,43065,43054
235,37096,38278,41123,40612,34552,35327,33564,6468,35760,35491,12366,14745,12076,10344,34516,32843,41889,39660,27728,29882,48316,49500,11220,12830,23575,24867,7136,6335,25558,26013,6809,6755
236,10909,9758,11580,12010,7037,6185,9195,12415,10103,8730,20018,22425,21024,17668,9368,7804,7760,7274,32479,34947,11141,11270,15898,17580,29481,31451,13454,12566,31781,32015,12955,12876
237,18167,18045,18874,18714,13989,14846,16681,20234,16386,16397,27280,30037,27336,26027,17301,15335,14283,13508,6821,8507,17620,17765,22218,23979,37909,38786,21069,21099,38939,39532,21124,20744
238,23493,24218,24635,24094,19972,20572,22514,27086,21663,21648,32520,35284,32528,31467,22796,20718,22231,21848,15497,17249,25813,25776,30585,32870,43330,45120,26864,27080,45611,45865,27679,27364
