object_ctx_cache_total,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
18,33901,36563,35754,33150,33617,36855,34796,33351,34178,36768,34446,35290,33490,35820,34221,35394,34815,34760,34999,34859,33166,34483,35135,34165,36505,34797,36097,36853,34000,34147,39133,35068
19,35654,38573,37670,34987,35358,38741,36426,35132,35733,38708,36430,36939,34912,37675,36119,37239,36341,36099,36480,36173,34719,35947,36500,35609,38317,36672,38121,38749,35728,35810,41526,36924
20,37698,40573,39863,36806,37403,41156,38503,37387,37622,40553,37988,38873,36818,39582,37801,39178,38406,38257,38604,38230,36719,38033,38588,37639,40434,38746,40108,40973,37849,37989,43723,38803
21,39333,42446,41425,38366,39063,42949,40275,38918,39725,42866,40112,41096,38910,41734,39778,41352,40618,40340,40722,40456,38822,40130,40713,39879,42367,40401,41805,42773,39364,39622,45588,40713
22,41587,44986,43852,40440,41331,45574,42484,41152,41921,45196,42418,43445,41051,43991,42110,43731,42845,42599,43117,42364,40989,42357,42736,41940,44870,42830,44166,45216,41565,41923,48142,42964
23,44007,47457,46376,42929,43723,48059,45045,43595,44410,48014,44958,46038,43737,46619,44626,46236,45295,45164,45759,45010,43550,45198,45651,44536,47430,45158,46733,47717,44003,44338,50955,45488
24,46112,49856,48711,44973,46022,50416,47140,45931,46453,50329,47171,48232,45717,48826,46764,48475,48179,47199,47595,47264,45296,46804,47811,46563,49663,47403,49131,49991,46095,46450,53512,47680
25,47531,51704,50181,46427,47257,52071,48699,47137,47838,51797,48302,49754,47028,50446,47980,49715,49221,48679,49173,48746,46859,48531,49285,48180,51472,49295,50876,51809,47843,48074,55429,49324
26,49750,53853,52747,48824,49640,54386,50991,49387,50087,54138,50625,51886,49315,52661,50246,52016,51636,50932,51352,51020,49085,50838,51428,50390,53748,51435,53250,53968,50140,50361,58020,51680
27,51545,55649,54381,50292,51207,56306,52667,51077,51893,56095,52454,53804,51148,54681,52201,53958,53298,52760,53252,52829,50833,52575,53386,52153,55530,53197,54908,55781,51574,52145,59822,53305
28,53762,58172,56855,52599,53625,58932,55168,53367,54279,58536,54926,56440,53534,57093,54658,56512,56033,55515,55876,55391,53444,55145,55986,54581,57871,55392,57314,58289,53948,54381,62381,55615
29,55835,60612,59064,54712,55787,61512,57732,55578,56515,60716,56781,58487,55397,59326,56624,58546,58086,57553,58020,57548,55415,57250,58091,56526,60113,57880,59621,60719,56440,56707,64923,58075
30,58105,62959,61347,56840,57975,63582,59594,57658,58550,63245,59214,61076,57687,61826,59006,60973,60501,60012,60537,59974,57729,59676,60492,58934,62447,59870,61678,62871,58415,58650,67407,60155
31,60207,65085,63837,58944,59850,65765,61543,59386,60160,65298,60867,62752,59860,63889,60666,63053,62423,61720,62236,61987,59320,61601,62301,60810,64509,61906,63931,65286,60976,60989,69573,62566
32,61919,67244,65416,60618,61776,67889,63363,61537,62118,67370,63169,65104,61481,65683,62708,65024,64361,63752,64271,63845,61354,63528,64359,62779,66621,63933,65975,67230,62459,62705,71993,64281
33,63970,69696,67687,62569,63849,70430,65655,63593,64559,69823,65399,67267,63797,68269,64877,67209,66695,65951,66608,65996,63453,65766,66759,65009,69066,66002,68166,69373,64399,64724,74299,66442
34,66096,72011,69976,64645,66114,72664,67741,65797,66602,72062,67564,69504,65966,70471,67041,69467,68993,68282,68984,68343,65678,67943,69089,67260,71183,68193,70410,71624,66586,66768,76850,68556
35,68131,74221,72044,66500,68058,74797,69819,67701,68619,74399,69548,71558,67804,72616,68982,71572,71165,70334,71268,70473,67809,69995,71139,69354,73153,70185,72492,73769,68435,68790,79089,70533
36,70204,76384,74121,68566,70294,77040,72048,69717,70764,76658,71709,73551,69951,74851,71047,73777,73275,72462,73050,72389,69761,71953,73071,71480,75265,72324,74549,75998,70467,70842,81312,72613
37,72344,78438,76281,70488,72194,79223,74056,71680,72685,78713,73419,75622,71741,76756,72836,75663,75196,74158,75136,74414,71555,73980,75122,73335,77493,74629,76730,78154,72421,72880,83723,74630
38,74008,80920,78094,72274,73905,81300,75898,73246,74478,80522,75401,77495,73503,78590,74579,77420,76806,75951,76762,76020,73050,75642,76847,74840,79556,76294,78653,79947,74381,74624,85662,76482
39,76015,82658,80093,73723,75564,83092,77739,75375,76278,82563,77182,79359,75454,80548,76411,79376,78915,77914,78823,78103,75022,77782,79092,76927,81555,78272,80411,82227,76003,76362,87762,78325
40,78565,85535,82994,76330,78272,86235,80613,77980,79149,85839,80188,82453,78392,83620,79420,82324,82022,80912,81921,81192,77864,80641,82037,79813,84380,81062,83422,85012,78786,79255,90946,81259
41,80811,87979,85401,78688,80568,88789,82969,80000,81566,88038,82565,84714,80556,85903,81656,84734,84416,83206,84325,83545,80207,82885,84552,82215,86780,83498,85787,87370,81146,81698,93647,83570
42,82954,90515,87790,80771,82859,91054,85275,82278,83578,90347,84753,87110,82763,88023,83886,86947,86751,85557,86710,85720,82192,85064,86819,84354,89211,85570,88304,89626,83341,83879,96018,85993
43,84434,92264,89467,82592,84577,92891,86865,83875,85405,92220,86513,88906,84348,89825,85498,89045,88379,87437,88337,87501,83963,87264,88547,86141,91017,87599,90217,91786,85054,85633,98059,87602
44,86872,94776,92210,84534,86587,95341,89472,86221,87689,95269,88771,91253,86676,92068,87965,91149,90883,89799,91240,89786,86274,89232,90790,88555,93386,89748,92428,94095,87571,87960,100559,89841
45,88878,97020,94257,86680,88745,97680,91474,88278,89601,97103,90940,93360,88770,94532,90028,93508,93069,91782,92962,92094,88412,91435,93119,90419,95469,91954,94633,96295,89354,89978,103100,92088
46,90919,99241,96354,88732,90809,100064,93558,90482,91751,99423,93104,95691,90865,96759,92136,95769,95253,93950,95213,94205,90374,93510,95235,92612,97627,94084,96816,98536,91440,92036,105424,94226
47,93252,101671,98843,90904,92876,102324,95741,92560,93988,101701,95242,97738,92970,99046,94257,97931,97352,96133,97433,96637,92653,95676,97569,94746,100038,96427,99336,100881,93509,94262,107761,96350
48,94776,103363,100480,92326,94444,104250,97536,94207,95659,103496,97002,99671,94613,100811,95972,99740,99171,97976,99212,98316,94314,97467,99218,96427,101637,98129,101006,102578,95197,95819,109774,98086
49,96363,104952,102252,94032,96053,105929,99146,95645,97064,104964,98486,101157,96061,102264,97405,101287,100669,99483,100624,99715,95710,98849,100814,97912,103208,99631,102533,104097,96704,97217,111468,99539
50,98494,107373,104311,96003,98102,108218,101133,97729,99441,107449,100993,103597,98660,104587,99822,103572,103105,101674,103176,101893,97934,101327,103257,99985,105609,102086,104829,106484,98802,99435,113781,101661
51,101230,109874,106606,98168,100750,110616,103752,99921,101661,109733,102998,105740,100548,106830,102019,106076,105487,103948,105173,104198,100159,103569,105362,102291,108023,104565,107141,108804,100980,101564,116420,104404
52,103106,112500,109186,100542,102790,113325,106299,102455,103889,112364,105554,108476,103011,109503,104412,108567,107913,106683,107996,106748,102707,106127,107893,104911,110399,106635,109872,111401,103526,103981,119254,106611
53,105148,114596,111302,102462,104754,115513,108198,104317,106020,114576,107576,110433,105124,111646,106444,110671,110007,108564,110100,108879,104610,108113,110017,106797,112593,108836,112070,113549,105473,105996,121548,108798
54,106886,116481,113272,104132,106470,117398,109915,106015,107806,116454,109185,112340,107016,113438,108191,112488,111775,110524,111945,110577,106251,109861,111926,108547,114493,110488,113978,115409,107208,107780,123456,110617
55,109053,118817,115559,106367,108786,119903,112243,108394,110294,118958,111614,114695,109252,115663,110464,114798,114222,112745,114082,113068,108590,112287,114227,110739,116980,112948,116692,117801,109417,109925,125956,112936
56,111226,121160,117832,108351,110967,122272,114357,110477,112446,121447,113799,117192,111396,118170,112850,117308,116479,115113,116601,115104,110578,114427,116550,112923,119513,115258,119030,120429,111757,112131,128702,115018
57,113107,123601,120007,110496,112832,124202,116535,112544,114406,123223,115675,119170,113263,120208,114649,119087,118740,117239,118536,117349,112663,116662,118536,114906,121430,117113,121017,122238,113548,114050,130707,116930
58,114701,125312,121763,112053,114504,126173,118346,114118,116176,125291,117506,121154,115238,122182,116578,121113,120226,118861,120504,119064,114334,118239,120558,116837,123436,118980,122956,124244,115447,115974,133049,118989
59,116378,127065,123752,113612,116126,127953,120127,115731,117936,127124,119280,122884,116946,124003,118280,122889,122042,120649,122395,120839,116118,119911,122398,118597,125393,120776,124927,126010,117150,117746,134981,120705
60,118258,129090,125590,115436,117994,130118,122073,117644,119811,129086,121319,124806,118878,125966,120241,124855,123917,122672,124294,122846,117953,121738,124402,120472,127324,122664,126781,127911,119009,119619,137186,122535
61,120555,131419,128376,117633,120429,132658,124262,119955,122123,131849,123771,127170,121335,128371,122600,127384,126267,125163,127174,125134,120055,124059,126706,122689,130177,125020,129324,130412,121420,122103,139661,124769
62,122752,134025,130545,119964,122518,135296,126655,122137,124544,134160,125981,129745,123645,131030,124895,129821,128763,127546,129276,127746,122515,126387,129226,125151,132304,127439,131921,132930,123746,124302,142510,127364
63,125206,136029,132566,121880,124448,137320,128585,124076,126560,136239,127857,131628,125366,132913,126849,131754,130698,129462,131303,129597,124367,128338,131200,127010,134111,129231,133973,135119,125624,126195,144607,129206
64,126785,138451,134754,123794,126526,139707,130728,126172,128472,138462,130143,134115,127681,135381,128842,134033,132944,131686,133525,131861,126565,130512,133436,129198,136475,131501,136157,137241,127814,128354,147301,131395
65,128437,140329,136462,125486,128148,141512,132466,127874,130127,140295,131915,135873,129333,137197,130573,135772,134743,133356,135381,133534,128294,132292,135253,130937,138285,133221,137896,139067,129603,130042,149271,133211
66,130567,142619,138848,127500,130144,143847,134540,129894,132286,142503,134052,138018,131461,139425,132837,137997,136964,135484,137787,135640,130493,134374,137486,133125,140558,135336,140229,141277,131689,132128,151602,135410
67,133134,145819,141620,129902,132546,146716,137187,132343,134814,145451,136536,140531,133836,142188,135332,140641,139577,138051,140551,138157,132703,137247,139864,135933,143174,137842,142677,144015,134628,134892,154329,137699
68,135056,147478,143471,131896,134596,148878,139261,134389,136828,147465,138701,142754,135952,144358,137471,142829,141677,140383,142371,140409,134996,139147,142067,137701,145489,140218,145006,146263,136277,136671,156764,140070
69,137166,149874,145896,134050,136727,151139,141407,136530,138878,149636,140733,144794,138060,146594,139507,144983,143914,142709,144642,142588,137086,141267,144223,139762,147605,142358,147297,148478,138309,138813,159138,142352
70,139025,151907,147680,135924,138683,153318,143436,138490,141016,151823,142761,146972,139998,148582,141436,146968,145901,144618,146646,144395,138913,143383,146197,141875,149699,144393,149360,150688,140248,140842,161352,144263
71,140539,153620,149270,137451,140228,155106,145117,140089,142592,153438,144305,148543,141532,150262,143034,148612,147523,146207,148279,146032,140545,145067,147793,143437,151452,146031,151096,152346,141767,142390,163109,145870
72,142614,155738,151442,139483,142098,157171,147363,141978,144695,155731,146424,150544,143619,152284,145016,150669,149580,148198,150267,148069,142503,146973,149864,145415,153688,147949,153171,154431,143750,144270,165311,147932
73,145189,158691,154074,142076,144792,160200,149765,144425,147348,158689,149138,153277,146236,155159,147798,153429,152322,150960,153068,150730,145080,149629,152546,148166,156379,150630,156172,157204,146394,146977,168446,150542
74,147830,161408,156694,144543,147362,162954,152474,147085,149932,161568,151799,155897,148835,157858,150392,156084,155002,153623,155827,153404,147756,152211,155368,150781,159280,153424,158846,159930,149068,149372,171327,153202
75,150104,163834,159023,146852,149692,165425,154751,149246,152093,163948,154157,158404,151004,160335,152569,158378,157119,155985,158071,155630,149886,154534,157638,153087,161707,155707,161045,162422,151307,151629,173720,155371
76,151558,165554,160572,148369,151236,167081,156304,150744,153580,165697,155736,159957,152559,162053,154150,160081,158779,157501,159734,157156,151391,156056,159284,154594,163232,157189,162684,163913,152828,153177,175511,156954
77,153558,167522,162682,150088,153042,169348,158282,152649,155500,167718,157831,161894,154380,163868,156117,162047,160623,159509,161783,159036,153338,158085,161178,156491,165203,159270,164754,166128,154707,155057,177720,158920
78,155783,170032,164978,152277,155236,171785,160645,154870,157744,170251,160152,164399,156661,166400,158419,164487,163009,161656,164113,161322,155517,160313,163688,158745,167708,161522,167229,168454,157108,157358,180464,161208
79,158569,172889,167835,155061,157623,174842,162985,157614,160342,172990,163072,166978,159080,169096,160943,167587,165370,164025,166621,163635,157762,162865,165951,161065,170530,164021,170099,171257,159544,159776,183530,163528
80,160157,174777,169742,156746,159766,176772,165354,159398,162282,175024,164828,169107,161319,171156,163119,169152,167520,166401,168840,165954,159975,164842,168324,163283,172735,166284,172056,173325,161563,162093,185837,165913
81,162195,176966,171787,158813,161768,179075,167441,161294,164238,177133,166706,171284,163310,173223,165054,171245,169621,168506,170963,168055,161892,166963,170406,165334,174631,168338,174273,175435,163612,164040,188065,168027
82,163700,178714,173229,160224,163153,180710,168777,162719,165711,178800,168187,172713,164740,174974,166670,172792,171010,169826,172414,169454,163419,168435,171824,166754,176150,169982,175898,177106,165107,165596,189859,169518
83,165423,180529,175198,161919,164883,182763,170686,164438,167510,180752,169964,174601,166602,176608,168291,174719,172763,171658,174257,171316,165154,170114,173661,168518,178168,171796,177903,179033,167040,167328,191808,171463
84,168511,183883,178371,165065,168018,185997,173642,167425,170516,183886,172954,177693,169479,179957,171310,177800,175935,174884,177536,174478,168084,173154,177045,171285,181221,174768,181030,182173,170034,170206,195156,174422
85,170672,186481,180808,167301,170224,188719,176325,169797,173275,186486,175793,180270,171967,182821,174096,180508,178646,177621,180469,176901,170493,175686,179601,173937,183863,177359,184046,185172,172426,173073,198127,177062
86,172773,188652,182954,169046,172291,190938,178293,171873,175057,188864,177690,182582,174083,184668,176007,182462,180562,179482,182378,179030,172550,177749,181432,176035,185898,179441,185846,187101,174531,174810,200368,179362
87,174080,189896,184291,170299,173533,192386,179691,173162,176353,190294,179010,183958,175353,186087,177174,183825,182095,180914,183706,180371,173918,179271,182872,177547,187328,180794,187324,188540,175789,176277,201829,180617
88,176083,192110,186650,172079,175347,194705,181817,175063,178116,192414,180760,186052,177097,188208,179064,185998,183801,182764,185433,182142,175507,180861,184833,179229,189281,182673,189275,190446,177687,178512,203926,182931
89,177712,193792,188194,173772,177033,196472,183401,176695,179840,194219,182503,187703,178881,189836,180793,187672,185668,184479,187423,183878,177355,182794,186469,181014,191221,184449,191151,192344,179375,179804,205890,184282
90,180721,197236,191428,176570,179934,199730,186384,179792,182747,197220,185416,190838,181683,192921,183866,190715,188594,187429,190791,186734,180189,185873,189358,183912,194383,187417,194332,195732,182454,182860,209314,187101
91,182947,199579,193754,179001,182110,202401,188815,181946,185116,199756,187789,193193,184132,195236,186328,192959,190986,189738,192965,189125,182552,188118,191753,186204,196782,189844,196694,197904,184674,185030,211921,189527
92,184784,201703,195709,180968,184209,204433,190927,183936,187113,201899,189794,195291,185941,197399,188202,195157,193347,191671,195135,191050,184387,190118,193760,188270,198967,192055,198817,200077,186789,186993,214298,191597
93,186380,203492,197506,182670,185531,206028,192570,185449,188698,203466,191352,196826,187654,199343,189907,196806,194719,193171,196697,192799,186106,191634,195384,189804,200716,193478,200512,201817,188562,188609,216290,193138
94,188856,206062,199652,184737,188141,208735,194818,187789,191215,206196,193828,199719,189643,201200,191924,199242,196869,195229,198634,194994,187879,193682,197357,191822,202994,195995,202652,204052,190616,190866,218684,195544
95,191081,208693,202179,186905,189928,211102,197325,190042,193339,208197,196098,201581,192211,203875,194383,201558,199249,197295,201031,196986,189951,196049,199859,194056,205554,198518,204977,206544,193017,193080,221421,197844
96,193570,211465,205081,189252,192793,214797,199945,192754,195994,211325,198957,204310,194797,206578,197408,204744,202174,200028,204024,199928,192944,199262,202802,196931,208496,201765,207930,209438,195662,196456,224443,200488
97,195592,213635,207142,191305,194628,216455,202040,194801,197895,213485,200911,206495,196689,208801,199205,206720,204444,202572,206390,202335,195134,200992,205103,199202,210443,203096,209980,211642,197693,197764,226839,202651
98,197650,215913,209540,193380,196763,218774,204305,197028,200126,215890,203172,208853,198827,211021,201526,208989,206399,204638,208331,204356,197109,203167,207139,201241,212774,205422,212575,214117,200031,200077,229480,204913
99,200151,218242,211669,195440,198801,220970,206273,198870,202302,218524,205243,210840,200808,212976,203560,211634,208548,206719,210356,206320,199180,204929,209223,203031,215109,207593,214581,216548,202055,202065,231553,207084
100,201823,220759,213533,197115,200542,222986,208670,201104,204098,220166,207005,212921,203405,215455,205734,213209,210493,208576,212535,208329,200906,207079,211212,205136,217121,209528,217258,218539,203856,203826,234587,208992
101,203919,222819,216045,199388,203521,225519,211042,203409,206719,222500,209428,215373,205182,217931,207789,215622,212398,210708,214419,210544,202873,209147,213103,207052,219689,212177,219514,221045,206053,206072,237290,211519
102,206280,225385,218589,201701,205480,228104,213362,205486,208760,225145,211817,217848,207426,220180,210100,218088,215107,213473,217245,213146,205342,211954,216256,209687,222021,214397,221748,223258,208487,208583,239490,213675
103,208079,227355,220391,203697,207482,230212,215346,207220,210660,227065,213775,219801,209230,222227,211939,220057,216942,215257,219140,214973,207172,213726,217762,211566,223896,216303,223640,225316,210320,210464,241561,215559
104,210075,229731,222573,205428,209586,232608,217328,209270,212643,229251,215885,222061,211459,224353,214126,222202,218735,216973,221018,216787,208875,215561,219597,213255,226205,218469,225732,227295,212258,212269,243613,217616
105,212248,232072,224842,207686,211859,234767,219671,211730,214645,231796,217915,224360,213405,226434,216461,224409,220858,219069,222995,218680,210689,217599,221660,215255,228248,220367,227939,229693,214276,214259,246168,219655
106,214517,234160,226694,209677,213803,237095,221732,213452,217123,233601,220270,226177,215610,228466,218516,226510,222708,220922,224952,220639,212560,219429,223457,217022,230786,222487,230260,231817,216368,216238,248174,221794
107,217058,237610,229566,212304,216606,240056,224297,215944,219487,236728,222709,228975,217944,231366,221004,229701,225531,223556,227659,223491,215093,222019,226218,219484,233312,225214,233139,234337,218587,219123,251439,224483
108,218692,239425,231723,213936,218095,242430,226376,218071,221589,238757,224738,230997,219959,233583,222929,231233,227872,226103,230183,225774,217610,224463,228811,222175,235625,227329,235057,236646,221016,221161,254157,226499
109,220473,241482,233757,215828,220090,244583,228302,219930,223625,240827,226683,232985,221910,235636,225029,233482,229822,228072,232023,227694,219364,226407,230713,223951,237689,229438,237189,238802,222864,223324,256409,228578
110,222470,243774,235801,217713,222076,246916,230246,221985,225800,242932,228762,235198,224030,237911,227274,235604,231808,229982,234046,229557,221354,228437,232648,225901,239795,231365,239379,240946,224829,225336,258614,230673
111,224429,246000,238199,219894,224201,248923,232603,223916,227940,245278,230910,237225,226039,239850,229558,237819,233554,231784,235819,231296,223122,230141,234399,227654,241962,233586,241497,243571,226912,227227,260831,232740
112,226619,248223,240107,221924,226101,251059,234725,225920,230200,247539,232929,239700,228499,242286,231729,239922,235817,233935,238149,233601,225389,232457,236667,229937,244580,235829,243767,245703,229301,229549,263436,234799
113,228629,250971,242549,223883,228326,253926,236814,228426,232067,250332,235287,241939,230936,244523,233654,242271,238354,236445,240636,236085,227801,234783,239207,232257,246894,238364,246567,247768,231233,231798,265913,237067
114,230669,252863,244525,226024,230430,255952,239162,230317,234157,252098,237524,244072,232535,246761,235772,244471,240176,238236,242502,237937,229581,236643,241054,234057,248926,240112,248506,250272,233395,233724,268283,239427
115,232358,254945,246505,227727,232096,257936,240987,232095,235999,254036,239215,246008,234371,248715,237546,246422,242286,240403,244604,239991,231567,238788,243125,236109,250845,242002,250498,252170,235151,235652,270495,241310
116,234321,257035,248539,229737,234018,260124,242899,234087,238053,256307,241273,248052,236378,250739,239537,248392,244071,242220,246483,241866,233369,240544,245007,237870,252853,243987,252595,254350,237225,237550,272613,243232
117,235860,258596,250034,231074,235453,261992,244405,235568,239504,257807,242917,249662,237788,252203,241120,249989,245976,244084,248363,243741,235236,242488,246932,239742,254377,245396,254120,255855,238660,239175,274365,244660
118,237943,260920,252234,233309,237742,264154,246534,237776,241534,260223,244858,251745,239871,254343,243124,252178,248277,246356,250677,245966,237400,244699,249268,241855,256606,247677,256298,258143,240882,241005,276614,246846
119,239594,262769,254192,234959,239234,266071,248352,239431,243264,262044,246690,253514,241630,256274,244904,253955,250374,248400,252707,248000,239377,246673,251271,243900,258466,249307,258168,260014,242656,242809,278741,248509
120,242361,265662,256890,237613,242101,268885,251356,241860,245916,264896,249232,256274,244059,258892,247529,256640,252048,250041,254479,249744,241050,248390,253042,245696,261348,251990,261028,262868,245334,245488,281769,251077
121,244512,268089,259369,239884,244195,271597,253550,244399,248309,267577,251721,258707,246659,261659,249989,259361,254757,252688,257141,252341,243561,251057,255859,248196,264000,254479,263506,265631,247661,247861,284571,253775
122,246202,270027,261177,241533,245654,273456,255194,246198,250110,269531,253539,260688,248396,263543,251761,261141,257016,254916,259520,254646,245691,253258,258029,250410,265720,256241,265337,267286,249358,249650,286466,255426
123,248116,272161,263241,243555,247725,275900,257327,248021,252036,271836,256205,262805,250558,266283,254012,263932,259080,256693,261337,256443,247599,255114,260011,252159,268004,258348,267502,269395,251420,251740,288862,257538
124,250270,274575,265479,245553,249900,278227,259570,250317,254122,273933,257713,265067,252566,267889,255991,265359,261711,259424,263969,259144,250167,257719,262616,254909,270184,260563,269631,271722,253500,253804,291310,259619
125,252550,276835,267918,247685,252172,280551,261587,252204,256341,276381,259996,267237,254648,270172,258179,267629,263452,261076,265692,260831,251791,259461,264319,256455,272338,262798,272108,274143,255578,255725,293915,261936
126,254806,279428,270449,250086,254552,283124,264398,254796,258807,279240,262506,269872,257223,272685,260635,270164,265773,263548,268017,263129,253991,261743,266850,258891,275099,265387,274677,276627,258266,258364,296795,264324
127,256884,281529,272416,251840,256310,285341,266271,256639,260765,281256,264372,271863,259109,274800,262476,272062,267903,265663,270250,265293,256056,263844,268909,261082,277206,267299,276742,278927,260244,260362,298866,266515
128,259248,284446,274974,254026,258460,287911,268890,258735,263253,283973,266807,274091,261386,277683,265053,274642,269849,267518,272075,267001,257753,265584,270845,262776,279774,269652,279083,281284,262504,262580,301531,268685
129,261006,285968,276778,255969,260600,290184,270835,260719,264948,285634,268512,276145,263181,279126,266553,276463,272207,269965,274507,269451,260055,268040,273285,265182,281621,271516,281129,283422,264321,264600,303750,270734
130,262917,288160,278874,257789,262330,292229,272747,262779,266891,287948,270600,278248,265176,281218,268700,278657,274549,272352,276893,271876,262263,270296,275744,267492,283690,273506,283250,285485,266240,266518,305911,272921
131,264701,290109,280812,259562,264155,294270,274600,264598,268673,289968,272441,280103,267029,283101,270599,280575,276296,274159,278639,273552,263985,272094,277535,269198,285602,275395,285229,287517,268142,268433,308007,274856
132,267374,293186,283798,262323,267112,297028,277015,267323,271355,293247,274942,282745,269493,285724,273275,283581,278094,276002,280432,275269,265811,273874,279285,270841,288679,278195,288150,290183,270750,271045,310786,277495
133,269318,295114,285848,264169,268809,299233,279631,269135,273535,295313,277091,284981,271591,288201,275270,285388,280628,278589,282951,277753,268250,276419,281848,273395,290885,280499,290492,292397,272980,273334,313437,279787
134,271449,297859,287991,266421,271224,301944,281609,271398,275718,297877,279457,287541,273837,290330,277803,287962,282938,280791,285096,279909,270324,278594,284052,275488,293539,282647,293076,294821,275153,275501,316403,281992
135,273404,299889,290110,268026,272882,303799,283640,273403,277568,299614,281332,289269,275913,292463,279343,289862,285216,283066,287507,282278,272583,280973,286283,277877,295126,284524,294704,296849,277007,277369,318310,283975
136,275271,301982,292038,269625,274573,305720,285621,275177,279364,301508,283196,291352,277540,294379,281095,291611,287018,284875,289275,284057,274332,282722,288127,279642,297124,286430,296795,298751,278866,279113,320412,285881
137,277752,304564,294718,272406,277301,308826,288377,277507,282177,304727,285919,293940,280197,297245,283981,294829,289243,287151,291479,286145,276504,284886,290327,281759,300047,289510,299662,302092,281640,282119,323559,288966
138,280881,307814,297732,275119,280081,311627,290874,280829,284814,307640,288677,296981,283102,300216,287055,297531,291827,289691,294024,288842,278969,287508,292968,284218,303075,291970,302791,304886,284251,284897,326908,291664
139,282580,309762,299818,277203,281906,313989,293069,282478,286918,309693,290850,298925,285233,302292,288927,299481,294645,292345,296841,291534,281749,290215,295727,286990,305016,293965,304692,306765,286251,286443,329010,293461
140,284689,312361,302197,279387,284130,316529,295351,284807,289136,312381,293318,301369,287505,304600,291240,301933,296497,294269,298712,293537,283583,292058,297660,288861,307468,296140,307022,309149,288506,288794,331526,295815
141,286345,314385,303727,281100,285672,318150,296869,286226,290615,313763,294668,302823,288921,306112,292603,303517,298957,296702,301152,295756,285875,294367,300088,291183,308992,297597,308507,310581,289917,290079,333251,297174
142,288416,316679,306131,283190,287861,320579,299110,288507,292835,316191,296810,304865,290987,308565,294746,305937,300533,298354,302853,297387,287482,295918,301762,292759,311490,300117,310910,313058,292271,292354,335659,299516
143,290701,318931,308682,285275,290027,322766,301337,290413,295076,318618,299328,307128,293097,310322,296872,308418,302757,300606,305230,299617,289678,298103,303958,294963,313742,302234,313498,315191,294263,294367,338370,301591
144,292566,320790,310506,287275,292050,324994,303364,292688,296910,320735,301119,309354,295151,312835,299056,310285,304985,302910,307505,301953,291820,300436,306246,297290,315936,304268,315586,317594,296354,296504,340687,303945
145,294517,323072,312589,289130,293958,327271,305397,294585,298854,322722,303157,311523,297040,315014,301105,312479,306806,304717,309385,303732,293556,302238,308092,299111,318050,306312,317684,319678,298422,298549,342912,306018
146,296316,324933,314479,290690,295560,328997,307108,296226,300732,324692,304967,313468,298884,317001,302843,314396,308783,306749,311459,305640,295425,304189,310092,300958,319979,308172,319654,321413,300184,300387,344964,307905
147,297478,326399,315711,292348,297096,330709,308339,297869,301978,325846,306290,314646,300080,318155,304148,315771,310658,308567,313384,307502,297175,306020,312047,302881,321348,309427,321174,322795,301455,301715,346578,309094
148,299896,328855,318230,294357,299477,333211,310835,299886,304323,328553,308754,317215,302567,320774,306611,318085,312182,310042,315062,309098,298844,307722,313665,304469,323809,311924,323397,325349,303867,304066,349382,311651
149,302478,331606,321040,296831,301915,336140,313426,302493,307077,331486,311465,319974,305120,323503,309385,320796,314889,312738,317706,311794,301281,310281,316140,307027,326691,314534,326327,328136,306560,306628,352516,314267
150,304701,334066,323466,299013,304121,338465,315784,304562,309239,333837,313825,322316,307413,325980,311633,323153,317121,314952,319856,314001,303376,312453,318568,309132,329019,316700,328519,330495,308669,308865,354956,316520
151,306810,336319,325657,301120,306198,340710,318004,306555,311366,336096,315827,324462,309487,328206,313864,325503,319372,317312,322189,316180,305459,314782,320824,311312,331230,318896,330779,332780,310747,310929,357295,318729
152,308455,338278,327521,302723,308001,342619,319618,308220,313106,338088,317733,326363,311469,330140,315498,327223,321393,319282,324253,318262,307477,316867,322960,313417,333069,320700,332557,334557,312456,312763,359299,320576
153,310477,340308,329357,304628,309769,344966,321696,310173,314868,340016,319579,328285,313217,332005,317473,329145,323195,321206,326260,320035,309245,318692,324992,315276,335185,322552,334646,336758,314379,314680,361390,322437
