txkB/s,ceph01,ceph02,ceph03,ceph04
256,198677.0,195436.0,187016.0,202072.0
257,260516.0,245847.0,257845.0,243100.0
258,181089.0,164070.0,155552.0,162765.0
259,159711.0,148806.0,161109.0,139328.0
260,220355.0,209679.0,190580.0,217578.0
261,198659.0,187323.0,192858.0,191902.0
262,202053.0,186581.0,199279.0,181696.0
263,195593.0,163991.0,141790.0,180720.0
264,217154.0,205523.0,213422.0,207118.0
265,247707.0,248835.0,255222.0,235596.0
266,179574.0,162712.0,160969.0,167130.0
267,306840.0,275118.0,261365.0,289013.0
268,231130.0,226544.0,239574.0,216631.0
269,257443.0,262242.0,267726.0,257377.0
270,250255.0,206340.0,184759.0,228728.0
271,250145.0,249611.0,261129.0,243116.0
272,216491.0,198973.0,203414.0,192748.0
273,283832.0,269573.0,266669.0,269769.0
274,225957.0,235158.0,227733.0,227164.0
275,214163.0,179424.0,177780.0,192421.0
276,273851.0,262788.0,263250.0,265815.0
277,229957.0,219351.0,223144.0,213927.0
278,231263.0,203440.0,193970.0,228310.0
279,289788.0,292251.0,295563.0,281114.0
280,202496.0,169883.0,172842.0,177379.0
281,227739.0,226866.0,217625.0,220812.0
282,272854.0,254021.0,247860.0,267485.0
283,186908.0,185898.0,188595.0,181969.0
284,287551.0,266493.0,256089.0,267080.0
285,331208.0,307698.0,311900.0,308571.0
286,265444.0,263048.0,259210.0,262409.0
287,262679.0,260833.0,261877.0,264013.0
288,239169.0,219757.0,221356.0,214125.0
289,256037.0,223644.0,219272.0,220682.0
290,284095.0,286290.0,290203.0,294358.0
291,287616.0,274127.0,257670.0,285277.0
292,267176.0,250939.0,253804.0,251556.0
293,327277.0,299230.0,290496.0,304961.0
294,280294.0,271514.0,280542.0,248749.0
295,199834.0,194228.0,195565.0,216080.0
296,365799.0,351030.0,339672.0,350961.0
297,274188.0,247479.0,243047.0,256113.0
298,224258.0,217153.0,229715.0,206831.0
299,319673.0,303934.0,297548.0,310880.0
300,242685.0,231171.0,232918.0,219940.0
301,291004.0,271512.0,257855.0,292504.0
302,320134.0,307691.0,308346.0,283777.0
303,270431.0,259074.0,267395.0,276265.0
304,238366.0,223886.0,227675.0,216651.0
305,332576.0,317442.0,305034.0,309998.0
306,265103.0,257519.0,264070.0,258477.0
307,268222.0,235972.0,219710.0,241708.0
308,292708.0,299376.0,305731.0,302686.0
309,251869.0,240651.0,261805.0,245089.0
310,248384.0,211624.0,187800.0,210406.0
311,267223.0,264140.0,264757.0,257372.0
312,295957.0,282285.0,274090.0,286170.0
313,226324.0,224272.0,232620.0,228110.0
314,329264.0,298717.0,291168.0,307738.0
315,215386.0,201102.0,205056.0,192942.0
316,305099.0,300392.0,284781.0,304039.0
317,256002.0,240022.0,251079.0,242929.0
318,318636.0,295606.0,285775.0,295937.0
319,282173.0,271011.0,279561.0,278106.0
320,310109.0,305641.0,307700.0,305154.0
321,230020.0,207797.0,207039.0,213018.0
322,301517.0,290233.0,293404.0,286947.0
323,261740.0,237934.0,229979.0,244976.0
324,301748.0,296608.0,290010.0,299030.0
325,284474.0,265349.0,277899.0,267252.0
326,305130.0,292546.0,289865.0,293420.0
327,341714.0,336241.0,333547.0,334225.0
328,235583.0,211518.0,215494.0,216349.0
329,261064.0,227759.0,226425.0,235645.0
330,330957.0,320202.0,305913.0,310733.0
331,334323.0,333572.0,328937.0,340206.0
332,251909.0,240995.0,249650.0,241927.0
333,307393.0,278576.0,275721.0,285482.0
334,225501.0,215922.0,231930.0,218069.0
335,290506.0,279421.0,266673.0,280309.0
336,307670.0,310189.0,313059.0,307408.0
337,296515.0,270209.0,271160.0,276058.0
338,229102.0,210984.0,211102.0,215551.0
339,302637.0,279205.0,268236.0,282603.0
340,239637.0,245683.0,237600.0,241314.0
341,302015.0,284903.0,296258.0,291817.0
342,316659.0,290738.0,277856.0,290220.0
343,304636.0,290134.0,293265.0,296196.0
344,171149.0,166411.0,173243.0,165353.0
345,249364.0,235823.0,225056.0,238628.0
346,304460.0,294143.0,299327.0,293665.0
347,308320.0,279252.0,267560.0,285850.0
348,278318.0,270067.0,280903.0,276462.0
349,271237.0,271862.0,267487.0,264815.0
350,308252.0,290574.0,289856.0,293891.0
351,255620.0,244573.0,246519.0,246796.0
352,303042.0,276587.0,272634.0,284802.0
353,259948.0,268145.0,263365.0,264671.0
354,286213.0,268355.0,277875.0,273691.0
355,286033.0,257756.0,243985.0,259596.0
356,280759.0,263202.0,253536.0,267629.0
357,206909.0,211310.0,223328.0,216101.0
358,336236.0,314012.0,303897.0,314610.0
359,288151.0,258459.0,253048.0,263199.0
360,295419.0,295261.0,302478.0,296573.0
361,236993.0,232585.0,237522.0,236257.0
362,299612.0,269673.0,261758.0,279127.0
363,246973.0,220787.0,225263.0,230447.0
364,375923.0,360702.0,358820.0,354791.0
365,327281.0,319319.0,319821.0,325709.0
366,241434.0,241767.0,240683.0,237990.0
367,235641.0,202201.0,192330.0,212616.0
368,264070.0,253119.0,256158.0,252679.0
369,296498.0,285336.0,287178.0,286901.0
370,290735.0,276397.0,259727.0,276711.0
371,341837.0,324613.0,324137.0,327397.0
372,279474.0,271342.0,276554.0,267219.0
373,218455.0,194117.0,191655.0,201106.0
374,242541.0,251335.0,256896.0,245874.0
375,334235.0,294754.0,279186.0,303939.0
376,295630.0,285649.0,297095.0,288426.0
377,310880.0,294310.0,284162.0,289480.0
378,282397.0,281172.0,294920.0,286876.0
379,258105.0,239809.0,235975.0,246003.0
380,235027.0,216702.0,221346.0,214827.0
381,362566.0,342220.0,321510.0,342610.0
382,295122.0,293195.0,291903.0,291128.0
383,285255.0,273014.0,283468.0,277287.0
384,235018.0,217281.0,216095.0,215848.0
385,235334.0,207757.0,207626.0,208249.0
386,287916.0,275025.0,268429.0,275446.0
387,324285.0,327917.0,334976.0,326647.0
388,362551.0,330031.0,320822.0,339843.0
389,308725.0,287520.0,290812.0,288168.0
390,240520.0,218524.0,208207.0,218476.0
391,257714.0,260996.0,262389.0,259291.0
392,260833.0,239858.0,243037.0,241061.0
393,343188.0,319382.0,304020.0,323180.0
394,311454.0,295029.0,307033.0,300242.0
395,268909.0,280041.0,277782.0,275178.0
396,227419.0,202761.0,207210.0,209462.0
397,333689.0,314115.0,309983.0,312443.0
398,280565.0,257669.0,258277.0,267129.0
399,263218.0,254410.0,253916.0,255441.0
