avg_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
12,4.1e-05,3.7e-05,4e-05,4.2e-05,4.3e-05,4.5e-05,3.7e-05,5.1e-05,3.6e-05,5.3e-05,4e-05,4.2e-05,3.9e-05,3.6e-05,3.6e-05,4.5e-05,5.2e-05,4.6e-05,4e-05,3.9e-05,4.3e-05,5.7e-05,7.3e-05,6.2e-05,8.3e-05,6.9e-05,4.5e-05,6.6e-05,5.4e-05,5.7e-05,4.5e-05,0.00056
13,9e-05,8.1e-05,5.4e-05,0.000117,3.7e-05,4.1e-05,3.9e-05,4.3e-05,3.9e-05,6.3e-05,3.8e-05,3.7e-05,5.9e-05,4.8e-05,4.3e-05,4.5e-05,4e-05,4.8e-05,4.5e-05,4.1e-05,4.2e-05,4.5e-05,4.6e-05,4.8e-05,4.8e-05,8.1e-05,5.2e-05,5.5e-05,4.2e-05,3.7e-05,9e-05,8.2e-05
14,5.9e-05,5.1e-05,4.9e-05,6.6e-05,6.5e-05,6.3e-05,6.4e-05,7.5e-05,3.5e-05,4e-05,4.9e-05,4.7e-05,5.5e-05,3.7e-05,9.7e-05,0.000111,3.5e-05,3.8e-05,3.1e-05,4.7e-05,3.8e-05,4.8e-05,4.7e-05,3.9e-05,3.8e-05,5.1e-05,4.2e-05,3.6e-05,3.5e-05,5e-05,3.8e-05,4e-05
15,5.3e-05,7.5e-05,5e-05,4.6e-05,5.8e-05,6e-05,0.000108,8.9e-05,6.8e-05,4.9e-05,0.000152,9.4e-05,7.1e-05,5.3e-05,9.7e-05,0.000547,4.9e-05,5.7e-05,5e-05,5.3e-05,5.5e-05,5.2e-05,6.4e-05,6.8e-05,3.9e-05,4.6e-05,5.5e-05,4.5e-05,4.7e-05,3.9e-05,5.4e-05,9.4e-05
16,3.7e-05,4.2e-05,3.6e-05,4e-05,3.9e-05,4.9e-05,5.9e-05,4.9e-05,6.5e-05,5.6e-05,5.7e-05,4.8e-05,6.4e-05,0.000158,0.000119,4.5e-05,0.000135,8.9e-05,7.2e-05,7.5e-05,6.6e-05,4.9e-05,5.2e-05,6.3e-05,3.7e-05,4.7e-05,5e-05,3.7e-05,4.2e-05,6.5e-05,3.9e-05,5.3e-05
17,5.1e-05,4.3e-05,4e-05,3.5e-05,5.3e-05,4.5e-05,2.9e-05,4.5e-05,4.6e-05,5.2e-05,4.9e-05,4.2e-05,3.6e-05,5.4e-05,5.5e-05,5.4e-05,7.7e-05,5.7e-05,0.000305,7e-05,7.1e-05,6.9e-05,6.1e-05,5.2e-05,4.5e-05,4e-05,4.3e-05,5.5e-05,0.000167,0.00011,4.3e-05,4.4e-05
18,5.8e-05,5.3e-05,6.3e-05,9e-05,4.5e-05,7.1e-05,5.2e-05,4.9e-05,5.3e-05,4.4e-05,4.4e-05,4.8e-05,7.6e-05,4.1e-05,4.4e-05,5.9e-05,4.9e-05,5.4e-05,5.9e-05,5.2e-05,6.2e-05,7.1e-05,6.5e-05,5.1e-05,7.1e-05,5.9e-05,0.000103,9.2e-05,4.8e-05,6.9e-05,5.6e-05,7e-05
19,6.6e-05,7.6e-05,9e-05,8.7e-05,7.1e-05,5.9e-05,0.00023,5.7e-05,4.1e-05,4.6e-05,4.9e-05,7.1e-05,4.9e-05,5.1e-05,7.8e-05,9.6e-05,6e-05,5.1e-05,4.2e-05,3.6e-05,4.2e-05,4.4e-05,4.1e-05,4.3e-05,5.5e-05,5.8e-05,6.2e-05,0.00011,6.3e-05,5.3e-05,5.6e-05,6.2e-05
20,4.5e-05,7.5e-05,4.2e-05,3.9e-05,0.000114,0.000131,4.5e-05,5.4e-05,3.8e-05,3.4e-05,7.7e-05,5.8e-05,3.7e-05,4.1e-05,6e-05,9.5e-05,5.1e-05,5.5e-05,4.5e-05,4.5e-05,5.1e-05,4.3e-05,5e-05,4e-05,4.7e-05,4.1e-05,3.7e-05,3.1e-05,4.5e-05,4.6e-05,6e-05,4.5e-05
21,5.1e-05,4.5e-05,5e-05,4.5e-05,6.2e-05,0.000111,6.4e-05,7.1e-05,7.9e-05,6.6e-05,7.4e-05,8e-05,5.3e-05,3.7e-05,4.9e-05,5.3e-05,4.8e-05,3.5e-05,5.5e-05,5.9e-05,4.8e-05,4.6e-05,3.5e-05,4.8e-05,4.8e-05,4.6e-05,4.9e-05,4.2e-05,4.7e-05,4.1e-05,4.7e-05,4.5e-05
22,3.3e-05,4.6e-05,3.8e-05,4.2e-05,4.3e-05,3.9e-05,4.7e-05,4.2e-05,4.5e-05,5e-05,4.7e-05,4.5e-05,7.2e-05,8.8e-05,3.4e-05,5.2e-05,6.6e-05,7.8e-05,5.9e-05,0.00012,3.1e-05,3.9e-05,6.1e-05,7.4e-05,3.6e-05,4.5e-05,4.5e-05,4.5e-05,5e-05,4.6e-05,4.6e-05,6.2e-05
