avg_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
23,3.8e-05,4e-05,4.8e-05,5e-05,4.8e-05,6.9e-05,3.6e-05,4.6e-05,4.6e-05,4.7e-05,6e-05,4.7e-05,4.4e-05,5.4e-05,4.9e-05,6.3e-05,0.000192,6.2e-05,4.4e-05,5.2e-05,7.6e-05,7.1e-05,7.6e-05,0.000121,5e-05,5.7e-05,0.000111,4e-05,7.3e-05,9.5e-05,4e-05,4.7e-05
24,4.5e-05,4.6e-05,0.000163,0.000138,3.9e-05,4.5e-05,7.9e-05,6e-05,4e-05,4.5e-05,4.2e-05,4.4e-05,4.7e-05,5e-05,4.8e-05,5e-05,5.2e-05,5.3e-05,6.7e-05,4.9e-05,6.1e-05,6.6e-05,4.9e-05,6.3e-05,0.00011,0.000155,0.000105,8.1e-05,5e-05,5.2e-05,6.3e-05,7.3e-05
25,6.9e-05,7.2e-05,5e-05,6.2e-05,5.2e-05,4e-05,5e-05,5.3e-05,3e-05,4e-05,3.6e-05,4.2e-05,4.6e-05,4.1e-05,6.2e-05,6e-05,4.4e-05,4.9e-05,3.5e-05,5.8e-05,4.4e-05,3.9e-05,4.2e-05,5.7e-05,4.7e-05,5.5e-05,4.7e-05,6.6e-05,5.5e-05,5.2e-05,9.3e-05,7e-05
26,4.7e-05,5.4e-05,4.4e-05,6.5e-05,6.4e-05,8.5e-05,7.7e-05,5.2e-05,4.7e-05,5.8e-05,9.7e-05,9.7e-05,4.8e-05,4.7e-05,8.7e-05,0.000111,3.5e-05,5.1e-05,4e-05,4.6e-05,4.3e-05,3.9e-05,4.1e-05,5.2e-05,5.3e-05,5.5e-05,5.7e-05,5.2e-05,4.7e-05,4.5e-05,4.6e-05,5.7e-05
27,5e-05,4.2e-05,5.1e-05,6e-05,7.3e-05,7.1e-05,5.8e-05,9e-05,7.1e-05,0.000114,6.1e-05,5.5e-05,3.7e-05,9.3e-05,4e-05,6.2e-05,6.6e-05,5.6e-05,5.3e-05,4.7e-05,4.8e-05,0.000119,5.9e-05,7e-05,3.5e-05,4e-05,4.2e-05,4.6e-05,3.6e-05,4.4e-05,3.9e-05,3.8e-05
28,4.9e-05,4.6e-05,5.4e-05,4.4e-05,4.3e-05,3.8e-05,6.5e-05,4e-05,4.5e-05,4.4e-05,4.1e-05,3e-05,9.7e-05,7.6e-05,3.9e-05,5e-05,8.4e-05,7.9e-05,9.3e-05,7.6e-05,4.5e-05,4.9e-05,5.7e-05,4.9e-05,4e-05,4.3e-05,3.9e-05,3.8e-05,5e-05,6.3e-05,4.7e-05,4.9e-05
29,4.7e-05,5.7e-05,5.7e-05,6.3e-05,4.2e-05,3.8e-05,4e-05,3.9e-05,4e-05,4.6e-05,4.2e-05,5.2e-05,6.2e-05,6.2e-05,4.5e-05,5.2e-05,4.3e-05,4.6e-05,5.7e-05,6.3e-05,6.1e-05,6e-05,8.5e-05,7.4e-05,3.7e-05,5e-05,4.6e-05,4e-05,6.3e-05,6.2e-05,5.6e-05,5e-05
30,4.7e-05,4.7e-05,5.8e-05,6.9e-05,4.8e-05,4.2e-05,5.4e-05,4.6e-05,4.1e-05,4.2e-05,5.1e-05,5.2e-05,4.7e-05,5e-05,3.7e-05,5.9e-05,4.7e-05,6.2e-05,3.9e-05,5.5e-05,5.3e-05,5.4e-05,4.8e-05,6.7e-05,0.000107,5.7e-05,5.9e-05,8e-05,4.9e-05,4.4e-05,0.000768,0.000134
31,6.5e-05,6.6e-05,6.2e-05,5.8e-05,4.4e-05,4.3e-05,4e-05,6.4e-05,3.8e-05,3.8e-05,0.000107,5.5e-05,3.9e-05,3e-05,8e-05,7.3e-05,3.6e-05,3.7e-05,3.9e-05,4.3e-05,3.7e-05,4.3e-05,6.6e-05,3.7e-05,6.2e-05,7e-05,4.6e-05,6e-05,6.7e-05,0.000106,0.000156,6.3e-05
32,5.9e-05,3.7e-05,3.9e-05,4e-05,7e-05,7.4e-05,8e-05,0.000106,7.9e-05,0.000102,7.6e-05,9.2e-05,4.6e-05,6.3e-05,0.000103,8.7e-05,5.9e-05,3.5e-05,4.6e-05,4.8e-05,4.4e-05,4.3e-05,4.3e-05,4.4e-05,3.7e-05,4.5e-05,4.3e-05,4.1e-05,4.6e-05,4.2e-05,4.5e-05,5.4e-05
33,5.1e-05,5.2e-05,6.4e-05,6.3e-05,9.5e-05,0.000111,9.1e-05,0.000113,9.7e-05,7.4e-05,5.5e-05,4.5e-05,0.000238,6.5e-05,6.5e-05,4e-05,7.4e-05,7.8e-05,5.5e-05,5.7e-05,4.6e-05,4.3e-05,4.6e-05,8e-05,4.3e-05,5e-05,4.5e-05,4.5e-05,5e-05,4.7e-05,6.6e-05,4.6e-05
34,5e-05,5e-05,5e-05,5.2e-05,4.5e-05,4.9e-05,4.6e-05,4.6e-05,5.8e-05,5.8e-05,5.4e-05,5.3e-05,7.2e-05,0.000105,5.1e-05,5.2e-05,6.5e-05,9.3e-05,9.4e-05,8.6e-05,5.2e-05,5.4e-05,5.5e-05,5.6e-05,3.5e-05,5.3e-05,4e-05,3.3e-05,8.9e-05,6.9e-05,3.7e-05,5.2e-05
35,4.1e-05,4.1e-05,0.000117,0.000137,3.5e-05,3.4e-05,0.000114,3.5e-05,4.2e-05,5.2e-05,5e-05,5e-05,5.7e-05,4.9e-05,4.2e-05,4e-05,6.7e-05,5.7e-05,4.7e-05,0.000435,9.9e-05,6.9e-05,8e-05,7.6e-05,3.8e-05,4.4e-05,4.4e-05,5.9e-05,4.7e-05,4.9e-05,4.1e-05,3.8e-05
36,3.9e-05,3.9e-05,7e-05,4.6e-05,5.5e-05,0.0001,4.8e-05,4.7e-05,5.4e-05,4.1e-05,3.9e-05,3.7e-05,4e-05,6.8e-05,4e-05,4.3e-05,4.7e-05,5.1e-05,5.8e-05,9.7e-05,6.2e-05,5.8e-05,4.8e-05,5.2e-05,7.3e-05,8.4e-05,0.000159,6.5e-05,4.8e-05,4.5e-05,0.00012,8.8e-05
37,0.000104,7.6e-05,7e-05,4.5e-05,4.7e-05,3.5e-05,4.7e-05,4.2e-05,4.3e-05,4.4e-05,0.000124,9.6e-05,4.9e-05,5.5e-05,0.000122,0.000103,3.5e-05,5.6e-05,3.5e-05,6.6e-05,4.9e-05,5.1e-05,4.1e-05,5e-05,6.4e-05,6e-05,5.4e-05,8.4e-05,0.000131,5.5e-05,6.3e-05,7.2e-05
38,6.2e-05,4.3e-05,4.1e-05,4.5e-05,6.1e-05,0.000108,8.7e-05,9.4e-05,6.1e-05,9.6e-05,6.6e-05,5.5e-05,3.8e-05,4.4e-05,8e-05,5.3e-05,3.5e-05,4.2e-05,4.1e-05,4.3e-05,4.2e-05,6.8e-05,3.9e-05,3.6e-05,4.7e-05,4.2e-05,3.9e-05,6e-05,4.7e-05,5e-05,5.1e-05,5e-05
39,4.2e-05,4.9e-05,4.5e-05,4.7e-05,7.3e-05,8.4e-05,6.5e-05,9.2e-05,0.000108,8.8e-05,4e-05,4.7e-05,5e-05,5.8e-05,8e-05,4.3e-05,4.5e-05,5.2e-05,4e-05,3.5e-05,7.5e-05,3.7e-05,3.9e-05,4e-05,5.2e-05,3.8e-05,3.5e-05,5.7e-05,5.3e-05,5.7e-05,4e-05,3.2e-05
40,3.9e-05,5.9e-05,5.5e-05,6.3e-05,4.6e-05,5.2e-05,4.3e-05,5.2e-05,5.1e-05,3.7e-05,4.1e-05,4.2e-05,7.3e-05,8.2e-05,6e-05,4.7e-05,6.7e-05,7.1e-05,7e-05,7.6e-05,8e-05,4.4e-05,4.7e-05,5.5e-05,3.8e-05,3.1e-05,8.4e-05,0.000127,6e-05,8.5e-05,6.8e-05,4.7e-05
41,3.8e-05,4e-05,0.000179,0.000123,5.2e-05,3.8e-05,5.9e-05,3.9e-05,3.8e-05,4.5e-05,3.7e-05,4.7e-05,4.9e-05,4.3e-05,4.2e-05,4.8e-05,7.2e-05,4.6e-05,4.7e-05,4.4e-05,7.4e-05,5.1e-05,7.4e-05,0.000122,5.4e-05,4.8e-05,5.6e-05,4.4e-05,3.8e-05,3.9e-05,3.6e-05,3.4e-05
42,4.5e-05,5.1e-05,4.4e-05,4.7e-05,5e-05,4.2e-05,4.4e-05,4.7e-05,4.5e-05,5.8e-05,7.6e-05,5.6e-05,4.4e-05,4.5e-05,3.7e-05,4.7e-05,7.1e-05,5.3e-05,5.5e-05,5.5e-05,7.6e-05,6.7e-05,6.2e-05,5.4e-05,6.2e-05,0.000422,7.3e-05,8.6e-05,6.2e-05,4.7e-05,8.9e-05,0.00018
43,8.3e-05,6e-05,4.7e-05,4.8e-05,3.7e-05,4.9e-05,4.5e-05,5.6e-05,3.5e-05,3.9e-05,6.4e-05,5.8e-05,4.1e-05,5.3e-05,8.1e-05,5.3e-05,4.7e-05,4.7e-05,3.9e-05,5.1e-05,4.4e-05,3.5e-05,4.3e-05,5.1e-05,6.3e-05,4.4e-05,4.4e-05,4.3e-05,6.4e-05,5.3e-05,6e-05,0.000147
44,5.1e-05,5.5e-05,4.6e-05,4.9e-05,0.000112,9.9e-05,0.000113,6.5e-05,4.7e-05,7.4e-05,4.5e-05,4.4e-05,3.8e-05,4.7e-05,7.6e-05,9.1e-05,4.3e-05,4.4e-05,5.2e-05,4.4e-05,4.2e-05,3.7e-05,5.9e-05,4.2e-05,3.9e-05,4.7e-05,3.9e-05,4.7e-05,3.3e-05,4.2e-05,4.7e-05,4.5e-05
45,5.3e-05,4.7e-05,4.8e-05,4.6e-05,7.6e-05,8.5e-05,6.2e-05,6.6e-05,9.6e-05,8.8e-05,5.5e-05,5.3e-05,5.8e-05,5.6e-05,5.5e-05,6.5e-05,7e-05,6.5e-05,4.8e-05,5e-05,4.6e-05,4.7e-05,4.5e-05,5.2e-05,5e-05,4.4e-05,3.6e-05,4.8e-05,5.3e-05,4.9e-05,5.2e-05,4.3e-05
46,3.7e-05,3.9e-05,0.000307,0.000124,4e-05,4e-05,4.8e-05,4e-05,5e-05,4.3e-05,4e-05,3.9e-05,7.3e-05,8.3e-05,5.6e-05,4.9e-05,6.8e-05,8.8e-05,7.1e-05,6.9e-05,5.3e-05,5.7e-05,7.1e-05,5.3e-05,3.9e-05,4.8e-05,6.8e-05,4e-05,7.9e-05,9e-05,4.7e-05,4.3e-05
47,3.9e-05,6.4e-05,4.5e-05,4.4e-05,4.9e-05,5.5e-05,5.1e-05,3.7e-05,3.4e-05,5.4e-05,4.3e-05,5.4e-05,4.6e-05,5.1e-05,4.3e-05,3.7e-05,4.9e-05,4.2e-05,6.2e-05,5.8e-05,7e-05,8.2e-05,7.4e-05,8.7e-05,6.1e-05,0.000117,6.3e-05,5e-05,5e-05,5.2e-05,4.6e-05,4.6e-05
48,4.8e-05,5e-05,3.9e-05,5e-05,3.9e-05,4.7e-05,4.6e-05,3.3e-05,3.5e-05,3.6e-05,9.3e-05,0.000117,3.4e-05,2.8e-05,4.1e-05,4.2e-05,4e-05,4.3e-05,4.3e-05,4.3e-05,7.4e-05,4.7e-05,4.5e-05,4.5e-05,4.3e-05,4.7e-05,6.6e-05,9.9e-05,4.5e-05,3.3e-05,7.4e-05,7.7e-05
49,0.000103,8.2e-05,7.8e-05,5.2e-05,5.8e-05,5.1e-05,4.1e-05,5.7e-05,4.5e-05,5.7e-05,4.9e-05,4.5e-05,5.2e-05,3.8e-05,0.000119,6.7e-05,4.4e-05,3.6e-05,6.3e-05,4.6e-05,4e-05,3.8e-05,4.7e-05,3.2e-05,3.7e-05,5.1e-05,6.4e-05,7.6e-05,3.8e-05,4.4e-05,6.7e-05,6.3e-05
50,9.1e-05,5.9e-05,5.8e-05,5e-05,8.8e-05,0.000421,7.5e-05,6.2e-05,0.000148,7.7e-05,4.2e-05,4.1e-05,3.8e-05,5.1e-05,9.2e-05,0.000249,4.7e-05,4.2e-05,5.8e-05,4.8e-05,6.6e-05,4.7e-05,4.4e-05,4.5e-05,4.8e-05,4e-05,3.4e-05,3.6e-05,6.7e-05,4.4e-05,3.6e-05,4.8e-05
51,5.8e-05,4.6e-05,6e-05,5e-05,8.1e-05,6.9e-05,7.2e-05,7.3e-05,8.4e-05,0.000122,6.1e-05,5.4e-05,4.1e-05,6.7e-05,5.8e-05,4.6e-05,0.000107,8.1e-05,6.7e-05,4.1e-05,3.6e-05,3.6e-05,3.7e-05,4.1e-05,4.7e-05,3.8e-05,4e-05,6e-05,6.3e-05,4.6e-05,4.3e-05,4e-05
52,4.2e-05,4e-05,5.6e-05,6.3e-05,4e-05,3.7e-05,3.8e-05,4.3e-05,4.1e-05,4.2e-05,5.4e-05,4e-05,6.4e-05,0.000134,4.1e-05,4.9e-05,0.000112,6.6e-05,6.4e-05,8e-05,4.9e-05,4.5e-05,5e-05,6.1e-05,3.9e-05,8.2e-05,4.3e-05,4.5e-05,6.4e-05,6.7e-05,4.9e-05,4.4e-05
53,3.9e-05,3.6e-05,3.6e-05,4.4e-05,4.3e-05,5.5e-05,4.8e-05,4.5e-05,4.4e-05,3.8e-05,9.3e-05,0.000103,4.5e-05,3.6e-05,3.6e-05,5e-05,4.1e-05,4.7e-05,6.3e-05,5.1e-05,5.7e-05,5.7e-05,6.1e-05,6.5e-05,9.7e-05,0.000171,9.6e-05,7.7e-05,6.9e-05,5.9e-05,0.00024,4.7e-05
54,0.000113,7.7e-05,3.8e-05,4e-05,4.3e-05,4.5e-05,4.5e-05,4.7e-05,5e-05,5.6e-05,7.9e-05,0.000116,4.3e-05,5.8e-05,4.4e-05,5.3e-05,5e-05,4.1e-05,3.8e-05,4e-05,5.2e-05,4.9e-05,5.2e-05,4.6e-05,6.7e-05,4.9e-05,6.5e-05,9.8e-05,4.8e-05,4.4e-05,6.9e-05,7.2e-05
55,0.000124,4.2e-05,4.3e-05,5.8e-05,5.8e-05,4.7e-05,4.8e-05,4.7e-05,3.9e-05,5.6e-05,4.9e-05,4.8e-05,3.4e-05,5.3e-05,0.000122,6.9e-05,3.6e-05,4.3e-05,4.7e-05,4.5e-05,5e-05,5.5e-05,5.7e-05,3.2e-05,4.2e-05,5.5e-05,3.6e-05,5.3e-05,5.9e-05,5e-05,8.5e-05,7.6e-05
