w_await,ceph01,ceph02,ceph03,ceph04
152,0.24,0.81375,1.045,0.31875
153,0.40125,0.22625,0.98,0.9075
154,1.3075,0.96875,0.425,0.3825
155,0.57,0.5875,0.25625,0.265
156,0.2575,0.33,0.2425,0.3575
157,0.23375,0.7425,0.26875,1.13
158,0.44375,0.46875,0.795,0.56875
159,0.21875,0.2325,1.45375,0.56625
160,1.04625,0.5275,0.61375,0.60625
161,1.465,0.67875,0.23625,0.2575
162,0.4,0.3325,0.2625,0.27
163,0.18625,0.88,0.25,1.03125
164,0.46,0.455,0.80375,0.87875
165,0.35,0.395,0.9375,0.3175
166,0.53125,0.4375,0.8825,0.69125
167,1.15625,0.65,0.2325,0.20125
168,0.735,0.635,0.19625,0.275
169,0.25,1.285,0.28375,0.66
170,0.2425,0.3725,0.78125,1.27375
171,0.325,0.62625,1.26375,0.18875
172,0.52,0.31,1.20875,0.74625
173,0.82875,0.2925,0.33625,0.6425
174,0.95875,1.0525,0.215,0.235
175,0.41125,1.0375,0.1825,0.475
176,0.43,0.22125,0.275,1.275
177,0.26625,0.7475,1.43875,0.3375
178,0.31875,0.325,1.07,0.32
179,0.76375,0.3225,0.62375,0.8225
180,1.01625,1.46375,0.225,0.20375
181,0.335,1.02875,0.15875,0.39125
182,0.36,0.43,0.215,1.405
183,0.2175,0.39375,0.8075,0.35375
184,0.2625,0.22375,1.575,0.20875
185,0.755,0.1925,0.7,0.58875
186,1.21375,0.90125,0.15125,0.1775
187,0.57625,0.84375,0.25375,0.65625
188,0.32875,0.44,0.215,0.92625
189,0.23125,0.34125,0.485,0.8175
190,0.25375,0.215,1.38125,0.26625
191,0.60125,0.2325,0.93375,0.88125
192,1.00625,0.94125,0.21875,0.28875
193,0.99125,0.66875,0.2,0.76375
194,0.25625,0.87,0.21125,0.53875
195,0.23875,0.49875,0.33125,1.11875
196,0.22375,0.185,1.175,0.22125
197,0.61625,0.365,1.01375,0.3975
198,0.77125,0.90375,0.54375,0.5475
199,1.15875,0.96125,0.225,0.90125
200,0.40625,0.91125,0.19625,0.29375
201,0.22625,0.38625,0.2475,1.55375
202,0.20375,0.21125,0.62125,0.50875
203,0.48875,0.54625,1.38375,0.22375
204,0.75375,0.78875,0.52,1.08125
205,0.61625,0.58125,0.23875,1.14125
206,0.58125,1.06375,0.24625,0.2475
207,0.35625,0.2225,0.29125,0.64625
208,0.225,0.25875,0.325,1.085
209,0.57125,0.825,1.31,0.16125
210,0.62375,0.49125,0.9275,0.5525
211,0.6175,0.47625,0.2725,0.825
212,0.49375,1.4975,0.25375,0.2575
213,0.33875,0.395,0.28,0.32875
214,0.30125,0.39125,0.2075,0.98625
215,0.41,0.66125,0.7575,0.52625
216,0.37875,0.23,1.2625,0.42375
217,0.63,0.7175,0.23875,1.07375
218,0.82125,0.6875,0.20875,0.2575
219,0.3225,0.895,0.2575,0.255
220,0.405,0.56,0.195,0.7975
221,0.925,0.66,0.6,0.60875
222,0.3425,0.215,1.3075,0.3575
223,0.79875,0.6475,0.6375,0.5175
224,1.065,0.35,0.19625,0.55875
225,0.36875,0.98,0.23375,0.24375
226,0.4075,1.0375,0.20875,0.4975
227,0.5875,0.41875,0.89125,0.9175
228,0.20125,0.255,1.1175,0.38
229,0.35625,0.73125,0.90375,0.27625
230,0.855,0.255,0.26875,0.71875
231,0.69875,0.52125,0.23875,0.24125
232,0.4625,1.32625,0.185,0.33125
233,0.435,0.2375,0.5075,0.9625
234,0.2075,0.46,0.815,0.30875
235,0.29375,0.6725,1.13625,0.21375
236,0.61625,0.1775,0.3475,0.8175
237,1.1525,0.42625,0.2175,0.495
238,0.88,1.2475,0.43875,0.6675
239,0.42375,0.53875,0.5025,0.85375
240,0.2275,0.4225,0.86,0.81
241,0.41125,0.7525,1.235,0.215
242,0.3025,0.26625,0.6875,0.4175
243,1.26625,0.40125,0.22,0.7375
244,0.92375,1.1275,0.55375,0.76875
245,0.56875,0.72,0.18,0.38
246,0.25,0.605,0.5875,0.71375
247,0.42875,0.385,1.09,0.2075
248,0.34,0.215,0.90625,0.2375
249,0.71875,0.355,0.23625,1.00625
250,0.56375,1.505,0.35,0.6125
251,0.51875,0.52875,0.25875,0.2875
252,0.2225,0.79125,0.315,0.68875
253,0.64,0.3225,0.905,0.335
254,0.405,0.32125,0.9425,0.24125
255,1.38375,0.38,0.47375,0.92375
256,0.6475,1.07625,0.26375,1.85625
257,0.63875,0.355,0.3625,0.55
258,0.28625,0.595,0.61,0.6225
259,0.89625,0.70625,0.99875,0.425
260,0.86,0.6775,1.30125,0.6225
261,0.6975,0.50125,0.47375,0.67625
262,0.55375,1.08625,0.41875,1.0425
263,1.10625,1.12625,0.3575,0.29875
264,0.5625,0.45875,0.63875,0.59375
265,0.67875,0.365,0.76,0.57625
266,0.665,0.43125,1.4875,0.7225
267,0.54875,0.64125,0.65125,0.57375
268,1.09375,0.69625,0.30625,1.125
269,1.02625,0.42875,0.4425,0.46375
270,0.36125,0.69375,0.8375,1.13875
271,0.765,0.46625,0.525,0.52375
272,0.72125,0.625,1.18125,0.8875
273,0.6725,0.8975,0.59,0.36375
274,0.6675,0.8275,0.3125,1.43625
275,0.78875,0.91375,1.01125,1.035
276,0.5375,0.5325,0.69,0.595
277,0.35,1.11625,0.59625,0.6125
278,0.44,0.86875,0.7275,0.50125
279,0.73875,0.46375,0.67625,0.335
280,0.81125,0.8425,0.51,1.84625
281,1.0825,0.515,0.5725,2.27875
282,0.84875,0.28625,0.57625,1.53
