wrqm/s,ceph01,ceph02,ceph03,ceph04
176,26.875,0.0,1.5,0.25
177,0.0,0.25,72.75,39.375
178,0.0,59.875,24.875,0.125
179,0.125,38.0,167.625,0.0
180,0.125,61.5,22.125,0.0
181,28.125,146.0,0.0,0.125
182,0.125,65.75,0.0,177.375
183,16.875,0.125,0.125,0.0
184,0.0,0.0,0.25,0.0
185,46.5,0.0,0.0,0.125
186,7.625,0.5,0.0,0.0
187,0.125,0.125,0.0,0.125
188,63.375,0.125,0.0,0.375
189,0.0,0.125,0.125,0.0
190,0.0,0.0,0.25,0.0
191,0.125,0.0,0.125,0.125
192,0.375,0.375,0.0,0.0
193,0.125,0.125,0.0,0.25
194,23.75,0.25,0.0,0.125
195,0.0,0.0,0.0,0.12375
196,0.0,0.0,0.25,0.0
197,0.125,0.125,0.125,0.0
198,0.25,0.25,15.5,0.0
199,0.25,0.0,1.125,32.5
200,0.125,0.25,0.0,0.0
201,0.0,0.0,0.0,0.0
202,0.0,0.0,0.125,0.0
203,0.25,0.375,0.125,0.0
204,0.25,0.25,0.0,0.25
205,0.125,34.25,24.0,192.25
206,27.5,0.125,0.0,0.0
207,25.625,0.0,22.75,0.25
208,0.0,0.0,0.0,67.5
209,0.25,43.75,47.75,0.0
210,0.25,28.25,186.875,0.375
211,14.0,12.0,22.375,2.0
212,16.75,64.75,0.0,20.625
213,22.875,0.0,0.0,0.0
214,0.125,0.25,0.0,48.0
215,0.25,25.25,0.25,0.125
216,54.625,0.0,0.5,0.25
217,0.125,0.25,0.0,0.0
218,0.0,0.125,0.0,0.0
219,0.0,0.0,0.0,0.0
220,0.125,0.25,0.0,0.125
221,0.375,0.25,0.25,0.125
222,54.375,0.0,0.125,0.125
223,0.125,0.25,0.0,0.125
224,47.03,0.0,0.0,0.0
225,0.0,0.125,0.0,0.0
226,0.25,0.375,0.0,0.125
227,0.25,0.125,0.375,53.625
228,0.0,0.125,0.25,0.125
229,0.125,0.25,19.5,0.0
230,0.125,0.0,0.0,0.125
231,0.125,0.0,0.0,0.0
232,0.25,0.375,0.125,0.25
233,0.125,0.0,0.125,0.25
234,0.0,0.125,0.25,0.0
235,0.125,51.875,0.0,0.0
236,0.25,0.0,48.0,0.125
237,0.125,0.125,0.0,83.125
238,115.125,43.125,63.375,89.75
239,0.125,87.625,21.625,0.25
240,0.0,22.625,0.125,47.625
241,0.125,59.625,184.5,0.0
242,0.125,27.125,7.75,32.5
243,0.25,0.125,0.0,0.25
244,93.75,106.75,0.25,50.875
245,0.0,0.125,0.0,0.125
246,0.0,0.125,0.125,18.375
247,2.875,0.125,0.125,0.0
248,11.125,0.0,0.125,0.0
249,0.375,0.125,0.125,0.375
250,0.125,0.25,0.25,0.25
251,0.125,0.125,0.0,0.0
252,0.125,0.25,0.0,0.125
253,0.125,0.0,0.25,0.0
254,0.0,0.125,0.25,0.0
255,60.125,0.0,0.25,3.625
256,0.125,0.5,0.0,26.625
257,20.75,0.0,0.0,0.0
258,0.25,0.25,0.0,0.25
259,0.125,0.125,0.5,0.0
260,0.125,0.125,0.25,0.25
261,0.125,87.25,0.5,0.5
262,0.0,322.125,24.125,0.25
263,0.625,0.25,0.0,0.0
264,0.25,0.125,0.25,181.625
265,257.5,0.0,161.125,175.375
266,286.125,0.375,0.75,0.5
267,0.25,0.25,221.875,0.5
268,0.125,0.125,0.0,0.0
269,0.25,13.25,107.5,0.125
270,0.125,0.125,2.375,0.0
271,0.125,0.125,73.375,48.25
272,0.125,0.375,0.125,433.0
273,66.25,0.125,83.5,0.0
274,26.5,0.125,0.0,1.125
275,0.25,182.25,0.25,31.25
276,0.125,39.0,59.125,44.75
277,0.0,448.875,104.75,0.375
278,0.125,415.125,0.25,0.375
279,24.625,0.125,0.0,0.0
280,0.375,0.25,0.125,760.25
281,1408.12,0.125,622.75,499.125
282,433.125,0.0,0.125,41.25
283,0.25,0.25,472.5,0.5
284,0.0,0.375,0.125,0.0
285,0.25,0.625,517.875,0.0
286,0.25,0.25,0.125,0.125
287,0.125,0.125,0.125,58.25
288,0.0,0.0,0.25,458.125
289,0.75,0.375,0.25,0.125
290,0.875,377.875,0.0,0.0
291,0.5,127.875,0.25,0.0
292,37.875,0.125,0.5,0.875
293,0.125,0.625,0.125,0.5
294,61.0,0.125,3.125,0.375
295,0.0,0.25,293.5,261.0
296,0.125,0.125,0.0,0.0
297,0.25,0.125,0.25,0.125
298,0.125,15.125,340.75,0.75
299,169.375,0.125,0.125,0.125
300,51.625,0.125,0.75,0.25
301,0.0,0.375,0.375,0.25
302,0.25,58.375,84.5,0.0
303,0.0,0.125,0.125,41.125
304,12.5,0.375,18.375,0.125
305,0.125,0.0,0.375,0.25
306,6.75,0.25,0.25,4.5
307,15.75,59.125,0.0,9.375
308,0.125,27.0,60.375,0.0
309,0.0,56.375,21.5,16.375
310,0.25,69.5,0.25,29.5
311,63.375,0.0,36.625,50.75
312,0.0,0.25,0.25,23.0
313,0.125,50.25,0.0,0.25
314,46.5,0.125,0.125,24.625
315,0.125,41.625,0.25,0.25
316,0.125,0.125,0.125,0.125
317,0.375,0.125,0.25,0.125
318,0.0,0.25,0.25,0.0
319,0.25,0.125,0.125,63.75
320,0.0,0.125,0.0,0.125
