loadavg,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
32,4230,3719,4230,4230,4230,4230,4230,4230,2688,2688,2688,2365,2688,2365,2688,2688,3392,2921,2921,3392,2921,3392,2921,3392,2855,2855,2014,2855,2855,2014,2855,2855
33,4230,3719,4230,4230,4230,4230,4230,4230,2688,2688,2688,2365,2688,2365,2688,2688,3392,3392,2921,3392,3392,3392,2921,3392,2855,2855,2014,2855,2855,2014,2855,2855
34,4230,4468,4230,4230,4230,4230,4230,4230,2688,2688,2688,2365,2688,2688,2688,2688,3392,3392,3392,3392,3392,3392,2921,3392,2855,2855,2855,2855,2855,2855,2855,2855
35,4468,4468,4468,4468,4230,4468,4230,4230,2688,2688,2688,2688,2688,3017,2688,2688,3392,3392,3721,3392,3392,3392,3721,3392,2855,2855,2855,2855,2866,2855,2866,2866
36,4468,4468,4468,4468,4468,4468,4230,4468,2688,2688,2688,2688,2688,3017,2688,2688,3392,3392,3721,3392,3392,3392,3721,3721,2866,2855,2855,2866,2866,2855,2866,2866
37,4468,4468,4468,4468,4468,4468,4468,4468,2688,3017,2688,2688,2688,3017,3017,3017,3392,3721,3721,3392,3392,3392,3721,3721,2866,2866,2855,2866,2866,2866,2866,2866
38,4468,4468,4468,4468,4468,4468,4468,4468,2688,3017,2688,2688,2688,3017,3017,3017,3392,3721,3721,3721,3392,3392,3721,3721,2866,2866,2855,2866,2866,2866,2866,2866
39,4468,4903,4468,4468,4468,4468,4468,4468,3017,3017,3017,2688,2688,3017,3017,3017,3721,3721,3721,3721,3392,3721,3721,3721,2866,2866,2855,2866,2866,2866,3326,2866
40,4468,4903,4468,4468,4468,4903,4468,4468,3017,3017,3017,3017,3481,3017,3017,3017,3721,3721,3721,3872,3392,3721,3721,3721,2866,2866,3326,2866,3326,3326,3326,3326
41,4468,4903,4903,4903,4903,4903,4468,4468,3017,3017,3017,3481,3481,3017,3017,3481,3721,3872,3872,3872,3872,3721,3721,3721,3326,2866,3326,3326,3326,3326,3326,3326
42,4903,4903,4903,4903,4903,4903,4903,4903,3481,3481,3481,3481,3481,3017,3017,3481,3721,3872,3872,3872,3872,3721,3721,3721,3326,3326,3326,3326,3326,3326,3326,3326
43,4903,4903,4903,4903,4903,4903,4903,4903,3481,3481,3481,3481,3481,3017,3481,3481,3721,3872,3872,3872,3872,3721,3872,3872,3326,3326,3326,3326,3326,3326,3326,3326
