loadavg,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
95,6262,6262,6262,6262,6262,6459,6262,6459,4880,4880,4880,4880,4880,4974,4880,4880,5716,5716,5716,5716,5716,5716,5716,5716,4022,4022,4022,4022,4022,4022,4022,4022
96,6262,6262,6262,6262,6262,6753,6262,6753,4880,4880,4880,4880,4880,4880,4880,4880,5716,5716,5716,5716,5716,5716,5716,5716,4022,4022,4453,4022,4022,4453,4022,4022
97,6753,6262,6262,6753,6262,6753,6753,6753,4880,4880,4880,4978,4880,4880,4880,4880,5716,5716,6051,5716,5716,5716,5716,5716,4453,4022,4453,4453,4453,4453,4022,4453
98,6753,6262,6753,6753,6753,6753,6753,6753,4880,4880,4880,4978,4978,4880,4880,4978,5716,6051,6051,6051,5716,5716,5716,5716,4453,4022,4453,4453,4453,4453,4022,4453
99,6753,6262,6753,6753,6753,6753,6753,6753,4978,4978,4880,4978,4978,4880,4978,4978,5716,6051,6051,6051,5716,6051,6051,6051,4453,4453,4453,4453,4453,4453,4022,4453
100,6753,6753,6753,6753,6753,6753,6753,6753,4978,4978,4880,4978,4978,4880,4978,4978,6051,6051,6051,6051,5716,6051,6051,6051,4453,4453,4453,4453,4453,4453,4453,4453
101,6753,6753,6753,6753,6753,6753,6753,6753,4978,4978,4978,4978,4978,4978,4978,4978,6051,6051,6051,6051,6051,6051,6051,6051,4453,4453,4457,4453,4453,4457,4453,4453
102,6429,6753,6429,6753,6429,6753,6753,6753,4978,4978,4978,5388,5388,4978,5388,4978,6051,6223,6051,6223,6051,6051,6051,6051,4457,4453,4457,4453,4457,4457,4453,4457
103,6429,6753,6429,6429,6429,6429,6753,6753,4978,4978,5388,5388,5388,4978,5388,5388,6223,6223,6051,6223,6051,6223,6051,6051,4457,4457,4457,4457,4457,4457,4453,4457
104,6429,6753,6429,6429,6429,6429,6429,6753,5388,5388,5388,5388,5388,5388,5388,5388,6223,6223,6051,6223,6051,6223,6223,6223,4457,4457,4457,4457,4457,4457,4453,4457
105,6429,6523,6429,6429,6429,6523,6429,6523,5388,5388,5388,5388,5388,5388,5388,5388,6223,6223,6051,6223,6051,6223,6223,6223,4457,4457,4457,4457,4457,4901,4457,4457
106,6429,6523,6429,6429,6429,6523,6429,6523,5388,5388,5388,5388,5388,5388,5388,5365,6223,6223,6223,6223,6223,6223,6223,6223,4457,4901,4457,4457,4457,4901,4457,4901
107,6523,6523,6429,6429,6523,6523,6429,6523,5388,5388,5388,5388,5388,5365,5365,5365,6223,6133,6223,6223,6223,6133,6223,6223,4457,4901,4457,4457,4901,4901,4457,4901
108,6523,6523,6429,6523,6523,6523,6429,6523,5365,5388,5388,5388,5388,5365,5365,5365,6133,6133,6223,6223,6133,6133,6223,6223,4457,4901,4901,4901,4901,4901,4901,4901
109,6523,6523,6523,6523,6523,6523,6429,6523,5365,5388,5365,5388,5388,5365,5365,5365,6133,6133,6133,6223,6133,6133,6133,6223,4457,4901,4901,4901,4901,4901,4901,4901
110,6523,6523,7089,6523,7089,6523,7089,7089,5365,5365,5365,5365,5365,5365,5365,5365,6133,6133,6133,6133,6133,6133,6133,6223,4901,4901,4901,4901,4901,4901,4901,4901
111,6523,7089,7089,6523,7089,6523,7089,7089,5365,5365,5365,5365,5365,5365,5365,5200,6133,6133,6133,6133,6133,6133,6133,6194,4901,4901,4773,4773,4901,4773,4901,4901
112,7089,7089,7089,7089,7089,6523,7089,7089,5200,5365,5365,5365,5365,5365,5200,5200,6133,6194,6133,6133,6133,6194,6133,6194,4901,4773,4773,4773,4773,4773,4773,4773
113,7089,7089,7089,7089,7089,6523,7089,7089,5200,5365,5365,5365,5200,5365,5200,5200,6133,6194,6133,6194,6133,6194,6194,6194,4901,4773,4773,4773,4773,4773,4773,4773
114,7089,7089,7089,7089,7090,7090,7090,7089,5200,5365,5200,5200,5200,5365,5200,5200,6133,6194,6194,6194,6133,6194,6194,6194,4773,4773,4773,4773,4773,4773,4773,4773
115,7090,7089,7089,7090,7090,7090,7090,7089,5200,5200,5200,5200,5200,5200,5200,5200,6133,6194,6194,6194,6194,6194,6194,6194,4773,4773,4773,4773,5127,4773,4773,4773
116,7090,7090,7090,7090,7090,7090,7090,7089,5376,5376,5200,5200,5200,5200,5200,5376,6194,6219,6194,6194,6194,6194,6194,6194,4773,4773,4773,5127,5127,5127,4773,5127
117,7090,7090,7090,7090,7090,7090,7090,7089,5376,5376,5200,5200,5200,5200,5376,5376,6194,6219,6194,6194,6219,6194,6194,6219,4773,4773,4773,5127,5127,5127,5127,5127
118,7090,7090,7090,7090,7090,7090,7090,7090,5376,5376,5200,5200,5200,5200,5376,5376,6194,6219,6194,6219,6219,6194,6194,6219,5127,5127,5127,5127,5127,5127,5127,5127
119,7090,7090,7090,7090,6683,6683,7090,7090,5376,5376,5200,5200,5200,5200,5376,5376,6194,6219,6219,6219,6219,6194,6194,6219,5127,5127,5127,5127,5127,5127,5127,5127
120,6683,6683,6683,7090,6683,6683,7090,6683,5376,5376,5376,5376,5200,5200,5376,5376,6219,6219,6219,6219,6219,6219,6219,6219,5127,5127,5405,5405,5127,5127,5127,5127
121,6683,6683,6683,7090,6683,6683,7090,6683,5376,5376,5376,5810,5810,5810,5810,5810,6219,6473,6219,6219,6219,6219,6219,6219,5127,5405,5405,5405,5405,5405,5127,5127
122,6683,6683,6683,6683,6683,6683,6683,6683,5810,5376,5376,5810,5810,5810,5810,5810,6219,6473,6473,6219,6219,6219,6219,6219,5127,5405,5405,5405,5405,5405,5127,5405
123,6683,6683,6683,6683,6683,6683,6683,6683,5810,5376,5810,5810,5810,5810,5810,5810,6219,6473,6473,6219,6473,6473,6473,6473,5405,5405,5405,5405,5405,5405,5405,5405
124,6683,6683,6683,6683,6683,6683,6683,6844,5810,5376,5810,5810,5810,5810,5810,5810,6219,6473,6473,6473,6473,6473,6473,6473,5405,5405,5405,5405,5405,5405,5405,5405
125,6683,6683,6683,6683,6683,6683,6683,6844,5810,5810,5810,5810,5810,5810,5665,5665,6473,6473,6473,6473,6473,6473,6473,6473,5405,5405,5405,5405,5405,5405,5405,5405
126,6844,6683,6844,6683,6844,6683,6683,6844,5665,5810,5810,5665,5810,5665,5665,5665,6203,6473,6473,6473,6203,6203,6203,6473,5405,5405,5405,5405,5405,5405,5405,5405
127,6844,6683,6844,6683,6844,6844,6683,6844,5665,5810,5810,5665,5810,5665,5665,5665,6203,6473,6203,6203,6203,6203,6203,6473,5405,5405,5405,5405,5405,5405,5405,5405
128,6844,6683,6844,6844,6844,6844,6844,6844,5665,5810,5665,5665,5665,5665,5665,5665,6203,6203,6203,6203,6203,6203,6203,6203,5405,5405,5405,5405,5405,5405,5405,5405
129,7025,7025,6844,7025,6844,7025,6844,6844,5665,5665,5665,5665,5665,5665,5665,5665,6203,6203,6203,6203,6203,6203,6203,6203,5405,5405,5405,5405,5517,5405,5405,5405
130,7025,7025,7025,7025,6844,7025,7025,7025,5665,5665,5665,5665,5665,5665,5892,5665,6203,6203,6203,6203,6203,6203,6203,6203,5405,5405,5517,5405,5517,5405,5405,5405
131,7025,7025,7025,7025,6844,7025,7025,7025,5665,5665,5665,5892,5665,5665,5892,5665,6203,6203,6203,6203,6515,6203,6203,6203,5405,5405,5517,5405,5517,5405,5517,5517
132,7025,7025,7025,7025,6844,7025,7025,7025,5665,5665,5892,5892,5665,5665,5892,5665,6203,6203,6203,6203,6515,6203,6515,6515,5517,5405,5517,5517,5517,5405,5517,5517
133,7025,7025,7025,7025,7095,7025,7095,7025,5665,5892,5892,5892,5665,5892,5892,5665,6203,6203,6203,6203,6515,6515,6515,6515,5517,5405,5517,5517,5517,5517,5517,5517
134,7025,7025,7095,7025,7095,7025,7095,7095,5892,5892,5892,5892,5892,5892,5892,5665,6515,6203,6203,6203,6515,6515,6515,6515,5517,5852,5517,5517,5517,5517,5517,5517
135,7095,7095,7095,7025,7095,7025,7095,7095,5892,5892,5892,5892,6117,6117,5892,6117,6515,6681,6203,6681,6515,6681,6681,6515,5517,5852,5517,5517,5852,5852,5517,5852
136,7095,7095,7095,7025,7095,7095,7095,7095,5892,5892,5892,5892,6117,6117,5892,6117,6681,6681,6681,6681,6515,6681,6681,6515,5852,5852,5852,5517,5852,5852,5852,5852
137,7095,7095,7095,7025,7095,7095,7095,7095,6117,6117,5892,5892,6117,6117,5892,6117,6681,6681,6681,6681,6681,6681,6681,6515,5852,5852,5852,5852,5852,5852,5852,5852
138,7095,7095,7095,7025,7095,7095,7095,7095,6117,6117,5892,6117,6117,6117,6117,6117,6681,6681,6681,6681,6681,6681,6681,6515,5852,5852,5852,5852,5852,5852,6080,5852
139,7095,6751,6751,6751,7095,6751,7095,7095,6117,6117,6117,6117,6117,6117,6117,6117,6681,6681,6681,6681,6681,6681,6681,6681,5852,5852,5852,5852,5852,6080,6080,6080
140,6751,6751,6751,6751,6751,6751,7095,6751,6108,6117,6117,6117,6117,6108,6117,6108,6972,6681,6681,6681,6681,6681,6681,6681,5852,6080,6080,5852,5852,6080,6080,6080
141,6751,6751,6751,6751,6751,6751,6751,6751,6108,6117,6117,6117,6108,6108,6117,6108,6972,6972,6681,6972,6972,6972,6972,6972,6080,6080,6080,5852,6080,6080,6080,6080
142,6751,6751,6751,6751,6751,6751,6751,6751,6108,6108,6108,6117,6108,6108,6108,6108,6972,6972,6681,6972,6972,6972,6972,6972,6080,6080,6080,5852,6080,6080,6080,6080
143,6803,6751,6803,6751,6751,6751,6751,6751,6108,6108,6108,6108,6108,6108,6108,6108,6972,6972,6681,6972,6972,6972,6972,6972,6080,6578,6080,5852,6080,6080,6080,6080
144,6803,6751,6803,6751,6751,6803,6751,6803,6108,5843,5843,6108,6108,6108,6108,6108,6972,6972,6972,6972,6972,6972,6972,6972,6080,6578,6080,6578,6080,6080,6080,6080
145,6803,6751,6803,6751,6751,6803,6803,6803,5843,5843,5843,5843,5843,6108,6108,5843,6972,6638,6972,6972,6972,6972,6972,6972,6080,6578,6578,6578,6080,6578,6578,6080
146,6803,6751,6803,6751,6803,6803,6803,6803,5843,5843,5843,5843,5843,5843,6108,5843,6638,6638,6972,6638,6638,6638,6638,6972,6080,6578,6578,6578,6578,6578,6578,6080
147,6803,6803,6803,6751,6803,7091,6803,7091,5843,5843,5843,5843,5843,5843,6108,5843,6638,6638,6972,6638,6638,6638,6638,6972,6578,6578,6578,6578,6578,6578,6578,6080
148,7091,6803,6803,7091,6803,7091,6803,7091,5843,5843,5843,5843,5843,5843,6108,5843,6638,6638,6638,6638,6638,6638,6638,6972,6578,6339,6578,6578,6578,6578,6578,6080
149,7091,6803,7091,7091,7091,7091,7091,7091,5843,5843,5843,5843,5843,5984,5984,5843,6638,6638,6638,6638,6638,6638,6638,6638,6578,6339,6339,6339,6578,6339,6339,6339
150,7091,6803,7091,7091,7091,7091,7091,7091,5843,5984,5843,5843,5843,5984,5984,5984,6638,6638,6638,6638,6638,6419,6638,6638,6578,6339,6339,6339,6578,6339,6339,6339
151,7091,6803,7091,7091,7091,7091,7091,7091,5843,5984,5843,5843,5984,5984,5984,5984,6419,6419,6638,6638,6419,6419,6419,6638,6578,6339,6339,6339,6339,6339,6339,6339
152,7331,7331,7331,7331,7091,7091,7091,7091,5984,5984,5984,5984,5984,5984,5984,5984,6419,6419,6638,6638,6419,6419,6419,6638,6578,6339,6339,6339,6339,6339,6339,6339
153,7331,7331,7331,7331,7331,7331,7331,7331,5984,5984,5984,5984,6537,5984,5984,5984,6419,6419,6638,6419,6419,6419,6419,6638,6339,6192,6339,6339,6339,6339,6339,6339
154,7331,7331,7331,7331,7331,7331,7331,7331,5984,6537,6537,5984,6537,6537,5984,6537,6419,6419,6419,6419,6419,6419,6419,6419,6192,6192,6339,6192,6192,6192,6192,6339
155,7331,7331,7331,7331,7331,7331,7331,7331,5984,6537,6537,5984,6537,6537,6537,6537,6419,6705,6419,6705,6419,6705,6705,6419,6192,6192,6339,6192,6192,6192,6192,6192
156,7331,7331,7331,7331,7331,7331,7331,7331,5984,6537,6537,5984,6537,6537,6537,6537,6419,6705,6419,6705,6705,6705,6705,6419,6192,6192,6192,6192,6192,6192,6192,6192
157,7618,7331,7331,7618,7618,7331,7331,7331,5984,6537,6537,5984,6537,6537,6537,6537,6419,6705,6419,6705,6705,6705,6705,6705,6192,6192,6177,6192,6192,6192,6192,6192
158,7618,7331,7331,7618,7618,7331,7331,7618,6537,6537,6537,6537,6537,6537,6537,6537,6705,6705,6705,6705,6705,6705,6705,6705,6177,6192,6177,6177,6192,6192,6192,6192
159,7618,7618,7331,7618,7618,7618,7331,7618,6334,6537,6537,6334,6537,6537,6537,6537,6705,6705,6705,6393,6393,6393,6705,6393,6177,6177,6177,6177,6177,6177,6192,6192
160,7618,7618,7618,7618,7618,7618,7618,7618,6334,6334,6537,6334,6537,6537,6334,6537,6705,6705,6705,6393,6393,6393,6705,6393,6177,6177,6177,6177,6177,6177,6177,6177
161,7618,7618,7618,7618,7618,7618,7618,7618,6334,6334,6334,6334,6334,6334,6334,6537,6705,6705,6705,6393,6393,6393,6705,6393,6177,6177,6177,6177,6177,6177,6177,6177
162,7618,7945,7618,7945,7945,7618,7618,7618,6334,6334,6334,6334,6334,6334,6334,6334,6393,6393,6705,6393,6393,6393,6393,6393,6177,6177,6177,6177,6177,6177,6177,6177
163,7618,7945,7618,7945,7945,7618,7945,7945,6334,6334,6334,6476,6334,6334,6334,6334,6393,6393,6393,6393,6393,6393,6393,6393,6177,6177,6475,6177,6475,6177,6177,6177
164,7945,7945,7945,7945,7945,7945,7945,7945,6334,6334,6334,6476,6334,6334,6334,6334,6393,6393,6393,6393,6393,6642,6393,6642,6475,6177,6475,6475,6475,6177,6177,6177
165,7945,7945,7945,7945,7945,7945,7945,7945,6476,6476,6334,6476,6334,6334,6476,6334,6393,6393,6642,6393,6642,6642,6393,6642,6475,6475,6475,6475,6475,6475,6475,6177
166,7945,7945,7945,7945,7945,7945,7945,7945,6476,6476,6476,6476,6334,6334,6476,6334,6642,6642,6642,6393,6642,6642,6393,6642,6475,6475,6475,6475,6475,6475,6475,6475
167,7945,8020,7945,7945,7945,8020,8020,7945,6476,6476,6476,6476,6476,6476,6476,6476,6642,6642,6642,6642,6642,6642,6393,6642,6475,6475,6475,6475,6475,6475,6475,6475
168,7945,8020,8020,8020,7945,8020,8020,8020,6476,5973,6476,6476,6476,5973,6476,6476,6642,6642,6642,6642,6642,6642,6642,6642,6475,5996,6475,6475,5996,6475,5996,5996
169,7945,8020,8020,8020,8020,8020,8020,8020,6476,5973,5973,6476,6476,5973,6476,6476,6642,6642,6642,6642,6642,6642,6486,6486,5996,5996,5996,5996,5996,5996,5996,5996
170,7945,8020,8020,8020,8020,8020,8020,8020,5973,5973,5973,5973,6476,5973,5973,6476,6642,6486,6642,6642,6486,6486,6486,6486,5996,5996,5996,5996,5996,5996,5996,5996
171,7979,8020,8020,8020,8020,8020,8020,7979,5973,5973,5973,5973,6476,5973,5973,5973,6486,6486,6486,6486,6486,6486,6486,6486,5996,5996,5996,5996,5996,5996,5996,5996
172,7979,7979,7979,8020,8020,8020,8020,7979,5973,5973,5973,5973,5973,5973,5973,5973,6486,6486,6486,6486,6486,6486,6486,6486,5996,6357,5996,5996,5996,5996,6357,5996
173,7979,7979,7979,8020,8020,7979,7979,7979,5973,5973,5973,5973,5973,5973,5919,5973,6486,6486,6486,6486,6486,6486,6486,6486,5996,6357,6357,5996,6357,5996,6357,6357
174,7979,7979,7979,7979,7979,7979,7979,7979,5973,5973,5973,5973,5973,5973,5919,5973,6486,6486,6486,6486,6968,6486,6968,6968,6357,6357,6357,5996,6357,6357,6357,6357
175,7979,7979,7979,7979,7979,7979,7979,7979,5973,5919,5919,5919,5919,5919,5919,5973,6486,6486,6968,6968,6968,6486,6968,6968,6357,6357,6357,5996,6357,6357,6357,6357
176,7979,7979,7979,8045,7979,8045,7979,7979,5919,5919,5919,5919,5919,5919,5919,5919,6968,6486,6968,6968,6968,6968,6968,6968,6357,6357,6357,6357,6357,6357,6357,6357
177,8045,8045,7979,8045,7979,8045,7979,8045,5919,5919,5919,5919,5919,5919,5919,5919,6968,6486,6968,6968,6968,6968,6968,6968,6104,6357,6104,6357,6357,6357,6104,6357
178,8045,8045,7979,8045,7979,8045,8045,8045,5677,5919,5919,5677,5919,5919,5919,5919,6968,7209,6968,6968,6968,6968,6968,7209,6104,6357,6104,6357,6104,6104,6104,6357
179,8045,8045,7979,8045,8045,8045,8045,8045,5677,5919,5919,5677,5919,5677,5919,5919,6968,7209,6968,7209,7209,6968,6968,7209,6104,6357,6104,6357,6104,6104,6104,6357
180,8045,8045,7979,8045,8045,8045,8045,8045,5677,5677,5677,5677,5919,5677,5677,5919,6968,7209,7209,7209,7209,6968,7209,7209,6104,6357,6104,6357,6104,6104,6104,6104
181,8045,8045,8762,8045,8045,8045,8045,8762,5677,5677,5677,5677,5677,5677,5677,5677,6968,7209,7209,7209,7209,7209,7209,7209,6104,6032,6104,6357,6104,6104,6104,6104
182,8762,8762,8762,8762,8045,8762,8045,8762,5677,5677,5677,6232,5677,5677,5677,5677,7209,7209,7209,7209,7209,7209,7209,7209,6032,6032,6104,6032,6032,6032,6032,6104
183,8762,8762,8762,8762,8045,8762,8762,8762,6232,5677,5677,6232,5677,5677,5677,5677,7209,7209,7209,7209,7209,7209,7209,7418,6032,6032,6104,6032,6032,6032,6032,6032
184,8762,8762,8762,8762,8762,8762,8762,8762,6232,6232,6232,6232,5677,6232,5677,5677,7209,7209,7209,7209,7418,7418,7209,7418,6032,6032,6032,6032,6032,6032,6032,6032
185,8762,8762,8762,8762,8762,8762,8762,8762,6232,6232,6232,6232,5677,6232,6232,6232,7209,7418,7209,7418,7418,7418,7418,7418,6032,6032,6032,6032,6032,6032,6032,6032
186,8762,8373,8762,8762,8762,8762,8762,8373,6232,6232,6232,6232,6232,6232,6232,6232,7418,7418,7418,7418,7418,7418,7418,7418,6032,6032,6032,6032,6032,5877,6032,6032
187,8373,8373,8762,8762,8373,8373,8762,8373,5861,6232,5861,5861,6232,6232,6232,6232,7418,7418,7418,7418,7418,7418,7418,7418,6032,5877,5877,6032,5877,5877,5877,5877
188,8373,8373,8762,8762,8373,8373,8373,8373,5861,5861,5861,5861,6232,6232,6232,6232,7418,7008,7418,7418,7418,7418,7418,7418,6032,5877,5877,5877,5877,5877,5877,5877
189,8373,8373,8373,8762,8373,8373,8373,8373,5861,5861,5861,5861,5861,5861,6232,5861,7008,7008,7418,7418,7008,7008,7418,7418,5877,5877,5877,5877,5877,5877,5877,5877
190,8373,8373,8373,8127,8373,8373,8373,8373,5861,5861,5861,5861,5861,5861,5861,5861,7008,7008,7418,7008,7008,7008,7008,7008,5877,5877,5877,5877,5877,5877,5877,5877
191,8127,8127,8373,8127,8373,8373,8373,8373,5861,5861,5861,5861,5861,5861,5861,5861,7008,7008,7008,7008,7008,7008,7008,7008,5877,5877,5877,5877,5877,5951,5877,5877
192,8127,8127,8373,8127,8127,8373,8373,8127,5856,5861,5861,5861,5856,5861,5861,5861,7008,7008,6711,6711,7008,6711,7008,7008,5951,5951,5877,5877,5877,5951,5951,5877
193,8127,8127,8373,8127,8127,8127,8127,8127,5856,5856,5856,5861,5856,5861,5856,5856,6711,7008,6711,6711,6711,6711,6711,7008,5951,5951,5877,5951,5951,5951,5951,5877
194,8127,8127,8127,8127,8127,8127,8127,8127,5856,5856,5856,5856,5856,5856,5856,5856,6711,7008,6711,6711,6711,6711,6711,7008,5951,5951,5951,5951,5951,5951,5951,5877
195,8127,8127,8127,9118,8127,8127,8127,8127,5856,5856,5856,5856,5856,5856,5856,5856,6711,7008,6711,6711,6711,6711,6711,6711,5951,5951,5951,5951,5951,5951,5951,5951
196,8127,8127,8127,9118,8127,8127,8127,8127,5856,5856,5856,5856,5856,5856,5856,5856,6711,6711,6711,6711,6711,6711,6711,6711,5803,5803,5803,5951,5951,5951,5951,5803
197,9118,9118,9118,9118,9118,8127,9118,9118,6348,5856,5856,5856,6348,6348,5856,5856,6711,6711,6711,6711,7015,7015,6711,6711,5803,5803,5803,5951,5951,5951,5803,5803
198,9118,9118,9118,9118,9118,9118,9118,9118,6348,5856,5856,6348,6348,6348,6348,6348,7015,6711,7015,6711,7015,7015,7015,6711,5803,5803,5803,5951,5803,5803,5803,5803
199,9118,9118,9118,9118,9118,9118,9118,9118,6348,5856,6348,6348,6348,6348,6348,6348,7015,7015,7015,6711,7015,7015,7015,6711,5803,5803,5803,5951,5803,5803,5803,5803
200,9300,9118,9300,9118,9118,9118,9118,9118,6348,6348,6348,6348,6348,6348,6348,6348,7015,7015,7015,6711,7015,7015,7015,7015,5803,5795,5803,5803,5803,5803,5803,5803
201,9300,9118,9300,9118,9118,9300,9118,9118,6348,6348,6348,6348,6348,6348,6208,6348,7015,7015,7015,6711,7015,7015,7015,7015,5795,5795,5803,5803,5803,5803,5803,5795
202,9300,9300,9300,9118,9118,9300,9118,9118,6208,6208,6348,6348,6208,6348,6208,6208,7015,7015,7015,6701,7015,6701,7015,7015,5795,5795,5803,5803,5803,5803,5803,5795
203,9300,9300,9300,9300,9300,9300,9300,9300,6208,6208,6348,6208,6208,6208,6208,6208,7015,7015,7015,6701,7015,6701,6701,6701,5795,5795,5795,5803,5795,5795,5795,5795
204,9300,9300,9789,9300,9300,9300,9300,9300,6208,6208,6208,6208,6208,6208,6208,6208,7015,7015,7015,6701,7015,6701,6701,6701,5795,5795,5795,5795,5795,5795,5795,5795
205,9789,9300,9789,9300,9789,9300,9789,9300,6208,6208,6208,6208,6208,6208,6208,6208,7015,6701,6701,6701,6701,6701,6701,6701,5795,5795,5795,5795,5795,5795,5795,5795
206,9789,9300,9789,9300,9789,9300,9789,9300,6208,6208,6208,6208,6208,6208,6055,6208,6701,6701,6701,6701,6701,6701,6701,6701,5891,5891,5891,5795,5795,5891,5795,5795
207,9789,9789,9789,9300,9789,9789,9789,9300,6208,6055,6055,6208,6208,6208,6055,6208,6701,6701,6797,6701,6701,6701,6797,6701,5891,5891,5891,5795,5891,5891,5891,5795
208,9789,9789,9789,9300,9789,9789,9789,9300,6208,6055,6055,6208,6208,6208,6055,6208,6701,6701,6797,6701,6701,6701,6797,6701,5891,5891,5891,5795,5891,5891,5891,5795
209,9789,9789,9789,9789,9789,9789,9789,9789,6208,6055,6055,6208,6055,6208,6055,6055,6701,6797,6797,6797,6797,6701,6797,6797,5891,5891,5891,5891,5891,5891,5891,5891
210,9789,9789,9365,9789,9365,9789,9365,9789,6208,6055,6299,6055,6055,6055,6299,6055,6701,6797,6797,6797,6797,6701,6797,6797,5891,5891,5908,5891,5891,5891,5891,5891
211,9365,9365,9365,9365,9365,9789,9365,9789,6299,6055,6299,6055,6055,6055,6299,6055,6701,6797,6797,6797,6797,6701,6797,6797,5891,5891,5908,5908,5891,5891,5891,5891
212,9365,9365,9365,9365,9365,9789,9365,9365,6299,6055,6299,6055,6299,6055,6299,6299,7006,6797,7006,7006,6797,7006,6797,6797,5908,5891,5908,5908,5908,5908,5908,5891
213,9365,9365,9365,9365,9365,9365,9365,9365,6299,6299,6299,6055,6299,6055,6299,6299,7006,6797,7006,7006,6797,7006,7006,6797,5908,5891,5908,5908,5908,5908,5908,5908
214,9365,9365,9112,9365,9365,9365,9112,9365,6299,6299,6299,6299,6299,6299,6299,6299,7006,7006,7006,7006,6797,7006,7006,7006,5908,5908,5908,5908,5908,5908,5908,5908
215,9112,9365,9112,9112,9365,9112,9112,9365,6299,6299,6475,6299,6475,6299,6299,6299,7006,7006,7006,7006,6797,7006,7006,7006,5908,5979,5908,5908,5908,5908,5908,5908
216,9112,9112,9112,9112,9365,9112,9112,9365,6475,6299,6475,6299,6475,6475,6475,6299,7006,7006,7006,7006,7006,7006,7006,7006,5979,5979,5979,5979,5979,5979,5908,5908
217,9112,9112,9112,9112,9112,9112,9112,9112,6475,6299,6475,6299,6475,6475,6475,6299,7006,7006,7006,7101,7006,7006,7101,7006,5979,5979,5979,5979,5979,5979,5979,5908
218,9112,9112,9112,9112,9112,9112,9112,9112,6475,6475,6475,6475,6475,6475,6475,6475,7006,7006,7006,7101,7006,7006,7101,7101,5979,5979,5979,5979,5979,5979,5979,5979
219,9112,9112,9327,9327,9112,9112,9112,9112,6475,6475,6475,6475,6475,6475,6475,6475,7006,7006,7101,7101,7006,7006,7101,7101,5979,5869,5979,5979,5979,5979,5979,5979
220,9112,9327,9327,9327,9112,9112,9327,9112,6581,6475,6475,6475,6475,6475,6475,6475,7006,7101,7101,7101,7006,7101,7101,7101,5979,5869,5979,5979,5979,5979,5979,5869
221,9112,9327,9327,9327,9112,9112,9327,9327,6581,6475,6475,6475,6475,6581,6475,6475,7309,7101,7101,7101,7101,7101,7309,7101,5869,5869,5979,5869,5869,5979,5869,5869
222,9112,9327,9327,9327,9327,9327,9327,9327,6581,6581,6475,6581,6581,6581,6475,6581,7309,7101,7309,7309,7101,7101,7309,7101,5869,5869,5979,5869,5869,5979,5869,5869
223,9327,9327,9327,9327,9327,9327,9327,9327,6581,6581,6475,6581,6581,6581,6475,6581,7309,7309,7309,7309,7101,7101,7309,7101,5869,5869,5869,5869,5869,5869,5869,5869
224,9327,9285,9327,9327,9327,9327,9327,9327,6581,6581,6581,6581,6581,6581,6475,6581,7309,7309,7309,7309,7101,7309,7309,7309,5869,5869,5869,6015,5869,5869,5869,5869
225,9285,9285,9285,9285,9327,9327,9285,9327,6527,6527,6581,6581,6581,6527,6527,6527,7309,7309,7309,7309,7101,7309,7309,7309,5869,6015,5869,6015,5869,5869,5869,5869
226,9285,9285,9285,9285,9327,9285,9285,9285,6527,6527,6581,6581,6581,6527,6527,6527,7309,7309,7309,7309,7309,7309,7309,7413,6015,6015,5869,6015,5869,5869,6015,5869
227,9285,9285,9285,9285,9285,9285,9285,9285,6527,6527,6581,6581,6527,6527,6527,6527,7413,7413,7413,7309,7309,7309,7309,7413,6015,6015,6015,6015,6015,5869,6015,6015
228,9285,9285,9285,9285,9285,9285,9285,9285,6527,6527,6581,6581,6527,6527,6527,6527,7413,7413,7413,7413,7413,7413,7309,7413,6015,6015,6015,6015,6015,6015,6015,6015
229,9285,9285,9285,9285,9285,9285,9454,9285,6527,6527,6527,6527,6527,6527,6527,6527,7413,7413,7413,7413,7413,7413,7309,7413,5918,6015,6015,5918,6015,6015,5918,6015
230,9285,9454,9454,9454,9285,9285,9454,9285,6527,6156,6527,6156,6527,6156,6527,6156,7413,7413,7413,7413,7413,7413,7309,7413,5918,6015,6015,5918,5918,6015,5918,6015
