kbcached,ceph01,ceph02,ceph03,ceph04
122,38117140.0,58321468.0,38119772.0,57473572.0
123,38202776.0,58391820.0,38208028.0,57551796.0
124,38292972.0,58526660.0,38334468.0,57627592.0
125,38387896.0,58644944.0,38453564.0,57708784.0
126,38472804.0,58578400.0,38381468.0,57793092.0
127,38565300.0,58673756.0,38468416.0,57883628.0
128,38650160.0,58767504.0,38572408.0,57963284.0
129,38763560.0,58863068.0,38671620.0,58043288.0
130,38835644.0,58944432.0,38756996.0,58127272.0
131,38907484.0,59035468.0,38845368.0,58191792.0
132,38996348.0,59133740.0,38931748.0,58270112.0
133,39093848.0,59254076.0,39050204.0,58354808.0
134,39241888.0,59340568.0,39137092.0,58456436.0
135,39336216.0,59412332.0,39218164.0,58532744.0
136,39302036.0,59526756.0,39331000.0,58622520.0
137,39363748.0,59520100.0,39459316.0,58676568.0
138,39479928.0,59598008.0,39395788.0,58742408.0
139,39526024.0,59676864.0,39460592.0,58823276.0
140,39642148.0,59783964.0,39576448.0,58922932.0
141,39730564.0,59889464.0,39686040.0,59020980.0
142,39816636.0,59978332.0,39783476.0,59105496.0
143,39906628.0,60065860.0,39867544.0,59191724.0
144,39979804.0,60153692.0,39946440.0,59257636.0
145,40088936.0,60299324.0,40086788.0,59363036.0
146,40165808.0,60352288.0,40144344.0,59441884.0
147,40261524.0,60423840.0,40212216.0,59500984.0
148,40300104.0,60485632.0,40285768.0,59571120.0
149,40381952.0,60620348.0,40381316.0,59643184.0
150,40481608.0,60750780.0,40551392.0,59723936.0
151,40623160.0,60703456.0,40494524.0,59827984.0
152,40746876.0,60788860.0,40571756.0,59914260.0
153,40684024.0,60868136.0,40661232.0,59983624.0
154,40765416.0,60951232.0,40755160.0,60063120.0
155,40882804.0,61083336.0,40883348.0,60138332.0
156,40947824.0,61132740.0,40933028.0,60215448.0
157,41045816.0,61230484.0,41030560.0,60302232.0
158,41143044.0,61345000.0,41127128.0,60394816.0
159,41242680.0,61442392.0,41230772.0,60482920.0
160,41327316.0,61544264.0,41340060.0,60579376.0
161,41400456.0,61625748.0,41430636.0,60650340.0
162,41487852.0,61616204.0,41421008.0,60729212.0
163,41636264.0,61708792.0,41514536.0,60818940.0
164,41704308.0,61858600.0,41649788.0,60909660.0
165,41802256.0,61923048.0,41705652.0,60999416.0
166,41877956.0,62017124.0,41801080.0,61090432.0
167,41973620.0,62140580.0,41933620.0,61175304.0
168,42144128.0,62199324.0,42000228.0,61265040.0
169,42094896.0,62302932.0,42087900.0,61336740.0
170,42169092.0,62385888.0,42164908.0,61422784.0
171,42253864.0,62473060.0,42253128.0,61500604.0
172,42323768.0,62552244.0,42336892.0,61567512.0
173,42411132.0,62669832.0,42462324.0,61647888.0
174,42504856.0,62790032.0,42581076.0,61732272.0
175,42596748.0,62745084.0,42535848.0,61816360.0
176,42674344.0,62833036.0,42609324.0,61896212.0
177,42769640.0,62928536.0,42695228.0,61978824.0
178,42843712.0,63011832.0,42784044.0,62049124.0
179,42935128.0,63107028.0,42881600.0,62136800.0
180,43021756.0,63184828.0,42974568.0,62218580.0
181,43097868.0,63279088.0,43052620.0,62284120.0
182,43179468.0,63402180.0,43173404.0,62352560.0
183,43282796.0,63471864.0,43231484.0,62448848.0
184,43365468.0,63558452.0,43311668.0,62532832.0
185,43454876.0,63699332.0,43467540.0,62617616.0
186,43618320.0,63801024.0,43545716.0,62691828.0
187,43552904.0,63745336.0,43518952.0,62771892.0
188,43641980.0,63821436.0,43607744.0,62847560.0
189,43741672.0,63916440.0,43694500.0,62935936.0
190,43836096.0,64024924.0,43789944.0,63027924.0
191,43914004.0,64156608.0,43923852.0,63114832.0
192,43996048.0,64205692.0,43988684.0,63197132.0
193,44079188.0,64288620.0,44079196.0,63275720.0
194,44176316.0,64418028.0,44214608.0,63357448.0
195,44267536.0,64477892.0,44271664.0,63434364.0
196,44364964.0,64574536.0,44348456.0,63521588.0
197,44455048.0,64719976.0,44485184.0,63620392.0
198,44549520.0,64710576.0,44489732.0,63708036.0
199,44628040.0,64794652.0,44574036.0,63777384.0
200,44739060.0,64884920.0,44671600.0,63869644.0
201,44804868.0,64956804.0,44737568.0,63938112.0
202,44935692.0,65067020.0,44834480.0,64039976.0
203,45092608.0,65169328.0,44940152.0,64131960.0
204,45038488.0,65270916.0,45034684.0,64210076.0
205,45119064.0,65337108.0,45114324.0,64295640.0
206,45195384.0,65463788.0,45246828.0,64367832.0
207,45294676.0,65524672.0,45313388.0,64442012.0
208,45409584.0,65622340.0,45416968.0,64548080.0
209,45476508.0,65726076.0,45486300.0,64632772.0
210,45558604.0,65828796.0,45593184.0,64702400.0
211,45644292.0,65817132.0,45594744.0,64788164.0
212,45736544.0,65903040.0,45680360.0,64865496.0
213,45809384.0,65973420.0,45753652.0,64932568.0
214,45895520.0,66065696.0,45848564.0,65009232.0
215,46017300.0,66210996.0,45962368.0,65121212.0
216,46110828.0,66300316.0,46066788.0,65207364.0
217,46194316.0,66395568.0,46163476.0,65296804.0
218,46267836.0,66471032.0,46240764.0,65369456.0
219,46382920.0,66558044.0,46332760.0,65447064.0
220,46427160.0,66671712.0,46460800.0,65539984.0
221,46493168.0,66759204.0,46517152.0,65627444.0
222,46572324.0,66887828.0,46639736.0,65707668.0
223,46644244.0,66845104.0,46614512.0,65765364.0
224,46743288.0,66959604.0,46763664.0,65862128.0
225,46832468.0,67004352.0,46784044.0,65940184.0
226,46967836.0,67143548.0,46935076.0,66024396.0
227,47002052.0,67189856.0,46968488.0,66113980.0
228,47071580.0,67266388.0,47021756.0,66191636.0
229,47149584.0,67340788.0,47107780.0,66262056.0
230,47215588.0,67419284.0,47192196.0,66331880.0
231,47307772.0,67504880.0,47283460.0,66415332.0
232,47429548.0,67622452.0,47397508.0,66518236.0
233,47510564.0,67716964.0,47476372.0,66596556.0
234,47607324.0,67809952.0,47558244.0,66682984.0
235,47695372.0,67908260.0,47660568.0,66775304.0
236,47764420.0,67991440.0,47756772.0,66843740.0
237,47858808.0,68082580.0,47858532.0,66933516.0
238,47948968.0,68175532.0,47933980.0,67012048.0
239,48039416.0,68255332.0,48018920.0,67085632.0
240,48139792.0,68381600.0,48147004.0,67179356.0
241,48221692.0,68388292.0,48137568.0,67273020.0
242,48314236.0,68475028.0,48232832.0,67349468.0
243,48398220.0,68560388.0,48325204.0,67435752.0
244,48461248.0,68627092.0,48383428.0,67497308.0
245,48581148.0,68758808.0,48522004.0,67570384.0
246,48730360.0,68811264.0,48569812.0,67647356.0
247,48679052.0,68928516.0,48660956.0,67745592.0
248,48766692.0,69050948.0,48760500.0,67833312.0
249,48882868.0,69215872.0,48904684.0,67913720.0
250,48923392.0,68928792.0,48936252.0,67983096.0
251,49002180.0,69042408.0,49024252.0,68052104.0
252,49103028.0,69196932.0,49130496.0,68143404.0
