op,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
133,269301,295094,285820,264153,268794,299209,279612,269110,273514,295288,277011,284971,271573,288184,275264,285366,280605,278579,282929,277736,268222,276405,281816,273374,290868,280484,290475,292376,272958,273313,313400,279753
134,271433,297834,287966,266397,271213,301930,281586,271379,275697,297837,279439,287530,273818,290312,277796,287941,282886,280763,285072,279901,270308,278590,284023,275458,293523,282619,293057,294797,275135,275482,316363,281970
135,273385,299871,290088,267999,272876,303784,283618,273375,277542,299583,281312,289258,275892,292443,279333,289840,285169,283046,287484,282250,272553,280968,286258,277845,295099,284460,294691,296841,276996,277360,318283,283961
136,275259,301947,292018,269597,274568,305692,285602,275159,279339,301471,283185,291332,277523,294359,281082,291589,286989,284866,289245,284013,274305,282710,288101,279620,297103,286418,296777,298737,278853,279099,320374,285856
137,277736,304547,294690,272379,277292,308799,288353,277496,282151,304692,285905,293934,280182,297220,283973,294812,289222,287134,291460,286132,276485,284872,290267,281707,300027,289498,299643,302072,281621,282105,323518,288936
138,280865,307794,297706,275101,280075,311610,290849,280808,284786,307607,288655,296967,283081,300194,287043,297508,291810,289686,294008,288834,278896,287467,292948,284202,303060,291957,302750,304867,284238,284888,326864,291610
139,282565,309749,299797,277178,281901,313972,293049,282455,286900,309672,290788,298920,285228,302283,288918,299436,294619,292328,296815,291515,281723,290204,295704,286957,305003,293952,304671,306745,286228,286431,328975,293439
140,284680,312353,302149,279334,284123,316520,295334,284793,289111,312346,293300,301362,287490,304582,291226,301915,296454,294233,298684,293520,283557,292046,297638,288839,307445,296122,307003,309126,288483,288776,331478,295795
141,286322,314345,303670,281073,285663,318138,296851,286200,290594,313730,294657,302808,288908,306090,292596,303502,298925,296680,301129,295734,285844,294357,300060,291162,308967,297573,308485,310559,289892,290063,333218,297155
142,288401,316663,306111,283163,287858,320564,299088,288470,292808,316161,296791,304854,290970,308543,294736,305911,300507,298334,302826,297366,287456,295907,301736,292731,311475,300099,310889,313043,292257,292338,335619,299489
143,290685,318918,308657,285252,290018,322747,301313,290390,295048,318584,299312,307109,293083,310296,296857,308389,302739,300601,305190,299593,289647,298101,303900,294893,313721,302220,313483,315167,294235,294353,338322,301564
144,292551,320775,310483,287251,292043,324977,303341,292669,296887,320712,301109,309354,295146,312822,299014,310236,304968,302895,307488,301942,291752,300391,306227,297263,315919,304250,315565,317577,296333,296483,340645,303924
145,294500,323053,312571,289098,293946,327252,305372,294558,298832,322700,303103,311471,297023,314995,301084,312468,306784,304699,309356,303715,293531,302228,308067,299084,318028,306293,317664,319657,298398,298531,342873,305997
146,296301,324914,314452,290667,295552,328980,307091,296204,300666,324651,304947,313465,298867,316984,302834,314384,308748,306731,311434,305625,295402,304172,310069,300937,319953,308150,319626,321395,300162,300377,344921,307878
147,297466,326365,315687,292329,297086,330674,308319,297843,301955,325812,306273,314637,300057,318132,304133,315751,310637,308546,313356,307476,297151,306013,312021,302855,321322,309407,321156,322767,301441,301702,346538,309072
148,299877,328840,318213,294334,299470,333198,310812,299866,304294,328513,308737,317203,302555,320756,306594,318061,312155,310021,315031,309082,298816,307707,313630,304442,323802,311918,323390,325341,303789,304004,349356,311638
149,302457,331582,321011,296808,301904,336118,313387,302471,307050,331454,311448,319959,305103,323479,309373,320775,314874,312733,317686,311786,301265,310279,316110,306958,326668,314513,326315,328121,306540,306611,352479,314239
150,304687,334040,323441,298992,304111,338448,315761,304537,309216,333799,313811,322293,307395,325965,311600,323129,317102,314947,319839,313991,303328,312415,318537,309106,329012,316694,328484,330455,308655,308856,354919,316499
