op,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
216,434926,476560,461017,426421,433410,482444,450457,433974,441216,476506,447623,460611,439256,464686,443850,461220,452768,449228,456383,447461,433230,445865,454504,440945,469315,450587,467742,471380,439426,439190,505240,450229
217,437199,478636,463496,428429,435462,484860,452617,436164,443230,478510,449434,462490,441116,466921,445712,463188,454721,451245,458275,449353,435022,447598,456434,442793,471781,453206,470755,473672,441985,441896,507844,452645
218,439068,480690,465307,430142,437264,486964,454439,438086,445194,480688,451458,464561,443186,469121,447702,465352,457059,453505,460865,451532,437140,450087,458746,444835,474045,455292,472471,475886,444110,443551,510535,454989
219,441018,482819,467125,432115,439062,488978,456400,439894,446979,482678,453291,466529,445123,470976,449723,467296,459451,455806,462877,453761,439299,452044,461011,447116,475961,456928,474241,477985,445791,445480,512407,456671
220,443523,485396,469667,434413,441508,491783,458916,442087,449684,485298,455919,469559,447513,473644,452542,470086,460970,457410,464787,455550,440927,453649,462824,448541,478577,459578,476908,480413,448386,447721,515279,459177
221,446445,488492,472689,437182,444358,495007,461684,445076,452206,488299,458527,471968,450148,476655,454742,472587,463879,460030,467411,458042,443529,456083,465476,451243,481537,462410,480346,483551,451023,450429,518394,462251
222,447902,490335,474506,438838,445924,496909,463609,446613,453810,490046,460067,473700,451821,478323,456370,474301,466756,462999,469994,460485,446072,458663,468329,453874,483409,464374,481908,485446,453013,452197,520550,463921
223,450219,493012,476940,441177,447835,499532,465553,448436,456186,492520,462398,476193,454104,480736,458862,476807,468556,464674,472111,462602,447940,460691,470143,455748,485397,466177,483899,487346,454970,454002,523167,466278
224,451564,494313,478168,442278,449320,500751,467186,450037,457540,493987,463891,477574,455429,482156,460202,478186,470101,466315,473611,464197,449575,462240,471726,457088,487077,467994,485622,489340,456626,455790,524751,467643
225,453070,495824,479653,443863,450908,502599,468789,451601,459120,495846,465552,479022,457048,483891,462045,480035,472408,468522,475880,466461,451631,464504,474115,459374,488635,469510,487280,490902,458056,457192,526492,469194
226,455759,498825,482511,446433,453730,505577,471574,454282,462036,499144,468399,481962,459822,486769,465082,483039,473785,469910,477300,467882,452947,465859,475481,460784,491540,472532,490368,493974,460888,460063,529666,472138
227,458302,501491,485325,448862,456450,508293,474199,456680,464366,501471,470807,484596,462343,489301,467237,485475,476770,472885,480280,470496,455778,468432,478105,463226,494459,475313,493319,496679,463535,462653,532508,474747
228,460055,503414,486914,450613,457953,510296,475939,458581,466373,503822,472608,486374,464103,491505,469183,487709,478744,474933,482414,472844,457664,470870,480645,465945,496506,477156,495062,498720,465248,464513,534823,476626
229,461881,505575,489158,452553,460051,512607,478136,460612,468107,505478,474540,488396,466009,493349,470842,489348,480906,477063,484459,474905,459775,472698,482609,467564,498593,479117,497172,500892,467191,466543,537220,478687
230,463858,507645,491062,454420,461898,514695,480203,462583,470039,507469,476576,490328,467806,495337,472822,491274,482951,479191,486577,476967,461811,474805,484657,469593,500565,481091,499078,502997,469232,468456,539232,480546
231,465858,509832,493179,456326,463891,516868,482217,464447,471872,509585,478302,492437,469775,497429,474726,493168,484554,480618,488214,478537,463184,476326,486290,471088,502593,483066,501301,505012,471074,470319,541480,482767
232,468325,512397,495652,458536,466301,519511,484737,466865,474397,512189,480943,495203,472291,500197,477268,495797,487059,483122,490776,480919,465413,478781,488850,473385,505213,485852,503935,507724,473693,472805,544297,485201
233,469918,514178,497335,460093,467807,521274,486321,468440,476281,514099,482944,497001,474063,502201,479210,497793,489352,485759,493478,483481,467810,481017,491118,476110,507067,487487,505767,509587,475261,474558,546256,486944
234,471519,515838,498996,461648,469389,523006,487914,470061,477743,515759,484236,498494,475406,503740,480571,499295,491102,487184,494977,485206,469494,482891,492909,477580,508848,489176,507454,511271,476848,476138,548190,488688
235,473295,517841,501019,463421,471183,524979,489809,471937,479530,517536,486061,500388,477215,505567,482268,500929,493039,488988,496959,487097,471326,484792,494783,479395,510735,491086,509484,513239,478699,477989,550293,490526
236,475639,519896,503410,465822,473388,527000,491947,473771,482422,520161,488580,502998,480070,507986,484709,503567,494685,490592,498489,488725,472918,486402,496333,480911,512777,493208,511667,515363,480642,479905,552566,492553
237,478028,522607,505823,467934,475676,530055,494468,476283,484462,522872,490978,505607,482123,510728,487267,506135,496877,492757,500616,490794,474989,488461,498495,482975,515735,495630,514309,518279,482906,482402,555509,495094
238,479746,524759,507748,469633,477640,532030,496467,478485,486165,524698,492789,507413,483808,512613,489082,508008,499519,495573,503492,493714,477682,491074,501255,485846,517673,497759,516354,520339,485051,484401,557901,497189
239,481314,526522,509569,471222,479157,533790,498165,479999,488191,526878,494798,509535,485874,514802,491162,510064,501910,497818,505635,496034,479907,493328,503566,487991,519630,499380,518098,521999,486605,486003,560021,498862
240,483562,529024,511829,473453,481500,535962,500256,482073,490052,528924,496658,511397,487631,516609,492967,511871,503469,499379,507266,497606,481368,494877,505169,489506,521854,501799,520653,524234,488652,488252,562146,500916
241,485485,530643,513451,475041,483027,538000,502044,483917,492523,531752,499153,513819,490104,519224,495387,514549,505406,501294,509209,499413,483076,496826,506965,491332,523509,503225,522183,526176,490458,489874,564115,502632
242,487858,534238,516251,478129,485735,540747,504883,486755,495407,534490,501845,516922,493415,522672,498824,517593,507352,503285,511284,501519,485105,498544,509061,493234,526236,506056,524942,529261,493064,492376,567138,505533
243,490643,536543,519199,480545,488381,544051,507830,489247,497473,537033,504104,519160,495157,524421,500424,519615,510143,506233,514101,504205,487599,501130,511828,495792,529278,508903,528102,532094,495892,495276,570397,508255
244,492477,538602,521106,482203,490245,545962,509779,491132,499470,539191,506210,521299,497219,526523,502428,521861,513411,509301,517165,507369,490716,504345,515127,499066,531340,511040,530163,534115,497840,497231,572572,510208
245,494747,540917,523388,484474,492379,548193,511903,493267,501516,541649,508179,523372,499590,528676,504419,523812,515275,511178,519145,509304,492605,506190,516954,500794,533784,513389,532253,536275,499952,499361,574912,512464
246,496243,543000,525151,486047,493956,550623,513897,494925,503377,543528,510182,525484,501144,530729,506405,525863,517641,513313,521496,511526,494554,508358,519061,503076,535631,514979,534142,538197,501969,501315,577045,514384
247,497921,544653,526794,487461,495580,552068,515531,496496,505851,545952,512792,528005,503435,533044,508821,528517,519777,515241,523506,513497,496803,510157,521222,504827,537282,516666,535972,539902,503497,502773,578901,515953
248,500998,548052,530040,490404,498569,555432,518599,499413,508749,549558,515441,530838,506441,535871,512019,531781,521316,516954,525049,515063,498146,511833,522901,506582,540523,519941,539295,543336,506407,505973,582404,519100
249,503622,550626,532590,492796,501061,558034,521183,502205,510489,551069,517444,532835,508204,538169,513942,533476,524443,520142,528224,518234,501248,514837,526274,509601,543239,522518,541901,545909,508888,508311,585288,521812
250,505196,552505,534431,494559,502733,559847,522881,503921,512246,553028,519038,534747,509971,540083,515398,535267,527185,522739,530959,520842,503739,517435,528939,512199,545008,524357,543703,547778,510525,510037,587308,523480
251,507208,554684,536460,496567,504794,562172,524989,505825,514425,555659,521297,537039,512402,542477,517677,537640,528832,524394,532650,522550,505389,519087,530583,513863,547374,526560,545971,549924,512492,511956,589606,525476
252,509242,556955,538722,498460,506676,564219,526929,507915,516453,557620,523250,539077,514132,544568,519746,539644,531191,526699,534835,524757,507477,521453,532681,515926,549279,528687,548264,552082,514815,514091,592106,527782
253,511116,558899,540559,500176,508486,566422,528973,509612,518471,559644,525352,541416,516199,546773,521687,541746,533083,528616,537111,526637,509447,523273,534978,517907,551390,530546,550085,554158,516568,515970,594247,529727
254,513594,561503,543053,502382,510860,569284,531364,512028,520655,562170,528103,543478,518453,549078,523914,544468,534917,530561,538929,528709,511400,525142,536847,519775,554018,533120,552776,556658,519140,518360,597043,532087
255,515510,563740,545358,504512,512977,571233,533410,514077,522438,563981,529391,545378,520093,550857,525532,545947,537240,533016,541285,531006,513442,527455,539275,522078,556140,535092,554701,558855,521010,520336,599246,534102
256,517127,565559,547120,506075,514669,573099,535181,515775,524473,566139,531345,547429,522219,553082,527616,547963,539460,535045,543402,533203,515485,529558,541352,524189,558024,536840,556463,560783,522811,521981,601235,535870
257,519386,568028,549542,508378,516919,575587,537440,518083,526373,568179,533160,549316,523966,554957,529416,549933,541137,536849,545247,535001,517138,531321,543127,525893,560527,539205,558950,563068,525008,524301,603717,538079
258,520914,569699,550921,509706,518323,577333,539082,519493,528243,570648,535028,551741,525764,557267,531482,552325,543612,539231,547698,537265,519489,533419,545631,528141,562089,540798,560596,564735,526551,525879,605554,539828
259,522764,571650,553080,511618,520294,579387,541090,521426,530028,572076,536859,553218,527522,558721,533199,553821,545197,540799,549216,538890,520828,535087,547126,529772,563962,542615,562474,566712,528379,527613,607470,541515
260,525127,574316,555664,513765,522697,581813,543563,523718,532533,574866,539363,555775,530135,561501,535715,556428,547033,542753,551019,540678,522727,536985,549095,531553,566853,545408,565135,569255,530982,530184,610410,544291
261,527397,576187,557835,515788,524461,584139,545412,525597,534596,577074,541433,557932,532183,563666,537812,558577,549469,545187,553413,542992,524847,539412,551615,534070,568800,547153,567147,571301,532579,531981,612469,545947
262,529121,578548,559666,517806,526518,586408,547616,527692,536208,578747,543059,559573,533835,565426,539494,560335,551367,547108,555480,544933,526908,541306,553585,535713,571064,549451,569386,573686,534827,534140,615009,548203
263,531433,581011,562271,520096,528669,589037,549728,529973,538440,581002,545373,561970,535978,568030,541889,562818,553712,549406,557674,547269,529016,543578,555900,537900,573436,551696,571825,576112,536974,536383,617756,550651
264,532960,582583,563612,521410,530324,590498,551421,531364,540720,583419,547561,564191,538285,570024,543763,564952,556036,551756,559993,549476,531568,546117,558364,540106,575118,553301,573723,577935,538682,538454,619652,552293
265,534993,584969,565925,523494,532475,592964,553596,533538,542597,585504,549330,566250,540009,572026,545483,566810,557394,553173,561458,551164,532776,547328,559697,541571,577381,555443,575806,580182,540657,540141,621859,554484
266,536848,586911,567880,525384,534289,595070,555662,535367,544530,587368,551145,568131,541991,573897,547543,568921,559591,555268,563773,553268,534861,549609,561908,543738,579391,557462,577967,582155,542675,542023,624032,556422
267,538773,588788,569877,527176,536101,596943,557605,537149,546050,589118,552917,569766,543546,575669,549139,570560,561606,557379,565763,555271,536653,551594,563986,545673,581218,559113,579667,584148,544348,543813,626051,558299
268,541146,591254,572269,529453,538485,599608,560080,539595,548302,591629,555262,572198,545767,578211,551416,573045,563521,559217,567731,557167,538519,553421,565827,547516,583729,561489,582182,586518,546573,546173,628736,560633
269,542950,593468,574238,531231,540402,601660,562058,541345,551045,594336,557835,574634,548276,580727,554027,575594,566013,561528,570123,559563,540824,555908,568417,549819,586008,563558,584366,588639,548432,548191,630906,562586
270,545267,595859,576478,533421,542647,603898,564245,543432,553017,596446,559880,576843,550292,582971,556032,577530,567933,563448,572086,561529,542701,557535,570106,551797,588064,565758,586562,591072,550755,550386,633617,564976
271,547031,598067,578748,535526,544755,606064,566150,545191,554725,598360,561574,578549,551861,584668,557757,579282,570037,565562,574169,563670,544767,559591,572474,553828,590350,567811,588838,593373,552789,552500,635944,566899
272,548935,600037,580559,537187,546128,608006,568127,547085,556760,600825,563681,580731,553910,586758,559851,581419,572196,567809,576302,565629,546824,561666,574460,555847,592188,569683,590682,595302,554662,554170,638031,568762
273,551153,602689,583093,539489,548713,610684,570368,549339,558934,603100,566211,583236,556352,589037,561986,583757,574033,569766,578156,567575,548525,563514,576305,557750,594758,572089,593335,597879,557004,556575,640735,571277
274,553692,605373,585473,541729,551525,613201,572804,551606,561147,605519,568248,585308,558375,591393,564139,585977,576566,572227,580843,570003,550854,566266,578982,560086,597550,574874,595907,600431,559440,559099,643785,573685
275,555993,607604,587825,543977,553464,615691,575018,553809,563713,608476,571020,588228,561005,594079,566837,588740,579164,574746,583360,572578,553119,568384,581640,562595,599767,576956,598190,602863,561603,561226,646094,576036
276,558275,610133,590272,546164,555657,618117,577310,556100,565897,610678,573156,590432,563194,596440,568897,590984,581552,576819,585642,574792,555681,570596,583713,564863,602070,579168,600616,605211,563886,563467,648747,578364
277,559735,611878,592041,547708,557205,619976,579102,557609,567233,611988,574608,591877,564606,597905,570286,592471,583310,578715,587600,576794,557512,572554,585542,566536,603870,580971,602382,606994,565713,565163,650567,580023
278,561918,614374,594320,549864,559434,622441,581319,559882,569916,614943,577311,594579,567110,600497,573063,595291,585368,580810,589602,578711,559451,574531,587649,568697,606197,583176,605089,609527,567837,567363,653042,582330
279,564271,616876,596760,552092,561662,625019,583739,562119,572323,617617,579852,597333,569393,603032,575558,597763,587595,582984,591847,580846,561488,576657,589927,570734,608778,585553,607249,611843,570180,569786,655839,584905
280,566958,619616,599469,554472,564276,627717,586353,564695,574689,620008,582164,599632,571892,605573,577828,600234,590207,585517,594413,583442,564108,579262,592747,573483,611819,588494,610283,614669,572865,572682,659105,587604
281,568954,622008,601898,556632,566221,630163,588653,566800,577020,622685,584648,602102,574278,608183,580281,602592,592794,588120,597292,586160,566501,581948,595485,575729,613793,590364,612291,617403,575142,574516,661287,589687
282,570601,623931,603684,558213,567907,632081,590378,568418,578429,624472,586442,603679,576088,610028,582107,604356,595021,590316,599308,588131,568624,583938,597533,577934,615574,591859,614147,618683,576536,576131,663077,591359
283,572685,626228,605796,560216,569893,634264,592480,570711,580271,626206,587922,605542,577599,611582,583609,606199,596958,592134,601121,590047,570321,585762,599533,579740,617836,594046,616385,620867,578690,578255,665418,593483
284,575115,628483,608437,562623,572371,636820,594586,572571,582788,628829,590487,608060,580077,614214,586078,608719,599004,594099,603251,592002,572329,587705,601549,581541,620272,596416,618821,623797,581335,580766,667923,595715
285,577067,630774,610358,564490,574290,639094,596905,574812,585064,631337,592676,611173,582175,617110,588293,611891,601153,596537,605664,594247,574422,589859,604011,583702,622354,598266,620979,625432,583036,582269,670377,597774
286,580128,634110,613145,567153,577003,642570,600021,577688,587639,633963,595553,613121,584929,619394,590791,613988,603537,598472,607732,596138,576533,592110,605958,585801,625711,601483,624296,628869,586156,585333,673916,600806
287,581752,635768,615141,569149,579007,644656,601823,579515,589674,636100,597378,615247,586945,621312,592805,615860,606294,601478,610783,599046,579407,594842,608994,588468,627528,603371,625996,630796,587863,586845,676057,602679
288,583568,637738,617045,570764,580809,646487,603671,581230,591300,637660,598783,616854,588582,622830,594357,617698,608220,603327,612590,600926,581197,596945,610862,590528,629176,604885,627778,632510,589652,588642,677838,604606
289,585578,639926,619153,572773,582932,648667,605960,583432,593041,639632,600660,618858,590276,625041,596211,619385,610260,605154,614474,602681,582897,598871,612667,592273,631316,606999,629929,634736,591743,590630,680107,606687
290,588149,642743,621658,575333,585330,651440,608355,585586,595858,642679,603369,621761,593027,627842,598948,622006,612594,607756,616676,604984,585261,601068,614886,594460,633818,609583,632644,637330,594050,593036,682844,609018
291,590725,645528,624569,577791,587855,654189,611128,588309,598171,645213,605768,624210,595345,630314,601217,624688,614503,609501,619005,607057,586921,603072,617170,596653,636812,612265,635290,640063,596737,595659,685841,611910
292,592806,648200,627114,579954,590164,656969,613580,590582,600674,647928,608258,626838,597919,633158,603842,627220,617427,612608,621861,609774,590093,606102,619953,599073,639553,614814,638164,642656,599116,598278,688547,614303
293,593956,649297,628118,581179,591514,658117,614897,591868,601879,649045,609462,627919,598927,634207,604913,628215,620091,615156,624327,612342,592431,608504,622398,601664,640553,615873,639329,643966,600468,599301,690054,615632
294,595476,651083,629792,582742,593167,659817,616576,593453,603492,650802,611028,629608,600495,635911,606628,630013,621402,616586,625914,613964,593817,609937,624009,603302,642255,617555,641050,645596,602143,600897,691852,617258
295,597896,653746,632236,585086,595519,662287,618881,595627,605756,653368,613430,631984,602809,638358,608999,632446,623026,618214,627401,615493,595296,611560,625556,604830,644574,619938,643454,648160,604434,603082,694359,619693
296,599992,656140,634681,587233,597723,664795,621253,598029,608085,655847,615721,634548,605523,640782,611336,634872,625129,620405,629638,617536,597358,613619,627839,606955,647118,622289,645858,650410,606618,605284,696968,621891
297,602682,659191,637440,589963,600571,667746,624066,600745,610637,659335,618364,637120,607811,643698,614320,637891,627639,622795,631998,620107,599609,615845,630031,609044,650064,625129,648773,653511,609415,608037,700230,624779
298,605065,661872,639940,592158,603123,670395,626403,602998,613272,661492,620829,639701,610126,646546,616653,640582,630474,625902,634856,622802,602824,618825,632880,611747,652534,627524,651547,656220,611867,610445,703140,627303
299,606778,663588,641730,593942,604535,672217,628217,604760,614687,662928,622324,641263,611611,647700,618062,641909,632962,628034,637388,625249,604828,621270,635607,614325,654290,629296,653029,657904,613579,612104,704997,629028
300,608436,665429,643473,595540,606121,673940,629950,606354,616432,664689,624015,643018,613309,649640,619921,643534,634876,630061,639447,627264,606781,623221,637656,616354,655966,630888,654821,659606,615233,613634,706790,630705
301,610559,667696,645778,597623,608159,676184,632063,608480,618539,666926,626215,645251,615343,651748,621794,645896,636634,631767,641087,628937,608312,624958,639351,618052,658317,633150,657094,661905,617364,615790,709237,632942
302,613097,670316,648363,599924,610550,678750,634724,610848,621061,669661,628904,647656,617786,654709,624751,648538,638853,634039,643371,631137,610531,627163,641728,620113,660869,635788,659762,664533,619836,618424,712094,635369
303,615556,672983,651119,602715,613113,681877,637323,613508,623566,672303,631187,650434,620392,657015,626916,650930,641253,636321,645523,633290,612750,629346,644322,622778,663744,638483,662520,667311,622503,620905,714922,638295
304,617218,674894,652862,604336,614711,683564,638883,614943,625246,674061,632829,652198,622062,658809,628703,652815,643864,639025,648273,636002,615174,631890,646598,625002,665254,640089,664372,669082,624060,622504,716840,639903
305,618967,676734,654662,605939,616358,685501,640758,616828,626935,675927,634519,654000,623658,660386,630315,654624,645669,640825,650148,637764,616998,633790,648404,626731,667172,641878,666151,671003,625872,624238,718737,641716
306,620481,678491,656457,607449,618003,687170,642433,618461,628561,677595,636222,655671,625387,662253,631839,656199,647480,642422,651787,639194,618532,635523,649887,628247,668954,643555,667865,672890,627566,625954,720727,643328
307,622761,681020,658840,609693,620312,689598,644708,620733,630928,680172,638596,657971,627722,664597,634264,658556,649368,644478,653755,641227,620539,637273,651981,630171,671357,645983,670346,675450,629973,628377,723532,645773
308,625002,683292,660968,611749,622496,691904,646947,622840,633491,682966,641161,660517,630139,667154,636862,661364,651772,646843,656203,643915,622739,639878,654372,632377,673581,648227,672547,677621,631992,630274,725787,647901
309,627367,686069,663723,614201,624951,694747,649451,625340,635487,684878,643070,662911,632171,669509,638908,663156,653872,648936,658370,645860,624750,641853,656657,634538,676116,650646,675156,680335,634425,632726,728591,650413
310,629310,688190,665737,616137,626858,696886,651532,627263,637299,686884,644960,664785,633926,671360,640687,665067,656597,651563,660942,648360,627377,644508,659252,637115,678190,652693,677330,682499,636359,634719,730892,652419
311,630983,689973,667535,617827,628431,698747,653273,629006,639205,688769,646837,666512,635840,673284,642507,666929,658457,653515,662818,650476,629103,646484,661249,638935,679878,654447,679049,684344,638027,636386,732608,654105
312,632961,692099,669639,619659,630460,700957,655275,630977,640991,690865,648689,668607,637637,675140,644397,668860,660131,655213,664516,651957,630814,648034,662942,640557,681967,656505,681253,686382,640021,638325,735002,656178
313,635406,694547,672108,621769,632415,703228,657480,633041,643611,693275,651164,671344,640234,677692,646956,671362,662329,657463,666614,654086,632800,650079,665108,642657,684152,658817,683488,688715,642123,640433,737427,658431
314,637722,697381,674719,624467,635178,706372,660254,635727,646038,696073,653715,673750,642428,680445,649504,674042,664625,659779,669062,656226,634950,652402,667372,645023,687108,661365,686203,691488,644935,643159,740564,661107
315,639690,699415,676676,626244,637056,708404,662169,637509,647760,698053,655581,675577,644250,682394,651251,675833,667419,662527,671784,659114,637724,655199,670283,647741,689010,663350,688220,693539,646830,645018,742676,663048
316,641465,701436,678408,627844,638846,710469,663901,639245,649450,700108,657462,677364,646021,684219,652994,677699,669243,664423,673672,660979,639556,657161,672171,649533,690822,665202,690196,695436,648670,646809,744668,664884
317,643900,704014,681115,630225,641264,713029,666362,641567,651926,702846,659844,680065,648495,686964,655586,680231,671016,666142,675303,662520,641358,658665,673619,651236,693377,667668,692745,697983,651140,649253,747448,667363
318,645809,706379,683340,632186,643286,715323,668528,643526,653910,705044,662000,682136,650664,689014,657560,682362,673420,668709,677882,665193,643779,661330,676352,653498,695879,669867,695063,700135,653299,651356,749769,669497
319,647318,708104,685048,633680,644721,717103,670079,645255,655723,706884,663790,683915,652459,690813,659262,684236,675792,670999,680399,667607,645783,663690,678785,655825,697366,671309,696624,701880,654782,652902,751656,671116
320,650067,711065,687828,636309,647290,720080,672808,647827,658118,709443,666316,686696,654969,693375,661909,686707,677450,672575,682058,669050,647464,665206,680296,657432,700088,674021,699299,704619,657520,655424,754723,673802
321,651421,712493,689162,637615,648721,721628,674231,649054,659613,710903,667756,688381,656319,694770,663169,688429,680163,675238,684623,671779,650146,667907,682967,660000,701747,675484,700920,706263,658918,656832,756402,675148
322,653862,715334,691697,640126,651125,724401,676803,651671,662184,713606,670335,690648,658701,697417,665635,690751,681590,676707,685950,673168,651394,669194,684382,661342,704207,678316,703356,708844,661354,659470,759115,677676
323,655863,717586,694056,642180,653257,726788,678991,653675,664191,715796,672535,692948,660958,699718,667765,692731,684344,679261,688588,675794,653922,671820,686946,663754,706612,680409,705579,711235,663609,661573,761772,679903
324,657727,719594,695982,644037,655135,728746,680922,655498,666117,717872,674494,694925,662824,701640,669626,694810,686539,681449,690917,677956,656063,674043,689419,666088,708464,682358,707539,713164,665551,663372,763880,681711
325,659884,721951,698218,646065,657189,731184,683067,657671,668390,720297,676713,697252,665157,703981,671912,697088,688639,683386,692893,679865,657921,675954,691320,667958,710958,684498,709815,715544,667707,665612,766484,684115
326,661781,724048,700064,647922,659243,733350,685036,659521,670297,722406,678516,699151,666804,706225,673581,699014,690893,685462,695125,682150,660036,678057,693642,669995,712977,686397,711816,717537,669599,667508,768716,685984
327,663244,725802,701632,649334,660658,734948,686508,660941,671903,724310,680269,700991,668678,707622,675386,700772,692755,687454,697116,684012,661928,680044,695705,671985,714473,687940,713409,719335,671160,669082,770376,687457
328,665554,728211,704230,651648,663091,737599,689191,663386,674050,726480,682474,703123,670746,710018,677498,703138,694120,689033,698600,685507,663297,681429,697215,673451,717153,690551,715931,721732,673490,671482,773261,689929
329,668159,731007,706654,654025,665447,740404,691447,665805,676649,729381,685203,705818,673416,712902,680155,705957,696768,691594,701051,687971,665705,684008,699723,675831,719868,693178,718597,724277,675985,673865,776045,692443
330,669994,732824,708769,655885,667406,742389,693593,667649,678520,731168,687052,707755,675219,714762,681913,707851,699089,694004,703786,690384,668160,686429,702543,678258,722125,695143,720694,726492,678092,675803,778392,694462
331,672175,735184,711104,658080,669532,744697,695982,669734,680714,733585,689238,710084,677359,716991,684099,710106,701266,696081,705832,692502,670101,688575,704371,680244,724397,697401,722895,728904,680204,678094,780904,696666
332,673500,736750,712533,659395,670999,746286,697410,671173,682044,735097,690626,711494,678647,718457,685427,711537,703450,698317,708090,694645,672163,690630,706531,682368,725991,698841,724404,730470,681592,679442,782521,698116
333,675919,739360,715330,661992,673544,748828,699604,673464,684672,737855,693237,714100,681294,721878,688139,714277,704880,699800,709462,696200,673616,692115,708132,683920,728503,701271,726941,733029,684217,681951,785199,700541
334,678325,741931,717520,663987,675676,751501,702150,675836,687016,740191,695417,716364,683408,723407,690182,716558,708202,703000,711842,698797,676776,694385,710601,686523,731153,703769,729486,735558,686317,684150,787914,702967
335,680740,744490,719824,666172,677899,754080,704417,678021,689212,742777,697676,718652,685612,725638,692717,719295,709877,704846,714344,701197,678349,697044,713067,688824,733497,706013,732102,737974,688601,686233,790553,705197
336,683012,746797,722349,668381,680042,756588,706705,680332,691642,745150,700015,721118,687851,728181,694579,721332,712076,707057,716564,703392,680473,699182,715386,690961,735915,708343,734310,740424,690735,688602,793039,707588
337,684197,748153,723678,669626,681196,757983,707970,681542,692868,746462,701347,722410,689165,729606,695855,722784,714472,709603,718819,705693,682960,701604,717755,693357,737341,709567,735631,741772,692065,689812,794493,708874
338,685454,749565,724979,670855,682510,759421,709273,682852,694342,747970,702799,723841,690563,731117,697740,724144,715824,710927,720197,706979,684120,702889,719091,694630,738724,710964,737099,743236,693374,691138,796068,710286
339,687502,751836,727220,672847,684643,761787,711392,685029,696249,750082,704859,725947,692591,733238,699311,726248,717134,712242,721546,708259,685420,704216,720404,695980,740940,713016,739235,745429,695555,693235,798513,712331
340,688496,752913,728318,673841,685627,762919,712439,686065,697458,751379,706088,727166,693860,734445,700454,727483,719388,714499,723803,710393,687599,706416,722613,698061,742145,714204,740485,746661,696682,694322,799842,713483
341,689777,754329,729624,675024,686850,764253,713798,687343,698588,752603,707207,728343,694985,735620,701602,728614,720478,715616,724768,711418,688627,707414,723782,699136,743384,715350,741710,747930,697871,695505,801145,714680
342,691317,755950,731302,676647,688468,766180,715464,688736,700253,754375,708811,730009,696606,737373,703186,730279,721750,716925,726113,712747,689821,708753,725030,700429,745124,717063,743479,749708,699455,697132,803060,716351
343,692655,757464,732785,678055,689769,767829,716950,690191,701822,756008,710274,731617,698056,738859,704757,732015,723310,718612,727831,714497,691337,710420,726606,702010,746771,718707,745178,751344,700942,698598,804629,717834
344,694032,758771,734128,679277,691113,769095,718229,691461,703087,757391,711673,732935,699321,740266,706036,733213,724818,720036,729227,715880,692794,711716,728148,703456,748126,719990,746463,752688,702302,699877,806267,719212
345,695953,760450,736127,680713,692973,770625,719711,692939,704756,759232,713553,734656,701267,742040,707873,735038,726204,721460,730635,717234,694153,713105,729404,704829,749967,721831,748291,754703,703917,701601,808542,721023
346,697101,762470,737696,682374,694052,772530,721606,694654,707038,761368,715104,736746,702945,743918,709602,737012,728182,723221,732138,718715,695662,714584,730952,706289,751941,723646,750391,756581,705776,703284,810557,722662
347,698587,763708,739027,683688,695676,774191,722964,696142,707715,762598,716440,737816,704118,745151,710734,738035,729696,724775,733844,720283,697241,716300,732698,707742,752952,724769,751424,757624,706998,704484,811708,723950
348,699965,765142,740390,684973,696995,775701,724386,697466,709493,764666,718400,739580,705898,747270,712781,740100,730973,726138,735436,721909,698799,717770,734288,709365,755119,726566,753618,759781,708643,706421,813699,725828
349,702331,767804,742938,687361,699444,778186,726907,699805,711510,766557,720367,741705,707911,749063,714589,742048,732373,727512,736858,723253,700144,719159,735649,710717,757077,728772,755588,761788,710816,708351,815990,727876
350,704154,769719,745056,689010,701115,780097,728663,701703,713654,769039,722387,743836,710008,751090,716876,744318,734987,730070,739295,725676,702485,721607,737993,713170,759562,730914,757900,763757,712829,710534,818681,730207
351,705503,771418,746521,690629,702653,781911,730307,703197,714762,770238,723669,745185,711236,752551,717922,745416,736790,731738,740996,727395,704077,723354,739802,714733,760634,732128,759109,765113,714124,711508,819763,731237
