journal_wr_bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
72,20720.0,19713.0,19993.0,21319.0,19080.0,20310.0,20820.0,19723.0,18982.0,19105.0,20310.0,19219.0,18766.0,21043.0,19238.0,18489.0,19757.0,19113.0,19371.0,18453.0,22009.0,21001.0,20132.0,20036.0,21182.0,21768.0,32226.0,33610.0,21282.0,18384.0,32364.0,35435.0
73,19043.0,19142.0,19048.0,18371.0,18851.0,19695.0,21157.0,20644.0,19909.0,18311.0,19776.0,19340.0,18869.0,20434.0,31596.0,27271.0,20430.0,18763.0,19614.0,18266.0,20056.0,20096.0,18713.0,19756.0,19424.0,20063.0,19580.0,22202.0,20414.0,18704.0,27287.0,24433.0
74,18813.0,18093.0,23085.0,24688.0,25658.0,24969.0,37010.0,33213.0,19249.0,18066.0,17743.0,17062.0,16670.0,18666.0,20978.0,21158.0,16558.0,16621.0,16676.0,17074.0,16254.0,17471.0,17477.0,16001.0,19009.0,20989.0,16521.0,16939.0,16824.0,16563.0,16778.0,16872.0
75,14629.0,15065.0,17999.0,17329.0,16524.0,17087.0,18032.0,16743.0,22678.0,24104.0,18625.0,18056.0,17010.0,17002.0,14719.0,13846.0,29172.0,28423.0,20419.0,20442.0,14067.0,14250.0,13840.0,14665.0,18295.0,20471.0,13526.0,14729.0,15304.0,15300.0,14266.0,14299.0
76,19117.0,19783.0,13965.0,14169.0,14336.0,13941.0,14723.0,14495.0,17238.0,17913.0,22695.0,21368.0,22596.0,22924.0,15758.0,15098.0,17268.0,16072.0,22361.0,22855.0,19037.0,18812.0,22630.0,23466.0,14031.0,14515.0,13929.0,14289.0,22066.0,20581.0,14709.0,14678.0
77,35732.0,36204.0,19153.0,18256.0,17169.0,20009.0,17328.0,18650.0,17649.0,17352.0,17528.0,17322.0,17273.0,17955.0,18129.0,16800.0,17479.0,17925.0,18932.0,17914.0,23918.0,24581.0,25731.0,25920.0,16314.0,18534.0,19497.0,20225.0,16966.0,16463.0,17597.0,17116.0
78,17780.0,17315.0,16994.0,17252.0,16948.0,18306.0,16467.0,17816.0,17878.0,18467.0,18125.0,17397.0,16470.0,19157.0,17903.0,16292.0,17612.0,17310.0,17253.0,18091.0,18398.0,19753.0,16882.0,18315.0,18463.0,18369.0,35698.0,35495.0,19676.0,17178.0,32480.0,30220.0
79,16443.0,16695.0,16234.0,16617.0,15974.0,17882.0,18908.0,18062.0,16552.0,15394.0,16203.0,18020.0,17504.0,18585.0,32143.0,38909.0,19065.0,17839.0,16218.0,17156.0,17255.0,16915.0,17953.0,16695.0,18622.0,20078.0,20268.0,21034.0,17427.0,18562.0,33490.0,34296.0
80,16938.0,16451.0,21406.0,21573.0,27348.0,26963.0,30006.0,30180.0,17544.0,17549.0,15262.0,15736.0,15919.0,17659.0,18904.0,19058.0,17018.0,15780.0,15484.0,16464.0,17099.0,16798.0,17450.0,16357.0,26613.0,31209.0,16170.0,16665.0,15974.0,16746.0,17596.0,17305.0
81,13796.0,14077.0,17466.0,17543.0,16156.0,17084.0,16774.0,16641.0,22168.0,24177.0,30211.0,29634.0,16847.0,20745.0,15890.0,14871.0,26532.0,23972.0,15416.0,16979.0,13436.0,13317.0,12948.0,13054.0,14654.0,14480.0,13509.0,13576.0,17312.0,17786.0,14017.0,13274.0
82,25929.0,25702.0,15525.0,15139.0,14960.0,15872.0,14777.0,15205.0,15553.0,15759.0,15499.0,15004.0,23335.0,25291.0,15065.0,14918.0,15399.0,15399.0,24386.0,24616.0,19739.0,19190.0,23684.0,22113.0,14539.0,14806.0,15837.0,16648.0,23351.0,23446.0,15559.0,15932.0
83,22332.0,21761.0,21726.0,20018.0,18594.0,20203.0,19192.0,22099.0,20118.0,20480.0,23079.0,20027.0,20902.0,22134.0,21193.0,18911.0,23442.0,20474.0,24288.0,24645.0,33224.0,31588.0,27712.0,33156.0,19369.0,21714.0,19172.0,22302.0,20744.0,20020.0,22145.0,21547.0
84,19160.0,18315.0,18731.0,19477.0,18486.0,20194.0,19800.0,19495.0,19022.0,18376.0,18486.0,18367.0,20382.0,21817.0,19369.0,18842.0,18584.0,16862.0,18589.0,17616.0,19940.0,19317.0,18371.0,18720.0,18404.0,17749.0,37448.0,36925.0,18777.0,18729.0,25117.0,26361.0
85,18908.0,17455.0,16546.0,16591.0,17061.0,16759.0,17541.0,17113.0,17113.0,16564.0,16902.0,17924.0,16189.0,17104.0,32057.0,28366.0,19089.0,17080.0,17287.0,16430.0,21467.0,22799.0,21420.0,21479.0,26484.0,27367.0,26608.0,27360.0,19062.0,18809.0,29816.0,30662.0
