complete_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
11,2.3e-05,2e-05,1.8e-05,2.3e-05,1.9e-05,2e-05,1.5e-05,1.9e-05,6.5e-05,1.8e-05,1.8e-05,2.1e-05,2.5e-05,3.1e-05,1.7e-05,1.8e-05,2.1e-05,2.5e-05,3.8e-05,3.9e-05,2.2e-05,3.4e-05,3.1e-05,2.7e-05,1.9e-05,2.4e-05,1.7e-05,1.8e-05,1.6e-05,1.8e-05,2.2e-05,1.6e-05
12,1.5e-05,1.4e-05,1.7e-05,1.7e-05,1.8e-05,1.6e-05,2e-05,2.5e-05,1.9e-05,1.8e-05,1.9e-05,1.6e-05,2.3e-05,1.5e-05,1.5e-05,1.8e-05,1.9e-05,2.9e-05,1.8e-05,1.7e-05,1.8e-05,2.8e-05,2.6e-05,2.2e-05,3.6e-05,3.7e-05,1.9e-05,2.9e-05,3.7e-05,2.4e-05,1.8e-05,1.5e-05
13,4.7e-05,4.7e-05,4.7e-05,7.2e-05,1.5e-05,1.6e-05,1.8e-05,2.1e-05,1.7e-05,1.6e-05,2.4e-05,1.4e-05,2.1e-05,1.8e-05,1.7e-05,1.5e-05,1.9e-05,1.7e-05,1.8e-05,1.8e-05,1.7e-05,1.9e-05,1.6e-05,2.4e-05,2.1e-05,1.8e-05,2.2e-05,3.8e-05,1.7e-05,1.5e-05,5.4e-05,3.9e-05
14,3.1e-05,2e-05,2.4e-05,2.5e-05,2.4e-05,2.6e-05,1.8e-05,3.8e-05,1.6e-05,1.5e-05,1.5e-05,1.8e-05,1.7e-05,1.5e-05,2.9e-05,3.8e-05,1.6e-05,2e-05,1.8e-05,1.9e-05,1.8e-05,2.4e-05,1.8e-05,1.8e-05,1.4e-05,1.5e-05,1.7e-05,1.5e-05,1.6e-05,1.9e-05,1.6e-05,1.9e-05
15,1.9e-05,2e-05,1.8e-05,2.1e-05,2.5e-05,2e-05,4e-05,4.2e-05,2.5e-05,2e-05,3.3e-05,6.3e-05,1.8e-05,2.2e-05,3e-05,2.6e-05,1.7e-05,2.1e-05,1.9e-05,1.8e-05,2.1e-05,1.8e-05,2.1e-05,2.9e-05,2.4e-05,1.8e-05,2.6e-05,2e-05,1.8e-05,1.6e-05,1.6e-05,2.3e-05
16,1.6e-05,1.7e-05,1.4e-05,1.5e-05,1.7e-05,1.9e-05,1.9e-05,2e-05,2.3e-05,3.2e-05,2.3e-05,2e-05,3.2e-05,3.6e-05,2e-05,1.5e-05,4.6e-05,3.5e-05,3.6e-05,2.9e-05,3.6e-05,2.1e-05,1.7e-05,2.6e-05,1.6e-05,1.7e-05,1.9e-05,1.8e-05,1.9e-05,1.7e-05,1.7e-05,1.9e-05
17,1.8e-05,1.7e-05,1.6e-05,1.6e-05,1.6e-05,1.8e-05,1.5e-05,1.7e-05,2.1e-05,1.8e-05,1.9e-05,1.6e-05,1.8e-05,2.6e-05,1.8e-05,1.5e-05,4e-05,2.7e-05,3.5e-05,2.8e-05,3e-05,2.5e-05,2.6e-05,2.4e-05,1.8e-05,1.8e-05,1.5e-05,1.5e-05,6.8e-05,6.2e-05,1.5e-05,1.8e-05
18,2e-05,1.9e-05,2.4e-05,4.4e-05,2e-05,3.5e-05,1.6e-05,2e-05,1.7e-05,1.9e-05,1.9e-05,2.1e-05,2.5e-05,1.6e-05,2e-05,2.4e-05,1.8e-05,2.2e-05,1.9e-05,2e-05,3.8e-05,2.6e-05,2.2e-05,2.2e-05,2.7e-05,2.6e-05,2.7e-05,3.6e-05,2.1e-05,2.8e-05,3e-05,3.1e-05
19,2.6e-05,3.1e-05,2.8e-05,3.3e-05,3e-05,2.3e-05,1.8e-05,2.8e-05,1.9e-05,1.3e-05,2e-05,2.3e-05,2e-05,2.2e-05,3.9e-05,4.7e-05,1.8e-05,2.1e-05,1.7e-05,1.5e-05,1.5e-05,1.6e-05,1.6e-05,1.8e-05,2e-05,2.4e-05,3.6e-05,6.2e-05,1.9e-05,2.3e-05,2.6e-05,2.7e-05
20,1.9e-05,3e-05,1.7e-05,1.7e-05,5.9e-05,3e-05,3e-05,1.8e-05,1.6e-05,1.6e-05,3e-05,2.4e-05,1.9e-05,1.8e-05,2.3e-05,2.6e-05,2e-05,1.8e-05,1.8e-05,1.9e-05,1.8e-05,1.6e-05,1.8e-05,1.8e-05,1.9e-05,1.6e-05,1.5e-05,1.4e-05,1.8e-05,1.6e-05,1.8e-05,1.9e-05
21,1.9e-05,1.7e-05,1.7e-05,1.8e-05,2.6e-05,7.3e-05,2.6e-05,3.7e-05,3.2e-05,2.8e-05,5.7e-05,3.5e-05,1.8e-05,1.8e-05,2.2e-05,2.3e-05,2e-05,1.6e-05,2e-05,1.9e-05,2.4e-05,2.5e-05,1.5e-05,1.9e-05,1.9e-05,1.9e-05,1.9e-05,1.7e-05,1.7e-05,1.7e-05,1.9e-05,1.8e-05
22,1.7e-05,1.7e-05,1.5e-05,1.7e-05,1.6e-05,1.5e-05,1.7e-05,1.6e-05,2.2e-05,2.6e-05,1.8e-05,1.9e-05,2.9e-05,3.2e-05,1.7e-05,2.2e-05,4.4e-05,3.9e-05,4.8e-05,3.5e-05,1.5e-05,2.1e-05,2.2e-05,2.3e-05,1.6e-05,1.6e-05,1.7e-05,1.7e-05,2.2e-05,2.5e-05,1.6e-05,1.6e-05
23,1.9e-05,1.5e-05,2e-05,1.7e-05,1.6e-05,1.7e-05,1.5e-05,1.6e-05,1.6e-05,2.3e-05,2.3e-05,2e-05,2.2e-05,2.7e-05,1.8e-05,1.8e-05,1.9e-05,2.2e-05,1.8e-05,2.4e-05,3e-05,2.4e-05,3.3e-05,2.6e-05,1.8e-05,1.8e-05,2.6e-05,1.6e-05,3.2e-05,3.1e-05,2.6e-05,2e-05
24,2e-05,1.9e-05,7.7e-05,4.6e-05,2e-05,1.9e-05,1.7e-05,2.9e-05,1.7e-05,1.7e-05,1.5e-05,2.2e-05,1.5e-05,2e-05,1.9e-05,1.6e-05,1.7e-05,3e-05,2e-05,2.2e-05,2.3e-05,2.6e-05,2.1e-05,2.2e-05,3.5e-05,6e-05,3.1e-05,2.8e-05,2.1e-05,2.5e-05,3.2e-05,2.9e-05
25,3.7e-05,2.8e-05,1.9e-05,3.1e-05,1.6e-05,1.7e-05,1.9e-05,2.3e-05,1.5e-05,1.4e-05,1.6e-05,1.5e-05,1.7e-05,2.2e-05,2.9e-05,3.6e-05,2.3e-05,2.5e-05,1.8e-05,1.7e-05,2e-05,1.4e-05,1.6e-05,1.8e-05,2.2e-05,2.5e-05,2.2e-05,2.2e-05,1.8e-05,2e-05,3.2e-05,2.9e-05
26,4e-05,2.3e-05,1.9e-05,2.9e-05,2.9e-05,3.2e-05,2.6e-05,3.1e-05,2.4e-05,1.9e-05,3.6e-05,4.1e-05,1.7e-05,2e-05,6.4e-05,4.5e-05,1.5e-05,1.6e-05,1.4e-05,1.9e-05,1.7e-05,1.6e-05,1.6e-05,1.8e-05,2e-05,1.8e-05,1.7e-05,1.6e-05,1.9e-05,1.8e-05,2.2e-05,1.8e-05
27,2e-05,2.1e-05,1.8e-05,2e-05,4.2e-05,2.1e-05,3.9e-05,4.2e-05,3.8e-05,5.3e-05,2.4e-05,2.7e-05,1.7e-05,1.9e-05,2.5e-05,1.7e-05,3.1e-05,2.5e-05,1.8e-05,1.7e-05,1.8e-05,2.2e-05,2.1e-05,2.2e-05,2e-05,1.5e-05,2e-05,1.9e-05,1.8e-05,1.7e-05,2e-05,1.7e-05
28,2.2e-05,1.7e-05,1.8e-05,2e-05,1.7e-05,1.6e-05,1.8e-05,1.8e-05,1.9e-05,2.3e-05,1.9e-05,1.6e-05,3.9e-05,3.1e-05,1.8e-05,1.7e-05,4.8e-05,3e-05,2.8e-05,2.9e-05,1.7e-05,1.9e-05,2.2e-05,3.2e-05,1.6e-05,1.9e-05,1.7e-05,1.4e-05,2.2e-05,2.7e-05,1.8e-05,1.7e-05
29,1.8e-05,2e-05,3.5e-05,3.2e-05,1.8e-05,1.5e-05,1.5e-05,2.1e-05,1.8e-05,1.7e-05,1.8e-05,1.7e-05,2.3e-05,2.7e-05,1.8e-05,1.8e-05,2.3e-05,2e-05,2e-05,1.9e-05,2.7e-05,2.7e-05,3.6e-05,2.9e-05,1.6e-05,3e-05,1.8e-05,1.8e-05,2.4e-05,2.2e-05,1.7e-05,1.9e-05
30,1.8e-05,1.7e-05,2.3e-05,3.1e-05,2.6e-05,1.8e-05,2.1e-05,1.7e-05,1.8e-05,1.6e-05,1.6e-05,2.2e-05,1.8e-05,1.7e-05,1.6e-05,1.9e-05,1.8e-05,4.6e-05,1.6e-05,1.8e-05,2.2e-05,2.7e-05,1.7e-05,2.3e-05,5.1e-05,2.7e-05,2.4e-05,3.9e-05,1.8e-05,2.1e-05,0.00028,5.1e-05
31,2.7e-05,3e-05,1.4e-05,3.5e-05,1.7e-05,2.1e-05,1.7e-05,1.5e-05,1.5e-05,1.6e-05,2.2e-05,1.9e-05,1.4e-05,1.3e-05,2.8e-05,2.7e-05,1.5e-05,1.5e-05,1.5e-05,1.6e-05,1.7e-05,1.5e-05,2e-05,1.5e-05,3e-05,3.2e-05,2.3e-05,2.7e-05,2.3e-05,2.7e-05,3.1e-05,3.4e-05
32,2.6e-05,2.2e-05,1.6e-05,2e-05,3.1e-05,2.8e-05,4e-05,2.9e-05,3.7e-05,2.3e-05,2.9e-05,3.5e-05,1.7e-05,2.1e-05,3.4e-05,3e-05,2.2e-05,1.5e-05,1.9e-05,1.9e-05,1.8e-05,1.8e-05,1.9e-05,1.8e-05,1.4e-05,1.9e-05,1.6e-05,1.8e-05,1.7e-05,1.5e-05,1.6e-05,1.8e-05
33,2.3e-05,2e-05,2.3e-05,2.3e-05,4e-05,7.1e-05,4.5e-05,3.2e-05,2.6e-05,3.5e-05,1.8e-05,2.1e-05,2.3e-05,2.8e-05,2.6e-05,1.8e-05,2.5e-05,3.8e-05,2.2e-05,1.9e-05,2.3e-05,2.1e-05,2e-05,4.5e-05,1.6e-05,1.7e-05,1.9e-05,1.9e-05,1.8e-05,1.9e-05,2.4e-05,1.7e-05
34,2.4e-05,2.2e-05,1.6e-05,2.4e-05,1.9e-05,2.3e-05,2.3e-05,1.6e-05,1.9e-05,2.2e-05,2.1e-05,2e-05,3.2e-05,4.5e-05,2.1e-05,1.8e-05,4.5e-05,3.7e-05,5.5e-05,3.6e-05,1.7e-05,2.7e-05,2.5e-05,2.8e-05,1.4e-05,1.6e-05,1.4e-05,1.4e-05,2.7e-05,2.4e-05,1.4e-05,1.9e-05
35,1.6e-05,1.8e-05,5.8e-05,5.6e-05,1.6e-05,1.5e-05,2e-05,1.6e-05,1.7e-05,1.9e-05,2.1e-05,1.5e-05,1.9e-05,1.7e-05,1.7e-05,1.5e-05,2.5e-05,3.5e-05,1.7e-05,2e-05,3.4e-05,4.1e-05,2.5e-05,2.5e-05,1.4e-05,2e-05,1.9e-05,2.3e-05,2.1e-05,1.8e-05,1.9e-05,1.6e-05
36,1.8e-05,1.7e-05,3e-05,1.6e-05,1.7e-05,3.3e-05,1.8e-05,2e-05,2e-05,1.5e-05,1.7e-05,1.7e-05,2e-05,1.9e-05,1.6e-05,2e-05,1.8e-05,1.7e-05,2e-05,1.7e-05,2.3e-05,2.5e-05,2.2e-05,2.1e-05,3.3e-05,2.9e-05,4.1e-05,3.8e-05,2.2e-05,2.1e-05,3.6e-05,5.6e-05
37,3.7e-05,2.6e-05,2.2e-05,2e-05,1.8e-05,1.7e-05,1.7e-05,1.8e-05,1.9e-05,1.9e-05,4.3e-05,4.2e-05,1.8e-05,2.4e-05,5e-05,3.7e-05,1.3e-05,1.8e-05,1.6e-05,1.7e-05,1.8e-05,1.8e-05,1.7e-05,1.6e-05,2.9e-05,3.1e-05,2.8e-05,2.6e-05,7.6e-05,2.2e-05,2e-05,0.000109
38,3.7e-05,1.8e-05,1.7e-05,1.7e-05,4e-05,3.7e-05,3.2e-05,2.7e-05,2.7e-05,3.4e-05,1.8e-05,2.1e-05,1.4e-05,1.8e-05,3.7e-05,2.1e-05,1.7e-05,1.6e-05,1.8e-05,1.6e-05,1.5e-05,1.9e-05,1.4e-05,1.6e-05,2.2e-05,1.6e-05,1.7e-05,2e-05,2e-05,2e-05,1.8e-05,1.8e-05
39,2e-05,1.8e-05,1.7e-05,2e-05,2.5e-05,2.9e-05,2.3e-05,3.7e-05,3.1e-05,3.3e-05,2.5e-05,1.8e-05,1.8e-05,3.2e-05,4e-05,2.1e-05,1.9e-05,2.1e-05,1.8e-05,1.5e-05,1.9e-05,1.5e-05,1.6e-05,2.2e-05,1.9e-05,1.6e-05,1.5e-05,1.7e-05,1.6e-05,2e-05,2.2e-05,1.5e-05
40,1.6e-05,2.1e-05,3.1e-05,3e-05,1.7e-05,2e-05,1.5e-05,1.6e-05,1.8e-05,1.9e-05,2e-05,1.7e-05,4.4e-05,3.3e-05,1.8e-05,1.9e-05,2.7e-05,2.7e-05,3.4e-05,2.5e-05,3.6e-05,2.2e-05,1.9e-05,2.4e-05,1.7e-05,1.8e-05,2.3e-05,2.8e-05,2.8e-05,4.4e-05,1.7e-05,1.8e-05
41,1.7e-05,1.7e-05,7.3e-05,0.000196,1.7e-05,2e-05,3.3e-05,1.6e-05,1.7e-05,1.6e-05,2.4e-05,1.8e-05,1.8e-05,1.9e-05,1.7e-05,1.8e-05,2.8e-05,2.2e-05,2.1e-05,1.7e-05,3e-05,2.4e-05,2.7e-05,3.4e-05,2.1e-05,2.6e-05,2.4e-05,2e-05,1.7e-05,1.9e-05,2e-05,1.7e-05
42,1.8e-05,1.5e-05,1.6e-05,1.7e-05,1.9e-05,1.6e-05,1.5e-05,1.7e-05,2e-05,1.8e-05,3.2e-05,2.6e-05,1.8e-05,2e-05,2e-05,2e-05,2e-05,1.8e-05,3.3e-05,2.1e-05,2.7e-05,3.4e-05,2.3e-05,2.2e-05,2.9e-05,5.8e-05,3e-05,4e-05,2.2e-05,2.1e-05,3.9e-05,6.5e-05
43,3.5e-05,2.8e-05,1.6e-05,1.8e-05,1.5e-05,1.8e-05,1.7e-05,1.9e-05,1.6e-05,2.1e-05,2e-05,3.3e-05,1.8e-05,2.1e-05,2.4e-05,2.6e-05,1.7e-05,1.9e-05,1.6e-05,1.7e-05,1.7e-05,1.7e-05,1.7e-05,1.9e-05,2.4e-05,1.8e-05,2.2e-05,2.1e-05,2.1e-05,1.8e-05,3.1e-05,5.2e-05
44,1.9e-05,2e-05,2e-05,1.9e-05,3.3e-05,4.1e-05,4.4e-05,3.6e-05,2.3e-05,2.2e-05,1.9e-05,1.7e-05,1.6e-05,1.8e-05,2.7e-05,2.9e-05,1.9e-05,1.6e-05,1.7e-05,1.8e-05,1.6e-05,1.6e-05,2e-05,2.4e-05,1.6e-05,2.2e-05,1.9e-05,2e-05,1.7e-05,1.7e-05,1.8e-05,1.8e-05
45,1.8e-05,2.2e-05,1.8e-05,1.9e-05,2.6e-05,3.3e-05,3.1e-05,2.9e-05,3.5e-05,3.4e-05,1.8e-05,2e-05,1.8e-05,2.4e-05,2.1e-05,1.8e-05,4e-05,4.3e-05,1.9e-05,1.8e-05,1.8e-05,2.3e-05,1.9e-05,2e-05,1.8e-05,1.9e-05,1.6e-05,1.8e-05,1.8e-05,1.5e-05,2e-05,2.3e-05
46,1.3e-05,1.6e-05,4.1e-05,4.7e-05,1.6e-05,1.7e-05,1.8e-05,1.9e-05,1.7e-05,2e-05,1.7e-05,1.8e-05,2.5e-05,2.9e-05,2e-05,2.2e-05,3e-05,3.2e-05,2.8e-05,2.9e-05,1.9e-05,1.9e-05,6.2e-05,2.2e-05,1.5e-05,2.6e-05,1.6e-05,1.7e-05,2.9e-05,2.7e-05,1.5e-05,1.7e-05
47,1.6e-05,2.2e-05,1.4e-05,1.5e-05,2.3e-05,1.9e-05,1.8e-05,1.5e-05,1.6e-05,1.9e-05,1.7e-05,1.5e-05,1.9e-05,2.1e-05,1.8e-05,1.7e-05,2.1e-05,1.8e-05,2.3e-05,2.3e-05,3.4e-05,2.9e-05,3.7e-05,3e-05,2.5e-05,5.3e-05,2.2e-05,2.1e-05,2.3e-05,2.3e-05,1.7e-05,1.6e-05
48,2.4e-05,1.7e-05,1.6e-05,1.9e-05,1.5e-05,1.6e-05,1.7e-05,1.4e-05,1.4e-05,1.6e-05,3.7e-05,4.3e-05,1.7e-05,1.4e-05,1.6e-05,1.3e-05,1.5e-05,1.8e-05,1.7e-05,1.7e-05,1.8e-05,1.7e-05,1.8e-05,1.9e-05,1.8e-05,2.1e-05,3.3e-05,3.4e-05,1.7e-05,1.7e-05,4.6e-05,3.7e-05
49,5.3e-05,4.3e-05,3e-05,2.1e-05,2.8e-05,2.1e-05,1.6e-05,1.9e-05,1.9e-05,1.7e-05,2e-05,1.8e-05,2e-05,1.5e-05,5.7e-05,3.1e-05,1.9e-05,1.9e-05,2.7e-05,1.6e-05,1.7e-05,2e-05,1.7e-05,1.5e-05,1.5e-05,1.9e-05,3.2e-05,3.9e-05,1.7e-05,1.6e-05,2.8e-05,2.9e-05
50,2.3e-05,3.8e-05,2.1e-05,2.5e-05,3.1e-05,3.4e-05,2.9e-05,3.2e-05,6.9e-05,4.7e-05,1.8e-05,1.7e-05,1.7e-05,1.8e-05,2.5e-05,3.5e-05,1.5e-05,1.7e-05,2e-05,1.7e-05,1.4e-05,1.9e-05,1.7e-05,2.1e-05,1.8e-05,1.8e-05,1.8e-05,1.9e-05,2.2e-05,2.4e-05,1.5e-05,2.1e-05
51,1.6e-05,1.6e-05,2.2e-05,2.1e-05,4.9e-05,2.8e-05,2.5e-05,3.6e-05,2.8e-05,3e-05,2.1e-05,1.8e-05,1.7e-05,2.3e-05,2.9e-05,1.7e-05,3e-05,2.4e-05,1.6e-05,1.9e-05,1.6e-05,1.5e-05,2.1e-05,1.7e-05,1.8e-05,1.8e-05,1.8e-05,1.8e-05,2.8e-05,2.3e-05,2e-05,1.6e-05
52,1.6e-05,1.8e-05,2.3e-05,2.9e-05,1.6e-05,1.8e-05,1.8e-05,2.1e-05,1.6e-05,1.5e-05,1.8e-05,1.5e-05,3.1e-05,4.4e-05,2.2e-05,1.4e-05,4.1e-05,4.1e-05,2.3e-05,3.1e-05,1.7e-05,1.8e-05,1.9e-05,2.7e-05,2.5e-05,2.2e-05,1.8e-05,1.7e-05,3e-05,3.1e-05,2e-05,1.5e-05
53,1.7e-05,1.8e-05,1.6e-05,1.9e-05,1.5e-05,1.8e-05,1.8e-05,1.8e-05,1.6e-05,1.9e-05,5.4e-05,4.3e-05,1.7e-05,1.4e-05,1.6e-05,2e-05,1.9e-05,1.9e-05,1.7e-05,1.8e-05,2.8e-05,2.6e-05,3e-05,2.8e-05,3.2e-05,6e-05,2.5e-05,1.7e-05,3e-05,2.4e-05,1.9e-05,2e-05
54,4.3e-05,4.1e-05,1.7e-05,2e-05,1.8e-05,1.9e-05,2e-05,1.8e-05,2.1e-05,2.7e-05,3.3e-05,4.4e-05,1.6e-05,1.9e-05,1.9e-05,1.8e-05,2e-05,1.6e-05,1.6e-05,1.7e-05,1.8e-05,1.8e-05,1.9e-05,2e-05,2.2e-05,2.1e-05,2.5e-05,3.3e-05,2.1e-05,1.9e-05,3.2e-05,3.5e-05
55,3e-05,2.5e-05,1.6e-05,2.2e-05,1.6e-05,1.6e-05,1.7e-05,1.9e-05,1.8e-05,1.6e-05,2.5e-05,1.8e-05,1.5e-05,1.8e-05,4.3e-05,3.4e-05,1.8e-05,1.5e-05,1.8e-05,2.4e-05,2e-05,1.9e-05,1.9e-05,1.6e-05,1.7e-05,1.6e-05,1.6e-05,2.3e-05,2e-05,2.1e-05,3.4e-05,3e-05
56,2.4e-05,1.9e-05,2.9e-05,2.7e-05,2.7e-05,4.7e-05,3.4e-05,3.9e-05,4.2e-05,8.6e-05,2.1e-05,1.8e-05,1.8e-05,2.6e-05,2.9e-05,2.4e-05,1.6e-05,2.3e-05,1.7e-05,1.7e-05,1.7e-05,2e-05,1.7e-05,1.9e-05,1.6e-05,1.9e-05,2e-05,2e-05,1.6e-05,1.6e-05,1.9e-05,2.3e-05
