commitcycle_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09107,1.146858,0,0,1.368054,1.337762
146,0.497993,0,0.841989,0.912145,0,0,0,0,1.44726,1.489867,1.289038,1.294227,0.739239,0,0,0,1.167287,1.192303,0,0,0,0,0,0,0.768046,0.623495,0,0,0,0,0,0
147,0,0.545174,0,0,1.226159,1.135349,0.841997,0.919039,0,0,0,0,0,1.004142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.083491,1.182232,0,0,0,0,0,0,0,0,1.085591,1.078334,0,0
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.661593,0.769875,0,0,0,0,1.195842,1.187711,1.347368,1.376434,0,0,1.126576,1.079591,0,0,0,0
151,0.759343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.672598,0,0,0,0,0,1.366322,1.402964
152,0,0.765114,1.002348,1.004724,0,0,1.060064,0,1.344486,1.332708,1.378746,1.411166,0.816698,0.746422,0,0,1.05819,1.029932,0,0,0,0,0,0,0,0.72919,0,0,0,0,0,0
153,0,0,0,0,1.232346,1.318212,0,1.128082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.298221,0,0
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39933,1.335604,0,0,0,0,0,0,0,0,1.367677,0,0,0
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.823288,0.898497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.106241,1.135686,1.257669,1.201783,0,0,1.277833,1.349693,0,0,0,0
157,0.66935,0,1.060088,1.079256,0,0,0,0,0,0,0,0,0.827889,0,0,0,0,0,0,0,0,0,0,0,0.67793,0.742463,0,0,0,0,1.302799,1.350034
158,0,0.560467,0,0,0,0,1.070887,0.957159,1.289293,1.159507,1.165338,1.153304,0,0.886769,0,0,1.134437,1.111772,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,0,0,0,0,1.408402,1.395569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.363704,0,0
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.294728,1.28602,0,0,0,0,0,0,0,0,1.341634,0,0,0
161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.299762,1.04268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,0.595863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.382588,1.366882,1.499458,1.587721,0.856217,0.665521,1.36392,1.292289,0,0,0,0
163,0,0.45487,1.015535,1.005547,0,0,0,0.492814,0,0,0,0,0.670274,0.832168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.110781,1.07393
164,0,0,0,0,0,0,0.937406,0,1.447534,1.585614,1.754015,1.77636,0,0,0,0,1.008566,1.003795,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0.967335,0.980491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.558355,0.561556,0,0,1.085658,1.091749,0,0,0,0,0,0,0,0,1.282162,1.300147,0,0
167,0.373854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376027,0,0,0,0,0,0,0
168,0,0.411164,0,0,0,0,0,0,0,0,0,0,0.282963,0.448236,0,0,0,0,0,0,1.181834,1.155258,1.029797,0.955012,0,0.700206,0.806512,0.735638,0,0,0.71248,0.692071
169,0,0,0.937951,0.986132,0,0,0.518832,0.875286,0,0,0,0,0,0,0,0,0.398827,0.543633,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,0,0,0,0,0.800018,0.823951,0,0,0.911826,0.891313,0.952039,0.946799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.704415,0.745558,0,0,0,0,0,0,0,0,0.972977,0.955876,0,0
172,0.494029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.841361,0.822275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,0,0.416355,0,0,0,0,0,0,0,0,0,0,0.458869,0,0,0,0,0,0,0,0,0,0,0,0.860663,0.751803,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0,0,0,0,0,0.572845,0,0,0,0,0,0,1.343769,1.300401,1.171859,1.16486,0,0,0.987104,1.095096,0,0,1.010932,1.011203
175,0,0,1.016694,1.042839,0,0,1.35792,1.217683,0,0,0,0,0,0,0,0,1.4182,1.391238,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,0,0,0,0,1.14426,1.079512,0,0,1.380316,1.277591,1.226338,1.294239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
