%idle,ceph01,ceph02,ceph03,ceph04
313,36.84,30.14,34.67,34.41
314,16.97,19.66,17.84,18.22
315,38.8,36.59,38.66,36.86
316,15.7,19.27,16.41,19.68
317,26.37,25.71,27.3,28.03
318,20.9,20.43,19.43,20.91
319,18.82,17.8,19.02,22.66
320,17.26,17.06,17.31,17.49
321,35.41,29.16,32.36,26.83
322,20.21,23.97,20.67,22.08
323,29.33,30.01,30.2,28.87
324,18.46,20.72,17.89,19.13
325,21.3,22.37,21.86,24.41
326,19.57,17.41,20.03,19.89
327,15.03,14.79,14.91,13.91
328,26.21,25.61,24.44,25.46
329,33.82,25.16,29.86,25.17
330,15.67,18.11,17.42,16.57
331,14.52,13.88,14.54,15.05
332,23.27,21.06,22.91,26.16
333,18.72,16.77,19.83,18.13
334,34.37,31.09,31.47,28.32
335,21.07,18.36,19.08,18.38
336,17.85,17.68,18.43,16.97
337,19.19,19.81,19.75,19.36
338,34.55,30.58,36.96,40.22
339,23.05,22.6,21.3,19.71
340,34.39,34.57,31.03,29.05
341,18.18,20.06,17.93,18.01
342,22.09,18.0,22.47,20.87
343,16.9,18.27,17.41,17.47
344,41.53,29.11,41.22,47.78
345,32.94,26.14,33.13,29.04
346,21.9,19.13,20.0,17.0
347,20.38,22.45,20.89,18.04
348,23.45,18.8,21.05,19.98
349,19.39,23.19,23.63,24.42
350,19.69,16.06,19.93,20.46
351,31.47,30.1,30.45,28.11
352,21.74,21.38,20.3,20.39
353,25.99,25.12,22.36,20.59
354,24.56,19.62,23.71,22.17
355,22.5,26.84,28.54,26.9
356,26.4,22.95,23.87,28.51
357,35.71,31.55,30.98,35.45
358,16.5,16.93,17.45,17.67
359,27.7,26.01,24.88,19.75
360,21.37,25.01,24.15,19.63
361,25.2,25.29,28.92,27.76
362,20.74,20.92,21.99,22.85
363,33.21,26.35,29.01,33.2
364,14.15,13.8,14.27,14.23
365,16.65,15.95,15.75,14.4
366,21.29,24.82,21.65,21.81
367,31.03,23.88,30.62,24.56
368,25.02,28.03,26.57,24.67
369,21.32,18.17,18.65,18.78
370,26.98,24.77,26.76,26.97
371,15.29,14.59,14.73,14.46
372,20.37,21.58,20.53,20.32
373,35.99,29.08,32.06,27.73
374,25.52,24.31,29.4,25.5
375,20.65,21.27,20.42,21.49
376,18.24,16.81,18.63,22.14
377,19.71,17.92,18.61,19.68
378,21.48,18.75,20.61,17.71
379,26.12,23.67,22.01,21.97
380,34.74,36.14,35.92,31.2
381,14.1,14.73,13.22,13.61
382,18.56,16.65,18.59,19.66
383,18.3,18.59,18.39,20.43
384,33.16,26.08,28.21,24.11
385,40.22,33.98,38.66,37.43
386,26.5,25.38,28.19,26.79
387,15.38,18.7,16.53,16.57
388,13.77,13.61,13.91,14.46
389,18.15,17.26,19.37,20.47
390,24.66,22.52,24.36,23.4
391,20.79,20.55,20.09,21.1
392,27.99,24.71,26.88,24.79
393,14.26,16.48,15.7,15.61
394,17.31,18.39,17.76,18.43
395,20.6,19.06,21.2,20.93
396,37.63,25.79,32.57,32.89
397,15.92,17.63,17.92,16.1
398,25.3,26.65,23.3,20.07
399,22.88,23.17,24.99,23.72
