avgqu-sz,ceph01,ceph02,ceph03,ceph04
151,0.5125,1.04125,0.91125,1.61125
152,0.65875,1.5425,1.80875,0.86
153,0.96125,0.655,1.74625,1.56375
154,2.39875,1.91875,1.15375,1.07125
155,1.3975,1.5,0.82375,0.85875
156,0.81625,0.97875,0.76625,1.055
157,0.69,1.36125,0.7,1.885
158,1.12625,1.1925,1.795,1.3375
159,0.6125,0.64625,2.33125,1.2975
160,1.96625,1.09625,1.2325,1.18625
161,2.77875,1.78875,0.7975,0.90125
162,1.10875,0.95625,0.8125,0.8625
163,0.52375,1.435,0.645,1.82
164,0.98125,1.1175,1.605,1.4325
165,0.9025,0.95875,1.86125,0.82625
166,1.235,1.11875,1.94875,1.565
167,2.0425,1.25625,0.7225,0.6125
168,1.62375,1.53875,0.6325,0.83625
169,0.6425,1.66,0.71375,1.225
170,0.73875,1.04,1.44,2.29125
171,0.79625,1.11625,1.8675,0.51875
172,0.97125,0.8025,1.84,1.39625
173,1.72625,0.71375,0.81125,1.1675
174,2.10875,2.17625,0.7075,0.80625
175,1.20125,1.9975,0.60875,1.20875
176,1.1275,0.615,0.635,2.03375
177,0.8225,1.63875,2.38625,0.97625
178,0.7825,0.87,1.7625,0.7175
179,1.71875,0.9125,1.3775,1.60125
180,2.05,1.80375,0.7025,0.6325
181,0.9325,1.64,0.4675,0.96875
182,1.01875,1.13125,0.65125,2.27625
183,0.64125,0.9225,1.62,0.9675
184,0.81625,0.72,2.315,0.65375
185,1.5825,0.54125,1.4625,1.19375
186,2.20125,1.7975,0.47625,0.55625
187,1.4375,1.8625,0.8025,1.34625
188,0.96,1.15125,0.68,2.10625
189,0.735,1.03875,1.215,1.75125
190,0.81125,0.695,2.28625,0.88
191,1.43125,0.6875,2.11875,1.57625
192,1.625,1.59625,0.54375,0.77
193,2.25,1.805,0.705,1.62125
194,0.79625,1.385,0.675,1.425
195,0.795,1.3975,1.02125,2.16375
196,0.72875,0.59375,1.96125,0.68875
197,1.15375,0.8075,1.8075,0.8375
198,1.84,1.945,1.49125,1.395
199,2.14,1.83875,0.69125,1.74125
200,1.02125,1.62125,0.61125,0.8325
201,0.8225,1.215,0.84875,2.68125
202,0.57875,0.605,1.34,1.195
203,1.03625,1.13875,1.97625,0.565
204,1.8925,1.6625,1.29875,2.1025
205,1.4225,1.30125,0.67125,1.555
206,1.61,2.375,0.86875,0.85875
207,1.045,0.72875,0.86375,1.53125
208,0.6275,0.665,0.8,1.99875
209,1.15375,1.23625,1.50125,0.37
210,1.49125,1.16125,1.8175,1.21125
211,1.47375,1.22875,0.82625,1.80375
212,1.35625,2.225,0.825,0.83125
213,1.08375,1.17,0.88625,0.985
214,0.975,1.1625,0.69375,2.1825
215,0.67375,1.22,1.2825,1.04625
216,0.9275,0.6125,1.8275,0.9925
217,1.685,1.40125,0.68125,2.20125
218,1.6675,1.54875,0.65375,0.74875
219,0.9475,1.72875,0.8475,0.7625
220,0.89875,1.1225,0.5475,1.41375
221,1.3025,1.30125,1.13,1.29125
222,0.905,0.59,1.9975,0.93375
223,1.57625,1.23875,1.5275,1.21375
224,1.9875,1.0575,0.61375,1.3275
225,1.11,1.7,0.775,0.795
226,0.9925,1.9225,0.63125,1.15625
227,1.1825,0.9475,1.1875,1.73375
228,0.61125,0.7125,2.05375,1.0175
229,0.8775,1.305,1.82125,0.7225
230,2.1025,0.87375,0.90875,1.815
231,1.76,1.33375,0.7725,0.72625
232,1.01,1.91125,0.47125,0.78875
233,0.98,0.685,1.22,1.92625
234,0.71125,1.24125,1.94375,0.95875
235,0.73375,1.165,1.93625,0.59625
236,1.1475,0.49,0.86875,1.3825
237,2.31375,1.21875,0.71875,1.33875
238,1.5425,1.83125,0.82125,1.17625
239,1.215,1.4175,1.4525,1.87
240,0.71625,1.1575,1.5975,1.715
241,0.87625,1.425,1.88375,0.64625
242,0.855,0.80125,1.5175,1.04375
243,1.85625,1.05875,0.69875,1.70375
244,1.6375,1.48125,1.0225,1.43875
245,1.2875,1.34,0.515,0.89625
246,0.8325,1.445,1.4425,1.72875
247,1.085,1.12375,2.35875,0.70125
248,0.89875,0.6675,1.84375,0.71625
249,1.55625,0.9375,0.68625,1.795
250,1.0425,1.635,0.715,1.19
251,1.44125,1.4225,0.81,0.89375
252,0.6425,1.46125,0.79625,1.1925
253,1.55,0.99875,2.11,0.9825
254,1.17125,0.84,1.74625,0.7275
255,1.33875,0.785,0.85375,1.4475
256,1.31625,1.76875,0.65375,2.03125
257,1.31,0.7825,0.88625,1.15
258,0.54125,0.81375,0.905,1.0475
259,1.23125,1.0525,1.22125,0.70125
260,1.5825,1.31875,2.155,1.15875
261,1.24,0.99375,0.90625,1.16125
262,1.11875,1.97125,0.97,1.49875
263,1.2175,1.47625,0.51375,0.5225
264,1.1175,0.85375,1.2125,1.0275
265,1.36375,0.88375,1.67625,1.12
266,1.0125,0.775,1.38375,1.12375
267,1.3975,1.44125,1.745,1.4475
268,2.0125,1.3675,0.75,1.43875
269,1.77125,1.08375,1.01125,1.12375
270,0.8075,1.135,1.28125,1.45875
271,1.7625,1.055,1.13125,1.245
272,1.27375,1.33,1.93125,1.55375
273,1.59,1.74,1.4225,0.92125
274,1.4575,1.52375,0.8425,1.67
275,1.20625,1.25375,1.5625,1.60875
276,1.44,1.30125,1.47375,1.53125
277,0.80875,1.57375,1.1675,1.3125
278,0.97875,1.28625,1.42875,1.11125
279,1.66875,1.2625,1.61125,0.9025
280,1.23,1.35375,1.0125,1.29125
281,1.9075,1.285,1.4075,2.01
282,1.84375,0.77375,1.25375,1.81125
283,0.9925,0.625,1.46375,1.27
284,0.77,1.515,1.43125,0.97125
285,2.3375,0.9525,1.98,1.0525
286,1.60625,1.79,1.2625,1.21625
287,1.4925,1.5725,1.12375,1.635
288,1.0325,0.6725,1.28875,2.05875
289,0.99125,1.25875,1.71875,1.70375
290,1.07875,1.51625,1.285,0.94375
291,1.87375,1.22,1.89375,1.04625
292,1.81375,1.44875,1.16125,1.285
293,1.38,1.54,1.39875,1.2425
294,1.1175,0.855,1.68625,2.255
295,0.64,1.31375,1.40625,1.64625
296,1.47,1.4625,1.015,0.9625
297,1.23875,1.025,1.76875,0.96375
298,1.73875,0.85875,1.17625,1.0125
299,2.0125,1.2825,1.59875,1.30875
300,1.21375,0.9425,1.36,1.2175
301,0.6125,1.61625,1.45375,2.115
302,1.5375,1.35,1.21375,0.95625
303,1.0175,0.9225,1.54,1.4925
304,1.53875,0.9925,1.25875,0.97625
305,1.8525,1.08375,1.775,1.4675
306,1.2775,1.22375,1.17375,1.36375
307,0.945,1.40625,0.94625,1.59
308,1.185,1.33875,1.31,1.18
309,0.68,1.16875,0.84125,1.06625
310,1.2375,1.34625,1.18,0.81375
311,1.79375,1.155,1.41625,1.39875
312,0.7875,1.6825,1.6175,0.71875
313,1.00875,1.08125,0.565,1.0525
314,1.41875,1.0875,1.04875,1.4625
315,0.64375,0.71375,0.65375,0.9275
316,1.44875,0.9825,1.33875,0.89
317,1.42,1.27,1.4075,1.42375
318,0.695,1.8375,1.40875,0.6325
319,1.28625,1.1225,0.8525,1.44125
320,1.2125,1.30875,0.9025,1.88
321,0.82125,0.75,1.13625,0.9325
322,1.4925,0.98,1.58875,1.0925
323,1.6725,1.7,1.65,1.105
324,1.40875,1.5975,1.27125,0.7625
325,1.43875,1.09875,1.2825,0.67
326,0.835,1.31625,0.94,2.2025
327,0.965,0.87625,1.71875,2.0325
328,1.7225,0.6675,1.15,1.01375
329,0.61375,1.66375,1.5825,0.85125
330,1.94875,1.5525,0.84125,0.67625
331,1.35,2.18,1.45875,0.85625
332,0.9875,1.035,1.2025,1.5375
333,0.61,0.79375,1.725,2.035
334,1.65375,0.5925,1.35375,1.51
335,1.19375,1.79,1.27625,1.0925
336,2.0025,1.24,0.86375,0.58875
337,1.01875,1.80625,0.97375,0.85
338,1.13375,1.0175,1.1125,1.145
339,0.76375,0.64125,1.86875,2.16875
340,1.12375,0.4725,1.445,1.52
341,1.72125,2.06875,1.0925,0.95375
342,2.00375,1.365,1.165,0.77
343,1.51625,1.9925,1.025,0.64875
344,0.56375,0.9525,1.12125,0.365
345,0.9125,0.66875,1.29625,2.05125
346,0.72125,0.6475,1.6175,2.18875
347,1.3375,1.30625,0.68125,0.69375
348,1.52375,1.93875,1.2075,0.65875
349,2.045,1.3075,1.0325,0.5425
350,0.7225,1.64875,1.6725,0.645
351,0.8075,0.565,1.46375,1.5575
352,0.5775,0.6675,1.2075,2.06625
353,1.27,0.8975,0.86,1.105
354,1.36625,2.19,1.3025,0.53125
355,2.05625,0.69875,1.1575,0.545
356,1.33625,1.9025,1.40875,0.6275
357,0.68875,0.805,1.305,1.5875
358,0.7475,0.73,0.85125,2.05625
359,0.8,0.6,0.80375,1.1425
360,2.23,1.8,0.69625,0.78375
361,1.32125,1.24,1.28375,0.52
362,1.48125,1.8425,1.6775,0.52125
363,0.81875,1.0425,1.52125,1.3875
364,0.91125,0.8875,0.9225,2.5075
365,0.695,0.67875,1.41,1.71
366,1.59875,1.16375,0.75125,0.57125
367,1.24375,1.57625,1.56125,0.47875
368,1.47125,1.455,1.4275,0.5525
369,0.7025,2.085,1.3725,1.57625
370,0.79875,0.7125,0.82,2.155
371,1.1725,0.85625,0.9475,2.18375
372,1.48125,0.6925,1.09,1.0325
373,1.4425,1.52125,1.485,0.53625
374,2.015,1.89125,1.19375,0.9175
375,0.8975,2.1175,1.37625,1.1025
376,0.595,1.23125,1.32,1.005
377,1.03875,0.64875,0.83875,2.09625
378,1.34,0.87625,1.43375,2.04125
379,1.41125,1.62625,1.3,0.46125
380,1.8925,1.3275,1.29,0.865
381,0.88125,1.66375,1.04875,1.60625
382,0.86875,1.66,1.4575,0.76125
383,0.9425,0.78875,0.7275,1.74875
384,1.145,0.84125,1.36375,1.85375
385,1.155,0.81875,1.23125,0.9625
386,2.1925,1.2775,1.37125,1.31375
387,1.205,1.6625,0.8725,0.85375
388,1.44,2.325,1.4075,0.98375
389,0.78,0.98625,0.79625,1.43
390,1.14625,0.995,1.33,1.59
391,1.50625,1.00875,1.5225,1.575
392,1.5875,1.34625,1.45625,0.895
393,1.67,1.07875,1.04,0.59875
394,1.3825,1.905,1.10875,0.69
395,0.775,1.61,1.185,1.8675
396,0.815,1.25625,1.50625,1.63
397,1.68875,0.7025,1.97,2.4025
398,1.38625,1.345,1.16,1.05125
399,1.97875,0.93875,1.2675,0.78125
