kbmemused,ceph01,ceph02,ceph03,ceph04
122,98236284.0,118289952.0,98228388.0,117861852.0
123,98287300.0,118400644.0,98252028.0,117884292.0
124,98387664.0,118548276.0,98421276.0,118035256.0
125,98474844.0,118664720.0,98547216.0,118107336.0
126,98614560.0,118680084.0,98572572.0,118214040.0
127,98779812.0,118826720.0,98791432.0,118349532.0
128,98923996.0,118972792.0,98914668.0,118520020.0
129,99144408.0,119128572.0,99024980.0,118618856.0
130,99200412.0,119205788.0,99062860.0,118700248.0
131,99273940.0,119321808.0,99187964.0,118887592.0
132,99509280.0,119582100.0,99478060.0,119174148.0
133,99827364.0,119916784.0,99837012.0,119491600.0
134,99961116.0,119984088.0,99919300.0,119564656.0
135,100123304.0,120155796.0,99930228.0,119611552.0
136,99988532.0,120150424.0,99918972.0,119557340.0
137,100015072.0,120129268.0,100033052.0,119637400.0
138,100283840.0,120318948.0,100191852.0,119956076.0
139,100493488.0,120526192.0,100512632.0,120261772.0
140,100699736.0,120730824.0,100678052.0,120418656.0
141,100752844.0,120827452.0,100750060.0,120500476.0
142,100692968.0,120833804.0,100615192.0,120309672.0
143,100802968.0,120983756.0,100775924.0,120468724.0
144,100941948.0,121144952.0,100983676.0,120643488.0
145,101074592.0,121291856.0,101151368.0,120744776.0
146,101201072.0,121350468.0,101183348.0,120746164.0
147,101328676.0,121427444.0,101293356.0,120824204.0
148,101325228.0,121491268.0,101300312.0,120910872.0
149,101525724.0,121720204.0,101515952.0,121135360.0
150,101728876.0,121962932.0,101771576.0,121374948.0
151,101866004.0,121906240.0,101681472.0,121459084.0
152,102046100.0,121982468.0,101757248.0,121471904.0
153,102036736.0,122035568.0,101832444.0,121581464.0
154,102141028.0,122278356.0,101961868.0,121691080.0
155,102450188.0,122532152.0,102263672.0,121931444.0
156,102883884.0,122907548.0,102705536.0,122425972.0
157,103009744.0,123028820.0,102871704.0,122574632.0
158,103108844.0,123101444.0,102977008.0,122662980.0
159,103129412.0,123095724.0,103008132.0,122711524.0
160,103073648.0,122991336.0,102878352.0,122508440.0
161,103395048.0,123384828.0,103263000.0,122881192.0
162,103733676.0,123643064.0,103500108.0,123233044.0
163,103864200.0,123780064.0,103639672.0,123404180.0
164,103777992.0,123822620.0,103712928.0,123405048.0
165,103820896.0,123775060.0,103713772.0,123437940.0
166,103895464.0,123747988.0,103751944.0,123463604.0
167,104001692.0,123994808.0,103808764.0,123505320.0
168,104250532.0,124112524.0,103937908.0,123680744.0
169,104107108.0,124133376.0,104018340.0,123682480.0
170,104204636.0,124162736.0,104162732.0,123749512.0
171,104316352.0,124281744.0,104295516.0,123826828.0
172,104450612.0,124440280.0,104334356.0,123928384.0
173,104555092.0,124562216.0,104451308.0,124003744.0
174,104728260.0,124839000.0,104660880.0,124181140.0
175,104836996.0,124855908.0,104673456.0,124320840.0
176,104885464.0,124876996.0,104781848.0,124400160.0
177,105039080.0,125026444.0,105014172.0,124516948.0
178,105128588.0,125066252.0,105019720.0,124601528.0
179,105240944.0,125133788.0,105082636.0,124701864.0
180,105341352.0,125287260.0,105199024.0,124818812.0
181,105439124.0,125379992.0,105341744.0,124915792.0
182,105604064.0,125553836.0,105562208.0,125138272.0
183,105721652.0,125648584.0,105674116.0,125266868.0
184,105907424.0,125771128.0,105811700.0,125371880.0
185,106032928.0,125982716.0,105961064.0,125453780.0
186,106189600.0,126112912.0,106047528.0,125501284.0
187,106088484.0,126093312.0,106116396.0,125627920.0
188,106188960.0,126196484.0,106242740.0,125821540.0
189,106372168.0,126424264.0,106448560.0,126041244.0
190,106563124.0,126613484.0,106692456.0,126202960.0
191,106779244.0,126799248.0,106794184.0,126380804.0
192,106836776.0,126811112.0,106747696.0,126348996.0
193,106992736.0,127014312.0,106928252.0,126507708.0
194,107138512.0,127282252.0,107174428.0,126688896.0
195,107410096.0,127534112.0,107430416.0,127008424.0
196,107593228.0,127740116.0,107646612.0,127166704.0
197,107681168.0,127792068.0,107659604.0,127198588.0
198,107744984.0,127725788.0,107545708.0,127228084.0
199,107825092.0,127864780.0,107687120.0,127385088.0
200,107932252.0,127978040.0,107843316.0,127471532.0
201,108211472.0,128206548.0,108145584.0,127828292.0
202,108422368.0,128384396.0,108317188.0,127969368.0
203,108589256.0,128438000.0,108400280.0,127957676.0
204,108541036.0,128491264.0,108399956.0,128002120.0
205,108538876.0,128589324.0,108478204.0,128037144.0
206,108792212.0,128880028.0,108842648.0,128301132.0
207,109039480.0,129075736.0,109017124.0,128566216.0
208,109183008.0,129318348.0,109183956.0,128761472.0
209,109122848.0,129177672.0,109075764.0,128530368.0
210,109228036.0,129235064.0,109114712.0,128622092.0
211,109337576.0,129240800.0,109113236.0,128729832.0
212,109518420.0,129508768.0,109324684.0,128920912.0
213,109811492.0,129761860.0,109701384.0,129265004.0
214,110058068.0,130071532.0,109981624.0,129534500.0
215,110137228.0,130166344.0,110115452.0,129639724.0
216,110081412.0,130061176.0,109987344.0,129437328.0
217,110195744.0,130198532.0,110029948.0,129540216.0
218,110386480.0,130382748.0,110198204.0,129699528.0
219,110648524.0,130695420.0,110509744.0,130035880.0
220,110708856.0,130748100.0,110622676.0,130163020.0
221,110696912.0,130652484.0,110644232.0,130086416.0
222,110741608.0,130727196.0,110736336.0,130112820.0
223,110867236.0,130785620.0,110767904.0,130236872.0
224,111050672.0,130984240.0,110997568.0,130385872.0
225,111257728.0,131200556.0,111143896.0,130622856.0
226,111395900.0,131337656.0,111297224.0,130765008.0
227,111374680.0,131265092.0,111313248.0,130741072.0
228,111451652.0,131357304.0,111360916.0,130813936.0
229,111591148.0,131473044.0,111405892.0,130917644.0
230,111808624.0,131693572.0,111621744.0,131162568.0
231,112113224.0,131965596.0,111954812.0,131394744.0
232,112119824.0,132065428.0,111987604.0,131427436.0
233,112158424.0,132079992.0,112083636.0,131446736.0
234,112347772.0,132272088.0,112292832.0,131632660.0
235,112422508.0,132366080.0,112382248.0,131675976.0
236,112548792.0,132450568.0,112423944.0,131786160.0
237,112762824.0,132688036.0,112615496.0,131978424.0
238,112726380.0,132689660.0,112677152.0,131922352.0
239,112857656.0,132883800.0,112801608.0,132075696.0
240,113009556.0,133098952.0,113054572.0,132236176.0
241,113121108.0,133056236.0,113059420.0,132303208.0
242,113314504.0,133129804.0,113191616.0,132534168.0
243,113444652.0,133225216.0,113281116.0,132634708.0
244,113472688.0,133258676.0,113355092.0,132636672.0
245,113608092.0,133477336.0,113480796.0,132724608.0
246,113808356.0,133576396.0,113661520.0,132891832.0
247,113824412.0,133780852.0,113827668.0,133057376.0
248,113922992.0,133935336.0,113954532.0,133179920.0
249,114047716.0,134121872.0,114064940.0,133255124.0
250,114093664.0,133452156.0,114100340.0,133294280.0
251,114386260.0,133820472.0,114352924.0,133513204.0
252,114526360.0,134049536.0,114567380.0,133676408.0
253,114741268.0,134120700.0,114657404.0,133818816.0
254,114923736.0,134286116.0,114822552.0,134005180.0
255,114232256.0,134323672.0,114756536.0,134036164.0
256,114360264.0,134447060.0,114918556.0,133445776.0
257,114583552.0,134693828.0,115106992.0,132921640.0
258,114824224.0,134188288.0,113981584.0,132337220.0
259,114307376.0,133673668.0,113985168.0,132547488.0
260,113036028.0,133109092.0,113411616.0,132832248.0
261,112534492.0,133436032.0,112842432.0,132389928.0
262,112808980.0,133783164.0,113101072.0,131871408.0
263,113134536.0,131845992.0,112673204.0,132054904.0
264,112715088.0,131585288.0,112032100.0,132254536.0
265,112520884.0,131754264.0,111515460.0,132500996.0
266,112813276.0,131942812.0,111544296.0,132722376.0
267,113075728.0,132143404.0,111733620.0,132231864.0
268,113241656.0,132340612.0,111955088.0,132455680.0
269,112750404.0,132525472.0,112191560.0,132679340.0
270,112997420.0,132737032.0,112400864.0,132138736.0
271,113255740.0,132959740.0,112618104.0,132362584.0
272,112696136.0,133194504.0,112871660.0,132585828.0
273,112923348.0,132614412.0,113122420.0,132872852.0
274,113120212.0,132804120.0,113374192.0,133061004.0
275,113346372.0,133027608.0,113634356.0,132521584.0
276,113572292.0,133235584.0,113145392.0,132731468.0
277,113801812.0,133229860.0,113187856.0,132948764.0
278,114063944.0,133436984.0,113436568.0,133205932.0
279,114361340.0,133720628.0,113746520.0,133526536.0
280,114558456.0,133908916.0,113968756.0,133659780.0
281,114682136.0,134100660.0,114188244.0,133849200.0
282,114910724.0,134330428.0,114427180.0,134074212.0
283,115113488.0,134495572.0,114623176.0,134286800.0
