rxkB/s,ceph01,ceph02,ceph03,ceph04
377,289962.0,304891.0,297928.0,286140.0
378,275377.0,283154.0,300971.0,280543.0
379,249245.0,250376.0,241324.0,242461.0
380,212172.0,228664.0,237477.0,213378.0
381,353612.0,347177.0,330187.0,337836.0
382,287823.0,294548.0,297407.0,289872.0
383,275690.0,278311.0,291420.0,273158.0
384,218664.0,224117.0,225085.0,216603.0
385,209089.0,219556.0,223594.0,207740.0
386,279572.0,280473.0,272335.0,269715.0
387,321461.0,331650.0,341675.0,323120.0
388,339542.0,342546.0,335491.0,333916.0
389,284073.0,298633.0,307063.0,284620.0
390,223171.0,219799.0,216003.0,217017.0
391,261530.0,262977.0,268599.0,257929.0
392,237664.0,251663.0,256591.0,240606.0
393,323075.0,328237.0,315560.0,319337.0
394,297532.0,299134.0,317973.0,294562.0
395,271271.0,283337.0,281831.0,274264.0
396,209687.0,214257.0,214967.0,205410.0
397,312059.0,326976.0,326580.0,307661.0
398,262518.0,266762.0,270556.0,260564.0
399,255935.0,253719.0,259992.0,252227.0
