heartbeat_to_peers,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
41,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
42,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
43,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
44,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
45,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
46,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
47,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
48,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
49,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
50,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
51,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
52,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
53,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
54,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
55,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
56,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
57,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
58,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
59,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
60,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
61,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
62,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
63,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
64,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
65,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
66,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
67,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
68,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
69,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
70,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
71,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
72,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
73,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
74,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
75,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
76,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
77,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
78,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
79,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
80,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
81,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
82,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
83,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
84,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
85,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
86,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
87,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
88,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
89,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
90,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
91,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
92,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
93,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
94,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
95,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
96,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
97,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
98,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
99,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
100,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
101,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
102,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
103,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
104,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
105,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
106,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
107,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
108,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
109,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
110,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
111,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
112,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
113,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
114,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
115,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
116,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
117,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
118,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
119,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
120,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
121,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
122,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
123,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
124,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
125,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
126,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
127,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
128,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
129,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
130,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
131,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
132,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
133,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
134,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
135,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
136,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
137,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
138,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
139,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
140,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
141,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
142,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
143,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
144,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
145,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
146,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
147,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
148,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
149,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
150,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
151,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
152,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
153,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
154,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
155,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
156,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
157,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
158,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
159,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
160,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
161,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
162,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
163,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
164,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
165,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
166,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
167,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
168,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
169,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
170,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
171,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
172,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
173,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
174,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
175,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
176,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
177,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
178,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
179,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
180,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
181,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
