r_await,ceph01,ceph02,ceph03,ceph04
168,0.375,0.0,0.0,0.0
169,0.0,0.625,0.0,0.0
170,0.125,0.0,0.16625,0.125
171,0.0,0.0,0.0,0.0
172,0.0,0.54125,0.0,0.0
173,0.4375,0.75,0.0,0.125
174,0.375,1.9,0.0,0.125
175,0.125,0.0,0.0,0.04125
176,0.0,0.0,0.0,0.0
177,0.125,0.0,0.0,0.0
178,0.0,0.0,0.0,0.0
179,0.0,0.0,0.375,0.0
180,0.5,1.0,0.20875,0.0
181,0.0,0.0,0.0,0.16625
182,0.0,0.0,0.0,0.375
183,0.0,0.0,0.0,1.04125
184,0.0,0.20875,0.75,0.0
185,0.25,0.0625,0.875,0.0
186,0.45875,0.9375,0.0,0.0
187,0.0,0.875,0.0,0.0
188,0.0,0.0,0.0,0.0
189,0.25,0.125,0.25,0.0
190,0.0625,0.0,0.0,0.125
191,0.0,0.0,0.5,1.75
192,0.0,0.875,0.5,0.0
193,0.0,0.125,0.025,0.125
194,0.125,0.0,0.0,0.0
195,0.0625,0.375,0.0,0.25
196,0.0,0.20875,0.0,0.0
197,0.1875,0.05375,1.04125,1.24125
198,0.375,0.0,0.375,0.0
199,0.0,0.0,0.0,0.125
200,0.0,0.125,0.0,0.03125
201,0.0,0.125,0.0,0.0
202,0.0,0.0,0.375,0.375
203,0.625,0.0,1.59375,0.0
204,0.0,0.0,0.0,0.125
205,0.0,0.0,0.0,0.0
206,0.0,1.0625,0.0,0.25
207,0.0,0.1875,0.0625,0.0
208,0.1075,0.5,0.0,0.3125
209,0.08375,1.15625,0.375,0.25
210,0.0,0.3125,0.125,0.0
211,0.625,0.0625,0.125,0.0
212,0.0,0.0,0.0,0.0
213,0.0,0.1875,0.25,0.0
214,0.0,0.1,0.0,0.0
215,0.0,0.0,0.28125,0.0
216,0.0,0.0,0.5,0.09375
217,0.0,0.0,0.25,0.0
218,0.0625,0.0,0.0,0.0
219,0.65625,0.45625,0.0,0.53125
220,0.625,2.175,0.125,0.0
221,0.0,0.0,0.0,0.0
222,0.0,0.0,0.0,0.0
223,0.0,0.0,0.0,0.0
224,0.0,0.25,0.0,0.5
225,1.0,0.0625,0.0,0.0
226,0.0,0.0625,0.0,0.05
227,0.0,0.5625,0.0,0.54125
228,0.0,0.0,0.0,0.0
229,0.0,0.0,0.125,0.0
230,0.125,0.0625,0.0,0.45875
231,0.0,0.4375,0.0,0.25
232,0.25,0.33375,0.125,0.0
233,0.04125,0.1875,0.0,0.0
234,0.0,0.0625,0.0,0.0
235,0.0,0.0,0.8325,0.125
236,0.0,0.0,0.0,0.0
237,0.0,0.0,0.0,0.0
238,0.0,0.1875,0.21875,0.125
239,0.0,0.58375,0.0,0.0
240,0.0,0.25,0.0,0.0625
241,0.25,0.0,2.125,0.0
242,0.0,0.0,1.3325,0.0
243,0.54125,0.20875,0.0,0.0
244,0.125,0.0,0.0,0.0
245,0.0,0.0,0.0,0.0
246,0.0,0.0,0.0,0.125
247,0.0,0.1875,0.0,0.125
248,0.0,0.0,0.125,0.0
249,0.1875,0.0,0.125,0.0
250,0.0,0.44375,0.0,0.0
251,0.625,0.2075,0.0,0.0
252,0.0,0.13,0.1875,0.0625
253,0.0,0.20625,0.66625,0.0
254,0.0,0.25375,0.0,0.0
255,1.295,0.22625,0.0,0.0
256,0.17625,0.3625,0.25,1.69125
257,0.09875,0.2175,0.09375,0.24875
258,0.48625,1.1875,0.06875,0.99125
259,0.72375,0.31,0.57625,0.615
260,0.51125,0.50625,0.3775,0.3525
261,0.5075,0.54625,0.415,0.43375
262,0.3025,0.46,0.2,1.3675
263,1.14875,0.435,0.29125,0.3675
264,0.85375,0.65375,0.59375,1.26375
265,0.825,0.32875,1.6525,1.24125
266,0.6075,0.6175,1.3375,0.77375
267,0.7375,0.47,0.52875,1.3325
268,0.91125,1.00125,0.2925,1.69
269,1.7775,0.24875,0.54375,0.81
270,0.5575,1.53125,0.95375,1.20875
271,0.76,0.755,0.59125,0.4225
272,0.88,0.5125,1.6975,1.52125
273,0.52,0.40625,0.5875,0.4975
274,1.26125,0.27125,0.3375,2.18125
275,0.9,0.4325,0.815,1.89625
276,0.69375,0.52875,0.75375,0.7225
277,0.37625,0.8475,0.85875,0.57
278,0.3825,0.9825,0.81,0.30375
279,1.07,0.9175,0.44625,0.42375
280,1.22,0.355,0.42375,3.43125
281,1.03875,0.77375,0.695,2.7425
282,1.0575,0.3275,0.49125,2.23375
283,0.71,0.53875,2.42125,0.67625
284,0.34375,0.5475,0.69125,0.565
285,2.15875,0.2675,0.56,0.74125
286,1.51125,0.4475,0.68875,0.99625
287,0.56875,0.5675,0.54,1.175
288,0.51,0.12625,0.58,2.69125
289,0.28875,0.08875,1.09625,0.69375
290,0.2675,0.5775,0.49375,0.38875
291,0.265,0.2725,0.62875,0.60125
292,0.0625,0.42625,0.4425,0.6225
293,0.625,0.465,0.47875,0.32375
294,0.125,0.125,0.3775,1.43125
295,0.0,0.0,1.13375,0.58875
296,0.0,0.0,0.13125,0.24
297,0.0,0.39625,0.205,0.52125
298,0.0,0.125,0.33875,0.01875
299,0.0,0.0,0.51375,0.105
300,0.25,0.09375,0.75,0.125
301,0.0,0.0,0.4625,0.0
302,0.0,0.3125,0.0,0.0
303,0.0,0.04125,0.0,0.0
304,0.0,0.0,0.0,0.0
305,0.125,0.125,0.0,0.08375
306,0.0,0.97875,0.25,0.0
307,0.0,0.75,0.0,0.5
308,0.125,0.64125,0.0,0.0
309,0.25,0.375,0.3125,0.5
310,0.3125,0.0,0.0,0.0
311,0.0,0.0,0.25,0.0
312,0.0,0.05,0.875,0.0
313,0.0,0.0,0.25,0.04125
314,0.3125,0.0,0.0,0.0
315,0.0,0.0,0.0,0.0
316,0.25,0.0,0.0,0.0
317,0.0,0.0,0.0,0.0
318,0.0,0.25,0.0,0.0
319,0.0,1.29125,0.0,0.375
320,0.4375,0.08375,0.375,0.75
321,0.0,0.0,1.25,0.0
322,0.0,0.0625,1.3125,0.0
323,0.0,0.0,0.0,0.0
324,0.0,0.0,0.0,0.0
325,0.5,0.45,0.0,0.0
326,0.0,0.0,0.0,0.125
327,0.0,0.125,1.0,0.0
328,0.0,0.0,0.05,0.25
329,0.0,0.0,0.0,0.0
330,0.0,0.125,0.0,0.0
331,0.0,0.25,0.0,0.0
332,0.44625,0.0,0.0,0.0
333,0.1875,0.5,0.0,0.0
334,0.125,0.14625,0.08375,0.125
335,0.0,2.75,0.0,0.0
336,0.79125,0.0,0.0,0.0
337,0.0,0.0625,0.0,0.66625
338,0.0,0.46875,1.25,0.0
339,0.0,0.0,0.0,0.125
340,0.125,0.0,0.9375,0.0
341,0.0,0.0,0.0,0.0
342,0.0,0.0,0.0,0.0
343,0.0,0.375,0.39625,0.0
344,0.0,0.0,0.0,0.0
345,0.0,0.0,0.0,0.0
346,0.25,0.0,0.125,0.0
347,0.125,0.75,0.0,0.0
348,0.0,0.0,0.375,0.0
349,0.0,0.0,0.0,0.0
350,0.0,0.25,0.0,0.0
351,0.0,0.04125,0.0,0.0
352,0.0,0.5,0.0625,0.0
353,0.0,0.375,0.0,0.23125
354,0.1875,0.375,0.625,0.0
355,1.0,0.0,0.0,0.375
356,0.0,0.0,0.0,0.0
357,0.0,0.0,0.0,1.125
358,0.0,0.0,0.125,0.0
359,0.0,0.0625,0.0,0.375
360,0.25,0.40625,0.0,0.5
361,0.0,0.0,0.0,0.125
362,0.0,0.0625,0.0,0.0
363,0.0,0.0,0.04125,0.0
364,0.0,0.1875,0.0625,0.0
