svctm,ceph01,ceph02,ceph03,ceph04
150,0.07375,0.07875,0.07375,0.08125
151,0.06125,0.06875,0.07,0.06625
152,0.07125,0.07,0.09125,0.07
153,0.0925,0.07375,0.07,0.06375
154,0.08625,0.08,0.08375,0.07125
155,0.08625,0.08,0.0875,0.08875
156,0.0825,0.1,0.08375,0.1275
157,0.07,0.065,0.07625,0.05875
158,0.075,0.07875,0.06625,0.08625
159,0.06125,0.065,0.07125,0.07625
160,0.0975,0.08875,0.06375,0.06
161,0.08875,0.09375,0.09625,0.09875
162,0.09125,0.10125,0.08625,0.09625
163,0.065,0.07,0.06875,0.06625
164,0.07,0.06375,0.08375,0.06
165,0.06625,0.08,0.095,0.0875
166,0.08375,0.0625,0.06875,0.06375
167,0.115,0.0875,0.0825,0.07
168,0.0875,0.075,0.06875,0.0875
169,0.06,0.05875,0.06875,0.08875
170,0.06625,0.07625,0.09,0.06
171,0.0675,0.0775,0.11125,0.07
172,0.1175,0.06875,0.07,0.07125
173,0.06875,0.07625,0.065,0.06625
174,0.07625,0.08375,0.07875,0.08375
175,0.07625,0.075,0.06625,0.0825
176,0.06625,0.0675,0.0925,0.06375
177,0.07875,0.06625,0.0975,0.08125
178,0.07375,0.065,0.07375,0.0725
179,0.0725,0.07625,0.06875,0.06375
180,0.08,0.1125,0.0675,0.07625
181,0.0725,0.07,0.06,0.095
182,0.08125,0.0925,0.07875,0.07125
183,0.0625,0.06875,0.08625,0.07375
184,0.09125,0.075,0.0825,0.07375
185,0.09125,0.0675,0.07,0.05625
186,0.07375,0.085,0.06,0.06625
187,0.07,0.085,0.08125,0.11625
188,0.07,0.1,0.075,0.08875
189,0.0775,0.07625,0.09625,0.07625
190,0.0825,0.07625,0.08625,0.08875
191,0.075,0.07625,0.07375,0.07375
192,0.08,0.08625,0.06375,0.0575
193,0.08375,0.08,0.075,0.06875
194,0.06625,0.09,0.0725,0.085
195,0.08375,0.09125,0.10125,0.0875
196,0.0725,0.065,0.1075,0.075
197,0.06,0.0625,0.07125,0.0925
198,0.07,0.07,0.06625,0.07125
199,0.075,0.08625,0.0825,0.07625
200,0.0775,0.0725,0.0675,0.08
201,0.0875,0.09,0.095,0.08625
202,0.065,0.0675,0.10625,0.07375
203,0.07375,0.0875,0.07375,0.07
204,0.07875,0.07875,0.07375,0.085
205,0.08625,0.09,0.0675,0.08375
206,0.08375,0.08,0.09125,0.09625
207,0.07375,0.0825,0.0775,0.1375
208,0.06875,0.0775,0.10125,0.07125
209,0.05875,0.05625,0.08875,0.06
210,0.0875,0.07875,0.065,0.07125
211,0.0775,0.0825,0.07375,0.0875
212,0.07375,0.09875,0.09125,0.07875
213,0.0975,0.1025,0.095,0.10875
214,0.08375,0.085,0.07625,0.085
215,0.05625,0.05125,0.09,0.06375
216,0.08,0.06125,0.0675,0.085
217,0.0875,0.075,0.08125,0.07375
218,0.07875,0.11,0.07875,0.07625
219,0.09625,0.095,0.0925,0.0875
220,0.06375,0.085,0.06125,0.07125
221,0.05625,0.06625,0.07875,0.0625
222,0.06375,0.07125,0.1025,0.07875
223,0.07875,0.07125,0.0875,0.09625
224,0.075,0.0825,0.06875,0.06875
225,0.08125,0.085,0.08375,0.085
226,0.06625,0.07375,0.065,0.09375
227,0.05625,0.06625,0.085,0.0625
228,0.07375,0.07,0.085,0.07375
229,0.09625,0.0625,0.065,0.0925
230,0.10625,0.09625,0.09625,0.0825
231,0.0775,0.08875,0.07875,0.08125
232,0.07,0.06,0.06125,0.075
233,0.065,0.0675,0.09,0.0625
234,0.0775,0.09375,0.1,0.07625
235,0.0725,0.0675,0.0625,0.065
236,0.0975,0.06375,0.0725,0.07
237,0.0975,0.12125,0.07625,0.08625
238,0.06875,0.07875,0.06625,0.06125
239,0.0725,0.08625,0.08,0.115
240,0.075,0.08375,0.08625,0.07625
241,0.075,0.07625,0.0825,0.06875
242,0.06875,0.075,0.0825,0.09125
243,0.0925,0.06875,0.075,0.06375
244,0.085,0.075,0.0575,0.07125
245,0.06875,0.0775,0.065,0.09875
246,0.08375,0.0975,0.08,0.08375
247,0.065,0.075,0.0875,0.075
248,0.075,0.0725,0.0775,0.06875
249,0.08625,0.07,0.06375,0.0775
250,0.0775,0.08875,0.06,0.065
251,0.08375,0.11875,0.09375,0.0925
252,0.06625,0.075,0.1125,0.05625
253,0.0775,0.08875,0.09,0.08125
254,0.07,0.085,0.06625,0.075
255,0.10375,0.06125,0.05875,0.075
256,0.0925,0.06625,0.06875,0.0775
257,0.07625,0.0875,0.11875,0.1425
258,0.0875,0.13375,0.09625,0.0975
259,0.1575,0.10125,0.1025,0.1075
260,0.16,0.14125,0.095,0.11625
261,0.1225,0.08625,0.09125,0.09875
