wrqm/s,ceph01,ceph02,ceph03,ceph04
176,0.375,0.0,0.25,134.875
177,0.0,0.0,166.75,0.0
178,0.0,0.0,134.0,0.0
179,9.125,0.0,93.75,0.75
180,62.5,221.75,0.0,0.0
181,20.875,198.5,0.0,0.0
182,0.0,4.25,0.0,228.0
183,0.0,9.375,51.25,7.25
184,0.0,0.0,337.125,0.0
185,9.5,0.0,24.375,0.125
186,161.875,85.375,0.0,0.0
187,0.375,129.5,0.0,9.875
188,0.0,0.0,0.0,46.25
189,0.0,0.375,7.75,53.5
190,0.0,0.0,234.125,0.0
191,5.125,0.0,30.625,0.0
192,51.25,37.25,31.875,0.875
193,63.875,18.375,0.0,0.0
194,0.0,10.25,0.0,1.25
195,0.0,2.25,0.0,90.4688
196,0.0,0.0,182.0,0.0
197,10.0,1.625,156.625,0.0
198,89.375,32.75,0.875,1.0
199,73.75,0.0,0.0,18.875
200,0.375,77.75,0.0,0.0
201,0.0,0.0,0.0,116.5
202,0.0,0.0,2.625,2.125
203,35.875,57.25,393.0,0.0
204,23.75,5.875,0.0,95.75
205,3.875,20.375,0.0,129.375
206,18.875,70.25,0.0,0.0
207,0.0,0.0,1.125,13.25
208,0.0,0.0,0.0,41.625
209,2.75,32.125,247.75,0.0
210,3.625,38.625,234.375,34.125
211,28.125,17.375,0.0,63.25
212,0.0,167.375,0.0,0.0
213,0.0,16.25,0.0,0.0
214,0.0,3.25,0.0,54.0
215,3.375,10.375,67.625,0.0
216,10.375,0.0,207.75,0.0
217,11.25,0.0,0.0,53.0
218,0.0,0.625,0.0,0.0
219,0.0,24.375,0.0,0.0
220,0.0,56.75,0.0,15.75
221,32.75,4.625,49.125,42.625
222,5.875,0.0,187.25,0.0
223,11.375,0.5,41.875,0.0
224,55.3213,0.0,0.0,0.0
225,0.375,0.0,0.0,0.0
226,0.0,108.625,0.0,0.75
227,28.0,0.0,36.25,33.875
228,0.0,0.0,11.0,0.0
229,0.0,4.5,85.25,0.0
230,1.625,0.0,0.0,0.0
231,0.0,1.625,0.0,0.0
232,48.5,143.875,0.0,16.625
233,0.0,11.625,0.0,56.75
234,0.0,4.125,17.0,0.0
235,0.0,2.625,42.875,0.0
236,15.75,0.0,0.5,0.0
237,99.0,0.0,0.0,3.0
238,115.875,233.125,0.25,35.375
239,0.0,42.625,5.25,7.75
240,0.0,37.125,22.125,0.125
241,0.0,0.875,227.375,0.0
242,0.0,0.0,17.5,2.0
243,71.125,7.375,0.0,15.125
244,98.5,154.875,0.0,18.0
245,0.0,11.625,0.0,0.0
246,0.0,1.5,0.0,36.25
247,0.125,0.0,16.625,0.0
248,5.75,0.0,34.75,0.0
249,57.0,15.625,10.25,160.125
250,17.5,194.875,8.75,7.125
251,0.0,0.0,0.0,0.0
252,0.0,34.5,0.0,0.0
253,0.25,0.25,46.875,4.625
254,0.0,0.0,53.625,0.0
255,10.875,0.0,0.0,61.25
256,0.0,47.125,0.0,96.5
257,4.375,0.0,30.75,26.125
258,0.0,0.0,0.0,1.75
259,23.25,27.625,8.375,0.0
260,19.0,9.25,74.5,12.5
261,1.5,11.0,21.0,9.5
262,0.0,35.625,2.5,22.25
263,5.5,26.625,0.0,0.0
264,10.75,0.0,14.5,21.375
265,2.25,0.75,19.5,0.0
266,65.75,7.25,152.75,33.625
267,24.5,0.625,2.125,3.375
