journal_bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
449,278249472,290840576,315396096,303022080,370978816,74706944,275095552,105332736,65323008,405671936,276254720,272068608,362803200,400773120,301715456,288354304,258674688,203624448,217628672,200716288,294699008,269967360,267272192,109002752,236318720,277622784,157679616,166502400,190164992,191504384,191672320,197447680
450,326815744,344260608,369131520,353837056,117309440,128839680,48730112,160497664,110608384,121835520,318418944,315826176,95690752,112119808,345190400,335036416,299077632,242122752,259112960,239124480,49258496,313090048,304263168,154075136,280399872,310706176,210534400,215646208,238596096,241737728,243408896,244629504
451,75223040,78503936,87126016,85331968,154505216,166858752,86044672,199254016,170684416,192380928,377630720,389201920,154972160,176623616,94117888,96288768,55316480,287997952,306569216,288325632,95580160,68624384,71442432,201814016,56856576,88666112,274489344,278945792,305311744,306962432,320356352,308355072
452,143040512,150630400,158879744,155402240,224210944,236843008,154050560,268607488,230240256,235945984,107487232,106622976,214851584,230789120,149913600,140894208,104112128,61423616,66170880,49610752,145113088,118095872,122253312,248033280,124116992,157151232,331087872,344817664,372948992,364830720,372965376,368107520
453,197419008,207212544,215429120,208035840,275636224,288563200,209305600,328462336,281575424,298848256,173387776,175419392,267055104,298229760,209747968,203735040,169377792,118509568,124755968,111919104,206319616,179691520,183107584,312344576,170864640,205209600,383516672,393986048,113692672,121577472,430784512,427507712
454,253206528,262520832,272035840,264425472,326397952,349290496,263344128,92864512,334745600,349556736,221077504,221376512,321331200,344858624,258531328,251666432,220315648,167964672,178040832,163151872,259784704,234532864,236208128,87240704,223846400,257732608,113315840,118534144,168611840,175738880,158932992,162562048
455,296583168,311398400,315658240,308596736,64712704,72429568,36270080,144502784,79888384,57417728,267096064,266891264,368672768,392597504,307335168,298094592,284884992,228024320,244502528,227561472,325165056,295952384,295186432,150290432,270295040,304463872,159232000,166256640,214151168,223391744,206897152,209911808
456,340111360,357888000,362561536,351199232,107962368,119246848,80932864,190447616,135622656,111943680,314785792,322551808,93396992,100552704,358735872,347951104,48734208,276111360,286838784,273711104,72499200,58449920,60022784,197632000,47259648,78008320,218890240,227524608,274595840,282914816,267411456,270225408
457,85864448,91144192,103976960,99504128,168046592,174878720,138350592,250413056,189050880,171044864,378335232,374652928,148606976,164438016,92905472,85803008,94457856,39403520,330137600,315879424,115445760,104927232,105230336,242360320,107671552,141447168,281755648,292536320,338845696,347676672,331108352,330883072
458,148140032,154513408,167571456,158314496,229793792,240676864,203014144,318586880,255967232,235692032,128053248,131842048,216449024,231075840,158642176,150761472,154259456,98832384,96182272,80429056,175157248,163409920,170127360,307601408,160280576,197599232,335085568,348160000,394682368,402333696,389390336,390127616
