journal_bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
20,319098880,352153600,129646592,79679488,317022208,367669248,257212416,318558208,219656192,219942912,287580160,257720320,212623360,273526784,362893312,306114560,258859008,183525376,207650816,181661696,151527424,172183552,174026752,189169664,142700544,201953280,84197376,95969280,235933696,203767808,167063552,164945920
21,73875456,74854400,167743488,120913920,357838848,409477120,302186496,358506496,271814656,274530304,339992576,312569856,267149312,326414336,414130176,357330944,314863616,233758720,259645440,237551616,204742656,224776192,226545664,244625408,186941440,242819072,125878272,139755520,276549632,246710272,208449536,211849216
22,131833856,136425472,226586624,173793280,97103872,138436608,63205376,84819968,328556544,330678272,89587712,57778176,320262144,382672896,172572672,105394176,368627712,287948800,319717376,285847552,259649536,279404544,276750336,297824256,246272000,302866432,182759424,199716864,333295616,305483776,266883072,269832192
23,191868928,196534272,289017856,237678592,155860992,197943296,128106496,149118976,110919680,113160192,151732224,119803904,386076672,447528960,236171264,165318656,428650496,351428608,383565824,352776192,327065600,349614080,346886144,363732992,304119808,362180608,243449856,260579328,397242368,366481408,330588160,333524992
24,244842496,251559936,345677824,292159488,213028864,254144512,180572160,207794176,161390592,167440384,209813504,172331008,122920960,166608896,288444416,218615808,158461952,124993536,113836032,117854208,371916800,390598656,399384576,414793728,356737024,416514048,299200512,317112320,159272960,122380288,387350528,389791744
25,280215552,295624704,69242880,329256960,243593216,293269504,218963968,239542272,195702784,202158080,238260224,209612800,156205056,206397440,320499712,248909824,184389632,160555008,153726976,156229632,88748032,90546176,101834752,122671104,398499840,462401536,339582976,360538112,203165696,162512896,429326336,432381952
26,337797120,346468352,131702784,79532032,301572096,348114944,274509824,300163072,252510208,257413120,296349696,262201344,212930560,262078464,377110528,304365568,243392512,214872064,208273408,214405120,143982592,147828736,155725824,180305920,111144960,188432384,86274048,83652608,260808704,218439680,148295680,165019648
27,89006080,87478272,170889216,117288960,341422080,393506816,317120512,345911296,297865216,303271936,44118016,309555200,259338240,312274944,68362240,59817984,284733440,258514944,253976576,259428352,188628992,192045056,203247616,225787904,153047040,232411136,125304832,127709184,297967616,261947392,189620224,206729216
28,143917056,148520960,230764544,175943680,99475456,106688512,85188608,87228416,358744064,361881600,107732992,80781312,321085440,372948992,130969600,120184832,352780288,324317184,318451712,323985408,253870080,257077248,267014144,287985664,209661952,287543296,183517184,189698048,357781504,318767104,248872960,265379840
29,196509696,204677120,285384704,227835904,152715264,167272448,148135936,143962112,121909248,113991680,155705344,130871296,368930816,428998656,181026816,166842368,403058688,373854208,370024448,376631296,303820800,309526528,319709184,339587072,262094848,351674368,238919680,248631296,419311616,377491456,305627136,327016448
30,253153280,260513792,342233088,284405760,206745600,215670784,196177920,197554176,174313472,174632960,217010176,193798144,111423488,153657344,242974720,225296384,131514368,128552960,123695104,119107584,363696128,370688000,380338176,400498688,315301888,400855040,289185792,300044288,134836224,106192896,363147264,378257408
31,305459200,311193600,90148864,52330496,253542400,266301440,245563392,242622464,217387008,222953472,259510272,234803200,167505920,206700544,285102080,274227200,178368512,170369024,165261312,168681472,93020160,98889728,104267776,105340928,363778048,450002944,340389888,358633472,199585792,165507072,412094464,436502528
32,348160000,361734144,129585152,95494144,302653440,315297792,291557376,298500096,265478144,271593472,317370368,293728256,207962112,249942016,336474112,320962560,227655680,220020736,215613440,216289280,144150528,148512768,155283456,155811840,109993984,162689024,89890816,97234944,237727744,208834560,129458176,139714560
33,93851648,98820096,185565184,146247680,354562048,373665792,347095040,351805440,327581696,328847360,85671936,55644160,264953856,312766464,67276800,67227648,286228480,275173376,272171008,271941632,198590464,204853248,212901888,214605824,166113280,215515136,142766080,150372352,287641600,259960832,180490240,195325952
34,146821120,152055808,240828416,199340032,104280064,103608320,89903104,95092736,70295552,382087168,138932224,109998080,320655360,367116288,123539456,120594432,341835776,330891264,331599872,331161600,256139264,263229440,271015936,270995456,214609920,270045184,195715072,203657216,343912448,312705024,238903296,248971264
35,196669440,205029376,291446784,248102912,152477696,154263552,139796480,145272832,121360384,118222848,188997632,161665024,368410624,421785600,173260800,170905600,394928128,381763584,385622016,385413120,309284864,315944960,321630208,323076096,261804032,319721472,243826688,256028672,391884800,363540480,288780288,298860544
36,249085952,258105344,341483520,302764032,207540224,206753792,194957312,198836224,175222784,170401792,242262016,210018304,101675008,138088448,226676736,223100928,122138624,118321152,117018624,112476160,360165376,363667456,370061312,376950784,311439360,372887552,294174720,309923840,90005504,88948736,339181568,352452608
37,301510656,307322880,96788480,80199680,255111168,257810432,243298304,250359808,223805440,219475968,286146560,261357568,146149376,185409536,273182720,267862016,169291776,159870976,167723008,162414592,89239552,90763264,103157760,109682688,362651648,428404736,344436736,364130304,139124736,140926976,394584064,402399232
38,342659072,365117440,142401536,128057344,298397696,305811456,288780288,292110336,268423168,262307840,46264320,306737152,190439424,231014400,317804544,308895744,208568320,203845632,207126528,203513856,129212416,132288512,144760832,149258240,103665664,121417728,94171136,97280000,190132224,185389056,103718912,98172928
39,90980352,92594176,191492096,165994496,339578880,346947584,334196736,347279360,313184256,310018048,90890240,66293760,238260224,280653824,64643072,69787648,261541888,252436480,259555328,255528960,181448704,186753024,199852032,201342976,149966848,170766336,136253440,151822336,231378944,230326272,151265280,145977344
40,155742208,160432128,262705152,234233856,110751744,122556416,103067648,104288256,386703360,386879488,165908480,139579392,313548800,357715968,142139392,140775424,338124800,324235264,334594048,330502144,254738432,260362240,272789504,276279296,215818240,240893952,206233600,218787840,302260224,302727168,223928320,219725824
41,213721088,219566080,320843776,294293504,167387136,182288384,161075200,157523968,148492288,140034048,224800768,194891776,369459200,416538624,198524928,198004736,91230208,87465984,392830976,388534272,314122240,316583936,335474688,338296832,271638528,301916160,262213632,276185088,360783872,362418176,283975680,279953408
42,270200832,279998464,96169984,77127680,224636928,236380160,217096192,216825856,201564160,194678784,278745088,251334656,135475200,144310272,254640128,249819136,146395136,143708160,143962112,152645632,363343872,372813824,392040448,393523200,327548928,353759232,322805760,331587584,122314752,127262720,338898944,339816448
43,309506048,320241664,137011200,126373888,269414400,279912448,256086016,258686976,247336960,240586752,322793472,293990400,175742976,189612032,294629376,298999808,186167296,189915136,183721984,198348800,103460864,114438144,122707968,114647040,69115904,63631360,68521984,380874752,164782080,171302912,385343488,381190144
44,370151424,379719680,204529664,176480256,320315392,337608704,320376832,319488000,304324608,310583296,83316736,65363968,235278336,246112256,358195200,347611136,247836672,247197696,254783488,255053824,162754560,165691392,176373760,175828992,126312448,118091776,120938496,126144512,230203392,230555648,106389504,97349632
45,110120960,107798528,255328256,231452672,373411840,393564160,368664576,373833728,352935936,354476032,137687040,116068352,289378304,307412992,105197568,98099200,300912640,293761024,298196992,312557568,216915968,220000256,234565632,225050624,176701440,173154304,173817856,180023296,275750912,282300416,163803136,153214976
46,161189888,161751040,306524160,284368896,115732480,124452864,106549248,109477888,407560192,408932352,190177280,171896832,343592960,361193472,158789632,152363008,354664448,344207360,352706560,365203456,267591680,273047552,288505856,279756800,228093952,227065856,226164736,233299968,329547776,335175680,218021888,206446592
47,218804224,220086272,52129792,340692992,166842368,177041408,159981568,165408768,128749568,134303744,243601408,222646272,396587008,417976320,212410368,203755520,86917120,75624448,406126592,425046016,325214208,327671808,345645056,335347712,285478912,284078080,284917760,290127872,383483904,391479296,272654336,260214784
48,256995328,260362240,92340224,68583424,207323136,221708288,202850304,209170432,171737088,176025600,288366592,268353536,100048896,130359296,256573440,247144448,131993600,119472128,110919680,131072000,367468544,372600832,386342912,378974208,322613248,325455872,323272704,331628544,104239104,109101056,318681088,303509504
49,297803776,298598400,137367552,111108096,247394304,260849664,241979392,245907456,207175680,212074496,36499456,305631232,135860224,167997440,292663296,283619328,169381888,156479488,145805312,167059456,69537792,66920448,92741632,89636864,63213568,51863552,360128512,368730112,142962688,144429056,356622336,340226048
50,57679872,56946688,189444096,161337344,298659840,314744832,290906112,301547520,267894784,270721024,98295808,88764416,201031680,225456128,353902592,334934016,229232640,209788928,208793600,221704192,125554688,129200128,152850432,143728640,119746560,113958912,101085184,102608896,195907584,200728576,70279168,69566464
51,125939712,117547008,245837824,217518080,363683840,372641792,355475456,358776832,323866624,325664768,148561920,139489280,248082432,281993216,97046528,93011968,287092736,265158656,257789952,279080960,180604928,184225792,204140544,202137600,178733056,176230400,155824128,159498240,252006400,255483904,131194880,139087872
52,174571520,180072448,308027392,279216128,131190784,135225344,130461696,132898816,89751552,88342528,213876736,204341248,309886976,349523968,158875648,152338432,347787264,330743808,326201344,344145920,245596160,248430592,266977280,269803520,234102784,228884480,219078656,222728192,315248640,317595648,196018176,196399104
53,225615872,229371904,98172928,76369920,181379072,186363904,177573888,182124544,144052224,140242944,265814016,253947904,363126784,403357696,209723392,202543104,107257856,90251264,376512512,397885440,294502400,299458560,319066112,318062592,284864512,283447296,270315520,275607552,365506560,366850048,248352768,249868288
54,270606336,273199104,144846848,120647680,224018432,231907328,220827648,226971648,188391424,185262080,307044352,298954752,117035008,125259776,252841984,244879360,151080960,138190848,122888192,122011648,337125376,344399872,69652480,72114176,56852480,51175424,314163200,319107072,117997568,104763392,293412864,294809600
55,325025792,330977280,201895936,177971200,282476544,291725312,279982080,290312192,250933248,242810880,90030080,67219456,175329280,181096448,309927936,298823680,211451904,190894080,173948928,184287232,102817792,112136192,126001152,128548864,115138560,112783360,69750784,376057856,173191168,159219712,351567872,353370112
56,99065856,89112576,258568192,230604800,336920576,348073984,332238848,344616960,306712576,300994560,144629760,125554688,228433920,243613696,370581504,357699584,268148736,247504896,233910272,236609536,155377664,165732352,183640064,185843712,174129152,169791488,123904000,134168576,233664512,214765568,91598848,86196224
57,147554304,145920000,311160832,285118464,383889408,393564160,385916928,399020032,356761600,344104960,192737280,173436928,275623936,293838848,96350208,88453120,324501504,299884544,279859200,293859328,208310272,221622272,231243776,236048384,219324416,214982656,171294720,177434624,279040000,263643136,137224192,135815168
58,190119936,186408960,53686272,325677056,87736320,90955776,99319808,114536448,70254592,69361664,238170112,222457856,324665344,343097344,145014784,135700480,361611264,339427328,327348224,334639104,251437056,263073792,281337856,284737536,264957952,263454720,215855104,226217984,326795264,311943168,189620224,187703296
59,232251392,230113280,101310464,79519744,128380928,133660672,143376384,158384128,114675712,112799744,282189824,263753728,368107520,387960832,188235776,178638848,62791680,60862464,372350976,378646528,296189952,306528256,326377472,329723904,38551552,308178944,260685824,269365248,369659904,356958208,233365504,231727104
60,280817664,280154112,146530304,127000576,176648192,182706176,191787008,209203200,162553856,160096256,48308224,311148544,94400512,95043584,238342144,225374208,108929024,108834816,98410496,99565568,343437312,353009664,373059584,69480448,83226624,64344064,305381376,315154432,87859200,89849856,282640384,277970944
61,62554112,335503360,214585344,184389632,237432832,242368512,247345152,268607488,220389376,224485376,108863488,83124224,158834688,153350144,298541056,284594176,167489536,168529920,168955904,155455488,108417024,111456256,121782272,126730240,149594112,125046784,65761280,67710976,149348352,153731072,338624512,334176256
62,117420032,108789760,265969664,244973568,290004992,304132096,305840128,326156288,280735744,280076288,164470784,145653760,216506368,219181056,359088128,342073344,229167104,226009088,220155904,218976256,171085824,171470848,184307712,188948480,200785920,185921536,127246336,128118784,208343040,210436096,93077504,92389376
63,177627136,156479488,315351040,294543360,338632704,351080448,354471936,77832192,331517952,329379840,211365888,189763584,258633728,266088448,113168384,99450880,276713472,273113088,269574144,266551296,218402816,222187520,231452672,236019712,243859456,231280640,175710208,182374400,256102400,257261568,141242368,140353536
64,218148864,214376448,80674816,64229376,98365440,102752256,123482112,134021120,74981376,74891264,268222464,248332288,318164992,326029312,163233792,154750976,333053952,327405568,323313664,324755456,274575360,276238336,287199232,292802560,299757568,287875072,225845248,235499520,312086528,310415360,200601600,197885952
65,259457024,258555904,123203584,106987520,139767808,145813504,166285312,177885184,117813248,119169024,312320000,291188736,62369792,65609728,207507456,197079040,76746752,79056896,368328704,367390720,319094784,320544768,331751424,337223680,67141632,45326336,267067392,278388736,355459072,353488896,245669888,242888704
66,312016896,315432960,181878784,160280576,191111168,199794688,217620480,231849984,171552768,171180032,66142208,53350400,116928512,121094144,264503296,249696256,131727360,129478656,122400768,111722496,63807488,64614400,64368640,72933376,120156160,97861632,322740224,332103680,103817216,103108608,298835968,298872832
67,95588352,85573632,249040896,222531584,251207680,267161600,281493504,295350272,236699648,241262592,128712704,114339840,177684480,189427712,327684096,311562240,195870720,189661184,188833792,175284224,119836672,136634368,125009920,144969728,181112832,160587776,89944064,93249536,178679808,173477888,361414656,356892672
68,144441344,124592128,295088128,274448384,302415872,316911616,333377536,350695424,287170560,289464320,182226944,168660992,231960576,241647616,380641280,363233280,249270272,245215232,234229760,232411136,179752960,183566336,180793344,189825024,234401792,220483584,144089088,148582400,220852224,219086848,100302848,104374272
69,197853184,181293056,354369536,327806976,355799040,369934336,386904064,406290432,337686528,339943424,234348544,217026560,285650944,298160128,107900928,97484800,304726016,300941312,288927744,288006144,232951808,234676224,234065920,241250304,284565504,273797120,198664192,203284480,273264640,273006592,155586560,162807808
70,246243328,229789696,81915904,76632064,83816448,88023040,122236928,129191936,390193152,392081408,284381184,270381056,334495744,347983872,157040640,145342464,353320960,346853376,338243584,334811136,279687168,287232000,284241920,294486016,43233280,323248128,246353920,254341120,324505600,324247552,206897152,210780160
71,285081600,269398016,122056704,115122176,123793408,129204224,163340288,171794432,107716608,104513536,35258368,309444608,373993472,390316032,197128192,184786944,84946944,72364032,43630592,45723648,320327680,329691136,324050944,334798848,83845120,67944448,285884416,294776832,363610112,364326912,246456320,250474496
72,50647040,321425408,175607808,166199296,171540480,178176000,218333184,221257728,160358400,157360128,87322624,63438848,102420480,117116928,249278464,234430464,136179712,120983552,92659712,96415744,369647616,378716160,71786496,75579392,133468160,116879360,334778368,345124864,92061696,92561408,295129088,301699072
73,114798592,94187520,240619520,232644608,238034944,248737792,278151168,287207424,227831808,224972800,154165248,129622016,169996288,187940864,320270336,300769280,203624448,186617856,160591872,163889152,128323584,130056192,137912320,145686528,197021696,185307136,405098496,414216192,159137792,160251904,366469120,369496064
74,180154368,160215040,305782784,296742912,302329856,314105856,344084480,356622336,293752832,291516416,221454336,195264512,235114496,256200704,383905792,363630592,271167488,250150912,227774464,231895040,195272704,196575232,207814656,210112512,263172096,254218240,145514496,146657280,228081664,221724672,109514752,114667520
75,237912064,216756224,363249664,355872768,358932480,372019200,399814656,413093888,349151232,347557888,279609344,253788160,290861056,316796928,121528320,108511232,325677056,306581504,282341376,288985088,250146816,255733760,263114752,269254656,319217664,312889344,199127040,206487552,283668480,279904256,165167104,170455040
76,273461248,258080768,96260096,93634560,97959936,86630400,128196608,135016448,386306048,388182016,318238720,291688448,330625024,358051840,161443840,147779584,366780416,343105536,322535424,326914048,290521088,295591936,303251456,309026816,81883136,74104832,237867008,244232192,322949120,319062016,205139968,210022400
77,323387392,305647616,147177472,138223616,143663104,138813440,176181248,184504320,120016896,114352128,74055680,47931392,53497856,70774784,211263488,196055040,98664448,97914880,68755456,65257472,338972672,346218496,349855744,357720064,127807488,125648896,284782592,296882176,51179520,52436992,255021056,258527232
78,80728064,62590976,204177408,196161536,198705152,195600384,234250240,242487296,177602560,174063616,131153920,106811392,112295936,133222400,269369344,252268544,157921280,150974464,125419520,124051456,69828608,69423104,89837568,89645056,187469824,181788672,342573056,353923072,111357952,110768128,316596224,317726720
79,151564288,131534848,274108416,269303808,259645440,266481664,291819520,315232256,243097600,239140864,204144640,169119744,171794432,198639616,332136448,325877760,217010176,208461824,185987072,180723712,127565824,134471680,146046976,149352448,251924480,244928512,409403392,422895616,173551616,171622400,385593344,376492032
80,192598016,177664000,320458752,311521280,313057280,312098816,350560256,362491904,293400576,288587776,249700352,220860416,229715968,250441728,386490368,363311104,272150528,263979008,241786880,239054848,182644736,184856576,204378112,206057472,303759360,301543424,130076672,138563584,224317440,228896768,103870464,105136128
81,242483200,229322752,372989952,363339776,362229760,365756416,400900096,412614656,343552000,338620416,297656320,274415616,278929408,303456256,104382464,100401152,324591616,314478592,293908480,291667968,231452672,238366720,255803392,258506752,56410112,351363072,182128640,189186048,276729856,278482944,154161152,156913664
82,280072192,270630912,76488704,73461760,78565376,83095552,93773824,99184640,51970048,377520128,47222784,310067200,315125760,347602944,146341888,137089024,359276544,346890240,329211904,326246400,269283328,276033536,292466688,294170624,92401664,78295040,219684864,228229120,314781696,317079552,194457600,193236992
83,44957696,314310656,124608512,118697984,122789888,130158592,140820480,144232448,97562624,98492416,91852800,67686400,58781696,60428288,187355136,181665792,92999680,89292800,54468608,55046144,312995840,319414272,339386368,340324352,139087872,123252736,266436608,275701760,59625472,59314176,238403584,242466816
84,123613184,93126656,203468800,200732672,201224192,206860288,213131264,222306304,173821952,172466176,166293504,141160448,131469312,141762560,263737344,255561728,171945984,167759872,134467584,135958528,388276224,395776000,108707840,99524608,210350080,198754304,338620416,351641600,134742016,132706304,313757696,316309504
85,179159040,156467200,263278592,260120576,255700992,270041088,280592384,285978624,243249152,233328640,236503040,202317824,194732032,213426176,334229504,320708608,238895104,233918464,205500416,199413760,147156992,147144704,172834816,167010304,272420864,262438912,407683072,423432192,196603904,203599872,382185472,380243968
86,230305792,209805312,317517824,304943104,307056640,321794048,329269248,340672512,289374208,287330304,284983296,257314816,247758848,257777664,382885888,367808512,285646848,278364160,252694528,251990016,199385088,198639616,218943488,220971008,323268608,314748928,136429568,143888384,250408960,248074240,120582144,118153216
87,262660096,239345664,350691328,337645568,338399232,355450880,363073536,373452800,321761280,320974848,317755392,290062336,280883200,292794368,117489664,110309376,322965504,311980032,285724672,286466048,236064768,237105152,255754240,258482176,99622912,80986112,170651648,179220480,283230208,283754496,153870336,150405120
88,30867456,292503552,107204608,74035200,74559488,96751616,114208768,116727808,60682240,57327616,76271616,54267904,325070848,345743360,165654528,161026048,62631936,57094144,326926336,331948032,277069824,278908928,303464448,301072384,144343040,127414272,216870912,224260096,331874304,340627456,202022912,207323136
89,72302592,54452224,143564800,118210560,115838976,135888896,152985600,159358976,103886848,100823040,121810944,93761536,67391488,71643136,209297408,200454144,110063616,98443264,67989504,68161536,323657728,327151616,343404544,346845184,188817408,173121536,261603328,271122432,69369856,68206592,246923264,242360320
90,149757952,134373376,222568448,189534208,190345216,212545536,226152448,236785664,178163712,172449792,194183168,169598976,138678272,149733376,284745728,273121280,182652928,172171264,149381120,141991936,395374592,404422656,109309952,108658688,262823936,246210560,337248256,350871552,146718720,145629184,325242880,315314176
91,203907072,189689856,280203264,250970112,244809728,274731008,285859840,293449728,237441024,233652224,254382080,226131968,202260480,208015360,346628096,327671808,242708480,228663296,200863744,201834496,133025792,135348224,168202240,165072896,319184896,306049024,392667136,405254144,202780672,200114176,383672320,376098816
92,250904576,239636480,327188480,301711360,298565632,322719744,337420288,345923584,287088640,284966912,304943104,277553152,248877056,261783552,395288576,377827328,298250240,276291584,253931520,249843712,181104640,185978880,218648576,218558464,82067456,71774208,126279680,136794112,255860736,249696256,438673408,428294144
93,291053568,280465408,370647040,344576000,331735040,361070592,377720832,385380352,327618560,321409024,53727232,315895808,291385344,310132736,122101760,100429824,332271616,312872960,292691968,292016128,225030144,224374784,260444160,258678784,122843136,108015616,168611840,178032640,301477888,290963456,148201472,139988992
94,81145856,61624320,99151872,100859904,89321472,93396992,94642176,85868544,88150016,97861632,115003392,113197056,341794816,357187584,174477312,155672576,92573696,75251712,338522112,346374144,270573568,276656128,309280768,310034432,176877568,170979328,221036544,232022016,354029568,348205056,202072064,202498048
95,137048064,123645952,159248384,156340224,134004736,148082688,157892608,143835136,140730368,145502208,172298240,159690752,92815360,89960448,235438080,208203776,152465408,127193088,86573056,82161664,324866048,337145856,372264960,366624768,235937792,233312256,276611072,293007360,89808896,84529152,263208960,259182592
96,200122368,188940288,230031360,217104384,204349440,234881024,221458432,215109632,209608704,218656768,242196480,226324480,158199808,157184000,310943744,284385280,224804864,195313664,159010816,157343744,401399808,418103296,121393152,120655872,305111040,314281984,346521600,363229184,156160000,169746432,332152832,326520832
97,251731968,238772224,280682496,268320768,251006976,272711680,272965632,270032896,259129344,269967360,291282944,280264704,205864960,214122496,355979264,330588160,282419200,256577536,217133056,219320320,124796928,126459904,177283072,179425280,350695424,348549120,393179136,416399360,206987264,203862016,386613248,381329408
98,305266688,295145472,339181568,322473984,304533504,327356416,328597504,329629696,314552320,325713920,346566656,338092032,260255744,269275136,413515776,383574016,332091392,305942528,266027008,269971456,174321664,181198848,228081664,232062976,114561024,103555072,135766016,137232384,266915840,262295552,104947712,99057664
99,87801856,350564352,390852608,377405440,355131392,379543552,377659392,376520704,71745536,98693120,97943552,88420352,310018048,317919232,144953344,142413824,385662976,355688448,315088896,317640704,227622912,226000896,279711744,277819392,169103360,158695424,182394880,194854912,318267392,313348096,150872064,153866240
100,129286144,114352128,107761664,93409280,86814720,108396544,119320576,118956032,117161984,137515008,143028224,137654272,375267328,378732544,200404992,179814400,110182400,94978048,368869376,368898048,272424960,279207936,329838592,333328384,216383488,206692352,243683328,242929664,365211648,357867520,219078656,202203136
101,181661696,163020800,171233280,152227840,160202752,166551552,176336896,180699136,184238080,193556480,203386880,197206016,93413376,121839616,253222912,238968832,158257152,145096704,86532096,87445504,322224128,330063872,376930304,381825024,275927040,272035840,297418752,303452160,88657920,82087936,278765568,266833920
102,239681536,224411648,234504192,211861504,207167488,227475456,233996288,236892160,236941312,255455232,263970816,259088384,150343680,178388992,312168448,296689664,226603008,212475904,153038848,153694208,387665920,400236544,123490304,120922112,330027008,325722112,350650368,359088128,151207936,144601088,329781248,320741376
103,284585984,271466496,280354816,263704576,257069056,276238336,282931200,283365376,284700672,302014464,311398400,304963584,196837376,228794368,359530496,344391680,271781888,255361024,200077312,200122368,91832320,96727040,161185792,169906176,67411968,373096448,394366976,410058752,196403200,191975424,374931456,369119232
104,44662784,327098368,333737984,309596160,308375552,331321344,331587584,338063360,336314368,353865728,365010944,360775680,251015168,283107328,413192192,396177408,316305408,297107456,246042624,245182464,136564736,143556608,206032896,214499328,121434112,104476672,104542208,122597376,244850688,237838336,84803584,78790656
105,99921920,80830464,388292608,368250880,364007424,381456384,389640192,401539072,80084992,90562560,92004352,94011392,300548096,336117760,123752448,113491968,368029696,346746880,295243776,292855808,183447552,194629632,256446464,266457088,169054208,152711168,156602368,180752384,296132608,287748096,142163968,131633152
106,157290496,129409024,98476032,103038976,97189888,93929472,116965376,117096448,141803520,131993600,149884928,137998336,357666816,387764224,174944256,162951168,72757248,68841472,342450176,342167552,232714240,241352704,301211648,311099392,228847616,206000128,212000768,232980480,350547968,339333120,187265024,185810944
107,222179328,210022400,168943616,170831872,168919040,162598912,180703232,182902784,200318976,206725120,209903616,204824576,98230272,104570880,236589056,239169536,143998976,131907584,92221440,102293504,296116224,307757056,368865280,373542912,288423936,274477056,282824704,294883328,92422144,100159488,259780608,256020480
108,265129984,252551168,222183424,213278720,206614528,217571328,230789120,240467968,252280832,255074304,259612672,253329408,149987328,159043584,285761536,276430848,203223040,194187264,155373568,160305152,360910848,370274304,430153728,442822656,343355392,328781824,327614464,350662656,154378240,151379968,319352832,306499584
109,37515264,301932544,273203200,261959680,255873024,266629120,278876160,289607680,304054272,305127424,309260288,300978176,199163904,209272832,339197952,330129408,251363328,241958912,200896512,208838656,405999616,418381824,143740928,145018880,112263168,97157120,378249216,401092608,201957376,205582336,371068928,359325696
110,88944640,66957312,323485696,310685696,304656384,320921600,326463488,343896064,358203392,354103296,362151936,355221504,251711488,265129984,86716416,68780032,300716032,288129024,251445248,257253376,139743232,144125952,191586304,194895872,162320384,144846848,120479744,125853696,251826176,253837312,101752832,98197504
111,139259904,120287232,382345216,367542272,357310464,368627712,384237568,393871360,102723584,94507008,97656832,93863936,302559232,314716160,142655488,121057280,344571904,332972032,295325696,302931968,184827904,186351616,236388352,239222784,213409792,200486912,171085824,188354560,303927296,301817856,152805376,150761472
112,193867776,173121536,94433280,96423936,88223744,87629824,101879808,113082368,160440320,150052864,147546112,153026560,365158400,376782848,197029888,171163648,67932160,66781184,352378880,359825408,240631808,243052544,293384192,296861696,273522688,257105920,225058816,240201728,362954752,360361984,210972672,205619200
113,244129792,238039040,156123136,147611648,144224256,154505216,152670208,178339840,207704064,216199168,206352384,206901248,102313984,96374784,245751808,226611200,130355200,127877120,413523968,422535168,301121536,303411200,355119104,358055936,328253440,321527808,289017856,290050048,95010816,103833600,268546048,261050368
114,295161856,283762688,203980800,202981376,196620288,201834496,210497536,227950592,261165056,256778240,263237632,259465216,143081472,152088576,300969984,278319104,175140864,172507136,124940288,126222336,346796032,350810112,400035840,405258240,77713408,63782912,334118912,348520448,150458368,152846336,323096576,319569920
115,64864256,332677120,252121088,246284288,240861184,247758848,255348736,273276928,306696192,300941312,306393088,306225152,189689856,200118272,346374144,324734976,226623488,224718848,175919104,178044928,62992384,66580480,121565184,127148032,122896384,111767552,381440000,396423168,196509696,201486336,372432896,367685632
116,114999296,81403904,303071232,298655744,288837632,298614784,302014464,326119424,357687296,354557952,356864000,356134912,242413568,251170816,397504512,371937280,271867904,267444224,221863936,224374784,108343296,112480256,166785024,172539904,169558016,162217984,107778048,112660480,250122240,248938496,86937600,86646784
117,154062848,118833152,339791872,332541952,324825088,341614592,337793024,365346816,82010112,80433152,95035392,92176384,278159360,288288768,110727168,108687360,319148032,313425920,267620352,272400384,154284032,160333824,214773760,220622848,206417920,197726208,144433152,149024768,287137792,290312192,127836160,123023360
118,207101952,173989888,81195008,83611648,79167488,76713984,82370560,97349632,134496256,137211904,144429056,141721600,330137600,342212608,161632256,160002048,78450688,73687040,324374528,328183808,209539072,215982080,270827520,276553728,258162688,255807488,195469312,203501568,343195648,337825792,178388992,179519488
119,249278464,218247168,127979520,126914560,115748864,121798656,127700992,140935168,177655808,178724864,189485056,183812096,82046976,83763200,206155776,201900032,130461696,123879424,376025088,379338752,260452352,265392128,320253952,328589312,300883968,295829504,239255552,248500224,80568320,383713280,226877440,222642176
120,62574592,287236096,193867776,195948544,189239296,187305984,202788864,205918208,244568064,244854784,254468096,251428864,143364096,147402752,273301504,264396800,171532288,164163584,106815488,107196416,303063040,309153792,365023232,56365056,96276480,75677696,306573312,318324736,149000192,144199680,294199296,286801920
121,116727808,76890112,256061440,252772352,242163712,250736640,255295488,271695872,304988160,308506624,318021632,311267328,209448960,216305664,337776640,329355264,238641152,228831232,172056576,172613632,366923776,85180416,120315904,122171392,158683136,138641408,366616576,384040960,209231872,204365824,355921920,355258368
