bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
318,12039161383,12453908226,12444405361,12144909268,11966059362,12426883700,12239149350,12562106773,12262459316,12365559697,12299755966,12277131430,12252078735,12755419971,12396469539,12020120580,12372623870,11979897536,12296234468,12420978118,12213432863,12410350803,12350848934,12442027486,12058126388,12432475618,12174499824,12548841763,12314202944,12248682073,12580313897,12536073407
319,12067863501,12483131751,12475189458,12172850543,11993562028,12457377130,12266615708,12595124652,12297416068,12398427745,12333415915,12307766594,12285327907,12789307263,12428704256,12052191926,12415192510,12021161024,12341647178,12465554451,12250478951,12454622269,12395648871,12485751942,12083933736,12460062009,12203093045,12580914053,12342559535,12278249713,12611621991,12566599738
320,12117976608,12534882803,12525917298,12223368692,12042165788,12509414399,12316183269,12645675417,12340541577,12444270209,12379141128,12357420441,12331613116,12836770794,12477969686,12096178996,12444890083,12049581931,12370930451,12492243783,12281562548,12481899214,12423391248,12516059727,12131827202,12510558959,12249584095,12629642974,12392747214,12326347082,12662489431,12617797006
321,12142775492,12560105298,12550408824,12248301732,12067974052,12535795038,12341909366,12671901498,12367817950,12470873180,12405779387,12387333171,12356656500,12863112744,12502485054,12126773202,12494196775,12096602583,12417907648,12543457228,12332126748,12531280705,12472490052,12564689802,12159498940,12536286421,12277569946,12658743105,12418843351,12351917181,12690044245,12644054601
322,12189212381,12609893413,12596647183,12295395695,12112343757,12583187096,12388890786,12722151007,12415340325,12519014395,12452094849,12427624825,12401506939,12912186871,12549402817,12168867414,12519921355,12122225098,12441806720,12569006384,12355170921,12555941133,12498680198,12590960645,12201858146,12588197391,12321780923,12703728815,12463671424,12400972722,12735776511,12692133915
323,12226912585,12648422084,12639039845,12334810095,12152129796,12623920078,12427925398,12761526549,12454318216,12558511079,12492335441,12467588505,12444741572,12954519575,12588897319,12203867161,12569869504,12169077869,12489426430,12617604001,12402593552,12604862250,12545047813,12637149948,12242832577,12626934469,12361848506,12745944589,12504934463,12440864735,12778777829,12734019183
324,12261051045,12683628751,12674966449,12370128575,12186771502,12658215528,12463421682,12796189904,12489847046,12594696954,12529239030,12503789273,12479476541,12990619076,12625342505,12239924743,12609420365,12206954005,12531315560,12658145784,12443186012,12646489705,12587817114,12681094397,12275286389,12662665978,12396183485,12779879315,12540166162,12474236945,12813373001,12767459874
325,12300846756,12724974453,12716038062,12409374528,12225475269,12700302874,12502005866,12838501734,12532943806,12635315106,12570152312,12544056968,12523547924,13033362433,12667797703,12279996824,12646457744,12242682871,12567445502,12694443169,12479095254,12682373449,12622005691,12716463087,12318126382,12702544229,12435814075,12823418996,12581398568,12516820729,12856250487,12811119658
326,12336148027,12761221214,12750202902,12444609750,12262424682,12737032563,12538379981,12875201892,12568068679,12672250775,12604394897,12578295837,12553599460,13073388988,12699861873,12313602380,12687302924,12281106139,12607531980,12736047821,12518713785,12722875458,12664076452,12755991803,12352745705,12738203692,12471465704,12859800864,12617170288,12552159703,12893140228,12846783875
327,12363812863,12792203224,12778143612,12471308772,12288488559,12764718978,12564857861,12902573651,12596764007,12704692879,12636499080,12611786196,12587131594,13099362484,12733703161,12344741782,12722542609,12316309714,12642971252,12771580297,12554884562,12759707352,12700506180,12794305940,12378369655,12766229398,12500113896,12891732482,12646587262,12581502240,12920565179,12874309736
328,12407165651,12835241100,12826188595,12516196645,12333866319,12810378079,12614702999,12948777299,12638474142,12742704834,12677243005,12650646055,12626099101,13143677685,12772749020,12385393408,12749305410,12343529454,12670958047,12798603035,12580636426,12786634674,12728075706,12821308872,12423534663,12812975886,12543604055,12934193048,12690753407,12626195100,12969909026,12919799625
329,12455259310,12884999737,12870535916,12562738849,12378243240,12859679947,12655693758,12996031524,12686624312,12793212939,12728304746,12698656783,12674894134,13196747259,12822743517,12434030024,12797300761,12388229204,12715446665,12844775637,12625422502,12833994296,12773588953,12867134756,12469253349,12860633439,12589322332,12980682242,12737005848,12671182005,13016106241,12966960646
330,12488901904,12917566051,12908441780,12598813738,12414696022,12894032870,12694050120,13033068750,12722332422,12824899415,12761862851,12734249293,12708655863,13230794965,12856909150,12467987081,12840996830,12430450829,12764546414,12889494124,12671140008,12878888178,12824601015,12913666448,12507306776,12896748289,12625906792,13019896338,12775904745,12707769620,13054228091,13005615253
331,12529353592,12958476253,12951308275,12639742129,12454176237,12934846519,12736110573,13073880141,12762242333,12867675430,12801826105,12775383706,12749308561,13271203274,12897338238,12507198324,12880595148,12467839965,12801037500,12928891198,12708375176,12917569305,12857909259,12952208489,12546537387,12938441093,12664479099,13062195510,12815051631,12750527422,13097163435,13047308745
332,12554793618,12985733107,12976693774,12664536859,12480681343,12962408438,12761852088,13102220345,12787372364,12893817945,12827949182,12800909090,12773905437,13297541887,12922083546,12531930506,12921030356,12508648562,12842406338,12969314441,12748456683,12956448718,12897598751,12992153524,12572868469,12964952983,12691442409,13089564411,12841320374,12776674370,13124309893,13074586174
