bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
369,13743743244,14212316981,14210012549,13862369078,13659670165,14191182529,13967813966,14342017491,14011510493,14129427799,14060731184,14021346342,13992975589,14567494756,14160157569,13728100693,14146624122,13693992002,14058401089,14197811109,13954273448,14185742921,14116902560,14224052960,13777650781,14202721670,13906465137,14343017291,14069302367,13997547044,14384618712,14322952013
370,13775113437,14246733648,14244391916,13894458426,13693380779,14224595989,14000840479,14376457574,14053421721,14170941131,14109712766,14064256309,14034837470,14611953681,14205040221,13770394422,14175634479,13722696419,14088619362,14227315804,13983957417,14217270949,14147228213,14254489027,13819872372,14244372728,13949670054,14385387943,14113717580,14042688395,14435541269,14362134053
371,13812760438,14284839910,14282775818,13933492250,13729229072,14263172175,14040496655,14416074425,14090791769,14209803090,14141022895,14100092013,14072146977,14651247272,14238693041,13804927314,14209244159,13755056134,14121058625,14260960212,14017346556,14251049805,14180140550,14289291240,13856114052,14285626812,13985273153,14425784562,14150322031,14077001748,14463912450,14401516928
372,13857691323,14332676183,14331277063,13978150312,13773879352,14307859873,14082461395,14460910676,14126298752,14246097191,14176547204,14136944389,14110460158,14689084864,14276494710,13844432702,14249392555,13792487045,14160493268,14300097070,14056437812,14290613127,14220367269,14327676338,13894786943,14323068422,14022733886,14462021621,14187573790,14115015394,14503206217,14442991215
373,13892604522,14369345073,14369192295,14013887369,13809649217,14347260500,14120043001,14498566083,14165184524,14290529713,14217228178,14179363215,14152295904,14737823632,14318084095,13885754801,14298546551,13838533786,14206196786,14348678837,14101102618,14340422627,14267119368,14378701169,13935700756,14368597163,14068102768,14512620654,14233007320,14156438986,14549031180,14483169328
374,13940816896,14413221590,14412495013,14056907382,13851524918,14395708000,14165075392,14543153552,14206697791,14328340996,14255488086,14219455632,14187636645,14772786738,14357794599,13919575246,14332989715,13874704278,14241744582,14382977244,14137215963,14373028207,14303003194,14410786159,13982896867,14409212199,14106963030,14551187938,14272718443,14198542007,14588700605,14527963717
375,13964958607,14443402044,14442735594,14087516038,13881745612,14422477697,14195999835,14575605467,14240594044,14361286807,14288650424,14251043875,14220641084,14806947535,14391485425,13952599904,14381485709,13920048618,14290460185,14427992326,14180549261,14421945129,14350643129,14455511932,14005682242,14436819877,14134833456,14578616896,14301066143,14227838318,14620504764,14557442213
376,14013390023,14483270793,14482194581,14128284989,13922524889,14460702085,14238975775,14617432509,14290973568,14415110487,14341588951,14305061214,14275208706,14861248973,14447625712,14003733627,14406665128,13945756333,14314390280,14458859150,14210802985,14447441549,14377638285,14486173394,14061642101,14494610774,14186154574,14633031227,14355382334,14281732835,14675699266,14606806034
377,14045599136,14526004893,14525086860,14167276787,13959790060,14504081294,14276380026,14658390558,14325142538,14448407700,14379412257,14345757735,14307781203,14897410790,14482708279,14038889979,14452057852,13987129733,14357426336,14501558621,14264932219,14488094422,14418295662,14531930919,14099074564,14533082216,14226434123,14670330379,14396132413,14318990737,14714110955,14654208632
378,14082833307,14563539410,14565198085,14204534893,13999018635,14542950102,14314566191,14698288498,14353561823,14476495517,14404663249,14367653658,14336250383,14927819614,14508696546,14064905560,14490926671,14025414481,14395592731,14541611934,14292362904,14530480077,14460240550,14568612164,14124093424,14561516587,14252632518,14699310051,14421880899,14350066558,14744462470,14681791826
379,14121051668,14606806006,14605850008,14240006396,14036281362,14578334130,14354791510,14737015973,14397618342,14520689559,14452425248,14414465086,14382070673,14972811665,14554844121,14108135054,14529961265,14063515638,14434757515,14580752695,14330767259,14568298168,14498141035,14608300220,14167192763,14603013485,14297197797,14745892345,14465801698,14393930905,14788859034,14724225755
380,14159808913,14644981636,14645668196,14281560732,14072221465,14620561694,14392189041,14778874756,14431042903,14554533864,14482126310,14444700207,14413224215,15006355180,14585748391,14141233409,14568906085,14100715577,14473473306,14617335445,14373543052,14608808338,14540894112,14649699346,14196415197,14633626790,14324775671,14777071007,14495824929,14421793059,14819210864,14754502855
381,14194994794,14682771562,14682512282,14316537739,14109275043,14656581660,14428408786,14815142885,14474517166,14600645744,14529652267,14487776807,14456805682,15053970590,14631008207,14182887548,14607938865,14139463068,14512711979,14661073400,14410602948,14647452964,14576967112,14687415044,14238872222,14678119999,14367878470,14822533927,14541163633,14465356629,14862305799,14799641640
382,14238764210,14727675770,14726393681,14356129155,14154201733,14704577781,14472854328,14861298184,14514428967,14639064433,14567745852,14529703290,14496400861,15095503383,14670882970,14221821745,14645911314,14173727512,14548585310,14696710666,14446712460,14684419510,14611043864,14723469224,14281563072,14720819750,14409792411,14864102754,14583717128,14507448163,14907362149,14845315231
383,14276735317,14765338266,14765483543,14398171640,14190672010,14740654923,14511648121,14902691482,14555066253,14678983386,14607537818,14567483042,14539909460,15138461676,14712477057,14264556598,14691490820,14215619530,14593677828,14741870662,14491027462,14731149512,14655849337,14768824163,14321020274,14761192212,14449666504,14905752605,14622089299,14548498454,14946337824,14882861508
384,14304876407,14797037646,14795927573,14428918927,14220228502,14772852801,14543036748,14933312324,14590004035,14716686986,14644392055,14604489782,14573185455,15172149486,14746046718,14295130800,14730727463,14256661946,14630914893,14781874804,14529696548,14770380806,14695266415,14809127676,14365550300,14808041523,14490870238,14944515596,14658712639,14589295483,14986704977,14924992787
385,14353490411,14845166249,14841786843,14475750807,14265918730,14819161182,14588867235,14980863027,14634338417,14761072203,14687923178,14650945742,14615707741,15219831843,14797819698,14339084449,14761728444,14285550677,14662827429,14811592515,14560968647,14800627711,14727452013,14840519290,14400154374,14845021854,14532424942,14989298172,14703300161,14629409402,15029489212,14965704504
386,14387104898,14879860890,14877860980,14509525469,14298658904,14855067357,14624068961,15017448886,14660458577,14786505019,14712104132,14676403374,14642890927,15249238066,14820696136,14366622275,14810203683,14331320162,14709152633,14858148423,14609315795,14845348216,14773583365,14887023313,14421128802,14866878155,14553648315,15013480328,14725489062,14651819451,15054002726,14989843514
387,14425100868,14922410326,14916779391,14547480434,14339847278,14897345184,14666524294,15060374930,14706516932,14832659356,14758020543,14721132111,14688147755,15296507780,14868674593,14413162829,14844533528,14366421549,14744482880,14894852128,14642971001,14883374043,14810845526,14924541472,14467474483,14917454799,14600968823,15061269074,14771924277,14698614667,15102229172,15037423712
388,14463767691,14961800651,14958817740,14588330315,14376691475,14935404805,14703150271,15097827938,14754607592,14881018535,14803982777,14770502139,14735312953,15345932195,14914823790,14457128320,14886678837,14404433883,14784663088,14936871027,14680328192,14927730277,14851429936,14962365845,14514720933,14962492965,14646133521,15107640061,14817697938,14743676412,15148716751,15085417435
389,14494420560,14993100974,14989132753,14619261478,14407855139,14966696524,14734391190,15131441503,14773230718,14899731558,14825945968,14790200431,14754211037,15366949062,14935318609,14478144575,14923888384,14445033169,14824102036,14976018368,14720968074,14963255998,14890625574,15004116169,14534879501,14983810878,14667479657,15132222709,14840016935,14767677532,15171115069,15105985292
390,14525549729,15026509143,15024585979,14652945304,14440061341,14999967748,14768593237,15165479327,14811520640,14938982354,14864543254,14828227408,14792223674,15406588076,14975736054,14514722127,14956625256,14475411553,14855826443,15007454446,14752741215,14996198337,14921338343,15036416240,14572708670,15024431106,14706624548,15170402539,14881102659,14805301700,15211080091,15145820631
391,14567160926,15068625156,15065159964,14690768872,14480388953,15039542020,14808503813,15208520953,14850685762,14978303218,14903117380,14867050457,14830777639,15445262757,15012103559,14554742965,14990864481,14508435651,14890739321,15041201462,14787109498,15031320474,14956411600,15069820803,14614321116,15066932297,14747663651,15211231245,14918666793,14846988472,15256716797,15188734092
392,14605906894,15108255798,15104897630,14730430438,14519317357,15080998632,14846748478,15249448031,14887582059,15015453186,14940109186,14902612615,14869337088,15485912982,15049743910,14588479411,15031553763,14546515042,14929876786,15082731035,14826694818,15070792989,14995190779,15109460662,14645888446,15098087677,14779547334,15247192921,14952248314,14879230242,15289956770,15221927296
393,14639621802,15145197365,15139655823,14765207304,14556519851,15116260439,14880911125,15290667614,14924830464,15053475659,14976237255,14938698332,14907582447,15522371738,15090539947,14623188298,15070917673,14584455628,14970041931,15121736688,14865324440,15110436681,15036548638,15151841714,14691974442,15144469141,14825478954,15294261719,14999232237,14921798112,15334833042,15268076808
394,14678613787,15183582038,15180669100,14805144172,14591257918,15156427159,14922234443,15327151203,14956523771,15086040695,15013385648,14972694241,14941328285,15559247571,15119899547,14655945565,15108579655,14620066480,15007385711,15156153454,14901882770,15148944869,15072023758,15187437649,14716679311,15171249939,14851079925,15319888416,15026365528,14953049724,15364274740,15295679188
395,14715361425,15220739363,15215739627,14839269745,14625990157,15192713793,14954766700,15360439297,14991859548,15124954877,15049782567,15008762521,14975919011,15595370664,15160039094,14692628614,15147711922,14656709702,15046012428,15197398420,14941231734,15186893248,15112364910,15226990341,14762681816,15220442058,14896789073,15365848813,15073286383,15000235182,15412634152,15343082317
396,14749424882,15256211619,15253972024,14877803216,14660191720,15231083899,14994510136,15401011566,15032639152,15162240256,15086850181,15048974965,15014318880,15638586734,15200002202,14727505417,15182912090,14693449389,15081863282,15232667460,14975940387,15222778526,15145763406,15262813631,14792070719,15250316391,14929385127,15401453551,15104647288,15031400473,15444995051,15377556539
397,14790393671,15299654730,15296750477,14919984623,14702727668,15268167013,15034150824,15440548630,15078720019,15206866864,15129797244,15093451327,15054281754,15681023959,15243768672,14770768717,15224150399,14729001414,15118144671,15269937461,15011866425,15260650759,15184315160,15301680228,14837681622,15296595713,14975159273,15450606258,15147478109,15074692415,15494121711,15424128688
398,14832500886,15341521815,15338556174,14959219865,14741106017,15313211544,15075930462,15487243507,15112846730,15245205760,15168418104,15134743663,15097555560,15720993787,15279636805,14806710349,15266285756,14767218276,15160850781,15310910071,15049395504,15303522562,15225113093,15335591864,14879492535,15343326928,15022590650,15497629716,15192631554,15124652634,15536032969,15467918533
399,14876965738,15388497997,15381934829,15000420110,14782880842,15358775976,15118997850,15529398774,15156046478,15289676609,15214513882,15175884515,15138399357,15766524879,15323007380,14850510707,15306249949,14810890509,15203092631,15354056546,15096705826,15348442013,15267946032,15383755113,14914236599,15376446138,15051560411,15529456200,15228590307,15153987132,15572834499,15503844437
400,14904594586,15416657638,15414259122,15032721721,14813907129,15388543413,15149648397,15562344905,15188594719,15318874162,15245986630,15205432583,15169113380,15797803886,15356178871,14878940516,15352972157,14857069616,15246977740,15400001332,15140661382,15395157284,15310520424,15428481575,14961467782,15417338979,15096920006,15575147088,15267316394,15194765814,15619755647,15549088898
401,14946543149,15458803338,15459310367,15074888206,14854247126,15431907501,15191430782,15603785042,15225504381,15357614122,15281889660,15244634662,15207507380,15837453231,15393150679,14916916792,15382882752,14883576227,15275890844,15430822560,15170115219,15421991641,15344098918,15457196054,14984274841,15447778651,15121698309,15601222096,15298841237,15222665974,15644651259,15574133933
402,14980700248,15496601711,15494067848,15106112936,14886147779,15464011224,15227089703,15640861068,15260682381,15392420116,15316421863,15281579962,15243770457,15873660988,15431223280,14952755249,15424951010,14924440979,15319235156,15473032214,15209913403,15465457246,15387616956,15500898808,15024239303,15497042979,15164067356,15645350842,15340536217,15270862830,15685583974,15623978867
403,15031094549,15548056845,15537861701,15149267811,14924782966,15518553243,15268569240,15690290727,15319628948,15441134885,15366909386,15333123120,15295457794,15931208983,15484009945,15003348805,15458179403,14960248256,15352249646,15507247813,15241957984,15499564531,15419914700,15538174940,15063586156,15530641558,15202946134,15684513427,15380740465,15305184642,15729225558,15659249622
404,15058967215,15574434235,15574213386,15186454811,14964370707,15548140333,15307655282,15723933017,15343570191,15480624301,15399778910,15363381354,15328293004,15961384566,15515794181,15033410544,15504391930,15005894885,15394739870,15555704815,15286717569,15543006218,15467113920,15584710372,15110213976,15575271526,15245347605,15728779993,15426774943,15350829333,15773909307,15704250353
405,15103292736,15617738458,15617329538,15230179774,15006247551,15590907125,15350402297,15765566498,15394404104,15521371691,15444423275,15407253256,15373267845,16010902932,15560103437,15076795919,15539516325,15037985284,15432351006,15588247240,15323114482,15580026632,15503462787,15618044826,15159472057,15626739067,15294443901,15776554639,15474677672,15397718424,15821790126,15748315780
406,15147036221,15665182097,15666388096,15275110898,15050673031,15638771406,15394809466,15815212195,15433786541,15567352541,15488376066,15451875010,15414440660,16054200411,15603577215,15119788363,15589168270,15085919580,15476367174,15633137674,15365323459,15622011953,15551938230,15668512817,15189892531,15657943852,15328755079,15815577771,15510232147,15431452845,15859411553,15789477558
407,15176671106,15696676290,15695978575,15305065490,15082501376,15670240964,15425832889,15844038873,15467998289,15600058693,15521796123,15487456641,15446186056,16087426540,15636349235,15154253065,15629252648,15125386384,15526207103,15681583902,15413371341,15669781249,15594772902,15710069609,15221278644,15691335750,15360381504,15848351635,15542000790,15465413367,15894159870,15822271927
408,15217758295,15743228931,15739124011,15346332396,15126850640,15711267676,15470496004,15888619405,15510063292,15642585617,15563661848,15526812530,15490744748,16130285789,15681445813,15196985351,15660433912,15157295904,15555811903,15712352919,15443817745,15702202258,15627246221,15741209413,15263769107,15735403196,15404045226,15893661801,15584248509,15509862053,15937798210,15863762670
409,15262946899,15779370243,15779670286,15386774890,15167019297,15753915508,15508009741,15929121227,15556645113,15687979287,15622362515,15571039124,15536868673,16193271077,15726271336,15239150174,15702712450,15196368289,15602249878,15758526051,15487630464,15740815283,15667830234,15781385589,15310979242,15783723930,15450639800,15944665148,15633394361,15558972028,15992507929,15910007283
410,15298982184,15824164481,15823842394,15430984898,15204499397,15796646126,15551901897,15973155135,15590711475,15728326845,15648455000,15607761975,15570029955,16218886142,15763650508,15275463363,15745021323,15236202403,15640361232,15798889009,15525677683,15787654543,15709092987,15825141663,15348067222,15822363341,15491062892,15980203890,15667381467,15590477188,16027601482,15949822870
411,15332019472,15856223670,15855884764,15463313064,15236326254,15831148017,15584685106,16006967435,15646709485,15774704004,15690348762,15648041349,15625023229,16258789607,15810187532,15319429169,15788641718,15280001303,15681929593,15839169649,15569208887,15828597063,15751929561,15865708408,15385809878,15862715834,15529363502,16026588201,15716394003,15635762905,16067314158,15994914991
412,15371027033,15896675983,15896676006,15501952422,15276180599,15872217175,15622882326,16049111419,15670310241,15805341239,15726606671,15688063021,15649423400,16300422301,15840983477,15353551727,15821147321,15310793935,15714428370,15871104090,15601056879,15861794164,15786307563,15898670955,15414214247,15889875662,15558260651,16052211398,15741175071,15662594456,16097405113,16023888205
413,15408622453,15935964896,15938059924,15541673042,15312765099,15908829805,15657688979,16086172272,15709066967,15843640618,15765747992,15727150649,15687354203,16341164826,15881511148,15392528061,15861885722,15351055510,15753600067,15912215273,15642610346,15902527460,15827883875,15939742679,15455042271,15930922196,15598017172,16093661557,15780787168,15702259948,16139142423,16064017152
414,15457804258,15984366310,15984923184,15583243181,15362958734,15957658797,15704654829,16137918055,15751342384,15888881994,15808429740,15769655527,15732460809,16387741630,15926298367,15434059034,15900654436,15390648391,15791521203,15950894708,15678072696,15938536161,15865388920,15978823622,15497350042,15973073070,15639644482,16137770900,15824101512,15744224413,16181522794,16109200360
415,15500885682,16023588690,16025703704,15623404277,15403607384,15995238741,15744409559,16182972986,15790488039,15926369883,15848108597,15808301425,15769144067,16427311462,15964000280,15472416779,15956882631,15439346767,15842774883,15997867238,15727657315,15988733576,15912615220,16031274694,15536216686,16015312855,15680376489,16178120406,15864299033,15784498886,16223667299,16148197199
416,15524970241,16056062447,16053944707,15656114384,15430761174,16031498441,15778324952,16209690786,15821482492,15957959702,15877832404,15840064911,15800378090,16460775552,15994738075,15501565254,15994186006,15478797307,15884859995,16041019354,15769508065,16030291926,15951155733,16069014800,15566198971,16044678808,15709428166,16207696639,15894566887,15815624409,16254054469,16180530627
417,15558584582,16090910099,16089568381,15689057575,15463407222,16064954860,15811602931,16243895090,15861391510,16001323061,15919605934,15878918627,15840059012,16505683242,16037855778,15543004662,16023594259,15507892334,15914520069,16073421001,15800598359,16062670466,15985445524,16098988474,15606786566,16085176716,15749173854,16251607469,15935409798,15856499883,16297877783,16220562572
418,15590834455,16123512109,16122241503,15722060205,15495559533,16097882592,15844640114,16278978999,15897384051,16038312160,15953969229,15916992670,15875425276,16538248821,16074282956,15577599192,16060323562,15546062935,15949269675,16108155503,15836675652,16100722562,16023900743,16134901357,15641219212,16121261324,15784646600,16285691834,15972580394,15892408822,16334258596,16258861408
419,15637613833,16174381369,16171332531,15772144838,15541614954,16149123450,15892852430,16327181041,15941762232,16083262244,16002510604,15962190206,15923476122,16583207591,16118864521,15621207214,16090216394,15577945130,15981370171,16139914392,15868779118,16134053767,16053596700,16166820012,15683955307,16164719246,15829422467,16331084389,16014638221,15934981440,16376724582,16300547591
420,15680509595,16221250521,16212262999,15809491085,15578064014,16198281863,15932805796,16371879886,15978691804,16129476335,16045237563,15999055311,15958734078,16624476837,16155692471,15665874494,16139624907,15619545214,16030203590,16188376510,15917405944,16181270447,16099984307,16214205646,15723678075,16206397372,15871888849,16375930628,16056849754,15977025191,16417576209,16344817319
421,15718170468,16258662817,16258579004,15849535479,15619825497,16230639834,15975385304,16410932838,16026833935,16169821379,16085065237,16046710128,16009312332,16670472055,16204732973,15705604361,16185362061,15669642763,16077445017,16233639546,15964367273,16230544161,16148683593,16258232979,15763348264,16246066254,15908873386,16414143202,16095217935,16013810707,16459896756,16384896306
422,15744538086,16281372862,16279971617,15876024682,15644994556,16255521142,15998577751,16438471696,16044486341,16186506052,16103050109,16071121424,16025867795,16693315632,16227728960,15722238952,16233345639,15704888807,16117495362,16276836680,16002184722,16270926125,16189953253,16301112319,15791238962,16272715865,15935368732,16440675136,16122904198,16040252179,16486220797,16412005154
423,15772442551,16313505496,16310985216,15905872052,15676721897,16287384232,16030427890,16469369695,16083162358,16222332580,16139721997,16100234757,16062955057,16730658402,16259502305,15756719101,16251444699,15728494662,16138723221,16298479831,16026489046,16296126592,16210887848,16326377463,15824207997,16308665500,15972268186,16476965993,16154884690,16073940754,16524875289,16448304149
424,15814835271,16355987862,16357666145,15950452661,15716912290,16331742463,16073849638,16515556046,16122142180,16265206741,16179984220,16141128724,16102006796,16772706429,16301825692,15798879409,16289861614,15767413995,16177918066,16341995891,16062433705,16333636286,16252293421,16368461623,15866235519,16351380290,16012466688,16521844807,16201785781,16117490498,16564607286,16493997965
425,15857554098,16398787363,16400380848,15999111718,15759882174,16380074632,16118261648,16554743476,16167430411,16305663458,16223708909,16181713956,16143318073,16817327109,16343706077,15838783137,16326345437,15800625581,16213909651,16375626636,16102192326,16371237178,16288765682,16401992245,15905347969,16394597364,16050062318,16559620353,16240318616,16157344540,16607087051,16533150545
426,15894025752,16439634025,16440267231,16029326281,15795505661,16413897848,16152051833,16597404946,16204817155,16348385436,16264467669,16222744471,16184852493,16857966157,16382938245,15877383941,16372566680,15846547913,16263519938,16422942022,16145439396,16416761083,16333681359,16448207998,15940528735,16430438108,16088175621,16598282532,16278073213,16195322998,16645387457,16571738929
427,15930392441,16477855822,16476341146,16066809257,15832802514,16451493525,16189401137,16634083239,16245725175,16391425488,16306636762,16263200342,16224082421,16902358245,16425785710,15917157916,16419642751,15889480620,16306631586,16468451892,16188361566,16464317684,16378471542,16491012819,15986325994,16477579890,16132574290,16640038591,16319271107,16236881138,16687824549,16612826590
428,15976384293,16522590726,16521106163,16108036051,15873494432,16493724677,16233077722,16679732526,16287449393,16431635745,16346843495,16304368415,16267249646,16943937579,16467172090,15957028911,16456014299,15926601327,16342261152,16501719090,16225094410,16500434809,16414162612,16531593314,16021496615,16514163101,16168992683,16686156398,16360740406,16276465846,16732889370,16653136293
429,16000844889,16547103977,16547728490,16135438985,15900717824,16524178630,16262201135,16709598791,16328343360,16462746049,16378963563,16336646692,16297192559,16975661962,16502962058,15993717075,16499215010,15969026471,16387908474,16548308541,16268817425,16547439249,16459449128,16575598952,16058555444,16552021076,16204090669,16721533583,16397078959,16315579165,16765681972,16692484283
430,16052049607,16598533834,16597956316,16187641392,15949228193,16575657682,16312856230,16761853117,16361926258,16505688195,16422550129,16378747409,16340030066,17017831953,16541500896,16029327273,16534503826,15996401112,16416155404,16576261618,16306179790,16575403194,16488328584,16606003453,16092795054,16590577608,16241844065,16759178093,16434276885,16352809970,16806069631,16729113293
431,16086442869,16634510135,16635260870,16225843897,15982614234,16611777089,16347244563,16800581595,16401480141,16545871215,16463847691,16417889249,16382450391,17060276400,16582503538,16068817896,16571615537,16038541521,16460687804,16620470436,16340576716,16619417600,16534020563,16650924893,16131759341,16630361389,16281443527,16799020246,16473145319,16391267569,16846879238,16768633486
432,16117543733,16665509500,16667592023,16254487795,16014180128,16642543120,16380443834,16829397224,16437340848,16580963869,16496947492,16453148576,16416194800,17096162833,16615819365,16103611383,16616038952,16080023865,16504184538,16663332800,16380903890,16662208350,16575089901,16694793452,16166564641,16665024960,16317123951,16837667864,16507593383,16429012295,16882091856,16803211909
433,16151902303,16701953543,16703531589,16288657798,16049016859,16680252349,16415743793,16866594905,16475463846,16621916400,16542525312,16498468998,16455873943,17134442237,16663122325,16141588213,16651998697,16114187591,16540039907,16700657597,16419426872,16697620052,16611297512,16731391731,16204135613,16707263917,16359387911,16876249329,16547408275,16464789668,16923574731,16843937464
434,16190403240,16740460915,16741375552,16325568504,16084011752,16716976513,16451746194,16903388751,16505696517,16650526685,16565226373,16520700333,16482815394,17166952711,16686215209,16172159895,16688327811,16147800696,16576298592,16734290122,16452210524,16731296469,16648777945,16764922073,16234864227,16738447882,16385062404,16903919760,16578369774,16494782745,16951706855,16874585829
435,16231299989,16784132145,16781439121,16364505746,16125226727,16760430568,16494130508,16944195860,16552602998,16695880557,16611002502,16570294450,16531415770,17214152666,16735000838,16224331828,16718433711,16178854378,16607844442,16770231193,16484913339,16766993711,16680606266,16799700841,16287161449,16787307669,16431313148,16952752053,16630617059,16539946265,17005414527,16923074047
436,16278028223,16831923779,16830601809,16413599830,16171120708,16808154205,16540933418,16994744980,16593475812,16740053172,16654222329,16607490848,16571256669,17257294340,16774617415,16257439097,16769733430,16226000617,16653077417,16818455544,16530382186,16813213197,16729512087,16843674732,16319879415,16822337337,16469855015,16992946174,16664832716,16579830519,17040864656,16961770260
437,16308958500,16861423405,16867725059,16444599177,16200482426,16838090591,16574523555,17024938775,16639907708,16782778236,16695494789,16652958785,16613306154,17301730321,16819228131,16297654680,16797416199,16254585753,16685449330,16848457791,16562637531,16846394891,16760424939,16879805175,16362026959,16868019544,16514150254,17039250873,16708718694,16622336698,17086052118,17007389446
438,16349593954,16906447110,16905142669,16486779581,16243327511,16882247123,16614880691,17071766490,16671508470,16817127951,16730065027,16682503721,16646931976,17337339947,16854200425,16332097372,16845742073,16301974719,16731812990,16893891449,16609771495,16894081232,16806308734,16929087692,16397482105,16901720848,16547771800,17072599976,16744133745,16657641825,17117954131,17040565114
439,16381780678,16936629781,16935923593,16517224013,16275753164,16913157105,16645748711,17102316622,16704039187,16852559097,16768247557,16720655946,16685279949,17377248831,16888590368,16367319801,16878087653,16331460904,16763114013,16927808289,16641985269,16926216567,16839852255,16960140318,16432367151,16935438212,16583508542,17108804157,16777677003,16692348944,17157700321,17079833031
440,16418408055,16977564484,16977117853,16557255748,16311538121,16955025998,16686599124,17142965248,16748220412,16896549994,16820465044,16764562132,16729239478,17421226421,16939111487,16413564414,16919595262,16370501752,16803578454,16968413041,16681358915,16967151445,16880005738,17000999953,16478166936,16989640729,16630058646,17160644621,16821929982,16736336270,17206276010,17123759827
441,16468844673,17027318892,17027599641,16607781796,16364942757,17006114744,16735035347,17196045929,16794346974,16943641035,16859010335,16814464895,16781835569,17468954345,16987276311,16460647673,16953991949,16408167118,16839571707,16999521670,16718325840,16997457170,16913787832,17032809425,16524136387,17030282244,16686014498,17214069098,16878365458,16791120273,17249786844,17169942113
442,16514824869,17079720578,17078552212,16655826096,16410142830,17053797977,16783753190,17246118089,16835730203,16986479622,16902454700,16853954526,16816863317,17516934680,17021779509,16496899463,17000952053,16450871799,16886722362,17050103774,16764718697,17048289479,16964383668,17084754474,16566845922,17073809942,16718416449,17249131090,16913378587,16827418807,17293324227,17216864351
443,16549327413,17111337809,17111752306,16689042033,16442245572,17087166471,16816217292,17279558482,16866308284,17015886586,16933734267,16884264598,16848155344,17547944732,17052956520,16526680755,17049054953,16496113636,16933583948,17099298208,16809326969,17095018098,17009911417,17130165935,16591864531,17100276487,16745387658,17277420868,16941907690,16856300940,17324462667,17246505991
444,16578793343,17144149090,17142242399,16717020766,16473076175,17120767553,16843584571,17311643233,16903979547,17053700582,16970818775,16919999951,16883761890,17586000124,17090186567,16562114497,17080873573,16529093060,16967242812,17131086843,16845293008,17129342605,17046729240,17165131718,16628390386,17139371460,16783754807,17317502516,16978428405,16894333890,17362423718,17283373499
445,16611600581,17178298261,17183558699,16755582402,16505644355,17156417759,16879100042,17346001190,16937215377,17089522443,17005291171,16955106979,16922930396,17624040541,17126505939,16594980299,17115454837,16560891356,16999854663,17167930048,16876911090,17165380410,17076929003,17200225293,16664491364,17175289488,16824060322,17354022695,17016061283,16929542907,17403846617,17321042843
446,16651905541,17219187077,17220855955,16793438720,16544342359,17196376913,16920926343,17389762217,16977572916,17130505140,17045949773,16995069334,16956687977,17662600760,17166226816,16634568362,17153625712,16597529666,17039058048,17201893983,16912791754,17202796433,17114183533,17235336048,16702409730,17219559723,16856896314,17391866594,17058116584,16977467238,17439912039,17366866750
447,16690931898,17260568551,17261681306,16833016917,16583313174,17236038398,16960656437,17430590817,17028684856,17178456371,17094062030,17041914101,17005926893,17710642307,17214575301,16687179738,17189659480,16632146463,17074121738,17239175535,16948739236,17238980499,17150678300,17272697888,16758884018,17268566402,16906861953,17443398598,17102968580,17018765553,17489967341,17415326022
448,16738747992,17310922892,17309259667,16881468389,16630258624,17286079991,17008946731,17482667818,17070567720,17220316607,17135472357,17088552118,17046092808,17759275912,17258090037,16722548120,17234280195,16683567884,17117167553,17282617432,16992967393,17281603759,17199884309,17319520312,16792020420,17309200876,16946634073,17485028498,17146120743,17057365055,17533843607,17451274286
449,16769778853,17342332906,17343902097,16912692652,16662722271,17320341413,17039215332,17514421229,17100881607,17255984220,17169284774,17116627696,17075497292,17787684866,17290465112,16752561073,17283536169,16724361903,17165189190,17333985709,17039027860,17329207554,17244477029,17363610252,16826189963,17346206729,16975004309,17517726425,17174193462,17088061793,17560758230,17486844488
450,16805626621,17381747610,17383473417,16950150683,16702516664,17360312309,17078982493,17555173974,17134326230,17285398546,17200424427,17148856871,17109977289,17825224032,17322397949,16786860449,17313479491,16752805620,17195896417,17362280259,17069795541,17361286425,17271712438,17396872211,16858557729,17370641902,17014062868,17554002891,17209957919,17125174676,17598958513,17521686697
