stat_bytes_used,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
15,472759734272,490128257024,490413256704,476653305856,469650034688,489296171008,480403890176,495023861760,481945198592,487270273024,483619291136,482122428416,481226067968,501257068544,487156408320,472070905856,489207009280,472540667904,485501480960,490222190592,481377980416,490616590336,487721914368,490714349568,474328911872,488829267968,478318886912,494593261568,484217630720,482461249536,496008818688,493085761536
16,472759734272,490128257024,490413256704,476653305856,469650034688,489296171008,480403890176,495023861760,481945198592,487270273024,483619291136,482122428416,481226067968,501257068544,487156408320,472070905856,489207009280,472540667904,485501480960,490222190592,481377980416,490616590336,487721914368,490714349568,474328911872,488829267968,478318886912,494593261568,484217630720,482461249536,496008818688,493085761536
17,472759734272,490128257024,490413256704,476653305856,469650034688,489296171008,480403890176,495023861760,481945198592,487270273024,483619291136,482122428416,481226067968,501257068544,487156408320,472070905856,489207009280,472540667904,485501480960,490222190592,481377980416,490616590336,487721914368,490714349568,474328850432,488829267968,478318886912,494593261568,484217630720,482461270016,496008818688,493085761536
18,472759734272,490128257024,490413256704,476653305856,469650034688,489296171008,480403890176,495023861760,481945198592,487270273024,483619291136,482122428416,481226067968,501257068544,487156408320,472070905856,489207009280,472540667904,485501480960,490222252032,481377980416,490616590336,487721914368,490714349568,474328850432,488829267968,478318886912,494593261568,484217630720,482461270016,496008818688,493085761536
19,472759734272,490128257024,490413256704,476653305856,469650034688,489296171008,480403890176,495023861760,481945198592,487270211584,483619291136,482122428416,481226067968,501257068544,487156408320,472070905856,489207009280,472540667904,485501480960,490222252032,481377980416,490616590336,487721914368,490714349568,474328850432,488829267968,478318886912,494593261568,484217630720,482461208576,496008818688,493085761536
20,472759734272,490128257024,490413256704,476653305856,469650034688,489296171008,480403828736,495023861760,481945198592,487270211584,483619291136,482122489856,481226067968,501257068544,487156408320,472070905856,489207009280,472540667904,485501603840,490222252032,481378041856,490616590336,487721914368,490714349568,474328850432,488829267968,478318886912,494593261568,484217630720,482461208576,496008818688,493085761536
21,472759734272,490128257024,490413256704,476653305856,469650034688,489296171008,480403828736,495023861760,481945198592,487270211584,483619291136,482122489856,481226067968,501257068544,487156408320,472070905856,489207009280,472540667904,485501603840,490222252032,481377980416,490616590336,487721914368,490714349568,474328850432,488829267968,478318886912,494593261568,484217630720,482461208576,496008818688,493085761536
22,472759734272,490128257024,490413256704,476653305856,469650034688,489296171008,480403828736,495023861760,481945198592,487270211584,483619352576,482122489856,481226067968,501257068544,487156408320,472070905856,489207009280,472540667904,485501603840,490222190592,481377980416,490616590336,487721914368,490714349568,474328850432,488829267968,478318886912,494593261568,484217630720,482461208576,496008818688,493085761536
23,472759734272,490128257024,490413256704,476653305856,469650034688,489296171008,480403828736,495023861760,481945198592,487270211584,483619352576,482122489856,481226067968,501257191424,487156408320,472070905856,489207009280,472540667904,485501480960,490222190592,481377980416,490616590336,487721914368,490714349568,474328850432,488829267968,478318886912,494593261568,484217630720,482461208576,496008818688,493085761536
24,472759734272,490128257024,490413256704,476653305856,469650034688,489296171008,480403828736,495023861760,481945198592,487270211584,483619291136,482122489856,481226067968,501257191424,487156408320,472070905856,489207009280,472540667904,485501480960,490222190592,481377980416,490616590336,487721914368,490714349568,474328850432,488829329408,478318886912,494593261568,484217692160,482461208576,496008818688,493085761536
25,472759734272,490128257024,490413256704,476653305856,469650034688,489296171008,480403828736,495023861760,481945198592,487270211584,483619291136,482122428416,481226067968,501257068544,487156408320,472070905856,489207009280,472540667904,485501480960,490222190592,481377980416,490616590336,487721914368,490714349568,474328850432,488829329408,478318886912,494593261568,484217692160,482461208576,496008818688,493085761536
26,472759734272,490128257024,490413256704,476653305856,469650034688,489296171008,480403828736,495023861760,481945198592,487270211584,483619291136,482122428416,481226067968,501257068544,487156408320,472070905856,489207009280,472540667904,485501480960,490222190592,481378041856,490616590336,487721914368,490714349568,474328850432,488829329408,478318886912,494593323008,484217692160,482461208576,496008818688,493085761536
27,472759734272,490128257024,490413318144,476653305856,469650034688,489296171008,480403828736,495023861760,481945198592,487270211584,483619291136,482122428416,481226067968,501257068544,487156408320,472070905856,489207009280,472540667904,485501480960,490222190592,481377980416,490616590336,487721914368,490714349568,474328850432,488829267968,478318886912,494593323008,484217692160,482461208576,496008818688,493085761536
28,472759734272,490128257024,490413318144,476653305856,469650034688,489296171008,480403828736,495023861760,481945198592,487270211584,483619291136,482122428416,481226067968,501257068544,487156408320,472070905856,489207009280,472540667904,485501480960,490222190592,481377980416,490616590336,487721914368,490714349568,474328850432,488829267968,478318886912,494593323008,484217692160,482461208576,496008818688,493085761536
29,472759795712,490128257024,490413318144,476653305856,469650034688,489296171008,480403828736,495023861760,481945198592,487270211584,483619291136,482122428416,481226067968,501257109504,487156408320,472070905856,489207009280,472540667904,485501480960,490222190592,481377980416,490616590336,487721914368,490714349568,474328850432,488829267968,478318886912,494593323008,484217630720,482461208576,496008818688,493085761536
30,472759795712,490128257024,490413318144,476653305856,469650034688,489296171008,480403828736,495023861760,481945198592,487270211584,483619291136,482122428416,481226067968,501257109504,487156408320,472070905856,489207009280,472540667904,485501480960,490222190592,481377980416,490616590336,487721914368,490714349568,474328850432,488829267968,478318886912,494593323008,484217630720,482461208576,496008818688,493085761536
31,472759795712,490128257024,490413318144,476653305856,469650034688,489296171008,480403828736,495023861760,481945198592,487270211584,483619291136,482122428416,481226067968,501257109504,487156408320,472070905856,489207009280,472540667904,485501480960,490222231552,481377980416,490616590336,487721914368,490714349568,474328850432,488829267968,478318886912,494593261568,484217630720,482461208576,496008818688,493085761536
32,472759795712,490128257024,490413256704,476653305856,469650034688,489296171008,480403890176,495023861760,481945198592,487270211584,483619291136,482122428416,481226067968,501257109504,487156408320,472070905856,489207070720,472540667904,485501480960,490222190592,481377980416,490616590336,487721914368,490714349568,474328850432,488829267968,478318886912,494593261568,484217630720,482461208576,496008818688,493085761536
33,472759734272,490128257024,490413256704,476653305856,469650034688,489296171008,480403890176,495023861760,481945198592,487270211584,483619291136,482122428416,481226067968,501257109504,487156408320,472070905856,489207070720,472540667904,485501480960,490222190592,481377980416,490616590336,487721914368,490714349568,474328850432,488829267968,478318886912,494593261568,484217630720,482461208576,496008818688,493085761536
34,472759734272,490128257024,490413256704,476653305856,469650034688,489296171008,480403890176,495023861760,481945198592,487270211584,483619291136,482122428416,481226067968,501257068544,487156408320,472070905856,489207070720,472540667904,485501480960,490222313472,481377980416,490616590336,487721914368,490714349568,474328850432,488829267968,478318886912,494593261568,484217630720,482461208576,496008818688,493085761536
35,472759734272,490128257024,490413256704,476653305856,469650034688,489296171008,480403890176,495023861760,481945198592,487270273024,483619291136,482122489856,481226067968,501257068544,487156408320,472070905856,489207009280,472540667904,485501480960,490222313472,481377980416,490616590336,487721914368,490714349568,474328850432,488829267968,478318886912,494593261568,484217630720,482461208576,496008818688,493085761536
36,472759734272,490128257024,490413256704,476653305856,469650034688,489296171008,480403890176,495023861760,481945198592,487270273024,483619291136,482122489856,481226067968,501257068544,487156408320,472070905856,489207009280,472540667904,485501480960,490222313472,481377980416,490616590336,487721914368,490714349568,474328850432,488829267968,478318886912,494593261568,484217630720,482461208576,496008818688,493085761536
37,472759734272,490128257024,490413256704,476653305856,469650096128,489296171008,480403828736,495023861760,481945198592,487270211584,483619291136,482122489856,481226067968,501257068544,487156408320,472070905856,489207009280,472540729344,485501480960,490222313472,481377980416,490616590336,487721914368,490714349568,474328850432,488829267968,478318886912,494593261568,484217630720,482461208576,496008818688,493085761536
38,472759734272,490128257024,490413256704,476653305856,469650096128,489296171008,480403828736,495023923200,481945198592,487270211584,483619291136,482122489856,481226067968,501257068544,487156408320,472070905856,489207009280,472540729344,485501480960,490222190592,481377980416,490616590336,487721914368,490714349568,474328850432,488829267968,478318886912,494593261568,484217630720,482461208576,496008818688,493085761536
39,472759734272,490128257024,490413256704,476653305856,469650096128,489296171008,480403828736,495023923200,481945198592,487270211584,483619291136,482122489856,481226067968,501257129984,487156408320,472070905856,489207070720,472540729344,485501480960,490222190592,481377980416,490616590336,487721914368,490714349568,474328850432,488829267968,478318886912,494593261568,484217630720,482461208576,496008818688,493085761536
40,472759734272,490128257024,490413256704,476653305856,469650096128,489296171008,480403828736,495023923200,481945198592,487270211584,483619291136,482122428416,481226067968,501257129984,487156408320,472070905856,489207070720,472540729344,485501480960,490222231552,481377980416,490616590336,487721914368,490714349568,474328850432,488829267968,478318886912,494593261568,484217630720,482461208576,496008818688,493085761536
41,472759734272,490128257024,490413256704,476653305856,469650034688,489296171008,480403828736,495023923200,481945198592,487270211584,483619291136,482122428416,481226067968,501257129984,487156408320,472070905856,489207070720,472540667904,485501480960,490222231552,481378041856,490616590336,487721914368,490714349568,474328850432,488829267968,478318886912,494593261568,484217630720,482461208576,496008818688,493085761536
42,472759734272,490128257024,490413256704,476653305856,469650034688,489296171008,480403890176,495023861760,481945198592,487270334464,483619291136,482122428416,481226067968,501257129984,487156408320,472070905856,489207070720,472540667904,485501480960,490222231552,481377980416,490616590336,487721914368,490714349568,474328850432,488829267968,478318886912,494593261568,484217630720,482461208576,496008818688,493085761536
43,472759734272,490128257024,490413256704,476653305856,469650034688,489296171008,480403890176,495023861760,481945198592,487270334464,483619352576,482122428416,481226067968,501257129984,487156469760,472070905856,489207070720,472540667904,485501480960,490222231552,481377980416,490616590336,487721914368,490714349568,474328850432,488829267968,478318886912,494593261568,484217630720,482461208576,496008818688,493085761536
44,472759734272,490128257024,490413256704,476653305856,469650034688,489296171008,480403890176,495023861760,481945198592,487270211584,483619352576,482122428416,481226067968,501257068544,487156469760,472070905856,489207070720,472540667904,485501480960,490222231552,481377980416,490616590336,487721914368,490714349568,474328850432,488829267968,478318886912,494593261568,484217630720,482461270016,496008818688,493085761536
45,472759734272,490128257024,490413256704,476653305856,469650034688,489296171008,480403890176,495023861760,481945198592,487270211584,483619352576,482122428416,481226067968,501257068544,487156469760,472070905856,489207070720,472540667904,485501542400,490222252032,481377980416,490616590336,487721914368,490714411008,474328850432,488829267968,478318886912,494593261568,484217630720,482461270016,496008818688,493085761536
