await,ceph01,ceph02,ceph03,ceph04
151,0.11,0.70125,0.66375,1.6075
152,0.36125,1.425,1.58125,0.43
153,0.74375,0.28,1.75375,1.27
154,1.87375,1.415,0.59375,0.64875
155,1.17875,0.95875,0.1725,0.1875
156,0.355,0.2125,0.15625,0.5875
157,0.18,1.1075,0.40375,1.27875
158,0.51875,0.7925,1.29375,0.97375
159,0.28125,0.31375,2.17875,0.89875
160,1.8575,0.89375,1.05,0.79625
161,2.2825,0.77,0.16375,0.185
162,0.8225,0.33,0.16625,0.1825
163,0.11875,1.24375,0.23625,1.2775
164,0.60875,0.57625,1.21625,1.475
165,0.485,0.6275,1.55625,0.4475
166,0.91125,0.6575,1.24125,0.735
167,1.90125,0.81,0.16875,0.1475
168,0.945,1.0875,0.1225,0.18375
169,0.335,1.55,0.4375,1.29875
170,0.30125,0.5125,1.125,1.77125
171,0.285,0.8525,1.83375,0.15875
172,0.86,0.40875,1.37,0.78125
173,1.39375,0.4175,0.76,1.335
174,1.48625,1.43625,0.14625,0.16375
175,0.77875,1.7325,0.12125,0.92625
176,0.8425,0.1825,0.47125,1.955
177,0.3575,0.82375,2.01625,0.66875
178,0.4525,0.6475,2.2375,0.4975
179,1.2075,0.49625,1.705,0.8825
180,1.4675,2.22875,0.3325,0.1425
181,0.93,2.1,0.1075,0.735
182,0.45375,0.77125,0.14125,2.05375
183,0.2875,0.7075,1.24875,0.6825
184,0.37,0.15625,2.65625,0.24
185,1.2425,0.12,1.065,0.6675
186,1.96875,1.57625,0.1075,0.1575
187,1.07,1.33375,0.18625,1.00375
188,0.39875,0.78625,0.14875,1.5625
189,0.14875,0.33,0.9,1.21375
190,0.2525,0.1425,2.225,0.19
191,0.8225,0.245,1.48625,0.85125
192,1.48125,1.395,0.57375,0.5375
193,1.42125,0.93125,0.135,0.84
194,0.3575,0.9525,0.14125,1.045
195,0.16,0.60625,0.34625,1.475
196,0.14625,0.11625,1.9,0.15375
197,0.8125,0.51625,2.01875,0.61875
198,1.50375,1.3725,0.97,0.7775
199,1.7025,1.135,0.22,1.1525
200,0.7325,1.32875,0.125,0.37125
201,0.17125,0.565,0.175,1.75625
202,0.12375,0.13875,1.08125,0.865
203,0.99125,1.13,2.28625,0.25625
204,1.53375,1.02875,0.8825,1.3675
205,1.05,0.985,0.37375,1.91625
206,1.1175,1.42125,0.175,0.2175
207,0.62,0.16875,0.395,1.2275
208,0.1575,0.15,0.4225,1.21375
209,1.0275,1.155,2.1625,0.2475
210,1.34625,1.1225,2.1375,1.13375
211,1.24375,0.88625,0.41625,1.4125
212,0.66125,2.045,0.1775,0.35625
213,0.425,0.78875,0.1725,0.51
214,0.325,0.6225,0.14,1.61625
215,0.775,1.02875,1.45,0.74875
216,1.04,0.2475,2.12125,0.7475
217,0.94375,0.80625,0.27,1.24875
218,0.91125,1.18125,0.14,0.46875
219,0.395,1.0625,0.16625,0.16125
220,0.5,1.04375,0.1275,0.96875
221,1.15125,0.88875,1.42375,1.115
222,0.71375,0.265,2.36,0.48
223,0.9125,0.77625,1.3,0.745
224,1.735,0.47875,0.12125,0.7475
225,0.75875,1.05125,0.16,0.1575
226,0.635,1.80625,0.14125,0.71625
227,0.85125,0.5025,1.305,1.1425
228,0.14125,0.3675,1.8725,0.77375
229,0.67,0.9075,1.50875,0.37
230,1.36625,0.18375,0.18625,0.80875
231,1.1075,0.84625,0.1525,0.17125
232,1.01875,1.8125,0.2575,0.79625
233,0.6175,0.50625,0.95625,1.725
234,0.14125,0.65625,1.28125,0.43375
235,0.5,1.1375,1.33375,0.12625
236,1.33,0.11375,0.81,0.83
237,1.48,0.77875,0.13875,0.75625
238,1.80625,1.9425,0.58,1.2975
239,0.71625,1.09875,0.96,1.475
240,0.14625,0.88,0.9825,0.95375
241,0.63,0.9125,2.215,0.145
242,0.48125,0.41125,1.295,0.95625
243,1.57625,0.5775,0.1525,1.07
244,2.05375,1.92125,0.69875,1.1375
245,0.71875,1.01,0.16,0.89125
246,0.16625,0.81125,0.825,1.0625
247,0.7025,0.46375,1.59125,0.14875
248,0.64875,0.13625,1.35875,0.195
249,1.2225,0.6175,0.355,1.48875
250,1.28375,2.05625,0.69875,1.37125
251,0.6175,0.75625,0.17375,0.24125
