txpck/s,ceph01,ceph02,ceph03,ceph04
341,342038.0,333611.0,344423.0,336681.0
342,358417.0,340143.0,325193.0,335300.0
343,346951.0,339618.0,341808.0,340113.0
344,195933.0,195334.0,203136.0,192940.0
345,288054.0,276924.0,266615.0,277103.0
346,344973.0,344656.0,349755.0,339890.0
347,349828.0,328005.0,312660.0,328533.0
348,319962.0,316030.0,326983.0,318273.0
349,312677.0,318064.0,310846.0,306484.0
350,346508.0,339464.0,340196.0,338923.0
351,291428.0,287380.0,287932.0,285440.0
352,346272.0,324031.0,318712.0,329951.0
353,302508.0,313828.0,307343.0,304902.0
354,324751.0,314846.0,322850.0,315190.0
355,320911.0,303150.0,287543.0,301122.0
356,320867.0,309070.0,296594.0,309129.0
357,245485.0,250807.0,262622.0,252594.0
358,379923.0,366410.0,354818.0,362351.0
359,322846.0,304406.0,296641.0,303896.0
360,340187.0,345423.0,354152.0,343123.0
361,274266.0,272987.0,276452.0,272840.0
362,338399.0,317183.0,306759.0,322033.0
363,279131.0,260887.0,266035.0,267112.0
364,426096.0,419675.0,416327.0,409999.0
365,376198.0,370844.0,371756.0,375791.0
366,278064.0,282988.0,279771.0,274609.0
367,264736.0,239358.0,228395.0,244732.0
368,301354.0,297932.0,299491.0,291505.0
369,339365.0,332349.0,333995.0,332157.0
370,334138.0,324363.0,306118.0,320386.0
371,387581.0,377590.0,376771.0,377655.0
372,314908.0,317153.0,323080.0,309214.0
373,250421.0,229148.0,225729.0,233841.0
374,283528.0,294859.0,299582.0,285043.0
375,375046.0,346092.0,328598.0,350920.0
376,336751.0,332785.0,344831.0,334036.0
377,351326.0,344202.0,332017.0,334383.0
378,324839.0,328094.0,342573.0,331006.0
379,296162.0,282415.0,275908.0,283068.0
380,264926.0,257082.0,262270.0,251165.0
381,415421.0,398431.0,374287.0,393695.0
382,339042.0,340491.0,339515.0,336396.0
383,326692.0,319799.0,330323.0,320027.0
384,265705.0,253786.0,252659.0,251783.0
385,263918.0,246544.0,245769.0,244365.0
386,331654.0,322783.0,313768.0,318717.0
387,374195.0,382355.0,389719.0,376767.0
388,409569.0,385738.0,373548.0,389789.0
389,345573.0,337128.0,339169.0,333116.0
390,270813.0,254475.0,244487.0,253350.0
391,300746.0,303777.0,305682.0,300063.0
392,293924.0,283101.0,285351.0,280450.0
393,388522.0,372888.0,353719.0,371145.0
394,352637.0,344235.0,356294.0,345673.0
395,312626.0,326797.0,324038.0,318995.0
396,258584.0,239642.0,242678.0,243502.0
397,376066.0,367638.0,362944.0,360135.0
398,319351.0,302842.0,302939.0,307573.0
399,301794.0,296398.0,295476.0,295051.0
