avgqu-sz,ceph01,ceph02,ceph03,ceph04
150,4.7725,4.51125,2.405,8.165
151,0.55,6.48375,5.23625,20.53
152,1.6575,17.8487,17.8075,2.50375
153,5.1775,1.0725,20.7063,15.0087
154,26.9913,15.1675,6.3875,5.92125
155,9.68375,9.19125,0.69,0.75125
156,1.86625,0.8075,0.59625,1.75125
157,0.9325,13.0188,1.915,20.2462
158,5.50625,8.1125,15.0363,8.49625
159,1.58625,1.65125,25.385,9.995
160,19.8125,9.43,10.895,10.165
161,26.2237,10.3962,0.525,0.6125
162,4.59,1.19,0.65,0.69875
163,0.6525,15.7225,1.17375,15.1487
164,6.42375,7.04625,15.5275,17.3925
165,5.40875,6.1025,15.2512,2.18
166,6.90125,7.4575,17.065,11.725
167,22.2862,6.3475,0.6675,0.62
168,10.9413,10.26,0.54625,0.78375
169,2.575,21.99,2.8675,10.825
170,2.65875,4.41625,9.05625,28.1713
171,2.86125,7.885,21.2525,0.60625
172,5.37125,4.48375,19.4287,9.625
173,16.26,2.115,4.67875,12.1825
174,16.8075,17.3163,0.57375,0.6425
175,6.07875,19.6288,0.55875,6.94875
176,6.57,0.76125,1.61875,27.3538
177,2.32625,11.0,22.6337,3.5625
178,3.37375,4.21,25.6675,4.3875
179,13.4075,2.8475,15.2588,12.6
180,19.3338,23.985,1.775,0.55875
181,7.7475,26.7812,0.3925,4.43875
182,4.39375,5.65375,0.46,28.8987
183,1.95,5.45,11.3425,5.09875
184,1.3475,0.6875,32.51,1.065
185,13.8862,0.47875,11.3075,10.47
186,23.7525,16.1163,0.43125,0.59
187,10.0563,16.7275,0.78875,7.67375
188,4.085,5.0675,0.62875,16.615
189,0.63625,3.3925,5.1125,13.7287
190,1.14625,0.60625,27.5388,0.81125
191,9.0475,1.0525,17.3662,9.31875
192,17.85,17.4475,4.08875,4.93625
193,17.81,12.5012,0.545,9.455
194,2.31875,8.525,0.64,8.33125
195,0.63375,6.8575,1.27875,18.865
196,0.67125,0.5475,20.5063,0.71375
197,8.84125,4.58875,24.1363,4.0125
198,16.9425,16.2137,10.2963,9.74
199,20.1738,11.335,0.8025,12.9625
200,5.0425,13.5038,0.59875,2.05
201,0.64875,5.22625,0.63125,22.3937
202,0.6275,0.65875,8.15,6.90125
203,10.6162,12.1875,33.8825,1.0975
204,13.8575,12.6175,9.98,19.01
205,9.74,8.41625,2.4125,18.9737
206,10.1475,17.735,0.67,0.81
207,4.11625,0.68625,2.57125,6.9775
208,0.9725,0.64125,1.7275,19.44
209,11.4425,16.6187,27.3438,1.3375
210,11.0025,9.5525,23.825,12.5063
211,13.395,7.31625,2.5625,14.6975
212,7.88375,25.0113,0.68125,1.75625
213,1.83,3.93875,0.60875,1.8425
214,2.07875,4.11625,0.58625,18.4638
215,9.21375,13.3287,16.8,8.04375
216,8.0775,1.845,30.15,6.2125
217,11.41,8.62125,1.185,18.4338
218,12.4987,10.29,0.495,2.61875
219,1.6925,11.4962,0.6425,0.59625
220,5.4575,11.4875,0.6975,10.4825
221,15.1963,11.2562,12.6725,15.6975
222,4.79625,0.91375,25.7838,4.56875
223,9.89,9.71625,12.4688,5.97375
224,16.6475,2.66625,0.54125,8.93125
225,5.40625,10.4,0.64125,0.61
226,6.40625,22.42,0.87375,5.20625
227,11.2988,6.2675,14.5738,17.99
228,0.54625,1.86,17.3875,6.67
229,3.5175,10.6613,19.1388,1.1975
230,13.7737,0.67375,0.6925,11.5862
231,12.09,5.79625,0.65,0.7025
232,10.7625,25.08,1.5275,7.845
233,6.615,3.15375,8.74625,19.3688
234,0.5775,4.90625,13.025,3.00875
235,2.9025,13.52,19.1563,0.61875
236,11.88,0.4675,5.68875,8.525
237,19.7387,3.55875,0.57125,6.74875
238,20.2625,27.8825,7.55,15.4113
239,6.21,11.1262,8.72875,13.355
240,0.64375,7.3775,11.2487,10.9825
241,6.60875,11.1863,29.0913,0.71875
242,5.24375,2.4325,12.2788,4.68125
243,17.485,5.685,0.6925,13.7675
244,19.6537,24.6225,8.9,13.705
245,8.28125,10.53,0.69125,5.36
246,0.6525,7.91375,7.58625,12.215
247,7.75375,5.8525,17.445,0.65125
248,3.92,0.60875,15.6687,0.875
249,12.6425,5.12875,2.40375,17.8938
250,11.7137,25.7338,6.8175,13.57
251,6.72,6.71625,0.60125,0.80125
252,1.61,11.6888,1.735,10.0475
253,10.2887,3.17875,16.0075,4.41875
254,5.205,2.11,16.9212,1.04
255,18.3225,5.50125,9.66,17.5825
256,11.105,19.9413,2.59875,22.5225
257,10.8413,1.77375,9.45625,12.045
258,3.46375,6.91375,4.9475,11.3825
259,17.1887,12.2487,13.6713,4.58875
260,14.4563,12.8488,22.1863,6.82375
261,11.1075,7.61625,8.16,12.4225
262,6.56875,18.1238,5.85375,15.165
263,12.6687,13.5063,1.57375,0.9575
264,7.05875,7.4075,7.9925,12.3875
265,7.1525,3.12125,21.7487,6.56
266,11.4062,8.05625,24.5525,18.6713
267,7.3625,7.21625,10.5038,7.7525
268,23.7875,10.8375,1.515,16.635
269,12.8525,4.54625,7.09,7.865
270,5.305,9.80375,9.95125,19.9775
271,16.29,5.81625,9.00875,7.5675
272,8.52375,14.7712,22.2775,18.8438
273,8.40875,12.8012,9.0025,2.07375
274,14.565,9.64,1.5825,17.1975
275,13.925,14.3113,14.7525,22.3225
276,5.82875,8.625,9.91625,9.295
277,3.50375,20.22,10.6575,7.455
278,5.23375,24.8925,16.0837,8.98625
279,13.8313,5.04625,8.49625,1.8025
280,12.9188,11.7912,5.6475,19.6125
281,26.3462,8.34375,8.79875,28.745
282,12.835,1.28625,7.39125,23.025
283,5.3975,6.03625,24.5075,14.5337
284,1.38,13.1588,7.51125,1.77
285,17.6662,1.2175,13.505,1.84875
286,12.3163,13.625,7.52875,6.795
287,9.83625,13.8637,3.88625,9.8675
288,3.49375,0.92375,10.2212,28.58
289,5.67125,9.825,17.5925,15.0875
290,5.47625,14.3275,4.46125,1.5375
291,13.3475,6.26125,15.0575,2.685
292,13.8638,8.64875,5.21,7.95875
293,8.45375,12.9413,6.5925,5.89875
294,5.875,2.27,12.1337,18.9812
295,2.9925,15.69,19.7738,27.0363
296,6.8275,7.2525,1.01375,1.08125
297,7.975,5.57125,17.7987,4.00375
298,15.2863,8.90375,7.55,5.95375
299,17.2937,9.45,7.58375,6.31625
300,8.12875,5.395,11.3963,10.725
301,0.90875,13.6587,10.395,20.405
302,9.245,6.55875,5.4725,3.08875
303,4.32375,4.91375,10.8488,11.4088
304,15.0275,13.0587,9.00875,6.1425
305,12.7037,4.9625,10.8513,7.80875
306,7.56,10.7638,7.54875,7.39375
307,5.0975,14.6788,7.01125,15.0275
308,5.80875,7.71,9.31625,6.7275
309,0.9375,8.8925,6.2775,9.015
310,12.4213,14.9575,12.16,5.9125
311,14.1112,6.86625,13.2,9.67625
312,3.9325,12.6975,10.855,2.40375
313,6.725,10.2862,0.55,10.8163
314,9.0625,5.6525,4.5,14.0213
315,3.4375,6.88625,6.84875,12.0175
316,10.6525,4.105,9.29875,2.71625
317,13.3125,9.49625,10.3513,10.2412
318,1.44875,15.6662,10.9963,0.5275
319,7.01375,6.5325,2.97,8.18375
320,5.395,6.515,2.13125,16.3038
321,5.50375,5.3675,10.0263,12.0138
322,11.355,3.30375,10.6325,4.89375
323,12.445,14.3725,15.2063,8.89375
324,11.11,8.735,7.15375,1.755
325,9.78125,7.92375,7.01625,1.06625
326,2.01125,8.77375,2.78625,23.2763
327,2.22625,1.055,10.1575,18.3212
328,20.8275,1.285,9.62,6.06375
329,5.18125,17.9538,14.8262,5.52
330,21.2863,7.93125,0.755,0.525
331,7.34625,16.0375,6.98625,0.6875
332,5.555,5.95875,6.13125,10.8362
333,0.57375,2.37125,13.2963,19.4825
334,15.5813,0.85125,10.1963,18.78
335,9.1125,18.4113,8.69625,8.04375
336,17.4788,5.18,1.44125,0.49125
337,7.04375,15.64,5.515,2.4375
338,7.8225,14.4275,9.75375,5.8525
339,1.2425,0.54625,14.0525,23.5525
340,7.01125,0.36875,13.6962,17.6713
341,12.4425,18.895,9.69375,3.3425
342,16.5725,14.0262,5.60125,0.7025
343,10.8562,14.6725,2.65125,0.57
344,3.66375,9.41,12.4038,0.83375
345,4.98375,1.5875,9.4475,21.4275
346,0.89875,0.565,14.8175,26.7587
347,8.845,9.23,0.6325,1.81375
348,9.38125,20.21,5.63375,0.6425
349,25.005,8.37,5.65125,0.4525
350,1.10375,14.2438,11.8425,0.94
351,3.48375,0.71375,10.625,14.8737
352,0.46875,0.54125,8.9325,25.0988
353,5.7975,1.65,1.90875,5.9675
354,8.6725,21.1525,6.95375,0.4725
355,21.5413,4.0075,8.01375,0.495
356,14.8725,19.0262,14.5388,0.5175
357,3.3125,4.83625,11.975,13.8837
358,1.50875,0.61,1.72125,21.5362
359,4.21625,0.52,4.0925,8.465
360,17.2575,10.9512,0.89625,0.6575
361,12.4013,9.85375,12.3375,0.53375
362,11.6638,16.95,13.3537,0.4225
363,2.51875,8.2825,16.135,8.7075
364,0.71,0.65,0.7475,20.0225
365,0.60125,0.5325,7.635,13.1025
366,14.5,6.1575,1.92375,0.78625
367,10.0975,20.3275,15.945,0.62125
368,12.7837,8.46125,10.1975,0.61
369,0.7525,21.34,11.3975,11.9675
370,2.175,1.74125,2.39875,16.7925
371,4.90125,2.31375,3.95,29.0875
372,11.6725,0.73625,4.99,5.6975
373,13.4425,26.5425,18.5913,0.7575
374,21.22,14.9162,12.7675,4.41625
375,3.13125,19.0,8.24625,5.8575
376,0.535,7.38625,6.31875,6.3025
