kbmenfree,ceph01,ceph02,ceph03,ceph04
122,99439384.0,79385716.0,99447280.0,79813812.0
123,99388368.0,79275024.0,99423640.0,79791372.0
124,99288004.0,79127392.0,99254392.0,79640408.0
125,99200824.0,79010948.0,99128452.0,79568328.0
126,99061108.0,78995584.0,99103096.0,79461624.0
127,98895856.0,78848948.0,98884236.0,79326132.0
128,98751672.0,78702876.0,98761000.0,79155644.0
129,98531260.0,78547096.0,98650688.0,79056808.0
130,98475256.0,78469880.0,98612808.0,78975416.0
131,98401728.0,78353860.0,98487704.0,78788072.0
132,98166388.0,78093568.0,98197608.0,78501516.0
133,97848304.0,77758884.0,97838656.0,78184064.0
134,97714552.0,77691580.0,97756368.0,78111008.0
135,97552364.0,77519872.0,97745440.0,78064112.0
136,97687136.0,77525244.0,97756696.0,78118324.0
137,97660596.0,77546400.0,97642616.0,78038264.0
138,97391828.0,77356720.0,97483816.0,77719588.0
139,97182180.0,77149476.0,97163036.0,77413892.0
140,96975932.0,76944844.0,96997616.0,77257008.0
141,96922824.0,76848216.0,96925608.0,77175188.0
142,96982700.0,76841864.0,97060476.0,77365992.0
143,96872700.0,76691912.0,96899744.0,77206940.0
144,96733720.0,76530716.0,96691992.0,77032176.0
145,96601076.0,76383812.0,96524300.0,76930888.0
146,96474596.0,76325200.0,96492320.0,76929500.0
147,96346992.0,76248224.0,96382312.0,76851460.0
148,96350440.0,76184400.0,96375356.0,76764792.0
149,96149944.0,75955464.0,96159716.0,76540304.0
150,95946792.0,75712736.0,95904092.0,76300716.0
151,95809664.0,75769428.0,95994196.0,76216580.0
152,95629568.0,75693200.0,95918420.0,76203760.0
153,95638932.0,75640100.0,95843224.0,76094200.0
154,95534640.0,75397312.0,95713800.0,75984584.0
155,95225480.0,75143516.0,95411996.0,75744220.0
156,94791784.0,74768120.0,94970132.0,75249692.0
157,94665924.0,74646848.0,94803964.0,75101032.0
158,94566824.0,74574224.0,94698660.0,75012684.0
159,94546256.0,74579944.0,94667536.0,74964140.0
160,94602020.0,74684332.0,94797316.0,75167224.0
161,94280620.0,74290840.0,94412668.0,74794472.0
162,93941992.0,74032604.0,94175560.0,74442620.0
163,93811468.0,73895604.0,94035996.0,74271484.0
164,93897676.0,73853048.0,93962740.0,74270616.0
165,93854772.0,73900608.0,93961896.0,74237724.0
166,93780204.0,73927680.0,93923724.0,74212060.0
167,93673976.0,73680860.0,93866904.0,74170344.0
168,93425136.0,73563144.0,93737760.0,73994920.0
169,93568560.0,73542292.0,93657328.0,73993184.0
170,93471032.0,73512932.0,93512936.0,73926152.0
171,93359316.0,73393924.0,93380152.0,73848836.0
172,93225056.0,73235388.0,93341312.0,73747280.0
173,93120576.0,73113452.0,93224360.0,73671920.0
174,92947408.0,72836668.0,93014788.0,73494524.0
175,92838672.0,72819760.0,93002212.0,73354824.0
176,92790204.0,72798672.0,92893820.0,73275504.0
177,92636588.0,72649224.0,92661496.0,73158716.0
178,92547080.0,72609416.0,92655948.0,73074136.0
179,92434724.0,72541880.0,92593032.0,72973800.0
180,92334316.0,72388408.0,92476644.0,72856852.0
181,92236544.0,72295676.0,92333924.0,72759872.0
182,92071604.0,72121832.0,92113460.0,72537392.0
183,91954016.0,72027084.0,92001552.0,72408796.0
184,91768244.0,71904540.0,91863968.0,72303784.0
185,91642740.0,71692952.0,91714604.0,72221884.0
186,91486068.0,71562756.0,91628140.0,72174380.0
187,91587184.0,71582356.0,91559272.0,72047744.0
188,91486708.0,71479184.0,91432928.0,71854124.0
189,91303500.0,71251404.0,91227108.0,71634420.0
190,91112544.0,71062184.0,90983212.0,71472704.0
191,90896424.0,70876420.0,90881484.0,71294860.0
192,90838892.0,70864556.0,90927972.0,71326668.0
193,90682932.0,70661356.0,90747416.0,71167956.0
194,90537156.0,70393416.0,90501240.0,70986768.0
195,90265572.0,70141556.0,90245252.0,70667240.0
196,90082440.0,69935552.0,90029056.0,70508960.0
197,89994500.0,69883600.0,90016064.0,70477076.0
198,89930684.0,69949880.0,90129960.0,70447580.0
199,89850576.0,69810888.0,89988548.0,70290576.0
200,89743416.0,69697628.0,89832352.0,70204132.0
201,89464196.0,69469120.0,89530084.0,69847372.0
202,89253300.0,69291272.0,89358480.0,69706296.0
203,89086412.0,69237668.0,89275388.0,69717988.0
204,89134632.0,69184404.0,89275712.0,69673544.0
