journal_queue_bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
162,218832,749649,0,0,36318,0,6095,0,0,12106,0,0,30307,0,0,0,0,30391,24128,0,60614,12106,0,54603,430729,79235,212233,139177,0,0,0,0
163,285457,315428,385881,321607,0,0,0,0,6095,42497,550327,847337,54771,0,0,0,0,12106,6011,0,6011,6011,12190,42413,0,6095,0,0,0,0,0,0
164,0,0,6011,0,6095,12022,6095,6095,6095,18201,12190,12022,66961,6095,6011,30391,0,0,0,0,0,0,0,0,0,6095,12190,0,0,0,6095,0
165,0,0,0,0,0,0,0,0,0,0,0,0,97184,118961,0,0,18117,0,30307,0,6011,0,0,252211,0,0,0,0,0,0,0,0
166,0,42413,0,6095,115385,0,0,0,0,0,0,0,0,0,0,0,6095,0,0,0,0,0,0,0,0,0,6011,0,0,0,0,0
167,0,0,0,0,0,0,6095,6095,0,0,0,0,0,6095,0,30391,0,0,0,0,0,0,6011,0,0,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829017,473058,0,0,0,0,0,0,0,0,0,0
169,0,6011,0,42329,6011,6011,412276,36486,6095,0,0,0,42497,6011,48508,6011,145608,54603,0,0,0,0,0,0,18285,6095,6095,0,6011,0,0,0
170,0,0,0,0,0,18201,0,0,0,0,0,0,0,0,0,0,0,0,0,24296,0,0,0,0,0,0,0,84910,0,0,6095,0
171,0,6011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24380,139597,24128,0,36402,72972,121648,0,0,24128,60614,0,0,0,0
172,0,12190,30391,18201,0,0,0,0,6011,0,0,60530,0,30307,0,33799,0,0,291132,6011,6095,0,0,12190,0,0,0,0,0,0,0,0
173,0,0,0,0,0,0,6095,6095,0,0,0,0,0,0,0,0,0,54603,6011,6011,12190,6011,6011,36486,30391,48424,0,0,6095,66877,0,0
