rMB/s,ceph01,ceph02,ceph03,ceph04
162,0.0025,0.00375,0.0,0.0
163,0.005,0.0025,0.0,0.00375
164,0.00125,0.0,0.0,0.0
165,0.0,0.0,0.0,0.00375
166,0.0,0.0,0.0,0.00125
167,0.0,0.0,0.0,0.0
168,0.0,0.0,0.0,0.0
169,0.0,0.00125,0.0,0.0
170,0.00125,0.0,0.00125,0.0
171,0.0,0.0,0.0,0.0
172,0.0,0.00125,0.0,0.0
173,0.00125,0.00125,0.0,0.00375
174,0.0,0.0025,0.0,0.0
175,0.00125,0.0,0.0,0.00125
176,0.0,0.0,0.0,0.0
177,0.00125,0.0,0.0,0.0
178,0.0,0.0,0.0,0.0
179,0.0,0.0,0.005,0.0
180,0.0,0.00125,0.00125,0.0
181,0.0,0.0,0.0,0.00125
182,0.0,0.0,0.0,0.0
183,0.0,0.0,0.0,0.00125
184,0.0,0.00125,0.00125,0.0
185,0.0,0.00125,0.0025,0.0
186,0.00125,0.00125,0.0,0.0
187,0.0,0.0,0.0,0.0
188,0.0,0.0,0.0,0.0
189,0.0025,0.0,0.0,0.0
190,0.00125,0.0,0.0,0.0
191,0.0,0.0,0.0,0.0025
192,0.0,0.0,0.00125,0.00125
193,0.0,0.0,0.0025,0.0
194,0.0,0.0,0.0,0.0
195,0.0025,0.0,0.0,0.0
196,0.0,0.00375,0.0,0.0
197,0.0025,0.0075,0.00125,0.00875
198,0.00125,0.0,0.0,0.0
199,0.0,0.0,0.0,0.0
200,0.0,0.0025,0.0,0.0025
201,0.0,0.0025,0.0,0.0
202,0.0,0.0,0.00125,0.00125
203,0.0,0.0,0.0025,0.0
204,0.0,0.0,0.0,0.0
205,0.0,0.00125,0.0,0.0
206,0.0,0.00125,0.0,0.0
207,0.0,0.00125,0.00125,0.0
208,0.00375,0.00125,0.0,0.0025
209,0.00125,0.0025,0.0,0.00125
210,0.0,0.0025,0.00125,0.0
211,0.0025,0.00125,0.0,0.0
212,0.0,0.00125,0.0,0.0
213,0.0,0.00125,0.0,0.0
214,0.0,0.0025,0.0,0.0
215,0.0,0.0,0.0025,0.0
216,0.0,0.0,0.00125,0.0025
217,0.0,0.0,0.00375,0.0
218,0.00125,0.0,0.0,0.0
219,0.0025,0.00625,0.0,0.0025
220,0.0,0.00375,0.00125,0.00125
221,0.00125,0.0,0.0,0.0
222,0.0,0.0,0.0,0.0
223,0.0,0.0,0.0,0.0
224,0.0,0.0,0.0,0.0
225,0.0,0.00125,0.0,0.0
226,0.0,0.00125,0.0,0.0025
227,0.0,0.0025,0.0,0.00125
228,0.0,0.0,0.0,0.0
229,0.0,0.0,0.0,0.0
230,0.0025,0.00125,0.0,0.00375
231,0.0,0.00125,0.00125,0.00125
232,0.0,0.00125,0.0025,0.0
233,0.00125,0.00125,0.0,0.0
234,0.0,0.00125,0.0,0.0
235,0.0,0.0,0.0025,0.00125
236,0.0,0.0,0.0,0.0
237,0.0,0.0,0.0,0.0
238,0.0,0.00125,0.0025,0.0
239,0.0,0.0025,0.0,0.0
240,0.0,0.0025,0.0,0.00125
241,0.0,0.0,0.0,0.0
242,0.0,0.0,0.0025,0.0
243,0.00125,0.00125,0.0,0.0
244,0.0,0.0,0.0,0.0
245,0.00125,0.0,0.0,0.0
246,0.0,0.0,0.0,0.0
247,0.0,0.00375,0.0,0.00125
248,0.0,0.00125,0.00125,0.0
249,0.00125,0.00125,0.0,0.0
250,0.0,0.5825,0.0,0.0
251,0.00125,1.96875,0.0,0.0
252,0.0,2.44,0.0025,0.00125
253,0.0,1.54,0.00125,0.0025
254,0.00125,2.06125,0.0,0.0
255,1.03,2.3325,0.0,0.0
256,2.66125,2.6425,0.0,0.10375
