op_w,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
26,49676,53784,52651,48723,49617,54338,50892,49299,49933,53969,50554,51871,49267,52588,50181,51878,51545,50858,51263,50946,48983,50815,51322,50289,53681,51381,53184,53922,50042,50299,57827,51584
27,51470,55574,54294,50189,51182,56252,52574,50993,51696,55877,52407,53792,51098,54617,52185,53875,53205,52681,53163,52753,50741,52559,53275,52046,55456,53141,54844,55727,51476,52084,59638,53210
28,53683,58103,56752,52501,53609,58885,55068,53282,54134,58370,54870,56419,53483,57016,54626,56417,55915,55411,55797,55326,53356,55135,55877,54473,57795,55330,57243,58233,53844,54326,62190,55513
29,55749,60547,58952,54602,55770,61462,57632,55490,56363,60545,56720,58469,55341,59250,56595,58444,57956,57437,57928,57476,55311,57237,57986,56423,60040,57819,59557,60671,56330,56647,64725,57978
30,58022,62891,61248,56732,57961,63530,59499,57573,58392,63072,59157,61058,57627,61752,58973,60875,60413,59931,60442,59900,57629,59658,60383,58818,62347,59766,61613,62823,58321,58591,67205,60056
31,60122,65008,63730,58832,59829,65712,61449,59297,60015,65130,60808,62735,59802,63816,60640,62953,62332,61645,62146,61901,59214,61577,62188,60697,64432,61848,63857,65216,60882,60930,69355,62466
32,61836,67169,65311,60513,61759,67835,63267,61445,61968,67212,63069,65064,61427,65610,62623,64918,64267,63678,64172,63771,61257,63504,64248,62670,66552,63858,65909,67176,62356,62649,71790,64185
33,63890,69628,67589,62461,63824,70379,65555,63503,64369,69623,65346,67245,63748,68201,64844,67101,66603,65874,66506,65923,63337,65730,66646,64895,68986,65943,68092,69315,64296,64661,74106,66337
34,66017,71943,69874,64536,66097,72598,67640,65703,66439,71880,67497,69478,65910,70392,67015,69370,68879,68202,68884,68233,65579,67926,68984,67156,71104,68131,70339,71572,66479,66711,76644,68448
35,68045,74149,71941,66395,68040,74749,69721,67613,68462,74219,69484,71539,67745,72532,68952,71466,71028,70189,71177,70402,67713,69982,71033,69241,73078,70122,72420,73710,68326,68731,78885,70429
36,70117,76306,73953,68459,70270,76998,71947,69630,70609,76485,71646,73532,69896,74770,71023,73676,73163,72385,72949,72307,69656,71933,72953,71367,75172,72254,74487,75952,70362,70784,81098,72511
37,72262,78359,76179,70379,72172,79161,73950,71583,72526,78534,73361,75609,71687,76677,72810,75561,75095,74084,75040,74334,71448,73958,75009,73222,77409,74549,76664,78098,72302,72820,83517,74512
38,73869,80842,77984,72165,73896,81248,75803,73158,74323,80339,75330,77466,73445,78513,74555,77319,76705,75870,76664,75939,72939,75618,76730,74728,79480,76236,78583,79888,74267,74561,85450,76377
39,75931,82580,79986,73610,75549,83037,77636,75274,76077,82346,77127,79350,75395,80476,76392,79273,78810,77828,78717,78021,74909,77766,78967,76812,81472,78208,80335,82170,75890,76297,87557,78209
40,78478,85457,82883,76212,78250,86186,80510,77879,78976,85661,80123,82438,78329,83536,79394,82214,81911,80807,81809,81091,77765,80633,81917,79678,84297,80999,83345,84959,78673,79193,90731,81149
41,80723,87906,85276,78571,80551,88734,82868,79907,81398,87849,82500,84690,80494,85818,81623,84635,84317,83124,84222,83463,80095,82867,84437,82100,86704,83435,85699,87317,81031,81635,93424,83463
42,82866,90443,87677,80657,82835,91003,85174,82180,83408,90165,84691,87093,82697,87938,83862,86840,86648,85477,86604,85634,82077,85041,86703,84237,89130,85466,88233,89576,83225,83820,95811,85896
43,84346,92187,89355,82470,84550,92831,86754,83776,85241,92026,86417,88851,84287,89745,85472,88935,88268,87348,88225,87419,83850,87244,88411,86017,90931,87542,90142,91706,84941,85566,97839,87493
44,86775,94690,92092,84417,86569,95276,89371,86116,87524,95077,88704,91236,86615,91984,87938,91046,90778,89715,91139,89705,86163,89206,90666,88439,93304,89684,92354,94035,87458,87887,100339,89726
45,88793,96948,94148,86560,88728,97627,91369,88176,89394,96867,90884,93352,88714,94455,90012,93404,92964,91701,92857,92013,88297,91420,92996,90293,95387,91890,94559,96235,89239,89914,102880,91974
46,90833,99169,96243,88611,90786,99999,93447,90377,91580,99228,93043,95677,90792,96676,92108,95665,95150,93833,95057,94125,90271,93502,95114,92498,97545,94030,96752,98485,91293,91948,105207,94122
47,93168,101599,98726,90784,92856,102266,95632,92459,93815,101508,95178,97717,92901,98962,94227,97819,97255,96057,97333,96545,92545,95668,97430,94590,99961,96362,99261,100823,93397,94194,107538,96239
48,94689,103286,100369,92207,94427,104187,97417,94099,95484,103301,96938,99651,94548,100721,95937,99622,99062,97894,99102,98231,94197,97447,99096,96302,101514,98026,100923,102519,95083,95760,109552,97977
49,96251,104876,102143,93918,96034,105871,99036,95539,96887,104765,98413,101134,95999,102185,97379,101172,100556,99398,100513,99629,95597,98830,100687,97788,103134,99575,102431,103981,96594,97159,111230,99431
50,98409,107298,104194,95873,98085,108145,101023,97622,99266,107256,100927,103575,98588,104499,99795,103457,102997,101588,103066,101809,97815,101312,103128,99850,105523,102015,104752,106421,98685,99369,113552,101539
51,101140,109797,106492,98046,100726,110545,103638,99817,101429,109484,102935,105728,100489,106754,102002,105964,105374,103866,105059,104111,100042,103554,105234,102164,107939,104501,107064,108745,100862,101500,116190,104282
52,103012,112425,109062,100412,102773,113265,106178,102352,103713,112172,105488,108459,102942,109419,104383,108456,107802,106594,107857,106633,102598,106104,107762,104787,110316,106568,109798,111339,103399,103912,119009,106494
53,105052,114520,111178,102335,104734,115441,108081,104204,105838,114368,107503,110413,105056,111547,106416,110557,109894,108483,109977,108790,104498,108094,109853,106644,112489,108764,111993,113485,105343,105934,121307,108685
54,106791,116403,113159,104005,106450,117338,109798,105908,107630,116254,109082,112268,106954,113360,108161,112372,111661,110433,111833,110487,106128,109846,111796,108414,114414,110426,113884,115346,107087,107712,123222,110501
55,108906,118701,115450,106250,108775,119853,112134,108295,110108,118747,111539,114674,109183,115573,110437,114677,114115,112654,113961,112980,108474,112266,114098,110602,116891,112877,116613,117704,109301,109860,125714,112818
