op_w,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
103,207960,227260,220232,203527,207465,230120,215192,207068,210426,226783,213696,219790,209149,222130,211865,219862,216786,215148,218985,214867,207009,213709,217597,211397,223792,216195,223543,225233,210153,210375,241247,215400
104,209969,229632,222423,205269,209576,232526,217153,209086,212404,228959,215804,222045,211376,224242,214095,222035,218583,216863,220855,216681,208709,215535,219425,213084,226099,218378,225635,227208,212088,212180,243298,217459
105,212126,231974,224674,207509,211834,234681,219504,211574,214395,231495,217817,224341,213314,226320,216433,224254,220697,218957,222843,218577,210524,217576,221485,215080,228137,220266,227834,229600,214111,214161,245843,219487
106,214400,234054,226527,209504,213786,236998,221575,213290,216866,233304,220185,226154,215521,228342,218489,226351,222544,220813,224788,220525,212399,219412,223276,216852,230681,222396,230155,231729,216192,216141,247840,221625
107,216941,237494,229404,212126,216582,239971,224131,215790,219235,236429,222618,228955,217859,231262,220971,229535,225380,223444,227506,223377,214926,222001,226049,219303,233203,225123,233045,234250,218415,219025,251108,224320
108,218581,239319,231560,213763,218074,242349,226210,217919,221337,238464,224637,230970,219869,233471,222904,231072,227725,226004,230030,225673,217433,224418,228642,221988,235525,227183,234965,236572,220852,221081,253843,226343
109,220355,241384,233601,215649,220076,244497,228139,219775,223383,240542,226600,232971,221831,235537,224956,233272,229666,227965,231869,227583,219188,226379,230542,223775,237578,229345,237087,238720,222692,223235,256088,228411
110,222360,243677,235634,217545,222064,246835,230074,221821,225538,242632,228675,235177,223933,237810,227249,235438,231649,229870,233885,229446,221179,228417,232469,225720,239681,231270,239275,240864,224655,225240,258281,230505
111,224320,245892,238025,219705,224189,248833,232431,223756,227684,244959,230816,237213,225943,239739,229532,237653,233392,231669,235658,231185,222953,230119,234219,227476,241853,233491,241391,243481,226738,227133,260497,232571
112,226502,248116,239929,221746,226085,250979,234559,225761,229942,247223,232830,239674,228402,242166,231702,239744,235657,233828,237981,233478,225223,232441,236490,229765,244467,235735,243665,245612,229119,229453,263101,234635
113,228512,250870,242385,223705,228313,253841,236652,228263,231803,250032,235192,241915,230846,244415,233622,242107,238203,236341,240484,235979,227636,234770,239008,232074,246780,238236,246457,247686,231068,231711,265574,236904
114,230547,252759,244355,225846,230410,255867,238987,230155,233899,251785,237421,244051,232443,246651,235741,244301,240024,238131,242334,237833,229406,236614,240878,233878,248822,240027,248347,250166,233229,233637,267950,239264
115,232233,254837,246329,227544,232075,257850,240815,231929,235740,253719,239117,245995,234276,248599,237523,246247,242122,240281,244436,239875,231398,238768,242943,235925,250737,241902,250387,252080,234972,235553,270151,241135
116,234201,256922,248365,229562,233999,260041,242725,233932,237794,255989,241181,248032,236286,250626,239495,248216,243908,242110,246316,241756,233188,240525,244824,237683,252732,243892,252488,254260,237051,237454,272270,243053
117,235747,258500,249858,230895,235438,261902,244222,235373,239242,257485,242812,249638,237690,252094,241092,249812,245810,243971,248190,243631,235061,242465,246751,239561,254261,245305,254009,255770,238476,239075,274028,244486
118,237824,260812,252068,233129,237725,264020,246374,237608,241276,259905,244763,251725,239770,254229,243090,252009,248113,246244,250505,245850,237231,244678,249089,241671,256496,247586,256196,258050,240702,240916,276261,246679
119,239476,262669,254018,234779,239211,265978,248180,239262,242999,261724,246599,253489,241535,256159,244883,253777,250207,248284,252524,247865,239210,246651,251083,243689,258324,249194,258073,259934,242479,242692,278400,248344
120,242227,265541,256719,237432,242076,268794,251183,241690,245639,264571,249134,256255,243925,258780,247501,256464,251886,249933,254296,249622,240848,248370,252823,245519,261236,251886,260922,262778,245149,245389,281419,250902
121,244387,267982,259196,239700,244164,271509,253382,244239,248050,267265,251631,258690,246570,261547,249923,259144,254589,252571,256968,252229,243352,251025,255670,248013,263885,254379,263401,265544,247481,247768,284225,253598
122,246077,269919,261004,241346,245640,273373,255021,246029,249844,269217,253443,260677,248309,263439,251657,260946,256849,254803,259352,254533,245511,253237,257838,250225,265612,256147,265227,267198,249174,249551,286121,255251
123,248002,272060,263073,243378,247677,275821,257159,247857,251765,271515,256107,262779,250463,266166,253986,263759,258909,256578,261167,256330,247428,255087,259815,251976,267888,258250,267395,269297,251237,251643,288510,257362
124,250151,274477,265303,245362,249882,278123,259389,250146,253848,273609,257603,265048,252459,267771,255964,265177,261543,259307,263783,259020,249987,257707,262426,254717,270047,260471,269530,271639,253294,253683,290964,259445
125,252428,276728,267726,247503,252157,280452,261410,252036,256063,276050,259896,267220,254551,270060,258152,267452,263287,260967,265523,260712,251620,259445,264084,256257,272216,262661,272011,274061,255336,255579,293568,261764
126,254680,279323,270273,249898,254521,283026,264225,254626,258539,278911,262405,269855,257132,272566,260602,269985,265606,263440,267849,263018,253794,261711,266643,258694,274992,265295,274579,276515,258085,258263,296436,264144
127,256760,281416,272238,251656,256292,285250,266098,256474,260494,280934,264253,271840,259022,274689,262415,271865,267733,265544,270074,265180,255878,263825,268724,260893,277091,267200,276636,278835,260062,260257,298508,266331
128,259119,284342,274794,253836,258446,287814,268707,258568,262976,283633,266701,274074,261280,277556,265026,274461,269677,267397,271899,266885,257568,265562,270655,262585,279657,269548,278972,281189,262314,262478,301170,268503
129,260891,285867,276590,255778,260582,290089,270647,260550,264664,285298,268411,276118,263080,279013,266525,276280,272019,269848,274326,269331,259871,268020,273088,264988,281501,271411,281018,283325,264133,264494,303377,270549
130,262793,288043,278690,257600,262312,292132,272569,262608,266613,287618,270497,278229,265074,281097,268668,278470,274376,272236,276709,271742,262083,270271,275553,267297,283539,273360,283144,285399,266061,266421,305553,272745
131,264524,289944,280640,259379,264147,294188,274429,264433,268394,289633,272340,280081,266930,282980,270576,280397,276128,274051,278459,273424,263801,272078,277317,268968,285485,275294,285113,287422,267954,268335,307642,274672
132,267252,293078,283613,262132,267093,296926,276837,267149,271071,292905,274841,282727,269373,285597,273249,283398,277927,275892,280264,275160,265571,273813,279094,270645,288572,278090,288034,290089,270557,270946,310423,277310
133,269191,295000,285656,263981,268786,299131,279448,268954,273256,294976,276925,284963,271487,288082,275248,285202,280453,278477,282777,277636,268062,276397,281648,273206,290766,280398,290381,292298,272786,273227,313064,279589
134,271323,297740,287802,266225,271205,301852,281422,271223,275439,297525,279353,287522,273732,290210,277780,287777,282730,280659,284916,279799,270144,278582,283851,275286,293421,282533,292963,294719,274963,275396,316027,281807
135,273275,299777,289924,267827,272868,303706,283454,273219,277284,299271,281226,289250,275806,292341,279317,289676,285013,282943,287328,282148,272389,280960,286086,277673,294997,284374,294597,296763,276824,277274,317947,283797
136,275149,301853,291854,269425,274560,305614,285438,275003,279081,301159,283099,291324,277437,294257,281066,291425,286833,284762,289089,283911,274141,282702,287929,279448,297002,286332,296683,298659,278681,279013,320038,285693
137,277627,304454,294526,272207,277284,308721,288189,277340,281893,304380,285819,293926,280096,297118,283957,294648,289066,287030,291304,286030,276321,284864,290095,281535,299925,289412,299550,301994,281449,282019,323182,288772
138,280753,307698,297538,274925,280067,311530,290681,280648,284522,307287,288567,296959,282993,300090,287027,297340,291654,289582,293852,288732,278732,287459,292776,284030,302956,291869,302654,304787,284062,284800,326520,291442
139,282453,309653,299629,277002,281893,313892,292881,282295,286636,309352,290700,298912,285140,302179,288902,299268,294459,292222,296655,291411,281555,290196,295528,286781,304899,293864,304575,306665,286052,286343,328631,293271
140,284568,312257,301981,279158,284115,316440,295166,284633,288847,312026,293212,301354,287402,304478,291210,301747,296294,294127,298524,293416,283389,292038,297462,288663,307341,296034,306907,309046,288307,288688,331134,295627
141,286210,314249,303502,280897,285655,318058,296683,286040,290330,313410,294569,302800,288820,305986,292580,303334,298765,296574,300969,295630,285676,294349,299884,290986,308863,297485,308389,310479,289716,289975,332874,296987
142,288289,316567,305943,282987,287850,320484,298920,288310,292544,315841,296703,304846,290882,308439,294720,305743,300349,298228,302666,297262,287288,295899,301560,292555,311371,300011,310793,312963,292081,292250,335275,299321
143,290571,318820,308485,285072,290010,322665,301141,290226,294778,318256,299222,307101,292993,310190,296842,308217,302575,300493,305026,299487,289475,298093,303720,294713,313615,302130,313385,315085,294055,294263,337970,301392
144,292437,320677,310311,287071,292035,324895,303169,292505,296617,320384,301019,309346,295056,312716,298998,310064,304804,302787,307324,301836,291580,300383,306047,297083,315813,304160,315467,317495,296153,296393,340293,303752
145,294386,322955,312399,288918,293938,327170,305200,294394,298562,322372,303013,311463,296933,314889,301068,312296,306620,304591,309192,303609,293359,302220,307887,298904,317922,306203,317566,319575,298218,298441,342521,305825
146,296187,324816,314280,290487,295544,328898,306919,296040,300396,324323,304857,313457,298778,316879,302818,314212,308584,306623,311270,305519,295230,304164,309889,300757,319847,308060,319528,321313,299982,300287,344569,307706
147,297350,326265,315513,292145,297078,330590,308145,297675,301679,325482,306183,314629,299965,318026,304117,315575,310473,308439,313192,307370,296979,306005,311841,302675,321214,309315,321056,322683,301257,301610,346186,308900
148,299761,328740,318037,294150,299462,333114,310636,299698,304018,328177,308645,317195,302463,320648,306578,317885,311987,309911,314863,308974,298640,307699,313446,304258,323694,311826,323290,325257,303605,303912,348996,311462
149,302341,331483,320835,296624,301896,336034,313211,302303,306774,331118,311356,319951,305011,323371,309357,320599,314706,312623,317518,311678,301089,310271,315926,306774,326560,314421,326215,328037,306356,306519,352119,314063
150,304571,333940,323265,298809,304103,338364,315585,304369,308940,333463,313719,322285,307303,325857,311584,322953,316934,314837,319671,313883,303152,312407,318353,308922,328904,316602,328384,330371,308471,308764,354559,316323
151,306672,336201,325455,300913,306179,340608,317806,306360,311067,335733,315717,324419,309382,328080,313842,325311,319179,317186,321993,316056,305259,314757,320619,311108,331105,318793,330661,332678,310543,310818,356895,318533
152,308317,338161,327324,302516,307987,342513,319402,308011,312797,337711,317621,326344,311343,330001,315475,327022,321200,319157,324058,318132,307274,316846,322750,313210,332942,320584,332433,334453,312250,312655,358888,320376
153,310341,340188,329155,304419,309752,344868,321460,309958,314561,339639,319465,328265,313105,331878,317445,328943,322998,321082,326056,319902,309040,318674,324772,315060,335061,322444,334531,336662,314160,314542,360995,322237
154,313093,343358,331981,307052,312573,347781,324309,312860,317342,342846,322319,331099,315843,334627,320251,331872,325113,323203,327986,321839,310888,320840,326708,316818,338419,325804,337520,340155,316858,317409,364020,325045
155,315325,345888,334616,309231,315158,350492,326744,314981,319727,345250,324773,333632,318232,337325,322578,334309,328040,326495,331142,324889,313858,323561,330062,319600,340519,327837,340294,342024,319257,319848,366877,327603
156,317644,348000,336707,311546,317690,353139,329283,317120,321662,347813,327290,335855,320518,339484,324867,336599,330467,328419,333227,327165,316027,325774,332231,321957,342908,330324,342351,344420,321744,321696,368969,330096
157,319369,350063,338766,313400,318972,355013,331070,319001,323865,349804,329005,337932,322302,341603,326667,338611,332976,330784,335861,329320,318372,328012,334363,324160,344842,332092,344556,346438,323395,323683,371580,331946
158,320881,351641,340427,314856,320406,356688,332638,320544,325426,351415,330509,339593,323799,343226,328190,340198,334678,332605,337513,331279,319993,329984,336320,326086,346516,333659,346114,348184,324940,325268,373303,333603
159,322789,353799,342365,316769,322269,358716,334627,322512,327274,353480,332583,341608,325608,345260,330168,342208,336150,334323,339086,332771,321493,331795,337951,327565,348613,335632,348125,350100,326776,327066,375468,335539
160,325775,356833,345272,319498,325112,361774,337642,325215,330041,356581,335663,344604,328493,347961,333197,345351,338143,336269,341163,334654,323399,333499,339957,329536,351568,338331,351197,353490,329376,330156,378610,338587
161,327067,358370,346679,320819,326503,363467,338988,326814,331529,358127,336961,346165,330061,349638,334438,346841,341030,339299,344233,337587,326120,336454,342966,332276,352958,339650,352528,354648,330889,331385,380247,339619
162,329168,360848,349033,322997,328741,365786,341249,328951,333747,360420,339114,348362,332059,352038,336670,349209,342762,340863,345940,339198,328050,338058,344403,333960,355251,341894,354977,357048,333107,333534,382893,341898
163,330843,362516,350713,324469,330333,367689,343042,330562,335461,362305,340840,350241,333786,353775,338276,350808,345198,343158,348144,341246,330010,340206,346850,336053,357176,343760,356751,358905,334842,335193,385069,343676
164,331803,363612,351685,325284,331126,368712,343956,331438,336535,363219,342317,351207,334749,354682,339252,351887,346452,344424,349516,342762,331335,341658,348230,337594,357884,344595,357357,359538,335542,335742,385672,344223
165,332926,364790,353071,326471,332393,369990,345179,332704,337577,364606,342944,352389,335884,356068,340487,352980,347904,345770,350957,343846,332531,343152,349278,338639,359406,345976,359016,361235,336952,337386,387454,345886
166,334456,366377,354693,327867,333911,371608,346718,334232,339051,366291,344531,353931,337365,357581,341996,354564,348701,346604,351732,344901,333436,343818,350410,339770,361106,347609,360668,362833,338519,338939,389145,347484
167,335545,367645,355894,328885,335055,372857,347766,335381,340139,367227,345506,354877,338396,358605,342896,355685,350323,348120,353472,346456,335022,345380,352001,341296,361913,348411,361538,363731,339337,339781,390086,348317
168,337049,369295,357532,330480,336553,374496,349429,336926,341787,369107,347230,356603,340046,360418,344581,357314,351503,349245,354571,347653,335997,346420,353145,342445,363836,350267,363472,365737,341141,341562,392187,350147
169,339274,371210,359892,332190,338222,376441,351564,338661,343957,371078,349124,358332,341779,362763,346470,359176,352995,350758,356137,349197,337564,348028,354725,344036,365539,351814,365012,367782,342696,342991,393765,351903
170,341056,373548,361688,334214,340330,378767,353441,340765,345656,373310,351176,360715,343939,364610,348450,361386,355331,352939,358342,351362,339477,349894,356578,346004,368056,354312,367576,369887,345013,345454,396751,354316
171,342317,374850,362981,335322,341468,380060,354638,341959,346836,374593,352364,361997,345072,365874,349611,362602,357106,354739,360134,353150,341504,351989,358781,347899,369304,355487,368736,371086,346201,346625,398068,355522
172,345295,378197,366127,338036,344520,382895,357394,344647,349752,377729,355388,365010,347923,369046,352673,365518,358411,356059,361552,354729,342883,353461,360122,349164,372247,358210,371615,373969,348840,349318,401094,358262
173,347261,380258,368229,340197,346347,385458,359700,346915,351780,380032,357262,367199,350017,371122,354642,367827,361688,359287,364717,357783,345725,356314,363240,352294,374609,360429,374065,376396,351191,351436,403863,360534
174,348693,381797,369691,341588,347695,387051,361244,348473,353184,381591,358705,368670,351431,372564,356056,369351,363368,360995,366713,359583,347510,358439,365130,354084,376254,361848,375619,377873,352647,353100,405432,362019
175,350823,383874,371767,343490,349734,389190,363235,350401,355064,383733,360711,370750,353423,374693,358166,371401,364816,362468,368182,361113,348986,359768,366599,355462,378213,363864,377728,380023,354560,354962,407684,364073
176,352629,385900,373741,345381,351539,391197,365210,352294,357074,385875,362639,372644,355322,376777,359919,373341,366908,364504,370230,363113,350892,361789,368675,357550,380281,365660,379623,382139,356303,356767,409899,365847
177,354819,388217,375880,347313,353571,393453,367483,354311,359223,388453,364798,374943,357295,378837,362184,375739,368930,366422,372220,365022,352835,363834,370542,359342,382348,367629,381759,384134,358219,358819,412075,367868
178,357306,391168,378509,349635,355946,396158,369864,356797,361776,391000,367508,377785,359889,381708,364712,378070,371921,369145,374925,368089,354877,366040,372868,361764,385267,370339,384712,386947,360904,361263,415177,370396
179,359062,393118,380240,351502,357936,398124,371880,358812,363520,392796,369171,379597,361507,383484,366202,380175,373813,371286,377040,369781,357299,368603,375256,363878,387050,372209,386300,388708,362513,362960,417169,372198
180,361076,395484,382400,353311,359822,400352,373931,360736,365631,394920,371014,381545,363451,385501,368324,382161,375614,373150,378922,371664,359167,370462,377101,365870,389348,374385,388466,391004,364603,365106,419474,374473
181,363222,397861,384727,355571,361975,402892,376243,362740,367773,397272,373371,383869,365708,387973,370439,384608,377826,375108,381104,373643,361038,372527,379424,367981,391781,376645,390919,393684,366966,367272,422350,376716
182,366070,400817,387464,358137,364541,406090,378880,365363,370434,400438,375924,386436,368162,390478,373375,387732,380015,377411,383207,375782,363209,374638,381512,370117,394398,379248,393503,396190,369441,369838,425239,379163
183,368148,402865,389782,360210,366821,408142,381101,367361,372500,402584,378078,388994,370511,392867,375349,389588,382837,380353,386204,378615,366030,377236,384077,372560,396864,381457,396209,398744,371855,372099,427618,381627
184,369931,404883,391566,362118,368597,410245,383068,369161,374435,404511,380102,390843,372436,394995,377105,391520,385066,382258,388279,380731,368012,379622,386644,374995,398870,383377,398030,400680,373582,373977,429990,383636
185,372338,406867,393371,363765,370264,412056,385246,371014,376027,406310,381663,392624,373905,396536,378634,393199,386794,384213,390069,382581,369944,381342,388477,376760,400587,384848,399967,402206,375239,375465,431712,385144
186,373455,408698,395234,365440,371937,413978,386635,372655,377989,408359,383614,394571,375853,398659,380683,395325,388875,386204,392044,384869,371982,383357,390749,378538,402552,387013,401764,404634,377076,377413,433892,387212
187,376119,411370,397873,367887,374358,416805,389280,375158,380279,410964,385998,397222,378385,401327,383201,397901,390291,387861,393889,386165,373526,384904,392190,380428,405465,389469,404489,407259,379642,379805,436634,389616
188,378435,414076,400086,370076,376482,419192,391981,377981,382743,413422,388544,399441,380625,403679,385532,400227,392898,390507,396477,388731,376038,387408,394917,382861,407874,391902,407039,410137,382036,382031,439373,391928
189,380450,416397,402565,372304,378734,421651,393937,379629,384892,416055,390808,401877,383138,406250,387759,402572,395241,392839,398797,391221,378309,389666,397205,384996,410358,394359,409365,412336,384504,384414,442005,394199
190,382336,418482,404616,374307,380627,423724,395774,381608,386566,418019,392613,403962,384988,408058,389529,404530,397621,395183,401059,393295,380539,392144,399518,387079,412402,396356,411322,414278,386316,386464,444002,396129
191,384184,420484,406500,376000,382536,425748,397736,383389,388387,419960,394604,405841,386904,410115,391452,406492,399628,396996,403182,395368,382386,393993,401452,389136,414294,398242,413258,416214,388180,388295,446274,398067
192,386178,422772,408672,378043,384705,428140,399935,385421,390616,422311,396636,408128,388986,412373,393653,408622,401568,399002,405109,397266,384247,395922,403345,391003,416626,400408,415667,418474,390267,390398,448809,400323
193,388590,425559,411435,380643,387253,430922,402425,388055,393186,425134,399102,410791,391576,414910,396072,411387,403843,401149,407347,399357,386398,398023,405723,393076,419249,403060,418348,421312,392833,392967,451752,402919
194,391175,428148,414400,383418,389609,433806,405385,390357,395751,427886,401655,413620,394176,417582,398608,414040,406434,403674,410024,401874,388916,400629,408395,395656,422172,405615,421080,424177,395840,395475,454818,405177
195,393000,430144,415902,384978,391405,435535,406844,392334,397449,429574,403390,415275,395785,419453,400386,416022,409468,406216,412606,404719,391583,403222,410890,398230,423798,407316,422845,425970,397323,397298,456549,407226
196,394971,432261,418090,386791,393544,437818,408998,394217,399628,431873,405585,417504,397881,421688,402524,418184,410991,408013,414367,406187,393201,404973,412816,400074,426083,409520,425144,428156,399353,399425,459081,409329
197,396829,434624,420047,388793,395502,439956,411068,396249,401551,434146,407634,419435,399774,423650,404639,420293,413150,410012,416491,408271,395188,406981,414829,402122,428195,411544,427270,430308,401377,401412,461364,411618
198,398871,436653,422165,390536,397306,442077,412760,398121,403564,436205,409714,421524,401872,425866,406588,422362,415277,412121,418490,410391,397143,409136,416887,404274,430420,413618,429382,432470,403414,403313,463710,413469
199,401188,439057,424645,392835,399590,444692,415208,400419,405893,438722,412029,423821,404077,428153,409044,424718,417243,414114,420422,412374,399116,410970,419001,406207,432847,415796,431704,434757,405741,405591,466265,415660
200,403114,441113,426692,395114,401414,446832,417132,402119,407851,441319,413745,426211,406246,430202,411137,427076,419608,416407,422922,414522,401486,413139,421218,408468,434732,417809,433515,437095,407629,407210,468466,417538
201,404580,442705,428380,396230,403021,448422,418662,403703,409340,442420,415375,427373,407777,431799,412419,428292,421744,418578,424784,416454,403419,415157,423025,410409,436528,419351,435380,438651,409042,408875,470146,419267
202,406342,444536,430093,397983,404754,450407,420522,405403,411096,444330,417297,429355,409638,433599,414190,430341,423144,420003,426457,418126,404759,416865,424876,411926,438359,421221,437249,440503,410847,410666,472277,421113
203,408644,446990,432822,400096,406958,452886,422874,407611,413512,447086,419584,431756,411985,436100,416732,432637,424984,421830,428350,419956,406529,418645,426730,413674,440868,423878,439680,442855,413134,412875,474907,423261
204,410873,449333,434857,402362,409175,455337,425183,409832,415822,449182,421805,434277,414087,438453,418883,434933,427598,424352,430768,422489,408853,420877,429138,415785,443201,425898,442107,445542,415412,415171,477527,425756
205,412978,451370,436993,404059,411146,457685,427173,411496,417836,451341,423668,436120,415966,440492,420834,436754,429798,426634,433128,424580,411144,423227,431524,418347,444987,427549,443783,447159,416918,416799,479375,427394
206,414783,453736,439343,406152,413105,459744,429209,413614,419933,453808,425917,438613,417920,442762,422733,439183,431728,428399,434976,426377,412811,424927,433237,419996,447171,429536,446001,449287,418840,418707,481521,429482
207,416296,455325,440677,407541,414599,461336,430809,415125,421431,455238,427547,440019,419571,444228,424297,440587,433594,430308,437013,428371,414690,426891,435510,422038,448978,431440,447811,451222,420709,420647,483654,431248
208,418169,457696,442792,409552,416846,463489,432827,416977,423293,457636,429739,442504,421659,446161,426373,442599,435406,432115,438796,430289,416421,428899,437091,423659,451224,433534,450032,453249,422640,422389,485826,433181
209,420669,460158,445752,412271,419088,466176,435313,419398,425880,460223,432024,444889,423919,449065,428963,445482,437360,434009,440939,432335,418309,430930,439011,425503,453922,436090,452437,455704,424936,424870,488717,435619
210,422707,462584,448039,414059,420851,468851,437472,421719,428560,462702,434470,447116,426974,451982,431477,447900,439966,436683,443194,434901,420755,433524,441499,428001,455929,438135,454688,458116,427132,426965,490981,437757
211,424674,464917,450039,416201,422864,470998,439771,423704,430177,464580,436345,449221,428358,453485,433038,449843,442187,438850,445561,437084,422956,435441,443860,430197,458301,440306,457175,460637,429199,429240,493707,440077
212,426798,467144,452023,418063,425180,472956,441527,425615,432270,466811,438729,451391,430372,455543,435434,451937,444251,440961,447967,439292,424962,437482,446167,432341,460345,442132,459253,462352,431479,430992,495818,442139
213,428490,468845,453660,419783,426699,475130,443364,427218,434015,468827,440442,453342,432207,457537,436999,453917,446227,443304,449866,440985,426721,439699,447798,434277,462286,444105,460996,464457,433000,433085,497662,443740
214,430406,471036,455842,421526,428708,477339,445604,429349,436193,470904,442398,455449,434217,459586,439145,456057,447965,444627,451713,442886,428714,441295,449691,436051,464179,445798,462877,466276,434670,434640,499684,445564
215,432822,473681,458476,423857,431057,480188,447895,431535,438492,473652,445062,458051,436817,462495,441510,458657,449787,446486,453473,444678,430325,442969,451567,437895,466959,448651,465557,469089,437421,437284,502639,448121
216,434782,476433,460785,426181,433402,482332,450225,433750,440856,476058,447503,460603,439136,464550,443834,460988,452544,449090,456159,447325,432998,445857,454264,440705,469179,450467,467614,471268,439186,439070,504768,449997
217,437055,478508,463264,428189,435454,484748,452385,435940,442870,478062,449314,462482,440996,466785,445696,462956,454497,451107,458051,449217,434790,447590,456194,442553,471645,453087,470627,473560,441745,441776,507372,452413
218,438924,480562,465075,429902,437256,486852,454207,437862,444832,480238,451338,464553,443064,468985,447686,465118,456835,453367,460641,451396,436908,450079,458506,444595,473909,455172,472343,475774,443870,443431,510063,454757
219,440872,482689,466889,431871,439054,488864,456164,439666,446613,482222,453169,466521,445001,470838,449707,467060,459227,455668,462653,453625,439067,452036,460771,446877,475823,456806,474111,477871,445547,445358,511927,456435
220,443377,485266,469431,434169,441500,491669,458680,441859,449318,484842,455797,469551,447391,473506,452526,469850,460742,457270,464559,455412,440691,453641,462580,448297,478439,459456,476778,480299,448142,447599,514799,458941
221,446299,488362,472453,436938,444350,494893,461448,444848,451840,487843,458405,471960,450026,476517,454726,472351,463651,459890,467183,457904,443293,456075,465232,450999,481399,462288,480216,483437,450779,450307,517914,462015
222,447756,490205,474270,438594,445916,496795,463373,446385,453444,489590,459945,473692,451699,478185,456354,474065,466528,462859,469766,460347,445836,458655,468085,453630,483271,464252,481778,485332,452769,452075,520070,463685
223,450071,492880,476700,440929,447827,499416,465313,448204,455814,492056,462274,476185,453980,480596,458846,476567,468328,464534,471883,462464,447705,460683,469899,455504,485259,466055,483767,487232,454723,453880,522680,466038
224,451416,494181,477928,442031,449312,500635,466946,449805,457168,493523,463767,477566,455305,482016,460186,477946,469873,466175,473383,464059,449339,462232,471482,456844,486937,467870,485490,489224,456378,455666,524263,467403
225,452922,495692,479413,443615,450900,502483,468549,451369,458748,495382,465428,479014,456924,483751,462029,479795,472176,468380,475648,466321,451391,464496,473867,459126,488495,469386,487148,490786,457808,457068,526004,468954
226,455611,498693,482271,446185,453722,505461,471334,454050,461664,498680,468275,481954,459698,486629,465066,482799,473553,469768,477068,467742,452707,465851,475233,460536,491400,472408,490236,493858,460640,459939,529178,471898
227,458154,501359,485085,448614,456442,508177,473959,456448,463994,501007,470683,484588,462219,489161,467221,485235,476538,472743,480048,470356,455538,468424,477857,462978,494319,475189,493187,496563,463287,462529,532020,474507
228,459905,503280,486670,450361,457945,510178,475695,458345,465995,503350,472482,486366,463977,491363,469167,487465,478512,474791,482182,472704,457424,470862,480397,465697,496364,477030,494928,498602,464996,464387,534327,476382
229,461731,505441,488914,452301,460043,512489,477892,460376,467729,505006,474414,488388,465883,493207,470826,489104,480674,476921,484225,474765,459535,472690,482359,467316,498451,478991,497038,500774,466939,466417,536724,478443
230,463708,507511,490818,454169,461890,514577,479959,462347,469661,506997,476450,490320,467680,495195,472806,491031,482715,479047,486341,476825,461567,474797,484405,469341,500423,480965,498944,502880,468980,468330,538736,480302
231,465708,509698,492935,456074,463883,516750,481973,464211,471494,509113,478176,492429,469649,497287,474710,492924,484318,480474,487978,478395,462940,476318,486038,470836,502451,482940,501167,504894,470822,470193,540984,482523
232,468175,512263,495408,458284,466293,519393,484493,466629,474019,511717,480817,495195,472165,500055,477252,495553,486823,482980,490540,480777,465169,478773,488598,473133,505071,485726,503801,507606,473441,472679,543801,484957
233,469766,514042,497087,459837,467799,521154,486073,468200,475897,513619,482816,496993,473935,502057,479194,497545,489116,485615,493242,483339,467566,481009,490866,475858,506923,487359,505631,509467,475005,474430,545752,486696
234,471367,515702,498748,461392,469381,522886,487666,469821,477359,515279,484108,498486,475278,503596,480555,499047,490862,487038,494737,485062,469246,482883,492653,477324,508704,489048,507318,511151,476592,476010,547686,488440
235,473143,517705,500771,463165,471175,524859,489561,471697,479146,517056,485933,500380,477087,505423,482252,500681,492799,488842,496719,486953,471078,484784,494527,479139,510591,490958,509348,513119,478443,477861,549789,490278
236,475487,519761,503162,465566,473380,526880,491699,473531,482038,519681,488452,502990,479942,507842,484693,503319,494445,490446,498249,488581,472670,486394,496077,480655,512633,493080,511531,515243,480386,479777,552062,492305
237,477876,522471,505575,467678,475668,529935,494220,476043,484076,522384,490850,505599,481993,510584,487251,505883,496637,492611,500376,490650,474741,488453,498239,482719,515591,495502,514173,518159,482650,482275,555005,494846
238,479592,524621,507496,469373,477632,531908,496215,478241,485775,524210,492659,507405,483678,512467,489066,507756,499279,495427,503252,493570,477434,491066,500999,485590,517527,497629,516216,520217,484791,484271,557389,496937
