kbdirty,ceph01,ceph02,ceph03,ceph04
144,199864.0,260956.0,335872.0,207596.0
145,299712.0,340464.0,320432.0,258760.0
146,371808.0,214032.0,197576.0,308016.0
147,284032.0,246772.0,127516.0,128156.0
148,44028.0,135212.0,133168.0,199072.0
149,98004.0,168792.0,215416.0,277644.0
150,194968.0,263068.0,300712.0,219400.0
151,294736.0,269948.0,339256.0,236428.0
152,331744.0,226500.0,221316.0,264232.0
153,329684.0,275764.0,105924.0,169312.0
154,80808.0,160848.0,150112.0,221820.0
155,100368.0,224924.0,227108.0,300124.0
156,186584.0,270068.0,306244.0,316480.0
157,281312.0,208380.0,352240.0,200276.0
158,314428.0,243660.0,248104.0,206012.0
159,380180.0,298288.0,126348.0,192972.0
160,199504.0,273320.0,159124.0,225940.0
161,89604.0,234556.0,227328.0,292828.0
162,170664.0,290892.0,302568.0,349468.0
163,270032.0,207308.0,381808.0,215780.0
164,317296.0,264812.0,288772.0,167412.0
165,344476.0,295368.0,191348.0,229688.0
166,307640.0,327436.0,136932.0,209696.0
167,158904.0,297164.0,214956.0,293728.0
168,171100.0,275640.0,301916.0,381992.0
169,215140.0,182676.0,383060.0,291576.0
170,267880.0,247548.0,321224.0,128004.0
171,296288.0,236464.0,211896.0,185900.0
172,293696.0,270052.0,91368.0,146384.0
173,193256.0,325236.0,181852.0,232668.0
174,164964.0,216712.0,229880.0,313880.0
175,205196.0,181384.0,320436.0,277524.0
176,240024.0,230040.0,338676.0,131272.0
177,311020.0,215544.0,216956.0,211232.0
178,318492.0,293596.0,90412.0,213972.0
179,235904.0,355968.0,168652.0,232704.0
180,141368.0,222024.0,247400.0,304292.0
181,183116.0,168484.0,313576.0,274928.0
182,184216.0,171156.0,382780.0,90700.0
183,281136.0,219180.0,291112.0,182612.0
184,326468.0,304316.0,95632.0,245732.0
185,270408.0,371832.0,121648.0,227192.0
186,125960.0,215448.0,200024.0,305072.0
187,124464.0,173256.0,283672.0,315600.0
188,206884.0,167604.0,364988.0,177852.0
189,293412.0,219348.0,372260.0,182368.0
190,360280.0,305920.0,165136.0,243532.0
191,298036.0,371372.0,99924.0,232352.0
192,170568.0,231300.0,176224.0,295776.0
193,103844.0,167108.0,260952.0,272912.0
194,196112.0,170128.0,347288.0,232432.0
195,275772.0,220988.0,403448.0,166828.0
196,353176.0,308324.0,241240.0,257684.0
197,306392.0,332056.0,121556.0,284780.0
198,203684.0,256424.0,166728.0,269048.0
199,102832.0,223132.0,245268.0,254352.0
200,191864.0,190424.0,330256.0,289852.0
201,263600.0,232676.0,395328.0,156716.0
202,366352.0,336944.0,350320.0,238052.0
203,291792.0,281820.0,112948.0,295040.0
204,191972.0,272784.0,122704.0,206928.0
205,156736.0,238124.0,204948.0,236672.0
206,173244.0,162288.0,282912.0,310436.0
207,263868.0,242084.0,354024.0,260944.0
208,356208.0,308636.0,431432.0,213240.0
209,278140.0,252332.0,171280.0,309156.0
210,209692.0,274944.0,63948.0,202048.0
211,171236.0,262036.0,151324.0,201948.0
212,177372.0,170728.0,223504.0,280172.0
213,252664.0,235852.0,294596.0,304108.0
214,280764.0,216820.0,377712.0,205352.0
215,260328.0,223720.0,234180.0,239848.0
216,278568.0,289112.0,79056.0,235424.0
217,216596.0,284024.0,155400.0,192032.0
218,176508.0,256936.0,228296.0,265140.0
219,252940.0,266816.0,302684.0,319668.0
220,289180.0,219724.0,412200.0,242196.0
221,194616.0,217668.0,287156.0,187672.0
222,248672.0,272684.0,102012.0,209732.0
223,231052.0,239916.0,105508.0,191784.0
224,197408.0,298232.0,194768.0,229528.0
225,241068.0,273020.0,274428.0,308256.0
226,240260.0,167088.0,365788.0,265364.0
227,206584.0,212664.0,271052.0,156528.0
228,281616.0,245840.0,171076.0,201692.0
229,290996.0,264700.0,113744.0,236856.0
230,212788.0,323512.0,186244.0,208784.0
231,192972.0,282128.0,267512.0,288464.0
232,178744.0,141952.0,336648.0,258252.0
233,210936.0,216208.0,299384.0,129928.0
234,301188.0,249832.0,222664.0,202716.0
235,334564.0,274724.0,126372.0,274932.0
236,287776.0,353012.0,209012.0,257156.0
237,208600.0,351748.0,298184.0,324972.0
238,163340.0,177852.0,304204.0,230616.0
239,214072.0,196736.0,315112.0,170800.0
240,305584.0,217792.0,273180.0,217596.0
241,302620.0,263976.0,192596.0,308852.0
242,310768.0,344996.0,198800.0,327808.0
243,233296.0,337776.0,271980.0,238388.0
244,167364.0,175952.0,228160.0,176512.0
245,190636.0,204876.0,302956.0,189184.0
246,270020.0,203400.0,285292.0,186632.0
247,250864.0,271564.0,203428.0,281412.0
248,310644.0,353052.0,170144.0,350844.0
249,246720.0,394016.0,201408.0,201316.0
250,171392.0,153332.0,205400.0,162024.0
251,184044.0,173460.0,276892.0,201356.0
252,240508.0,160736.0,328980.0,190516.0
253,265768.0,234208.0,219116.0,264724.0
254,282452.0,295692.0,156436.0,374448.0
255,259100.0,331612.0,157192.0,263568.0
256,204592.0,177780.0,280048.0,231136.0
257,251692.0,313012.0,342860.0,301720.0
258,275228.0,302400.0,363308.0,179392.0
259,295688.0,257884.0,262316.0,235284.0
260,255900.0,211056.0,141536.0,198796.0
261,178584.0,285364.0,159392.0,176588.0
262,218020.0,247372.0,194608.0,114540.0
263,122636.0,174692.0,304920.0,164120.0
264,141596.0,163796.0,280900.0,199264.0
265,187268.0,217668.0,266092.0,305056.0
266,234416.0,195720.0,96616.0,172808.0
267,271300.0,186344.0,148908.0,198076.0
268,216724.0,165984.0,217484.0,236984.0
269,215712.0,196896.0,257388.0,221884.0
270,278472.0,224832.0,259592.0,222524.0
271,270336.0,283812.0,278164.0,253784.0
272,272556.0,228092.0,111476.0,177112.0
273,270156.0,230792.0,179236.0,264584.0
274,188260.0,203296.0,285664.0,215928.0
275,150804.0,205780.0,236664.0,171972.0
276,180656.0,244052.0,274344.0,224292.0
277,235460.0,241288.0,218552.0,150428.0
278,249400.0,208924.0,133544.0,165116.0
279,205864.0,266904.0,177724.0,262336.0
280,150104.0,171524.0,187020.0,244624.0
281,199368.0,183416.0,244716.0,224736.0
282,225148.0,251356.0,274172.0,174524.0
283,231760.0,213180.0,167416.0,95716.0
284,289728.0,177648.0,182756.0,172740.0
285,206492.0,253508.0,201444.0,252172.0
286,175572.0,206496.0,246756.0,282332.0
287,167728.0,217404.0,283436.0,299168.0
288,226376.0,274648.0,254508.0,188396.0
289,250288.0,186368.0,183028.0,131748.0
290,258644.0,225220.0,234180.0,207260.0
291,194164.0,253544.0,171580.0,248912.0
292,170980.0,244568.0,246484.0,265460.0
293,177324.0,225072.0,273880.0,279672.0
294,218428.0,271876.0,251700.0,189156.0
295,265284.0,203924.0,213532.0,136240.0
296,288152.0,225464.0,252580.0,209576.0
297,270516.0,263444.0,188072.0,242868.0
298,198260.0,230096.0,276852.0,269240.0
299,186768.0,255896.0,268916.0,286744.0
300,222860.0,255784.0,247312.0,232216.0
301,278400.0,186700.0,229104.0,138756.0
302,283812.0,254988.0,284408.0,226132.0
303,318756.0,303772.0,259616.0,251004.0
304,200380.0,230496.0,262608.0,266044.0
305,168280.0,272060.0,210848.0,263000.0
306,217632.0,250120.0,194652.0,310420.0
307,219660.0,218200.0,232208.0,162912.0
308,252376.0,254544.0,271256.0,223920.0
309,314652.0,275164.0,288652.0,209188.0
310,216968.0,246732.0,254944.0,256012.0
311,143220.0,258504.0,224036.0,234696.0
312,220300.0,219452.0,184068.0,308688.0
313,222356.0,215372.0,241468.0,195920.0
314,257140.0,222856.0,267596.0,211320.0
315,261592.0,289540.0,284076.0,183804.0
316,242996.0,261832.0,232732.0,215756.0
317,156624.0,251604.0,191472.0,235448.0
318,221080.0,191388.0,196496.0,314868.0
319,232316.0,223456.0,230616.0,293084.0
320,297124.0,240680.0,297796.0,197740.0
321,296732.0,279272.0,254740.0,204688.0
322,243892.0,296240.0,241200.0,212444.0
323,191964.0,236348.0,145880.0,234076.0
324,191132.0,209916.0,219172.0,314156.0
325,202892.0,183856.0,260456.0,348972.0
326,244496.0,199540.0,298176.0,180596.0
327,299172.0,272592.0,256760.0,152508.0
328,229704.0,338364.0,238056.0,185236.0
329,236992.0,248712.0,176008.0,223556.0
330,181180.0,266388.0,270080.0,306852.0
331,211260.0,162484.0,276284.0,385728.0
332,247472.0,214620.0,310808.0,255432.0
333,323872.0,293812.0,266388.0,159192.0
334,268156.0,350380.0,190736.0,166272.0
335,290224.0,229272.0,208844.0,206244.0
336,165104.0,276644.0,262160.0,290212.0
337,206696.0,180516.0,308208.0,387020.0
338,256444.0,214024.0,276412.0,351144.0
339,297100.0,308392.0,239492.0,165892.0
340,284920.0,345776.0,157296.0,94464.0
341,285104.0,240900.0,229796.0,176264.0
342,181944.0,270752.0,252584.0,249428.0
343,149212.0,183360.0,312320.0,338244.0
344,226928.0,175456.0,248604.0,349036.0
345,243556.0,261596.0,229512.0,170976.0
346,306308.0,348892.0,166484.0,73280.0
347,277460.0,294980.0,231224.0,165208.0
348,241768.0,229740.0,266932.0,258376.0
349,140876.0,183360.0,289872.0,344608.0
350,218100.0,143100.0,249768.0,406952.0
351,247136.0,223264.0,206392.0,200300.0
352,326032.0,304456.0,183236.0,68136.0
353,323968.0,328112.0,251344.0,146904.0
354,258008.0,211612.0,300604.0,238300.0
355,148840.0,236196.0,290948.0,318084.0
356,158512.0,132556.0,216796.0,387032.0
357,205836.0,189732.0,133880.0,254396.0
358,293644.0,272672.0,209808.0,95580.0
359,361148.0,331720.0,242796.0,138984.0
360,244800.0,244244.0,313068.0,227928.0
361,154500.0,238212.0,264244.0,322956.0
362,124192.0,145044.0,222208.0,390224.0
363,198024.0,186320.0,169472.0,295352.0
364,271520.0,259672.0,232744.0,126036.0
365,319688.0,337652.0,273024.0,98148.0
366,275032.0,330396.0,353964.0,201276.0
367,154076.0,251940.0,229512.0,305548.0
368,124452.0,180732.0,191708.0,365976.0
369,209864.0,156520.0,197092.0,368280.0
370,282616.0,229088.0,230828.0,217772.0
371,310012.0,308368.0,285040.0,108580.0
372,274400.0,355836.0,339152.0,175472.0
373,188888.0,237668.0,232692.0,267824.0
374,124312.0,253680.0,157808.0,289440.0
375,198388.0,166068.0,205800.0,302672.0
376,287820.0,205904.0,248928.0,288976.0
377,319164.0,292756.0,333888.0,171584.0
378,297524.0,338108.0,278252.0,157732.0
379,236372.0,279920.0,258804.0,253504.0
380,117176.0,265384.0,180220.0,259600.0
381,188788.0,213872.0,254840.0,293764.0
382,240452.0,191840.0,245636.0,336916.0
383,314720.0,264592.0,341860.0,228488.0
384,269380.0,287952.0,223944.0,158512.0
385,235416.0,269968.0,193932.0,186384.0
386,110184.0,263808.0,151464.0,169876.0
387,176580.0,229676.0,214260.0,250752.0
388,203516.0,156260.0,244964.0,301080.0
389,289888.0,235272.0,331772.0,247140.0
390,303748.0,250940.0,218292.0,183940.0
391,326936.0,276404.0,208008.0,182420.0
392,195388.0,276528.0,216112.0,217460.0
393,195084.0,297408.0,231232.0,294856.0
394,217832.0,227696.0,315580.0,366128.0
395,270736.0,212868.0,311648.0,312452.0
396,294724.0,220664.0,219656.0,224216.0
397,266704.0,279012.0,194112.0,97044.0
398,272500.0,255548.0,222876.0,187664.0
399,150656.0,304336.0,250208.0,282100.0
