op_rw_wait_pa_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
47,0.034411,0.074323,0.115163,0.207774,0.067479,0.121599,0.146591,0.278411,0.213662,0.197792,0.076493,0.043574,0.467402,0.944457,0.117413,0.053927,0.366068,0.134424,0.237102,0.6432,0.235524,0.223184,0.307897,0.297813,0.14471,0.120355,0.054889,0.241714,0.237653,0.302295,0.522649,0.432263
48,0.006358,0.009657,0.012675,0.009441,0.009579,0.009012,0.008765,0.00884,0.011109,0.011714,0.077633,0.310113,0.071684,0.404311,0.006349,0.006639,0.025877,0.010151,0.011368,0.184695,0.106188,0.077638,0.045705,0.048038,0.012659,0.218922,0.142417,0.184286,0.008336,0.006992,0.175529,0.099103
49,0.118344,0.551035,0.075333,0.060232,0.055252,0.056784,0.047068,0.055258,0.051835,0.051118,0.052654,0.137369,0.06625,0.048487,0.132773,0.065066,0.065458,0.045257,0.064708,0.04995,0.05072,0.056174,0.063373,0.039114,0.045477,0.073313,0.051054,0.06169,0.05572,0.04651,0.161647,0.155831
50,0.146307,0.577814,0.138171,0.207824,0.634408,0.632015,0.448723,0.459226,0.232833,0.228753,0.223083,0.226962,0.226448,0.246678,0.466699,0.242025,0.268933,0.19607,0.228851,0.233058,0.233413,0.226159,0.26234,0.271311,0.184492,0.313417,0.224948,0.260117,0.251297,0.208367,0.267562,0.239308
51,0.303572,0.795356,0.407612,0.41696,0.812528,0.799098,0.704655,0.69628,0.644222,0.595863,0.452069,0.415028,0.32259,0.40935,0.645043,0.382954,0.519405,0.38884,0.397336,0.424865,0.404305,0.375928,0.434525,0.463559,0.299988,0.526625,0.395226,0.474027,0.450473,0.367032,0.434723,0.45638
52,0.09896,0.784704,0.570683,0.676321,0.752598,0.838893,0.655416,0.70382,0.634034,0.591415,0.396875,0.367457,0.69284,0.830223,0.57103,0.261005,0.785548,0.508643,0.741612,0.756546,0.240246,0.267433,0.372539,0.365122,0.147005,0.459704,0.31966,0.442832,0.812061,0.603296,0.436819,0.405472
53,0.011055,0.57202,0.295624,0.401666,0.440342,0.589429,0.404288,0.491901,0.349594,0.381229,0.297292,0.14055,0.549377,0.696544,0.364514,0.053977,0.510801,0.194648,0.490674,0.509688,0.215632,0.34174,0.428787,0.420116,0.179792,0.556745,0.104618,0.263493,0.727384,0.46964,0.315607,0.166287
54,0.203012,0.377573,0.058786,0.08874,0.088959,0.298217,0.094352,0.256249,0.059401,0.132392,0.232686,0.358733,0.280158,0.395312,0.132816,0.035831,0.240407,0.024752,0.24974,0.260415,0.066147,0.188345,0.174681,0.212871,0.03741,0.419463,0.260418,0.343128,0.341183,0.133002,0.136757,0.119813
55,0.089838,0.323113,0.04585,0.050567,0.053284,0.108893,0.04315,0.08904,0.055485,0.060512,0.07711,0.15174,0.111676,0.220164,0.282468,0.216098,0.089322,0.041518,0.109513,0.10228,0.046654,0.083704,0.063806,0.105384,0.067818,0.232727,0.082454,0.150964,0.149357,0.052675,0.288743,0.255701
56,0.055491,0.122808,0.074261,0.062899,0.235222,0.269395,0.226136,0.470176,0.177821,0.121911,0.086629,0.078196,0.094097,0.11525,0.327805,0.209934,0.093056,0.056848,0.075023,0.076006,0.069819,0.116123,0.072248,0.09073,0.066809,0.119582,0.064143,0.053323,0.088793,0.083223,0.199962,0.178521
57,0.038337,0.070709,0.224673,0.419808,0.12732,0.206748,0.118154,0.352053,0.357381,0.292284,0.067465,0.059918,0.04803,0.096919,0.124105,0.046529,0.154942,0.139574,0.095653,0.072366,0.060463,0.072017,0.065434,0.070404,0.080545,0.097139,0.039925,0.040579,0.085178,0.086249,0.063616,0.064044
58,0.023543,0.024241,0.019955,0.157191,0.019497,0.026093,0.023013,0.047996,0.031295,0.017572,0.03485,0.043902,0.201664,0.281575,0.018641,0.027917,0.064948,0.045849,0.157382,0.165574,0.026149,0.039665,0.076999,0.04237,0.131385,0.098763,0.026622,0.029182,0.190353,0.25581,0.027339,0.031056
59,0.027433,0.02516,0.025859,0.021881,0.024651,0.040113,0.027131,0.028946,0.025455,0.025261,0.284787,0.177971,0.031614,0.04931,0.020937,0.018387,0.028023,0.030301,0.035124,0.03281,0.177492,0.144643,0.182785,0.318541,0.022323,0.153274,0.029874,0.029102,0.027833,0.037756,0.037617,0.031936
60,0.147447,0.341204,0.058772,0.038335,0.041782,0.037786,0.036726,0.043108,0.045982,0.043761,0.067929,0.182352,0.040528,0.033272,0.047938,0.043565,0.037184,0.042848,0.053716,0.034478,0.035707,0.039181,0.031702,0.043047,0.049886,0.044012,0.129336,0.118263,0.035341,0.042234,0.086487,0.082777
61,0.2538,0.570312,0.292582,0.279711,0.275929,0.275514,0.247212,0.330315,0.224417,0.254678,0.235374,0.200852,0.227199,0.245691,0.572313,0.463158,0.272267,0.249872,0.281329,0.24131,0.27,0.24309,0.242115,0.297059,0.219632,0.285054,0.289984,0.287053,0.285923,0.358036,0.467659,0.412546
62,0.093146,0.512561,0.190563,0.146911,0.408652,0.386078,0.520436,0.654305,0.170967,0.183139,0.116161,0.096656,0.140129,0.175956,0.719488,0.532205,0.144334,0.123141,0.192885,0.148178,0.184717,0.133236,0.152455,0.226664,0.097927,0.172584,0.128737,0.150922,0.176659,0.229667,0.437165,0.396367
63,0.233968,0.475034,0.344269,0.33738,0.541184,0.488248,0.487158,0.624954,0.491301,0.44212,0.184632,0.219923,0.215955,0.226133,0.600263,0.383167,0.300145,0.346322,0.247422,0.198649,0.160971,0.197454,0.192395,0.212168,0.256796,0.260881,0.194228,0.235554,0.219407,0.208532,0.422302,0.343572
64,0.021362,0.229048,0.056783,0.054354,0.223693,0.220658,0.197838,0.448938,0.205072,0.132902,0.066236,0.034296,0.367804,0.417327,0.330735,0.074639,0.185797,0.16426,0.377807,0.313626,0.028163,0.024145,0.020598,0.08166,0.125539,0.30785,0.019505,0.029036,0.219895,0.209387,0.198814,0.074994
